4'马乔右路试图人球分过突破佩卢索，尤文后卫转身速度还是很快的卡住身位                   4'第4分钟，哈姆西克左路突至禁区角上左脚抽射高出
32'不知道能不能坚持到比赛最后                   29'第29分钟，因勒防守比达尔时与布里托斯头部相撞双双倒地，布里托斯伤势更重接受治疗
32'继续比赛                   29'第29分钟，因勒防守比达尔时与布里托斯头部相撞双双倒地，布里托斯伤势更重接受治疗
36'哈姆西克乱军当中抢射经过边线后被布冯扑住                   35'第35分钟，苏尼加左路传中，哈姆西克力扛后卫距门10米处抽射被挡减速，布冯将球拿到
37'球速不快，虽然有变线，但是对布冯难度不大                   35'第35分钟，苏尼加左路传中，哈姆西克力扛后卫距门10米处抽射被挡减速，布冯将球拿到
37'潘德夫左路直传，哈姆西克停球又没处理好                   35'第35分钟，苏尼加左路传中，哈姆西克力扛后卫距门10米处抽射被挡减速，布冯将球拿到
38'那不勒斯在面对尤文的防守体系时到目前办法还是不多                   35'第35分钟，苏尼加左路传中，哈姆西克力扛后卫距门10米处抽射被挡减速，布冯将球拿到
38'在最近5场比赛中，那不勒斯只打进了一个进球，还是后卫坎帕尼亚罗进的                   35'第35分钟，苏尼加左路传中，哈姆西克力扛后卫距门10米处抽射被挡减速，布冯将球拿到
43'武齐尼奇把球横传到中路，利希施泰纳禁区外左脚的打门偏出球门                   43'那不勒斯第43分钟追平比分
43'布里托斯后场带球失误，乔文科断球后往里走，坎帕尼亚罗反抢成功                   43'那不勒斯第43分钟追平比分
43'那不勒斯的反击                   43'那不勒斯第43分钟追平比分
44'因勒远射轰进尤文球门！！！1比1！！！！                   43'那不勒斯第43分钟追平比分
45'苏尼加左路横传禁区前的因勒，一脚世界波被博努奇蹭了一下直接抽中球门死角！！！                   43'那不勒斯第43分钟追平比分
45'比达尔中场拼抢犯规                   43'那不勒斯第43分钟追平比分
45'比达尔吃到了黄牌，无缘下一场比赛                   43'那不勒斯第43分钟追平比分
46'刚刚因勒那脚打门就是被博努奇蹭了那一下，高出几公分，布冯鞭长莫及                   43'那不勒斯第43分钟追平比分
46'那不勒斯最后时刻连续冲击尤文球门                   43'那不勒斯第43分钟追平比分
46'基耶里尼倒在了禁区里                   43'那不勒斯第43分钟追平比分
46'主裁判在和底线裁判沟通                   43'那不勒斯第43分钟追平比分
46'下半场比赛开始！！！                   43'那不勒斯第43分钟追平比分
46'那不勒斯方面因西涅换下了布里托斯                   43'那不勒斯第43分钟追平比分
44'因勒远射轰进尤文球门！！！1比1！！！！                   44'第44分钟，比达尔对因勒犯规吃到黄牌
45'苏尼加左路横传禁区前的因勒，一脚世界波被博努奇蹭了一下直接抽中球门死角！！！                   44'第44分钟，比达尔对因勒犯规吃到黄牌
45'比达尔中场拼抢犯规                   44'第44分钟，比达尔对因勒犯规吃到黄牌
45'比达尔吃到了黄牌，无缘下一场比赛                   44'第44分钟，比达尔对因勒犯规吃到黄牌
46'刚刚因勒那脚打门就是被博努奇蹭了那一下，高出几公分，布冯鞭长莫及                   44'第44分钟，比达尔对因勒犯规吃到黄牌
46'那不勒斯最后时刻连续冲击尤文球门                   44'第44分钟，比达尔对因勒犯规吃到黄牌
46'基耶里尼倒在了禁区里                   44'第44分钟，比达尔对因勒犯规吃到黄牌
46'主裁判在和底线裁判沟通                   44'第44分钟，比达尔对因勒犯规吃到黄牌
47'主裁判向卡瓦尼出示一张黄牌                   44'第44分钟，比达尔对因勒犯规吃到黄牌
47'慢动作看卡瓦尼有一个故意的肘击动作                   44'第44分钟，比达尔对因勒犯规吃到黄牌
47'卡瓦尼还想和裁判进行争辩，不过那不勒斯的球员都在劝解卡瓦尼                   44'第44分钟，比达尔对因勒犯规吃到黄牌
46'下半场比赛开始！！！                   44'第44分钟，比达尔对因勒犯规吃到黄牌
46'那不勒斯方面因西涅换下了布里托斯                   44'第44分钟，比达尔对因勒犯规吃到黄牌
47'纠正一下，应该是泽马伊利换下了布里托斯                   44'第44分钟，比达尔对因勒犯规吃到黄牌
47'那不勒斯用一名中场换下了一名后卫                   44'第44分钟，比达尔对因勒犯规吃到黄牌
50'皮尔洛交给马尔基西奥，这球被断了                   50'第50分钟，乔文科右路弧线球传中，武齐尼奇门前错过
50'那不勒斯中场的边线球                   50'第50分钟，乔文科右路弧线球传中，武齐尼奇门前错过
50'苏尼加左路带球被比达尔和利希施泰纳联手断下                   50'第50分钟，乔文科右路弧线球传中，武齐尼奇门前错过
51'尤文从右路发动反击，乔文科边路带球看了看禁区里队友的位置传中到门前                   50'第50分钟，乔文科右路弧线球传中，武齐尼奇门前错过
51'武齐尼奇插上没有抢到这个点                   50'第50分钟，乔文科右路弧线球传中，武齐尼奇门前错过
51'哈姆西克中路拿球分给队友                   50'第50分钟，乔文科右路弧线球传中，武齐尼奇门前错过
52'泽马伊利一脚爆射直接踢中比达尔的要害部位                   50'第50分钟，乔文科右路弧线球传中，武齐尼奇门前错过
52'这下比达尔疼的不轻                   50'第50分钟，乔文科右路弧线球传中，武齐尼奇门前错过
53'利希施泰纳右路面对苏尼加拿到一个边线球                   50'第50分钟，乔文科右路弧线球传中，武齐尼奇门前错过
53'再次传中到禁区，乔文科背身拿球，在坎帕尼亚罗的紧逼下球出了底线，门球                   50'第50分钟，乔文科右路弧线球传中，武齐尼奇门前错过
55'尤文禁区左侧的任意球                   55'第55分钟，皮尔洛左路小角度任意球偏出远门柱
55'皮尔洛选择直接打门，转远角稍稍偏出                   55'第55分钟，皮尔洛左路小角度任意球偏出远门柱
56'哈姆西克边路的后脚跟传球被后卫断下                   55'第55分钟，皮尔洛左路小角度任意球偏出远门柱
56'利希施泰纳边路高速带球被卡纳瓦罗正面放倒                   55'第55分钟，皮尔洛左路小角度任意球偏出远门柱
57'卡瓦纳罗的黄牌                   55'第55分钟，皮尔洛左路小角度任意球偏出远门柱
57'卡瓦纳罗也是累计黄牌无缘下场比赛了                   55'第55分钟，皮尔洛左路小角度任意球偏出远门柱
57'利希施泰纳边路传球失误                   55'第55分钟，皮尔洛左路小角度任意球偏出远门柱
58'因勒中场传球力量稍大                   55'第55分钟，皮尔洛左路小角度任意球偏出远门柱
58'泽马伊利接球时不得不放铲，铲倒了上抢的佩卢索                   55'第55分钟，皮尔洛左路小角度任意球偏出远门柱
58'因勒中场传球力量稍大                   58'第58分钟，哈姆西克左侧距门18米处大力抽射被布冯托出远门柱
58'泽马伊利接球时不得不放铲，铲倒了上抢的佩卢索                   58'第58分钟，哈姆西克左侧距门18米处大力抽射被布冯托出远门柱
59'贝赫拉米抢断乔文科                   58'第58分钟，哈姆西克左侧距门18米处大力抽射被布冯托出远门柱
59'哈姆西克禁区外带球，左脚突施冷箭直奔死角，布冯飞身把球挡出底线，角球                   58'第58分钟，哈姆西克左侧距门18米处大力抽射被布冯托出远门柱
59'角球直接被布冯拿到                   58'第58分钟，哈姆西克左侧距门18米处大力抽射被布冯托出远门柱
60'因勒外围再次尝试远射，力量不大被布冯把球没收                   58'第58分钟，哈姆西克左侧距门18米处大力抽射被布冯托出远门柱
61'佩卢索进攻中回敬一脚远射，左脚的大力打门高出球门横梁                   58'第58分钟，哈姆西克左侧距门18米处大力抽射被布冯托出远门柱
61'上半场布冯的那个丢球让他成为了尤文图斯历史上丢球最多的门将了                   58'第58分钟，哈姆西克左侧距门18米处大力抽射被布冯托出远门柱
65'泽马伊利右侧斜传禁区，巴尔扎利抢在卡瓦尼之前把球踢出底线，角球                   65'第65分钟，那不勒斯角球制造混乱，泽马伊利射门被后卫封堵，因勒禁区前沿左脚低射被布冯托出底线，那不勒斯左侧再开角球，卡瓦尼前点受到基耶利尼拉拽倒地，马乔后点抢在布冯身前射门，博努奇球门线上顶出，尤文打出反击，苏尼加背后推倒乔文科，被黄牌警告
65'战术角球苏尼加传中到禁区                   65'第65分钟，那不勒斯角球制造混乱，泽马伊利射门被后卫封堵，因勒禁区前沿左脚低射被布冯托出底线，那不勒斯左侧再开角球，卡瓦尼前点受到基耶利尼拉拽倒地，马乔后点抢在布冯身前射门，博努奇球门线上顶出，尤文打出反击，苏尼加背后推倒乔文科，被黄牌警告
66'尤文禁区里一片混乱，再次拿到角球                   65'第65分钟，那不勒斯角球制造混乱，泽马伊利射门被后卫封堵，因勒禁区前沿左脚低射被布冯托出底线，那不勒斯左侧再开角球，卡瓦尼前点受到基耶利尼拉拽倒地，马乔后点抢在布冯身前射门，博努奇球门线上顶出，尤文打出反击，苏尼加背后推倒乔文科，被黄牌警告
66'传中到后点，布冯没有拿到这个球                   65'第65分钟，那不勒斯角球制造混乱，泽马伊利射门被后卫封堵，因勒禁区前沿左脚低射被布冯托出底线，那不勒斯左侧再开角球，卡瓦尼前点受到基耶利尼拉拽倒地，马乔后点抢在布冯身前射门，博努奇球门线上顶出，尤文打出反击，苏尼加背后推倒乔文科，被黄牌警告
67'马乔头球摆渡回来，中路没有队友抢到这个点                   65'第65分钟，那不勒斯角球制造混乱，泽马伊利射门被后卫封堵，因勒禁区前沿左脚低射被布冯托出底线，那不勒斯左侧再开角球，卡瓦尼前点受到基耶利尼拉拽倒地，马乔后点抢在布冯身前射门，博努奇球门线上顶出，尤文打出反击，苏尼加背后推倒乔文科，被黄牌警告
67'尤文反击，苏尼加中场战术犯规吃到黄牌                   65'第65分钟，那不勒斯角球制造混乱，泽马伊利射门被后卫封堵，因勒禁区前沿左脚低射被布冯托出底线，那不勒斯左侧再开角球，卡瓦尼前点受到基耶利尼拉拽倒地，马乔后点抢在布冯身前射门，博努奇球门线上顶出，尤文打出反击，苏尼加背后推倒乔文科，被黄牌警告
67'因西涅换下潘德夫                   65'第65分钟，那不勒斯角球制造混乱，泽马伊利射门被后卫封堵，因勒禁区前沿左脚低射被布冯托出底线，那不勒斯左侧再开角球，卡瓦尼前点受到基耶利尼拉拽倒地，马乔后点抢在布冯身前射门，博努奇球门线上顶出，尤文打出反击，苏尼加背后推倒乔文科，被黄牌警告
67'武齐尼奇禁区外远射被德桑克蒂斯倒地封出                   65'第65分钟，那不勒斯角球制造混乱，泽马伊利射门被后卫封堵，因勒禁区前沿左脚低射被布冯托出底线，那不勒斯左侧再开角球，卡瓦尼前点受到基耶利尼拉拽倒地，马乔后点抢在布冯身前射门，博努奇球门线上顶出，尤文打出反击，苏尼加背后推倒乔文科，被黄牌警告
68'尤文这一段远射比较多，也是很难撕破对方的防守                   65'第65分钟，那不勒斯角球制造混乱，泽马伊利射门被后卫封堵，因勒禁区前沿左脚低射被布冯托出底线，那不勒斯左侧再开角球，卡瓦尼前点受到基耶利尼拉拽倒地，马乔后点抢在布冯身前射门，博努奇球门线上顶出，尤文打出反击，苏尼加背后推倒乔文科，被黄牌警告
68'马乔在禁区右侧和卡瓦尼撞墙2过1后一脚小角度爆射被布冯封出底线                   65'第65分钟，那不勒斯角球制造混乱，泽马伊利射门被后卫封堵，因勒禁区前沿左脚低射被布冯托出底线，那不勒斯左侧再开角球，卡瓦尼前点受到基耶利尼拉拽倒地，马乔后点抢在布冯身前射门，博努奇球门线上顶出，尤文打出反击，苏尼加背后推倒乔文科，被黄牌警告
67'马乔头球摆渡回来，中路没有队友抢到这个点                   67'第67分钟，武齐尼奇右路距门30米处大力抽射造成德桑克蒂斯托出，小卡纳瓦罗抢先解围
67'尤文反击，苏尼加中场战术犯规吃到黄牌                   67'第67分钟，武齐尼奇右路距门30米处大力抽射造成德桑克蒂斯托出，小卡纳瓦罗抢先解围
67'因西涅换下潘德夫                   67'第67分钟，武齐尼奇右路距门30米处大力抽射造成德桑克蒂斯托出，小卡纳瓦罗抢先解围
67'武齐尼奇禁区外远射被德桑克蒂斯倒地封出                   67'第67分钟，武齐尼奇右路距门30米处大力抽射造成德桑克蒂斯托出，小卡纳瓦罗抢先解围
68'尤文这一段远射比较多，也是很难撕破对方的防守                   67'第67分钟，武齐尼奇右路距门30米处大力抽射造成德桑克蒂斯托出，小卡纳瓦罗抢先解围
68'马乔在禁区右侧和卡瓦尼撞墙2过1后一脚小角度爆射被布冯封出底线                   67'第67分钟，武齐尼奇右路距门30米处大力抽射造成德桑克蒂斯托出，小卡纳瓦罗抢先解围
69'角球给到门前，博努奇一个头球考验了布冯                   67'第67分钟，武齐尼奇右路距门30米处大力抽射造成德桑克蒂斯托出，小卡纳瓦罗抢先解围
69'这球也是惊出布冯一身冷汗啊，险些又被博努奇卧底                   67'第67分钟，武齐尼奇右路距门30米处大力抽射造成德桑克蒂斯托出，小卡纳瓦罗抢先解围
70'巴尔扎利的右路转移被贝赫拉米头球顶出来                   67'第67分钟，武齐尼奇右路距门30米处大力抽射造成德桑克蒂斯托出，小卡纳瓦罗抢先解围
70'比赛差不多进行了70分钟                   67'第67分钟，武齐尼奇右路距门30米处大力抽射造成德桑克蒂斯托出，小卡纳瓦罗抢先解围
70'比分还是1比1的平局                   67'第67分钟，武齐尼奇右路距门30米处大力抽射造成德桑克蒂斯托出，小卡纳瓦罗抢先解围
73'马乔右路高速突破，传中到门前，卡瓦尼终于抢到一次落点，头球攻门被布冯扑出                   73'第73分钟，马乔右路传中，卡瓦尼前点距门9米处头球太正被布冯得到
74'哈姆西克禁区外再次左脚远射被布冯倒地扑出，跟上补射的泽马伊利面对空门的补射踢偏了！！！！                   73'第73分钟，马乔右路传中，卡瓦尼前点距门9米处头球太正被布冯得到
74'布冯连续扑救力保球门不失啊                   73'第73分钟，马乔右路传中，卡瓦尼前点距门9米处头球太正被布冯得到
74'尤文换人，马特里换下乔文科                   73'第73分钟，马乔右路传中，卡瓦尼前点距门9米处头球太正被布冯得到
75'乔文科这场比赛没有什么作为                   73'第73分钟，马乔右路传中，卡瓦尼前点距门9米处头球太正被布冯得到
75'如果是在尤文主场，估计还会被球迷嘘                   73'第73分钟，马乔右路传中，卡瓦尼前点距门9米处头球太正被布冯得到
76'德桑克蒂斯大脚开球直接出了边线                   73'第73分钟，马乔右路传中，卡瓦尼前点距门9米处头球太正被布冯得到
76'尤文把球控制在自己脚下                   73'第73分钟，马乔右路传中，卡瓦尼前点距门9米处头球太正被布冯得到
77'皮尔洛横传武齐尼奇                   77'第77分钟，武齐尼奇禁区前沿抽射高出
77'黑山老妖再次尝试远射高出球门                   77'第77分钟，武齐尼奇禁区前沿抽射高出
78'皮尔洛转移到右路                   77'第77分钟，武齐尼奇禁区前沿抽射高出
78'利希施泰纳右路传中，坎帕尼亚罗抢在马特里之前把球解围出底线                   77'第77分钟，武齐尼奇禁区前沿抽射高出
78'皮尔洛处理角球                   77'第77分钟，武齐尼奇禁区前沿抽射高出
79'马特里抢到前点，直接半转身打门放了高炮                   77'第77分钟，武齐尼奇禁区前沿抽射高出
79'皮尔洛中路带球被断                   77'第77分钟，武齐尼奇禁区前沿抽射高出
80'因勒差点把球丢了                   77'第77分钟，武齐尼奇禁区前沿抽射高出
80'左路苏尼加上来拿球                   77'第77分钟，武齐尼奇禁区前沿抽射高出
80'那不勒斯打的还是比较耐心对                   77'第77分钟，武齐尼奇禁区前沿抽射高出
80'泽马伊利右路接马乔传球时没有拿到                   77'第77分钟，武齐尼奇禁区前沿抽射高出
84'马特里把球传到门前，武齐尼奇插上蹭了一下球不过没有对德桑克蒂斯造成威胁                   84'第84分钟，因西涅左路低传，因勒在门前27米处大力抽射被布冯托出横梁
84'因勒禁区外中路的一脚远射被布冯单掌托出底线                   84'第84分钟，因西涅左路低传，因勒在门前27米处大力抽射被布冯托出横梁
84'因勒对远射确实很有威胁                   84'第84分钟，因西涅左路低传，因勒在门前27米处大力抽射被布冯托出横梁
85'那不勒斯换人 阿尔梅罗换下了因勒                   84'第84分钟，因西涅左路低传，因勒在门前27米处大力抽射被布冯托出横梁
85'角球开出来，主裁判吹了那不勒斯球员的进攻犯规                   84'第84分钟，因西涅左路低传，因勒在门前27米处大力抽射被布冯托出横梁
85'尤文换人，博格巴换下了武齐尼奇                   84'第84分钟，因西涅左路低传，因勒在门前27米处大力抽射被布冯托出横梁
86'在双方联赛首回合交锋中，替补上场的博格巴就打进那不勒斯一球                   84'第84分钟，因西涅左路低传，因勒在门前27米处大力抽射被布冯托出横梁
87'尤文图斯右路传球失误                   84'第84分钟，因西涅左路低传，因勒在门前27米处大力抽射被布冯托出横梁
87'因西涅转移到右路找卡瓦尼时，佩卢索拉倒了卡瓦尼                   84'第84分钟，因西涅左路低传，因勒在门前27米处大力抽射被布冯托出横梁
87'尤文图斯右路传球失误                   87'第87分钟，佩卢索背后推倒卡瓦尼，被黄牌警告，卡瓦尼右侧距门23米处任意球高出
87'因西涅转移到右路找卡瓦尼时，佩卢索拉倒了卡瓦尼                   87'第87分钟，佩卢索背后推倒卡瓦尼，被黄牌警告，卡瓦尼右侧距门23米处任意球高出
88'佩卢索黄牌                   87'第87分钟，佩卢索背后推倒卡瓦尼，被黄牌警告，卡瓦尼右侧距门23米处任意球高出
88'那不勒斯禁区前沿靠右的任意球                   87'第87分钟，佩卢索背后推倒卡瓦尼，被黄牌警告，卡瓦尼右侧距门23米处任意球高出
88'卡瓦尼直接打门比较离谱                   87'第87分钟，佩卢索背后推倒卡瓦尼，被黄牌警告，卡瓦尼右侧距门23米处任意球高出
89'双方到目前的控球时间所差无几                   87'第87分钟，佩卢索背后推倒卡瓦尼，被黄牌警告，卡瓦尼右侧距门23米处任意球高出
89'那不勒斯中场传递                   87'第87分钟，佩卢索背后推倒卡瓦尼，被黄牌警告，卡瓦尼右侧距门23米处任意球高出
90'哈姆西克中路带球斜传禁区的高点卡瓦尼，基耶里尼头球解围出来                   87'第87分钟，佩卢索背后推倒卡瓦尼，被黄牌警告，卡瓦尼右侧距门23米处任意球高出
90'利希施泰纳右路在双人包夹下把球带了出来                   87'第87分钟，佩卢索背后推倒卡瓦尼，被黄牌警告，卡瓦尼右侧距门23米处任意球高出
90'贝赫拉米上来直接放倒利希施泰纳                   87'第87分钟，佩卢索背后推倒卡瓦尼，被黄牌警告，卡瓦尼右侧距门23米处任意球高出
90'下半场补时2分钟                   87'第87分钟，佩卢索背后推倒卡瓦尼，被黄牌警告，卡瓦尼右侧距门23米处任意球高出
