1'上半场比赛开始！！                   1'双方第1分钟打出快节奏
20'博格巴禁区弧顶借队友的直塞球                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
20'面对出击的门将                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
20'推射远角！！擦着立柱出了底线！！                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
20'短短的几分钟内，利物浦的门前是非常的危险                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
21'曼联右路起球送禁区                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
21'这球落点给的比较深                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
27'博格巴中路争抢的时候手球了！！！                   27'利物浦第27分钟取得领先，博格巴防守角球争顶时手球犯规，米尔纳主罚点球命中
27'点球！！！                   27'利物浦第27分钟取得领先，博格巴防守角球争顶时手球犯规，米尔纳主罚点球命中
27'利物浦获得点球机会                   27'利物浦第27分钟取得领先，博格巴防守角球争顶时手球犯规，米尔纳主罚点球命中
27'米尔纳来主罚！！                   27'利物浦第27分钟取得领先，博格巴防守角球争顶时手球犯规，米尔纳主罚点球命中
27'米尔纳助跑后推射右路，门将判断对了方向但是没有碰到！！！                   27'利物浦第27分钟取得领先，博格巴防守角球争顶时手球犯规，米尔纳主罚点球命中
28'0-1！！！                   27'利物浦第27分钟取得领先，博格巴防守角球争顶时手球犯规，米尔纳主罚点球命中
28'利物浦取得了领先                   27'利物浦第27分钟取得领先，博格巴防守角球争顶时手球犯规，米尔纳主罚点球命中
29'曼联这样来说比较被动                   27'利物浦第27分钟取得领先，博格巴防守角球争顶时手球犯规，米尔纳主罚点球命中
51'曼联左路传球给到中路                   50'5分钟后，伊布禁区弧内任意球爆射被米尼奥莱神勇扑出左下角
51'利物浦这边第一下将球破坏                   50'5分钟后，伊布禁区弧内任意球爆射被米尼奥莱神勇扑出左下角
52'曼联后场大脚给到前场                   50'5分钟后，伊布禁区弧内任意球爆射被米尼奥莱神勇扑出左下角
52'伊布头球往禁区里给                   50'5分钟后，伊布禁区弧内任意球爆射被米尼奥莱神勇扑出左下角
53'这球给到两名球员的之间                   50'5分钟后，伊布禁区弧内任意球爆射被米尼奥莱神勇扑出左下角
55'维纳尔杜姆拿球转移                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
55'曼联这边中场断球了                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
55'伊布拿球给到右路                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
55'姆希塔良挑传到中路                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
55'门将这边已经出击并没有碰到球                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
55'而马夏尔跟进的这点是跑过了                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
55'曼联错过绝佳的扳平机会                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
56'先看看曼联的角球机会                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
56'角球送中路                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
56'米尼奥莱单拳将球击出                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
58'曼联右路直塞给到底线                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
58'鲁尼接球将球传到门前                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
58'米尼奥莱前点将球直接拦截                   55'第55分钟，马夏尔抢断阿诺德，伊布直传，姆希塔良禁区右侧传中，马夏尔小禁区边缘面对空门脚后跟射门踢空
84'1-1！！！                   84'曼联第84分钟扳平，鲁尼禁区左侧传中，费莱尼小禁区边缘头球攻门击中右侧立柱弹出，瓦伦西亚禁区右侧再传中，伊布近距离头球攻门击中横梁下沿入网，1-1
84'伊布！！！                   84'曼联第84分钟扳平，鲁尼禁区左侧传中，费莱尼小禁区边缘头球攻门击中右侧立柱弹出，瓦伦西亚禁区右侧再传中，伊布近距离头球攻门击中横梁下沿入网，1-1
85'鲁尼左路禁区内突破后传中，费莱尼甩头攻门击中了立柱，球没出底线，队友接球后再传，伊布前点甩头攻门，球击中横梁下沿弹入球网！！                   84'曼联第84分钟扳平，鲁尼禁区左侧传中，费莱尼小禁区边缘头球攻门击中右侧立柱弹出，瓦伦西亚禁区右侧再传中，伊布近距离头球攻门击中横梁下沿入网，1-1
85'伊布进球后也是发泄了一下                   84'曼联第84分钟扳平，鲁尼禁区左侧传中，费莱尼小禁区边缘头球攻门击中右侧立柱弹出，瓦伦西亚禁区右侧再传中，伊布近距离头球攻门击中横梁下沿入网，1-1
86'利物浦这边反击的机会                   84'曼联第84分钟扳平，鲁尼禁区左侧传中，费莱尼小禁区边缘头球攻门击中右侧立柱弹出，瓦伦西亚禁区右侧再传中，伊布近距离头球攻门击中横梁下沿入网，1-1
87'右路起球送后点                   84'曼联第84分钟扳平，鲁尼禁区左侧传中，费莱尼小禁区边缘头球攻门击中右侧立柱弹出，瓦伦西亚禁区右侧再传中，伊布近距离头球攻门击中横梁下沿入网，1-1
87'维纳尔杜姆后点无人看防                   84'曼联第84分钟扳平，鲁尼禁区左侧传中，费莱尼小禁区边缘头球攻门击中右侧立柱弹出，瓦伦西亚禁区右侧再传中，伊布近距离头球攻门击中横梁下沿入网，1-1
87'调整后再打被后卫挡出                   84'曼联第84分钟扳平，鲁尼禁区左侧传中，费莱尼小禁区边缘头球攻门击中右侧立柱弹出，瓦伦西亚禁区右侧再传中，伊布近距离头球攻门击中横梁下沿入网，1-1
87'利物浦的角球                   84'曼联第84分钟扳平，鲁尼禁区左侧传中，费莱尼小禁区边缘头球攻门击中右侧立柱弹出，瓦伦西亚禁区右侧再传中，伊布近距离头球攻门击中横梁下沿入网，1-1
87'角球送中路                   84'曼联第84分钟扳平，鲁尼禁区左侧传中，费莱尼小禁区边缘头球攻门击中右侧立柱弹出，瓦伦西亚禁区右侧再传中，伊布近距离头球攻门击中横梁下沿入网，1-1
87'费莱尼头球先点了一下                   84'曼联第84分钟扳平，鲁尼禁区左侧传中，费莱尼小禁区边缘头球攻门击中右侧立柱弹出，瓦伦西亚禁区右侧再传中，伊布近距离头球攻门击中横梁下沿入网，1-1
90'中路被曼联抢断了                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
90'曼联想快速反击                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
90'这球打得比较着急                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
91'菲尔米诺中场拿球被埃雷拉一把                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
91'菲尔米诺也很着急                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
92'直接推倒了埃雷拉                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
92'埃雷拉和菲尔米诺各得一张黄牌！                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
92'下半场补时4分钟！！                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
92'利物浦右路挑传                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
92'没有给过去                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
93'利物浦前场断球后给到禁区                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
93'维纳尔杜姆禁区内推射没有打上力量                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
93'这球几乎是单刀了                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
93'维纳尔杜姆这脚球更像是解围                   90'第90分钟，埃雷拉战术犯规，菲尔米诺报复性推倒西班牙人，两人均被罚黄牌
