2'佛罗伦萨球员巴德尔吉一脚直塞球给巴巴卡尔,但是边裁举旗显示后者已经越位.                   1'第1分钟节奏不快
72'国际米兰球员伊卡尔迪大禁区中央尝试右脚射门,可惜皮球偏出球门.给他传球的是沙奇里.                   72'第72分钟，瓜林直传禁区右侧，沙奇里背身左脚横做，无人盯防的伊卡尔迪在门前12米处推射高出
72'佛罗伦萨换人,华金换下迪亚曼蒂                   72'第72分钟，瓜林直传禁区右侧，沙奇里背身左脚横做，无人盯防的伊卡尔迪在门前12米处推射高出
73'国际米兰换人,帕拉西奥换下科瓦契奇                   72'第72分钟，瓜林直传禁区右侧，沙奇里背身左脚横做，无人盯防的伊卡尔迪在门前12米处推射高出
74'佛罗伦萨球员库尔蒂奇大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿奎拉尼.                   72'第72分钟，瓜林直传禁区右侧，沙奇里背身左脚横做，无人盯防的伊卡尔迪在门前12米处推射高出
75'佛罗伦萨球员萨拉赫拼抢犯规,对手获得控球权.                   72'第72分钟，瓜林直传禁区右侧，沙奇里背身左脚横做，无人盯防的伊卡尔迪在门前12米处推射高出
75'坎帕尼亚罗为国际米兰在右路,赢得一个任意球.                   72'第72分钟，瓜林直传禁区右侧，沙奇里背身左脚横做，无人盯防的伊卡尔迪在门前12米处推射高出
76'射门!!!国际米兰球员维迪奇大禁区中央头球,被对方守门员横身扑出.给他传球的是沙奇里.                   76'第76分钟，沙奇里右侧开出任意球，维迪奇前点头球被内托得到
77'射门!!!佛罗伦萨球员伊利西奇大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是萨拉赫.                   76'第76分钟，沙奇里右侧开出任意球，维迪奇前点头球被内托得到
78'国际米兰换人,德安布罗西奥换下桑顿                   76'第76分钟，沙奇里右侧开出任意球，维迪奇前点头球被内托得到
78'萨维奇将球处理出底线,国际米兰获得角球.                   76'第76分钟，沙奇里右侧开出任意球，维迪奇前点头球被内托得到
79'国际米兰球员维迪奇大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是沙奇里.                   76'第76分钟，沙奇里右侧开出任意球，维迪奇前点头球被内托得到
84'射门!!!国际米兰球员帕拉西奥大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是布罗佐维奇.                   84'第84分钟，帕拉西奥右肋扣过萨维奇，突入禁区右侧没传中给位置更佳的伊卡尔迪，左脚低射被内托没收
84'萨维奇将球处理出底线,国际米兰获得角球.                   84'第84分钟，帕拉西奥右肋扣过萨维奇，突入禁区右侧没传中给位置更佳的伊卡尔迪，左脚低射被内托没收
85'国际米兰球员坎帕尼亚罗大禁区中央右脚射门,被防守球员封堵.                   84'第84分钟，帕拉西奥右肋扣过萨维奇，突入禁区右侧没传中给位置更佳的伊卡尔迪，左脚低射被内托没收
85'国际米兰球员胡安大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   84'第84分钟，帕拉西奥右肋扣过萨维奇，突入禁区右侧没传中给位置更佳的伊卡尔迪，左脚低射被内托没收
85'国际米兰球员布罗佐维奇被主裁判出示了一张黄牌.                   84'第84分钟，帕拉西奥右肋扣过萨维奇，突入禁区右侧没传中给位置更佳的伊卡尔迪，左脚低射被内托没收
87'国际米兰受伤倒地,比赛暂停                   84'第84分钟，帕拉西奥右肋扣过萨维奇，突入禁区右侧没传中给位置更佳的伊卡尔迪，左脚低射被内托没收
47'佛罗伦萨球员托莫维奇拼抢犯规,对手获得控球权.                   47'补时第2分钟，沙奇里右路传中，帕拉西奥头球被内托指尖托出横梁
47'波多尔斯基为国际米兰在左路,赢得一个任意球.                   47'补时第2分钟，沙奇里右路传中，帕拉西奥头球被内托指尖托出横梁
48'射门!!!佛罗伦萨球员伊利西奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是萨拉赫.                   47'补时第2分钟，沙奇里右路传中，帕拉西奥头球被内托指尖托出横梁
48'佛罗伦萨球员巴德尔吉拼抢犯规,对手获得控球权.                   47'补时第2分钟，沙奇里右路传中，帕拉西奥头球被内托指尖托出横梁
48'科瓦契奇为国际米兰在右路,赢得一个任意球.                   47'补时第2分钟，沙奇里右路传中，帕拉西奥头球被内托指尖托出横梁
49'萨拉赫为佛罗伦萨在对方半场,赢得一个任意球.                   47'补时第2分钟，沙奇里右路传中，帕拉西奥头球被内托指尖托出横梁
49'国际米兰球员维迪奇拼抢犯规,对手获得控球权.                   47'补时第2分钟，沙奇里右路传中，帕拉西奥头球被内托指尖托出横梁
49'黄牌！国际米兰球员维迪奇因为恶意犯规,被主裁判出示黄牌.                   47'补时第2分钟，沙奇里右路传中，帕拉西奥头球被内托指尖托出横梁
