7'AC米兰球员博内拉大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是卡卡.                   7'开场7分钟，卡卡开出角球，博内拉争顶偏出
20'AC米兰球员卡卡一脚直塞球给拉米,但是边裁举旗显示后者已经越位.                   20'第20分钟，卡卡左侧开出任意球，梅克斯前点头球一蹭，拉米在门前3米处凌空垫射打飞，不过已越位在先
21'卡塔尼亚球员普拉希尔大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是巴里恩托斯.                   20'第20分钟，卡卡左侧开出任意球，梅克斯前点头球一蹭，拉米在门前3米处凌空垫射打飞，不过已越位在先
22'AC米兰球员卡卡球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是巴洛特利.                   20'第20分钟，卡卡左侧开出任意球，梅克斯前点头球一蹭，拉米在门前3米处凌空垫射打飞，不过已越位在先
23'巴洛特利为AC米兰在左路,赢得一个任意球.                   20'第20分钟，卡卡左侧开出任意球，梅克斯前点头球一蹭，拉米在门前3米处凌空垫射打飞，不过已越位在先
23'卡塔尼亚球员拼抢犯规,对手获得控球权.                   20'第20分钟，卡卡左侧开出任意球，梅克斯前点头球一蹭，拉米在门前3米处凌空垫射打飞，不过已越位在先
23'进球啦！！！AC米兰球员蒙托利沃大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是巴洛特利. AC米兰 1-0 卡塔尼亚.                   20'第20分钟，卡卡左侧开出任意球，梅克斯前点头球一蹭，拉米在门前3米处凌空垫射打飞，不过已越位在先
23'巴洛特利为AC米兰在左路,赢得一个任意球.                   23'AC米兰第23分钟取得领先
23'卡塔尼亚球员拼抢犯规,对手获得控球权.                   23'AC米兰第23分钟取得领先
23'进球啦！！！AC米兰球员蒙托利沃大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是巴洛特利. AC米兰 1-0 卡塔尼亚.                   23'AC米兰第23分钟取得领先
26'卡塔尼亚球员里纳乌多拼抢犯规,对手获得控球权.                   23'AC米兰第23分钟取得领先
26'巴洛特利为AC米兰在对方半场,赢得一个任意球.                   23'AC米兰第23分钟取得领先
27'AC米兰球员巴洛特利大禁区外右脚射门,被防守球员封堵.                   27'第27分钟，巴神在门前27米处主罚任意球碰人墙偏出左门柱
27'戈约姆贝将球处理出底线,AC米兰获得角球.                   27'第27分钟，巴神在门前27米处主罚任意球碰人墙偏出左门柱
28'卡塔尼亚球员巴里恩托斯拼抢犯规,对手获得控球权.                   27'第27分钟，巴神在门前27米处主罚任意球碰人墙偏出左门柱
28'塔拉布特为AC米兰在左路,赢得一个任意球.                   27'第27分钟，巴神在门前27米处主罚任意球碰人墙偏出左门柱
29'黄牌！卡塔尼亚球员巴里恩托斯因为恶意犯规,被主裁判出示黄牌.                   27'第27分钟，巴神在门前27米处主罚任意球碰人墙偏出左门柱
30'斯波利为卡塔尼亚赢得一个任意球.                   27'第27分钟，巴神在门前27米处主罚任意球碰人墙偏出左门柱
30'AC米兰球员博内拉拼抢犯规,对手获得控球权.                   27'第27分钟，巴神在门前27米处主罚任意球碰人墙偏出左门柱
30'AC米兰球员康斯坦特大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   27'第27分钟，巴神在门前27米处主罚任意球碰人墙偏出左门柱
33'AC米兰球员塔拉布特大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是蒙托利沃.                   33'第33分钟，塔拉布特中路变线摆脱防守，禁区弧顶抽射掠过横梁
34'射门!!!卡塔尼亚球员莱托大禁区外左脚射门,被对方守门员横身扑出.给他传球的是戈约姆贝.                   33'第33分钟，塔拉布特中路变线摆脱防守，禁区弧顶抽射掠过横梁
34'卡塔尼亚球员斯波利拼抢犯规,对手获得控球权.                   33'第33分钟，塔拉布特中路变线摆脱防守，禁区弧顶抽射掠过横梁
34'巴洛特利为AC米兰在对方半场,赢得一个任意球.                   33'第33分钟，塔拉布特中路变线摆脱防守，禁区弧顶抽射掠过横梁
35'AC米兰球员巴洛特利大禁区外右脚射门,被防守球员封堵.                   33'第33分钟，塔拉布特中路变线摆脱防守，禁区弧顶抽射掠过横梁
36'卡塔尼亚球员罗林拼抢犯规,对手获得控球权.                   33'第33分钟，塔拉布特中路变线摆脱防守，禁区弧顶抽射掠过横梁
36'巴洛特利为AC米兰在对方半场,赢得一个任意球.                   33'第33分钟，塔拉布特中路变线摆脱防守，禁区弧顶抽射掠过横梁
36'黄牌！卡塔尼亚球员罗林因为恶意犯规,被主裁判出示黄牌.                   33'第33分钟，塔拉布特中路变线摆脱防守，禁区弧顶抽射掠过横梁
37'AC米兰球员巴洛特利大禁区外尝试右脚射门,可惜皮球偏出球门.                   37'第37分钟，罗林铲倒巴洛特利，被黄牌警告，巴神在门前25米处主罚任意球越过人墙稍稍高出
38'AC米兰球员塔拉布特大禁区外左脚射门,被防守球员封堵.给他传球的是蒙托利沃.                   37'第37分钟，罗林铲倒巴洛特利，被黄牌警告，巴神在门前25米处主罚任意球越过人墙稍稍高出
39'射门!!!AC米兰球员巴洛特利大禁区外右脚射门,被对方守门员横身扑出.给他传球的是卡卡.                   37'第37分钟，罗林铲倒巴洛特利，被黄牌警告，巴神在门前25米处主罚任意球越过人墙稍稍高出
39'博格西奥为卡塔尼亚在左路,赢得一个任意球.                   37'第37分钟，罗林铲倒巴洛特利，被黄牌警告，巴神在门前25米处主罚任意球越过人墙稍稍高出
39'AC米兰球员博内拉拼抢犯规,对手获得控球权.                   37'第37分钟，罗林铲倒巴洛特利，被黄牌警告，巴神在门前25米处主罚任意球越过人墙稍稍高出
39'卡塔尼亚球员巴里恩托斯大禁区中央左脚射门,被防守球员封堵.给他传球的是戈约姆贝.                   37'第37分钟，罗林铲倒巴洛特利，被黄牌警告，巴神在门前25米处主罚任意球越过人墙稍稍高出
51'AC米兰球员波利大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是博内拉.                   51'下半时开始6分钟，博内拉传中，波利头球偏出
53'AC米兰球员蒙托利沃大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   51'下半时开始6分钟，博内拉传中，波利头球偏出
54'戈约姆贝为卡塔尼亚赢得一个任意球.                   51'下半时开始6分钟，博内拉传中，波利头球偏出
54'AC米兰球员塔拉布特拼抢犯规,对手获得控球权.                   51'下半时开始6分钟，博内拉传中，波利头球偏出
56'卡塔尼亚球员斯波利大禁区中央尝试头球,可惜皮球高出球门.给他传球的是洛迪.                   56'第56分钟，洛迪开出任意球，斯波利在门前7米处顶高
57'AC米兰球员巴洛特利大禁区外右脚射门,被防守球员封堵.给他传球的是塔拉布特.                   56'第56分钟，洛迪开出任意球，斯波利在门前7米处顶高
57'罗林将球处理出底线,AC米兰获得角球.                   56'第56分钟，洛迪开出任意球，斯波利在门前7米处顶高
58'卡塔尼亚球员罗林拼抢犯规,对手获得控球权.                   56'第56分钟，洛迪开出任意球，斯波利在门前7米处顶高
58'塔拉布特为AC米兰在对方半场,赢得一个任意球.                   56'第56分钟，洛迪开出任意球，斯波利在门前7米处顶高
59'卡塔尼亚换人,卡斯特罗换下莱托                   56'第56分钟，洛迪开出任意球，斯波利在门前7米处顶高
59'AC米兰球员梅克斯大禁区左侧尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是巴洛特利.                   56'第56分钟，洛迪开出任意球，斯波利在门前7米处顶高
59'卡塔尼亚换人,卡斯特罗换下莱托                   59'第59分钟，巴洛特利主罚任意球斜传禁区左侧，梅克斯在门前9米处侧身凌空勾射高出
59'AC米兰球员梅克斯大禁区左侧尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是巴洛特利.                   59'第59分钟，巴洛特利主罚任意球斜传禁区左侧，梅克斯在门前9米处侧身凌空勾射高出
60'卡塔尼亚球员普拉希尔被主裁判出示了一张黄牌.                   59'第59分钟，巴洛特利主罚任意球斜传禁区左侧，梅克斯在门前9米处侧身凌空勾射高出
60'康斯坦特将球处理出底线,卡塔尼亚获得角球.                   59'第59分钟，巴洛特利主罚任意球斜传禁区左侧，梅克斯在门前9米处侧身凌空勾射高出
61'卡塔尼亚球员蒙松大禁区外左脚射门,被防守球员封堵.给他传球的是洛迪.                   59'第59分钟，巴洛特利主罚任意球斜传禁区左侧，梅克斯在门前9米处侧身凌空勾射高出
61'卡塔尼亚球员里纳乌多拼抢犯规,对手获得控球权.                   59'第59分钟，巴洛特利主罚任意球斜传禁区左侧，梅克斯在门前9米处侧身凌空勾射高出
61'卡卡为AC米兰在右路,赢得一个任意球.                   59'第59分钟，巴洛特利主罚任意球斜传禁区左侧，梅克斯在门前9米处侧身凌空勾射高出
61'黄牌！卡塔尼亚球员里纳乌多因为恶意犯规,被主裁判出示黄牌.                   59'第59分钟，巴洛特利主罚任意球斜传禁区左侧，梅克斯在门前9米处侧身凌空勾射高出
62'洛迪将球处理出底线,AC米兰获得角球.                   59'第59分钟，巴洛特利主罚任意球斜传禁区左侧，梅克斯在门前9米处侧身凌空勾射高出
62'蒙松为卡塔尼亚赢得一个任意球.                   59'第59分钟，巴洛特利主罚任意球斜传禁区左侧，梅克斯在门前9米处侧身凌空勾射高出
62'AC米兰球员波利拼抢犯规,对手获得控球权.                   59'第59分钟，巴洛特利主罚任意球斜传禁区左侧，梅克斯在门前9米处侧身凌空勾射高出
67'博格西奥将球处理出底线,AC米兰获得角球.                   67'第67分钟，德容远射太正被安杜哈尔得到
67'射门!!!AC米兰球员德容大禁区外右脚射门,被对方守门员横身扑出.给他传球的是塔拉布特.                   67'第67分钟，德容远射太正被安杜哈尔得到
69'博格西奥为卡塔尼亚在对方半场,赢得一个任意球.                   67'第67分钟，德容远射太正被安杜哈尔得到
69'AC米兰球员拉米拼抢犯规,对手获得控球权.                   67'第67分钟，德容远射太正被安杜哈尔得到
70'卡塔尼亚球员里纳乌多大禁区外左脚射门,被防守球员封堵.                   67'第67分钟，德容远射太正被安杜哈尔得到
76'射门!!!卡塔尼亚球员洛迪大禁区外左脚射门,被对方守门员横身扑出.                   76'第76分钟，蒙托利沃放倒普拉希尔，洛迪在门前30米处主罚任意球被阿比亚蒂扑出底线
76'阿比亚蒂将球处理出底线,卡塔尼亚获得角球.                   76'第76分钟，蒙托利沃放倒普拉希尔，洛迪在门前30米处主罚任意球被阿比亚蒂扑出底线
77'卡塔尼亚换人,伊兹科换下普拉希尔                   76'第76分钟，蒙托利沃放倒普拉希尔，洛迪在门前30米处主罚任意球被阿比亚蒂扑出底线
78'AC米兰换人,埃马纽尔森换下康斯坦特                   76'第76分钟，蒙托利沃放倒普拉希尔，洛迪在门前30米处主罚任意球被阿比亚蒂扑出底线
78'卡塔尼亚球员斯波利拼抢犯规,对手获得控球权.                   76'第76分钟，蒙托利沃放倒普拉希尔，洛迪在门前30米处主罚任意球被阿比亚蒂扑出底线
78'巴洛特利为AC米兰在左路,赢得一个任意球.                   76'第76分钟，蒙托利沃放倒普拉希尔，洛迪在门前30米处主罚任意球被阿比亚蒂扑出底线
78'卡塔尼亚球员里纳乌多拼抢犯规,对手获得控球权.                   76'第76分钟，蒙托利沃放倒普拉希尔，洛迪在门前30米处主罚任意球被阿比亚蒂扑出底线
78'梅克斯为AC米兰在对方半场,赢得一个任意球.                   76'第76分钟，蒙托利沃放倒普拉希尔，洛迪在门前30米处主罚任意球被阿比亚蒂扑出底线
78'卡塔尼亚球员里纳乌多因为恶意犯规,被裁判出示了第二张黄牌.                   76'第76分钟，蒙托利沃放倒普拉希尔，洛迪在门前30米处主罚任意球被阿比亚蒂扑出底线
81'卡塔尼亚球员博格西奥拼抢犯规,对手获得控球权.                   79'卡塔尼亚第79分钟雪上加霜，里瑙多铲倒梅克斯，累计2张黄牌被罚下
81'拉米为AC米兰赢得一个任意球.                   79'卡塔尼亚第79分钟雪上加霜，里瑙多铲倒梅克斯，累计2张黄牌被罚下
82'卡塔尼亚换人,博阿滕换下博格西奥                   79'卡塔尼亚第79分钟雪上加霜，里瑙多铲倒梅克斯，累计2张黄牌被罚下
88'AC米兰球员塔拉布特大禁区左侧尝试右脚射门,可惜皮球偏出球门.给他传球的是蒙托利沃.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
88'卡斯特罗为卡塔尼亚在对方半场,赢得一个任意球.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
88'AC米兰球员拉米拼抢犯规,对手获得控球权.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
89'卡塔尼亚球员巴里恩托斯手球犯规,对手获得球权.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'AC米兰球员巴洛特利大禁区外尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是塔拉布特.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'+1'蒙松为卡塔尼亚赢得一个任意球.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'+1'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'+1'卡塔尼亚球员蒙松拼抢犯规,对手获得控球权.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'+1'巴洛特利为AC米兰赢得一个任意球.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'+2'黄牌！卡塔尼亚球员蒙松因为恶意犯规,被主裁判出示黄牌.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'+2'蒙松为卡塔尼亚赢得一个任意球.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'+2'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'+3'埃马纽尔森将球处理出底线,卡塔尼亚获得角球.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'+3'卡塔尼亚球员巴里恩托斯拼抢犯规,对手获得控球权.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'+3'博内拉为AC米兰赢得一个任意球.                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
90'+4'下半场结束,AC米兰 1-0 卡塔尼亚                   88'第88分钟，蒙托利沃中路反击分球，塔拉布特左侧距门13米弧线球高出
