6'张诚左路套边上来，这里比较空                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
9'权敬源的长传，曾诚将球控制                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
9'冯潇霆长传，给得不好                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
9'王杰得球交给了郑达伦，交给苏缘杰，球被了                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
9'塔利斯卡交给保利尼奥                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
11'找到苏缘杰，张琳芃放铲将球铲出边线                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
11'张诚掷界外球                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
11'孙可交给裴帅，直传被梅方断球                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
11'冯潇霆接应交给前场的高拉特，分左侧的邹正                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
11'高拉特再拿球交给黄博文，分右侧的张琳芃，直传过不了权敬源                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
11'斜吊，苏缘杰头球摆渡                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
12'张修维跟进上来禁区外远射，打偏了一点！                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
12'曾诚发门球                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
12'邹正接应回传给冯潇霆                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
12'交给保利尼奥，回一下                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
13'高拉特回接交给梅方                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
13'直传，塔利斯卡拔给高拉特                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
13'分右侧的杨立瑜                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
13'下底传中，王杰将球解围                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
13'张琳芃掷外球，杨立瑜接应交给塔利斯卡，回传给冯潇霆                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
13'分左侧的邹正，直传被郑达伦破坏出边线                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
14'于汉超接应                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
14'回做一下                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
14'冯潇霆直传，黄博文转身被裴帅断下                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
14'赵旭日接应分右侧，张修维没有拿好                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
14'塔利斯卡前场断球，直传，打在了高拉特的脚后跟                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
14'权健反击                   11'第11分钟，权健左路斜传，苏缘杰将球摆渡到右路，恒大防守出现明显空档，无人防守的张修维在禁区线附近低射打偏
20'回复：用户5695834759 19:50 举报回复 张五现在是最不放心的点，最突出的能力就是犯规！！（稳定性确实没有太多的进步）                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
20'裴帅过顶长传，被杨立瑜断下                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
20'分右侧，赵旭日将球破坏出边线                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
20'保利尼奥控球，转移给了左路的邹正                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
20'回传给保利尼奥                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
20'横拔给冯潇霆                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
21'分边给了张琳芃                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
21'回传给黄博文                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
21'不断的横传                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
21'于汉超背身接应转身交给梅方                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
21'交给张琳芃                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
21'过了苏缘杰                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
21'推进直传                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
21'杨立瑜地滚球传中，吴伟大脚解围                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
21'冯潇霆上来，直传被赵旭日拦截                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
21'孙可没有将球控制好                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
22'于汉超控球分左侧，传大了，球出边线                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
22'张鹭大脚开上来，被冯潇霆顶一下                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
23'郑达伦推进，人球分过，梅方过来补防将球断下                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
23'长传上来，高拉特交给黄博文，塔利斯卡接应交给保利尼奥                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
23'保利尼奥分右侧，张琳芃传后点，王杰头球顶到半空                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
23'再回顶给张鹭                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
23'郑达伦右侧直传过不了黄博文                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
23'塔利斯卡得球分右侧的杨立瑜                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
23'塔利斯卡接应交给黄博文                   20'领先后的恒大继续主动前压，控球运转有所增多，而权健仍保持以回缩防守为主的打法，比赛20分钟后恒大控球率已接近65%
32'权敬源直传，孙可背身拿球，被杨立瑜抢断                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
32'黄博文转移给左侧的邹正                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
32'直传，高拉特回传给保利尼奥                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
32'交给黄博文                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
32'交给杨立瑜                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
32'突破受阻                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
33'但后边有张琳芃，高速带球到右肋部传中                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
33'高拉特头球顶偏了                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
33'于汉超左侧直传，被权敬源断下                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
33'权敬源带球过了半场，直传，传得比较盲目                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
33'回复：用户1651060437 20:06 举报回复 谁进球了？（保利尼奥）                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
34'张成林右路插上倒三角传中，裴帅将球踢出边线                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
34'张琳芃掷界外球                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
34'梅方得球交给保利尼奥                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
34'交给冯潇霆，分左侧的邹正，直传交给高拉特                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
34'传中，张诚安全起见将球顶出底线                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
34'恒大左路的角球机会                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
35'于汉超发到门前，权敬源头球解围                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
35'裁判认为于汉超发角球时球已经出底线                   32'第32分钟，杨立瑜右路突破受阻，张琳芃迅速接应继续突破，人球分过后快速传中，高拉特头球顶偏
39'塔利斯卡交给保利尼奥，高拉特接应                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
39'交给张琳芃                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
39'塔利斯卡来到右路                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
39'回传给张琳芃                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
39'分左侧的邹正                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
39'杨立瑜做墙传球                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
39'邹正下底传中，塔利斯卡抢点头球攻门击地后反弹击中了横梁                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
40'张诚交给裴帅                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
40'交给张修维                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
40'转身交给裴帅                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
40'转移给了右侧的王杰                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
40'交给郑达伦，张修维接应交给王杰                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
40'交给吴伟，转移球直接踢出边线                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
41'张修维接应分给张诚                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
41'推进上来，下底传中                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
41'给大了，郑达伦得球                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
41'回做给赵旭日，挑传，传出底线                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
42'孙可前场铲翻了杨立瑜                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
42'孙可吃到黄牌                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
42'黄博文接应                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
42'交给左侧的邹正                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
42'回传给冯潇霆                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
42'直传交给于汉超，没有停好                   39'第39分钟，邹正左路前插传中，塔利斯卡头球打出反弹球，皮球弹地后击中横梁
52'交给赵旭日                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
52'再交给郑达伦                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
52'张修维做墙回传，郑达伦再带球被断了                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
52'邹正的长传，权敬源交越来越少 拿住                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
52'裴帅组织，分左侧，张诚传球被黄博文断下                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
52'高拉特交给塔利斯卡                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
52'分给套边上来的邹正                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
53'邹正地滚球传中，后卫与倒地的门将都漏了                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
53'张诚解围踢嗤了，踢给了点球点附近的高拉特脚下                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
53'高拉特推射球进！                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
53'广州恒大淘宝2：0领先天津权健！                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
53'郑达伦右路停球出了边线                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
54'回复：用户5247189497 20:44 举报回复 再进一个，稳了。（这球有点搞笑）                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
54'裴帅分右侧，赵旭日去追                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
54'被冯潇霆卡住身位，赵旭日推人犯规                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
55'邹正掷界外球                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
55'交给保利尼奥，横拔                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
55'高拉特再分给塔利斯卡                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
55'内切后左脚兜弧线，打偏了很多                   52'权健阵型有所前提，下半场开局阶段连续策动冲击，也加强了中前场逼抢，但恒大仍在第52分钟将比分扩大：邹正的左路传中被封堵后稍有折线，皮球在门前连续反弹，张诚低平球解围失误，高拉特小禁区线前施射破门，比分变为2-0
57'于汉超发后点漏了                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
57'保利尼奥背身停球转身抽射打进网顶！                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
58'于汉超发角球，中路都漏了，后点冯潇霆传中，保利尼奥停球转身抽射打进！                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
58'保利尼奥梅开二度                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
58'冯潇霆交给黄博文                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
58'保利尼奥接应                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
58'交给高拉特                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
58'转移给右侧的张琳芃                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
58'塔利斯卡拿球                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
58'交给弧顶的高拉特，再挑传                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
59'塔利斯卡停球大了，张鹭将球抱住                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
60'张修维挑球过人，有点盲目                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
60'冯潇霆回传给曾诚                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
60'交给塔利斯卡                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
60'交给保利尼奥，回给塔利斯卡                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
60'分右侧被张诚上抢成功                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
60'但横传回赠给塔利斯卡                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
60'交给保利尼奥，张诚铲倒了保利尼奥                   57'第57分钟，恒大再度入球：于汉超左侧角球直接传至禁区后点，冯潇霆扫传门前，保利尼奥停球调整后小角度破门，比分被迅速扩大为3-0
62'保利尼奥接应脚后跟传球，郜林前插                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
62'权敬源将球清出边线                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
62'塔利斯卡接应传到门前                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
62'高拉特鱼跃冲顶球进，不过裁判认为越位在先！                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
62'要看看var                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
63'天津权健换人，9号杨旭换下了38号孙可！                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
63'15号刘越换下了7号赵旭日                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
63'慢镜看刚才高拉特那球，是越位                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
64'权健获得一个左侧的任意球机会                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
64'张修维传门前，曾诚双拳击出                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
64'邹正补一脚踢到对方半场                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
64'张诚回传给张鹭，长传上来被冯潇霆顶出                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
64'郑达伦争第二点时拉倒了保利尼奥                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
65'保利尼奥分左侧的邹正                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
65'交给保利尼奥                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
65'高拉特接应交给郜林，郜林远射，打飞了                   62'第62分钟，塔利斯卡斜传禁区中路，高拉特以俯冲动作头球破门，但因越位被判无效
