4'邱盛炯有点受伤，接受治疗后继续比赛                   4'第4分钟辽宁队右路反击，詹姆斯中路接球时被破坏，奥里斯禁区外射门打偏
33'手机用户1141861812：咱亮亮哥怎么没上？徐亮！（徐亮周中足协杯受伤了）                   33'第33分钟辽宁队由詹姆斯策划进攻，金泰延拿球右路传中，奥里斯中路头球稍稍偏出
33'曹赟定右路和王长庆的配合，没有传中机会                   33'第33分钟辽宁队由詹姆斯策划进攻，金泰延拿球右路传中，奥里斯中路头球稍稍偏出
34'詹姆斯分右路，奥里斯接应传中头球顶偏！                   33'第33分钟辽宁队由詹姆斯策划进攻，金泰延拿球右路传中，奥里斯中路头球稍稍偏出
35'辽宁队换人，杨超声换下吴高俊                   33'第33分钟辽宁队由詹姆斯策划进攻，金泰延拿球右路传中，奥里斯中路头球稍稍偏出
35'郑凯木右路拿球，强行传中拿到角球                   33'第33分钟辽宁队由詹姆斯策划进攻，金泰延拿球右路传中，奥里斯中路头球稍稍偏出
36'丘陵也有海拔：杨超声来辽宁了?!主播你确定你发的是对的（他替补上来了这不是。。）                   33'第33分钟辽宁队由詹姆斯策划进攻，金泰延拿球右路传中，奥里斯中路头球稍稍偏出
36'曹赟定角球开中路，还是被张鹭先拿到                   33'第33分钟辽宁队由詹姆斯策划进攻，金泰延拿球右路传中，奥里斯中路头球稍稍偏出
36'比亚特里回防到左路底线前，把球解围                   33'第33分钟辽宁队由詹姆斯策划进攻，金泰延拿球右路传中，奥里斯中路头球稍稍偏出
39'奥里斯前场争顶，越位在先                   39'第39分钟恩里克带球从右路杀入禁区，丁海峰从侧铲球，恩里克就势倒地，裁判黄烨军没有任何表示
39'恩里克右路突入禁区，被丁海峰铲断                   39'第39分钟恩里克带球从右路杀入禁区，丁海峰从侧铲球，恩里克就势倒地，裁判黄烨军没有任何表示
40'用户3568301450：凯文隐身了?!（之前奉献了一次头球攻门）                   39'第39分钟恩里克带球从右路杀入禁区，丁海峰从侧铲球，恩里克就势倒地，裁判黄烨军没有任何表示
40'曹赟定右路传中去后点，被解围                   39'第39分钟恩里克带球从右路杀入禁区，丁海峰从侧铲球，恩里克就势倒地，裁判黄烨军没有任何表示
41'高迪受伤坐在地上                   39'第39分钟恩里克带球从右路杀入禁区，丁海峰从侧铲球，恩里克就势倒地，裁判黄烨军没有任何表示
41'互动问答：绿地申花和辽宁排名相差几位？ A：2，B：3                   39'第39分钟恩里克带球从右路杀入禁区，丁海峰从侧铲球，恩里克就势倒地，裁判黄烨军没有任何表示
42'申花换人了，高迪受伤被战怡麟换下                   39'第39分钟恩里克带球从右路杀入禁区，丁海峰从侧铲球，恩里克就势倒地，裁判黄烨军没有任何表示
42'王长庆右路内切，禁区前起左脚低射被张鹭扑住                   39'第39分钟恩里克带球从右路杀入禁区，丁海峰从侧铲球，恩里克就势倒地，裁判黄烨军没有任何表示
42'申花换人了，高迪受伤被战怡麟换下                   42'42分钟王长庆右路射门太正
42'王长庆右路内切，禁区前起左脚低射被张鹭扑住                   42'42分钟王长庆右路射门太正
43'战怡麟左路插上，越位在先                   42'42分钟王长庆右路射门太正
43'丁海峰左路出球被曹赟定绊倒                   42'42分钟王长庆右路射门太正
44'战怡麟左路让球转身被放倒，金泰延的犯规                   42'42分钟王长庆右路射门太正
45'张野中场防守拉人了                   42'42分钟王长庆右路射门太正
45'上半场补时2分钟！                   42'42分钟王长庆右路射门太正
45'郑凯木中场拿球被詹姆斯拉倒                   42'42分钟王长庆右路射门太正
46'王长庆回传门将，邱盛炯大脚开出                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
47'恩里克右路反越位插上，过掉门将横传                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
47'比亚特里推射被补门的后卫门线上挡出                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
48'申花进攻再来！！进球！！                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
48'比亚特里！！倒钩破门！！                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
48'恩里克外围拿球，再找机会，搓传后点，比亚特里飞身的倒钩爆射入网！                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
48'2-0！绿地申花领先！                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
48'辽宁队中场开球，裁判鸣哨结束上半场                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
48'上海绿地申花半场2-0领先辽宁宏运！                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
46'下半场比赛开始！                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
46'辽宁队中圈开球                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
46'詹姆斯左路强突，被破坏出边线                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
46'丁海峰左路起球去后点，大了，出底线                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
47'柏佳俊左路拿球内切，被破坏                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
48'杨超声右路横敲，詹姆斯的远射被邱盛炯扑住                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
48'恩里克插上，禁区前被金泰延拉倒                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
49'主裁没有第一时间示意，边裁提醒他，这是一个犯规                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
49'金泰延被红牌罚下了！                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
49'判罚没有问题，金泰延已经是除门将外的最后一名防守队员                   46'下半场刚开始1分钟，肇俊哲中路横拨，詹姆斯外围射门打得太正
52'保罗后场拿球，肇俊哲上抢把球铲出边线                   52'第52分钟辽宁队用王亮换下杨宇
53'申花左路配合被犯规，有利球被裁判吹掉                   52'第52分钟辽宁队用王亮换下杨宇
53'辽宁换人，王亮换下杨宇                   52'第52分钟辽宁队用王亮换下杨宇
54'杨超声右路防守犯规，放倒了战怡麟                   52'第52分钟辽宁队用王亮换下杨宇
54'范凌江任意球开后点，出了底线                   52'第52分钟辽宁队用王亮换下杨宇
55'肇俊哲中场拿球，被郑凯木跟防                   52'第52分钟辽宁队用王亮换下杨宇
60'辽宁队扳回一球，1-2落后绿地申花！                   60'第60分钟辽宁队再次换人，郑涛换下丁海峰
60'恩里克中路突破被肇俊哲绊倒，任意球                   60'第60分钟辽宁队再次换人，郑涛换下丁海峰
60'辽宁队换人，郑涛换下丁海峰                   60'第60分钟辽宁队再次换人，郑涛换下丁海峰
61'杨善平回传门将，张鹭把球转移另一场                   60'第60分钟辽宁队再次换人，郑涛换下丁海峰
62'辽宁队左路进攻，张野内切到禁区，王长庆防下                   60'第60分钟辽宁队再次换人，郑涛换下丁海峰
62'比亚特里拉到左路接应，球被破坏出边线                   60'第60分钟辽宁队再次换人，郑涛换下丁海峰
63'曹赟定禁区前拿球转身，射门被张鹭扑住                   60'第60分钟辽宁队再次换人，郑涛换下丁海峰
63'曹赟定禁区前拿球转身，射门被张鹭扑住                   63'第63分钟恩里克左路突破引发乱战，柏佳骏抽射打偏
64'战怡麟左路突破，传到禁区内，柏佳俊射门打偏                   63'第63分钟恩里克左路突破引发乱战，柏佳骏抽射打偏
66'恩里克中场拿球，脚后跟做给队友                   63'第63分钟恩里克左路突破引发乱战，柏佳骏抽射打偏
66'小马_44000：降级的节奏（10打11，还能扳回一个，不容易了）                   63'第63分钟恩里克左路突破引发乱战，柏佳骏抽射打偏
66'肇俊哲中场拿球，推身前丢了                   63'第63分钟恩里克左路突破引发乱战，柏佳骏抽射打偏
67'比亚特里回撤中场拿球，也没过去                   67'第67分钟詹姆斯左路拿球，他略微观察后起脚传到右侧，柏佳骏飞铲没有解围，杨超声得球后，面对邱盛炯轻巧推射，皮球钻入网窝，2比2，辽宁队扳平了比分
67'杨超声中路接队友横敲，射门打高                   67'第67分钟詹姆斯左路拿球，他略微观察后起脚传到右侧，柏佳骏飞铲没有解围，杨超声得球后，面对邱盛炯轻巧推射，皮球钻入网窝，2比2，辽宁队扳平了比分
68'恩里克禁区前拿球，晃开角度低射被扑住                   67'第67分钟詹姆斯左路拿球，他略微观察后起脚传到右侧，柏佳骏飞铲没有解围，杨超声得球后，面对邱盛炯轻巧推射，皮球钻入网窝，2比2，辽宁队扳平了比分
68'辽宁队再进一个！！                   67'第67分钟詹姆斯左路拿球，他略微观察后起脚传到右侧，柏佳骏飞铲没有解围，杨超声得球后，面对邱盛炯轻巧推射，皮球钻入网窝，2比2，辽宁队扳平了比分
68'杨超声！！！                   67'第67分钟詹姆斯左路拿球，他略微观察后起脚传到右侧，柏佳骏飞铲没有解围，杨超声得球后，面对邱盛炯轻巧推射，皮球钻入网窝，2比2，辽宁队扳平了比分
69'詹姆斯斜传右路身后，杨超声抢在柏佳俊前拿到球进禁区，面对邱盛炯推远角破门！                   67'第67分钟詹姆斯左路拿球，他略微观察后起脚传到右侧，柏佳骏飞铲没有解围，杨超声得球后，面对邱盛炯轻巧推射，皮球钻入网窝，2比2，辽宁队扳平了比分
69'2-2！！！辽宁队连追2个！                   67'第67分钟詹姆斯左路拿球，他略微观察后起脚传到右侧，柏佳骏飞铲没有解围，杨超声得球后，面对邱盛炯轻巧推射，皮球钻入网窝，2比2，辽宁队扳平了比分
69'曹赟定右路传中，被头球解围                   67'第67分钟詹姆斯左路拿球，他略微观察后起脚传到右侧，柏佳骏飞铲没有解围，杨超声得球后，面对邱盛炯轻巧推射，皮球钻入网窝，2比2，辽宁队扳平了比分
76'用户5130799965：郁闷，这是什么节奏（还记得当年，申花多一人，和辽宁打成4-4。。）                   76'第76分钟辽宁队险些反超比分，王亮右路传中，奥里斯头球攻门，被邱盛炯在门线上把球扑住
76'詹姆斯中场断球，曹秉局一对一把球防下                   76'第76分钟辽宁队险些反超比分，王亮右路传中，奥里斯头球攻门，被邱盛炯在门线上把球扑住
77'王亮右路传中，奥里斯后点头球攻门被邱盛炯扑住！                   76'第76分钟辽宁队险些反超比分，王亮右路传中，奥里斯头球攻门，被邱盛炯在门线上把球扑住
77'詹姆斯抽筋倒地了                   76'第76分钟辽宁队险些反超比分，王亮右路传中，奥里斯头球攻门，被邱盛炯在门线上把球扑住
78'比赛继续，申花的进攻                   76'第76分钟辽宁队险些反超比分，王亮右路传中，奥里斯头球攻门，被邱盛炯在门线上把球扑住
78'王飞右路插上，接应队友挑传，没能在球出底线前拿到                   76'第76分钟辽宁队险些反超比分，王亮右路传中，奥里斯头球攻门，被邱盛炯在门线上把球扑住
78'詹姆斯回到场上                   76'第76分钟辽宁队险些反超比分，王亮右路传中，奥里斯头球攻门，被邱盛炯在门线上把球扑住
79'郑凯木分左路，曹赟定传中去后点，出底线                   76'第76分钟辽宁队险些反超比分，王亮右路传中，奥里斯头球攻门，被邱盛炯在门线上把球扑住
79'裁判口头警告了拖延时间的张鹭                   76'第76分钟辽宁队险些反超比分，王亮右路传中，奥里斯头球攻门，被邱盛炯在门线上把球扑住
79'郑凯木分左路，曹赟定传中去后点，出底线                   79'第79分钟比亚特里25米外远射打偏
79'裁判口头警告了拖延时间的张鹭                   79'第79分钟比亚特里25米外远射打偏
80'比亚特里禁区外拿球，远射打偏                   79'第79分钟比亚特里25米外远射打偏
81'手机用户2336558117：邱盛炯的实力影响球队（要不是刚刚邱盛炯扑的那个头球，就被反超了。。）                   79'第79分钟比亚特里25米外远射打偏
81'申花进球了！！！                   79'第79分钟比亚特里25米外远射打偏
81'比亚特里！！！                   79'第79分钟比亚特里25米外远射打偏
82'曹赟定左路下底倒三角传回，比亚特里点球点前调整一步，抽射打进！！！                   79'第79分钟比亚特里25米外远射打偏
82'绿地申花3-2再次领先辽宁！                   79'第79分钟比亚特里25米外远射打偏
87'辽宁队显得有些体力不支了                   87'第87分钟王飞越位被吹后把球一脚踢开，结果吃到黄牌
87'王飞插上处在了越位位置上                   87'第87分钟王飞越位被吹后把球一脚踢开，结果吃到黄牌
87'裁判鸣哨后，王飞把球踢开                   87'第87分钟王飞越位被吹后把球一脚踢开，结果吃到黄牌
87'王飞被黄牌警告！                   87'第87分钟王飞越位被吹后把球一脚踢开，结果吃到黄牌
88'互动问答：还会有进球到来吗？[qiangda]                   87'第87分钟王飞越位被吹后把球一脚踢开，结果吃到黄牌
88'恩里克右路拿球突破，传回禁区前，比亚特里远射打高                   87'第87分钟王飞越位被吹后把球一脚踢开，结果吃到黄牌
89'曹赟定抽筋倒地了                   87'第87分钟王飞越位被吹后把球一脚踢开，结果吃到黄牌
90'两腿抽筋，今天曹赟定拼尽了全力                   87'第87分钟王飞越位被吹后把球一脚踢开，结果吃到黄牌
90'下半场补时3分钟                   87'第87分钟王飞越位被吹后把球一脚踢开，结果吃到黄牌
90'Yao蛤蜊：加油申花（撑住最后几分钟）                   87'第87分钟王飞越位被吹后把球一脚踢开，结果吃到黄牌
91'申花换人，李文博换下了曹赟定                   91'第91分钟柏佳骏防守犯规吃到黄牌，接着柏佳骏抽筋被抬出场，但辽宁队要罚角球，柏佳骏挣扎回到场内，王亮开出角球，跑到申花禁区的张鹭头球攻门打偏
91'恩里克中场摆脱过人                   91'第91分钟柏佳骏防守犯规吃到黄牌，接着柏佳骏抽筋被抬出场，但辽宁队要罚角球，柏佳骏挣扎回到场内，王亮开出角球，跑到申花禁区的张鹭头球攻门打偏
91'禁区前恩里克还想再过，没成功                   91'第91分钟柏佳骏防守犯规吃到黄牌，接着柏佳骏抽筋被抬出场，但辽宁队要罚角球，柏佳骏挣扎回到场内，王亮开出角球，跑到申花禁区的张鹭头球攻门打偏
91'比亚特里分右路，王飞回敲                   91'第91分钟柏佳骏防守犯规吃到黄牌，接着柏佳骏抽筋被抬出场，但辽宁队要罚角球，柏佳骏挣扎回到场内，王亮开出角球，跑到申花禁区的张鹭头球攻门打偏
92'王亮分右路，拿到一个边线球                   91'第91分钟柏佳骏防守犯规吃到黄牌，接着柏佳骏抽筋被抬出场，但辽宁队要罚角球，柏佳骏挣扎回到场内，王亮开出角球，跑到申花禁区的张鹭头球攻门打偏
93'柏佳俊也抽筋倒地                   91'第91分钟柏佳骏防守犯规吃到黄牌，接着柏佳骏抽筋被抬出场，但辽宁队要罚角球，柏佳骏挣扎回到场内，王亮开出角球，跑到申花禁区的张鹭头球攻门打偏
93'被担架抬下去了                   91'第91分钟柏佳骏防守犯规吃到黄牌，接着柏佳骏抽筋被抬出场，但辽宁队要罚角球，柏佳骏挣扎回到场内，王亮开出角球，跑到申花禁区的张鹭头球攻门打偏
93'战怡麟解围，给了辽宁队一个角球                   91'第91分钟柏佳骏防守犯规吃到黄牌，接着柏佳骏抽筋被抬出场，但辽宁队要罚角球，柏佳骏挣扎回到场内，王亮开出角球，跑到申花禁区的张鹭头球攻门打偏
93'王亮角球开中路，张鹭也上来了，头球顶高                   91'第91分钟柏佳骏防守犯规吃到黄牌，接着柏佳骏抽筋被抬出场，但辽宁队要罚角球，柏佳骏挣扎回到场内，王亮开出角球，跑到申花禁区的张鹭头球攻门打偏
94'邱盛炯被裁判黄牌警告，拖延时间                   91'第91分钟柏佳骏防守犯规吃到黄牌，接着柏佳骏抽筋被抬出场，但辽宁队要罚角球，柏佳骏挣扎回到场内，王亮开出角球，跑到申花禁区的张鹭头球攻门打偏
94'保罗后场大脚解围                   91'第91分钟柏佳骏防守犯规吃到黄牌，接着柏佳骏抽筋被抬出场，但辽宁队要罚角球，柏佳骏挣扎回到场内，王亮开出角球，跑到申花禁区的张鹭头球攻门打偏
