1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎
38'慢镜头回放显示，克罗斯开任意球之前，佩佩和拉莫斯都处于越位位置，超出半个身位                   36'第36分钟，拉莫斯任意球混战中近距离破门，但佩佩越位在先，进球被判无效
39'马塞洛左路拿球，强突后的传中到后点！！                   36'第36分钟，拉莫斯任意球混战中近距离破门，但佩佩越位在先，进球被判无效
39'可惜莫德里奇速度慢了点，球直接出了边线！！                   36'第36分钟，拉莫斯任意球混战中近距离破门，但佩佩越位在先，进球被判无效
44'克里希左路拿球，面对卡瓦哈尔的逼抢，横传费尔南迪奥                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
44'费尔南迪奥再回传后场给曼加拉！！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
45'曼加拉给到纳瓦斯，纳瓦斯再给德布劳内                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
45'德布劳内斜传禁区左上角给费尔南迪奥                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
45'费尔南迪奥停球一扣，闪开控制，低射打近角，差之毫厘啊！！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
45'这是曼城上半场机会最好的一次射门！！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
46'克罗斯后场和莫德里奇围抢，将球断掉                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
46'莫德里奇拿球到前场，分球中间给赫塞                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
46'赫塞斜传右路再给贝尔，贝尔的传中被曼加拉头球解围出边线！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
46'上半场比赛补时2分钟！！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
47'赫塞右侧角旗附近背身拿球，克里希逼抢                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
47'卡瓦哈尔上来，起脚传中，被补防的奥塔门迪解围出底线！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
47'皇马右侧角球机会，克罗斯主罚！！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
47'角球开出到禁区，拉莫斯的头球，被曼城球员碰出底线！！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
46'下半场比赛开始！！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
46'白衣白裤的皇马开球，从画面的右侧向左进攻！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
46'克罗斯后场拿球，强突到前场，分球左侧给赫塞                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
47'赫塞面对萨尼亚，内切不成，选择回传再给克罗斯                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
47'克罗斯转移球到右侧给上来的卡瓦哈尔                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
47'卡瓦哈尔停球横传门前，曼加拉抢在C罗之前倒地解围！！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
47'卡瓦哈尔拿球准备再传，主裁判鸣哨，原来之前C罗已经越位！！                   44'曼城第44分钟险些扳平，德布劳内传球，费尔南迪尼奥左路禁区边缘劲射打中立柱外侧弹出
52'佩佩后场拿球，直塞给伊斯科                   52'皇马第52分钟错失良机，贝尔右路斜传，反越位成功的摩德里奇小禁区前单刀捅射被乔-哈特出击挡出
52'伊斯科背身拿球没机会，回传佩佩                   52'皇马第52分钟错失良机，贝尔右路斜传，反越位成功的摩德里奇小禁区前单刀捅射被乔-哈特出击挡出
52'佩佩再给莫德里奇，莫德里奇分球右侧给卡瓦哈尔                   52'皇马第52分钟错失良机，贝尔右路斜传，反越位成功的摩德里奇小禁区前单刀捅射被乔-哈特出击挡出
53'卡瓦哈尔直塞给贝尔，贝尔内切后搓传打身后                   52'皇马第52分钟错失良机，贝尔右路斜传，反越位成功的摩德里奇小禁区前单刀捅射被乔-哈特出击挡出
53'莫德里奇反越位成功，面对出击的乔哈特，挑射，被后者挡出底线！                   52'皇马第52分钟错失良机，贝尔右路斜传，反越位成功的摩德里奇小禁区前单刀捅射被乔-哈特出击挡出
53'非常好的一次机会，乔哈特立功啦！！                   52'皇马第52分钟错失良机，贝尔右路斜传，反越位成功的摩德里奇小禁区前单刀捅射被乔-哈特出击挡出
53'皇马右侧角球机会，并未形成威胁！！                   52'皇马第52分钟错失良机，贝尔右路斜传，反越位成功的摩德里奇小禁区前单刀捅射被乔-哈特出击挡出
54'德布劳内前场中路拿球，分球右侧给赫苏斯-纳瓦斯                   52'皇马第52分钟错失良机，贝尔右路斜传，反越位成功的摩德里奇小禁区前单刀捅射被乔-哈特出击挡出
54'赫苏斯-纳瓦斯右边路传中球，被佩佩大脚解围                   52'皇马第52分钟错失良机，贝尔右路斜传，反越位成功的摩德里奇小禁区前单刀捅射被乔-哈特出击挡出
54'萨尼亚外围拿球，再找亚亚-图雷，传大，出界！                   52'皇马第52分钟错失良机，贝尔右路斜传，反越位成功的摩德里奇小禁区前单刀捅射被乔-哈特出击挡出
55'皇马前场再攻，卡瓦哈尔右路强突下底，传中到门前                   52'皇马第52分钟错失良机，贝尔右路斜传，反越位成功的摩德里奇小禁区前单刀捅射被乔-哈特出击挡出
64'曼加拉抢在C罗之前倒地拦截，球还在C罗脚下！                   64'第64分钟，贝尔角球混战中小禁区前头球攻门击中横梁弹回，佩佩禁区右侧传中，越位位置的C罗用扣篮动作将皮球打入球门，裁判对他口头警告
64'C罗的远射，打在防守球员身上出底线！                   64'第64分钟，贝尔角球混战中小禁区前头球攻门击中横梁弹回，佩佩禁区右侧传中，越位位置的C罗用扣篮动作将皮球打入球门，裁判对他口头警告
65'皇马的角球机会，开出到禁区，第一点被曼城球员解围！！                   64'第64分钟，贝尔角球混战中小禁区前头球攻门击中横梁弹回，佩佩禁区右侧传中，越位位置的C罗用扣篮动作将皮球打入球门，裁判对他口头警告
65'巴斯克斯右路拿球再传，C罗抢点越位在先！！                   64'第64分钟，贝尔角球混战中小禁区前头球攻门击中横梁弹回，佩佩禁区右侧传中，越位位置的C罗用扣篮动作将皮球打入球门，裁判对他口头警告
66'之前贝尔禁区内的一次头球，击中横梁弹出！！                   64'第64分钟，贝尔角球混战中小禁区前头球攻门击中横梁弹回，佩佩禁区右侧传中，越位位置的C罗用扣篮动作将皮球打入球门，裁判对他口头警告
67'曼加拉后场拿球，横传奥塔门迪                   64'第64分钟，贝尔角球混战中小禁区前头球攻门击中横梁弹回，佩佩禁区右侧传中，越位位置的C罗用扣篮动作将皮球打入球门，裁判对他口头警告
67'奥塔门迪过顶球找前场的德布劳内                   64'第64分钟，贝尔角球混战中小禁区前头球攻门击中横梁弹回，佩佩禁区右侧传中，越位位置的C罗用扣篮动作将皮球打入球门，裁判对他口头警告
67'德布劳内连停带过，没能成功，球被拉莫斯拦截！                   64'第64分钟，贝尔角球混战中小禁区前头球攻门击中横梁弹回，佩佩禁区右侧传中，越位位置的C罗用扣篮动作将皮球打入球门，裁判对他口头警告
