3'皇家社会长传打身后                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
13'前点奥雅萨巴尔推射没有打上力量啊                   13'皇家社会第13分钟险些破门，纳瓦斯左路传中，奥雅萨巴尔小禁区边缘推射被特尔施特根扑出
14'特尔施特根近门柱将球封出                   13'皇家社会第13分钟险些破门，纳瓦斯左路传中，奥雅萨巴尔小禁区边缘推射被特尔施特根扑出
14'开场后皇家社会攻的很凶                   13'皇家社会第13分钟险些破门，纳瓦斯左路传中，奥雅萨巴尔小禁区边缘推射被特尔施特根扑出
15'梅西右路进攻上来                   13'皇家社会第13分钟险些破门，纳瓦斯左路传中，奥雅萨巴尔小禁区边缘推射被特尔施特根扑出
15'面对两人的防守                   13'皇家社会第13分钟险些破门，纳瓦斯左路传中，奥雅萨巴尔小禁区边缘推射被特尔施特根扑出
15'还是先将球回敲了回去                   13'皇家社会第13分钟险些破门，纳瓦斯左路传中，奥雅萨巴尔小禁区边缘推射被特尔施特根扑出
16'奥雅萨巴尔禁区外围停球后抽射                   13'皇家社会第13分钟险些破门，纳瓦斯左路传中，奥雅萨巴尔小禁区边缘推射被特尔施特根扑出
16'这球打得太正                   13'皇家社会第13分钟险些破门，纳瓦斯左路传中，奥雅萨巴尔小禁区边缘推射被特尔施特根扑出
16'巴萨左路送直塞                   13'皇家社会第13分钟险些破门，纳瓦斯左路传中，奥雅萨巴尔小禁区边缘推射被特尔施特根扑出
37'梅西！！                   37'巴萨第37分钟扩大比分，帕科禁区左侧脚后跟传球，苏亚雷斯小禁区前射门打在鲁利腿上弹出，梅西补射空门入网，2-0
38'比赛左路传球给到禁区，帕科脚后跟做球给到苏亚雷斯，苏亚雷斯前插到小禁区内推射被门将挡出，球正好落在了中路跟进的梅西脚下，梅西推射空门得分！！                   37'巴萨第37分钟扩大比分，帕科禁区左侧脚后跟传球，苏亚雷斯小禁区前射门打在鲁利腿上弹出，梅西补射空门入网，2-0
38'巴萨这边打得很轻松啊                   37'巴萨第37分钟扩大比分，帕科禁区左侧脚后跟传球，苏亚雷斯小禁区前射门打在鲁利腿上弹出，梅西补射空门入网，2-0
39'控球上巴萨是56%                   37'巴萨第37分钟扩大比分，帕科禁区左侧脚后跟传球，苏亚雷斯小禁区前射门打在鲁利腿上弹出，梅西补射空门入网，2-0
40'皇家社会左路起球送后点                   37'巴萨第37分钟扩大比分，帕科禁区左侧脚后跟传球，苏亚雷斯小禁区前射门打在鲁利腿上弹出，梅西补射空门入网，2-0
40'队友滑铲没有碰到球                   37'巴萨第37分钟扩大比分，帕科禁区左侧脚后跟传球，苏亚雷斯小禁区前射门打在鲁利腿上弹出，梅西补射空门入网，2-0
40'苏亚雷斯中场上抢犯规                   37'巴萨第37分钟扩大比分，帕科禁区左侧脚后跟传球，苏亚雷斯小禁区前射门打在鲁利腿上弹出，梅西补射空门入网，2-0
44'皇家社会起球送禁区并没有解围远，马丁内斯接球后到底线，横扫门前打在乌姆蒂蒂身上弹入球门！！                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
44'3-1！！！                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
44'帕科！！                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
45'巴萨前场中路拿球，梅西分球给到禁区，帕科带球领了一步后推射远角破门！！                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
46'皇家社会左路起球送身后                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
46'赫塞将球先解围出来                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
46'3-2！！！                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
47'普列托！！！                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
47'皇家社会左路起球送禁区，普列托跟进直接推射破门！！                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
46'下半场比赛开始！！                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
46'下半场比赛由巴萨来开球                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
47'巴萨右路做撞墙配合                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
47'右路起球送禁区                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
47'没有传出来                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
47'皇家社会这边反击的机会                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
47'边路推进到底线                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
47'没有传出来                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
47'巴萨这边防守还是很严密的                   44'巴萨第44分钟拉开差距，梅西传球，帕科禁区左肋10码处射入远角，3-1
