5'曹赟定左路连续变向摆脱防守，直接起球传中，禁区内的法图斯倒地解围                   5'第5分钟莫雷诺右路禁区得球，他连续摆脱对方两名队员拦截，可惜最后射门太正
77'智诚中场断球反击，耶拉维奇弧顶接球低射偏出                   77'第77分钟贵州队用常飞亚换下王帆
77'申花角球开出来，直接出了边线                   77'第77分钟贵州队用常飞亚换下王帆
78'智诚换人，常飞亚替下王帆                   77'第77分钟贵州队用常飞亚换下王帆
79'耶拉维奇分球右侧，卡斯特罗禁区右侧接球摆脱防守抽射近角，被李帅扑出底线                   77'第77分钟贵州队用常飞亚换下王帆
80'范云龙角球开后点，被申花顶出去                   77'第77分钟贵州队用常飞亚换下王帆
80'范云龙角球开后点，被申花顶出去                   80'第80分钟常飞亚左路突破后送球，卡斯特罗近门射门被挡
81'常飞亚左路内切摆脱后倒三角，卡斯特罗接球打门被封堵                   80'第80分钟常飞亚左路突破后送球，卡斯特罗近门射门被挡
82'贵州恒丰球员禁区内争顶犯规                   80'第80分钟常飞亚左路突破后送球，卡斯特罗近门射门被挡
82'耶拉维奇前场突破，手球犯规了                   80'第80分钟常飞亚左路突破后送球，卡斯特罗近门射门被挡
83'毛剑卿右路突破造了犯规                   80'第80分钟常飞亚左路突破后送球，卡斯特罗近门射门被挡
86'张璐被红牌罚出去了                   85'第85分钟刚刚出场的张璐双腿把苏亚雷斯铲得飞起，张璐直接吃到红牌被罚出
87'张璐前场拼抢飞铲放倒苏亚雷斯吃到了红牌，被罚出场                   85'第85分钟刚刚出场的张璐双腿把苏亚雷斯铲得飞起，张璐直接吃到红牌被罚出
88'智诚换人，伊明江替下范云龙                   85'第85分钟刚刚出场的张璐双腿把苏亚雷斯铲得飞起，张璐直接吃到红牌被罚出
88'智诚换人，伊明江替下范云龙                   88'第88分钟李运秋在曼萨诺面前把伊明江撞翻在地，两队爆发口舌之争
90'李运秋后场干倒了伊明江                   88'第88分钟李运秋在曼萨诺面前把伊明江撞翻在地，两队爆发口舌之争
90'曼萨诺对李运秋很不满啊，曹赟定过来和曼萨诺产生了口角                   88'第88分钟李运秋在曼萨诺面前把伊明江撞翻在地，两队爆发口舌之争
91'下半场补时5分钟                   88'第88分钟李运秋在曼萨诺面前把伊明江撞翻在地，两队爆发口舌之争
91'下半场补时5分钟                   91'第91分钟贵州队打出成功反击，伊明江右路带球到禁区前沿，观察片刻后他送球，卡斯特罗接力而上，先快速过掉金基熙，再抢在毕津浩拦截之前抢射上角得分，2比0，贵州队领先
92'曹赟定中场断球打过顶，被苏渤洋拿到                   91'第91分钟贵州队打出成功反击，伊明江右路带球到禁区前沿，观察片刻后他送球，卡斯特罗接力而上，先快速过掉金基熙，再抢在毕津浩拦截之前抢射上角得分，2比0，贵州队领先
92'进球了                   91'第91分钟贵州队打出成功反击，伊明江右路带球到禁区前沿，观察片刻后他送球，卡斯特罗接力而上，先快速过掉金基熙，再抢在毕津浩拦截之前抢射上角得分，2比0，贵州队领先
93'伊明江禁区右侧横敲，卡斯特罗跟进趟过防守，抢在李帅扑球之前搓射入网                   91'第91分钟贵州队打出成功反击，伊明江右路带球到禁区前沿，观察片刻后他送球，卡斯特罗接力而上，先快速过掉金基熙，再抢在毕津浩拦截之前抢射上角得分，2比0，贵州队领先
