2'威廉前场拿球，左路内切后横传中间想找拉米雷斯                   2'开场仅2分钟，布拉希米20码处左脚劲射被贝戈维奇没收
42'卡希尔被主裁判出示了黄牌警告！！！                   39'波尔图第39分钟取得领先，因布拉传球，布拉希米切入禁区左侧劲射被贝戈维奇勉强扑出，安德列10码处凌空扫射入网
42'波尔图中圈位置的任意球，直接吊门，吊偏，出了底线                   39'波尔图第39分钟取得领先，因布拉传球，布拉希米切入禁区左侧劲射被贝戈维奇勉强扑出，安德列10码处凌空扫射入网
52'波尔图主帅稍有不满，主裁判走到场边，口头警告，波尔图主帅拉着主裁耳语几句，有意思啊                   52'波尔图第52分钟再次领先，内维斯开出角球，麦孔前点抢在拉米雷斯之前小角度头球顶入近角，2-1
52'威廉的任意球攻门，打偏                   52'波尔图第52分钟再次领先，内维斯开出角球，麦孔前点抢在拉米雷斯之前小角度头球顶入近角，2-1
52'波尔图前场进攻，再次获得左侧角球机会                   52'波尔图第52分钟再次领先，内维斯开出角球，麦孔前点抢在拉米雷斯之前小角度头球顶入近角，2-1
53'2-1！！！波尔图再进一个！！                   52'波尔图第52分钟再次领先，内维斯开出角球，麦孔前点抢在拉米雷斯之前小角度头球顶入近角，2-1
53'麦孔前点甩头攻门，顶进近角！！！                   52'波尔图第52分钟再次领先，内维斯开出角球，麦孔前点抢在拉米雷斯之前小角度头球顶入近角，2-1
54'内维斯角球开出到前点，麦孔突然一个前插绕前，甩头攻门，顶进球门近角，角度很刁，贝戈维奇鞭长莫及！！！                   52'波尔图第52分钟再次领先，内维斯开出角球，麦孔前点抢在拉米雷斯之前小角度头球顶入近角，2-1
54'切尔西的进攻，科斯塔的怒射，击中横梁弹出！！！                   52'波尔图第52分钟再次领先，内维斯开出角球，麦孔前点抢在拉米雷斯之前小角度头球顶入近角，2-1
55'卡西为了感谢，转身拍拍身后的球门！！！                   52'波尔图第52分钟再次领先，内维斯开出角球，麦孔前点抢在拉米雷斯之前小角度头球顶入近角，2-1
81'这球艾姆布拉带球，先是一扣摆脱小法，再趟过上抢的伊万，最后过掉上来的马蒂奇，准备加速，被拉住了                   81'波尔图第81分钟险些锁定胜局，开出角球，达尼洛前点头球攻门击中远角立柱弹回，倒地贝戈维奇及时单手拨出
81'波尔图再次换人：21号拉云上，换下20号安德烈                   81'波尔图第81分钟险些锁定胜局，开出角球，达尼洛前点头球攻门击中远角立柱弹回，倒地贝戈维奇及时单手拨出
81'波尔图前场进攻，赢得右侧角球机会                   81'波尔图第81分钟险些锁定胜局，开出角球，达尼洛前点头球攻门击中远角立柱弹回，倒地贝戈维奇及时单手拨出
82'角球开出到前点，达尼洛甩头攻门，被贝戈维奇封堵，击中立柱弹出                   81'波尔图第81分钟险些锁定胜局，开出角球，达尼洛前点头球攻门击中远角立柱弹回，倒地贝戈维奇及时单手拨出
82'阿扎尔中场拿球，达尼洛回防身后拉人犯规                   81'波尔图第81分钟险些锁定胜局，开出角球，达尼洛前点头球攻门击中远角立柱弹回，倒地贝戈维奇及时单手拨出
82'达尼洛被主裁判出示了黄牌警告！！！                   81'波尔图第81分钟险些锁定胜局，开出角球，达尼洛前点头球攻门击中远角立柱弹回，倒地贝戈维奇及时单手拨出
83'控球率方面，下半场切尔西绝对优势领先，目前切尔西64%对上波尔图36%                   81'波尔图第81分钟险些锁定胜局，开出角球，达尼洛前点头球攻门击中远角立柱弹回，倒地贝戈维奇及时单手拨出
84'阿布巴卡尔前场背身拿球，祖玛身后放铲，双双倒地                   81'波尔图第81分钟险些锁定胜局，开出角球，达尼洛前点头球攻门击中远角立柱弹回，倒地贝戈维奇及时单手拨出
84'裁判没有表示，切尔西的反击                   81'波尔图第81分钟险些锁定胜局，开出角球，达尼洛前点头球攻门击中远角立柱弹回，倒地贝戈维奇及时单手拨出
94'哎呀，近在咫尺的射门，竟然打偏啦                   93'第93分钟，迭戈-科斯塔强突禁区射门被挡，肯尼迪跟进再射又被挡出
