1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎
43'埃姆雷-詹这边先犯规                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
94'送直塞到禁区                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
94'最后的打门将球打高了                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
94'比赛还有最后一分钟！！                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
94'斯旺西的球迷准备要提前庆祝了                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
94'斯旺西后场界外球                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
94'掷球进来                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
94'利物浦这边抢断                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
94'右路起球送禁区                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
95'法比安斯基将球得到                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
95'利物浦中场大范围转移                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
95'左路挑传送后点                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
95'无人看防啊！！！                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
95'菲尔米诺头球攻门击中了立柱！！！！                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
96'球弹下来再打                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
96'又是稍稍高出横梁                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
96'裁判给了利物浦角球机会                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
96'卡里乌斯也来到对方禁区                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
96'角球开出                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
96'落点并不好啊                   94'第94分钟，菲尔米诺近距离头球攻门击中左侧立柱弹回，拉拉纳近距离射门被封堵
