2'舜天前场传球失误                   2'开场第2分钟，贵州人和完成第一次射门，纳诺禁区外跟进一脚重炮攻门球高出横梁
15'30米，人和的任意球被人墙挡出                   13'第13分钟，纳诺在防守时阻挡达纳拉赫，舜天获得前场任意球机会，巴力开出任意球达纳拉赫抢点头球攻门，但主裁判鸣哨示意达纳拉赫犯规在线
16'舜天长传打到前场                   13'第13分钟，纳诺在防守时阻挡达纳拉赫，舜天获得前场任意球机会，巴力开出任意球达纳拉赫抢点头球攻门，但主裁判鸣哨示意达纳拉赫犯规在线
16'舜天长传打到前场                   16'舜天第16分钟获得破门良机，巴力轻巧过人随后送出精妙直塞，吴曦的停球有失水准，舜天错过3打1机会
17'形成了3打1！！                   16'舜天第16分钟获得破门良机，巴力轻巧过人随后送出精妙直塞，吴曦的停球有失水准，舜天错过3打1机会
17'吴曦停球没有领好啊！！                   16'舜天第16分钟获得破门良机，巴力轻巧过人随后送出精妙直塞，吴曦的停球有失水准，舜天错过3打1机会
18'吴曦前场转移，结果跟巴力配合失误                   16'舜天第16分钟获得破门良机，巴力轻巧过人随后送出精妙直塞，吴曦的停球有失水准，舜天错过3打1机会
48'禁区外围，邓卓翔的远射没有发上力                   48'3分钟后，舜天后卫周云在解围对手直塞球时险些自摆乌龙，好在邓小飞及时跃起将球摘下
48'刘建业中场铲球放倒了杨一虎                   48'3分钟后，舜天后卫周云在解围对手直塞球时险些自摆乌龙，好在邓小飞及时跃起将球摘下
48'人和队任意球送到禁区内                   48'3分钟后，舜天后卫周云在解围对手直塞球时险些自摆乌龙，好在邓小飞及时跃起将球摘下
48'舜天队鱼跃冲顶将球解围                   48'3分钟后，舜天后卫周云在解围对手直塞球时险些自摆乌龙，好在邓小飞及时跃起将球摘下
49'杨一虎前场接球滑倒了                   48'3分钟后，舜天后卫周云在解围对手直塞球时险些自摆乌龙，好在邓小飞及时跃起将球摘下
50'周云后场于海的时候犯规                   48'3分钟后，舜天后卫周云在解围对手直塞球时险些自摆乌龙，好在邓小飞及时跃起将球摘下
51'这个球稍显牵强                   48'3分钟后，舜天后卫周云在解围对手直塞球时险些自摆乌龙，好在邓小飞及时跃起将球摘下
51'人和队任意球送禁区内                   48'3分钟后，舜天后卫周云在解围对手直塞球时险些自摆乌龙，好在邓小飞及时跃起将球摘下
51'球在前点就被舜天队头球解围                   48'3分钟后，舜天后卫周云在解围对手直塞球时险些自摆乌龙，好在邓小飞及时跃起将球摘下
31'上半场比赛过了30分钟，场上的比分还是0-0                   31'第31分钟，贵州人和反击中拉法妙传高速前插的曲波，曲波在和埃雷尔森争球时倒地，裁判示意比赛继续
31'舜天队这边在前场把握机会上，还是不够稳定                   31'第31分钟，贵州人和反击中拉法妙传高速前插的曲波，曲波在和埃雷尔森争球时倒地，裁判示意比赛继续
32'贵州人和禁区弧顶塞球到了禁区内                   31'第31分钟，贵州人和反击中拉法妙传高速前插的曲波，曲波在和埃雷尔森争球时倒地，裁判示意比赛继续
32'曲波插上后摔倒了                   31'第31分钟，贵州人和反击中拉法妙传高速前插的曲波，曲波在和埃雷尔森争球时倒地，裁判示意比赛继续
32'主裁判没有任何的表示                   31'第31分钟，贵州人和反击中拉法妙传高速前插的曲波，曲波在和埃雷尔森争球时倒地，裁判示意比赛继续
33'纳诺前场拿球，直接远射了，这球被挡了下来                   31'第31分钟，贵州人和反击中拉法妙传高速前插的曲波，曲波在和埃雷尔森争球时倒地，裁判示意比赛继续
33'贵州人和进球了！！                   31'第31分钟，贵州人和反击中拉法妙传高速前插的曲波，曲波在和埃雷尔森争球时倒地，裁判示意比赛继续
33'曲波！！                   31'第31分钟，贵州人和反击中拉法妙传高速前插的曲波，曲波在和埃雷尔森争球时倒地，裁判示意比赛继续
34'贵州人和中场长传打到舜天禁区内，曲波反越位成功后，面对门将冷静推射将球打进！                   31'第31分钟，贵州人和反击中拉法妙传高速前插的曲波，曲波在和埃雷尔森争球时倒地，裁判示意比赛继续
43'舜天队中场拿球给到埃雷尔森                   42'第42分钟，舜天将球分至边路组织进攻，萨利及时将球头球顶出禁区
43'右路，舜天带球被断                   42'第42分钟，舜天将球分至边路组织进攻，萨利及时将球头球顶出禁区
43'中场附近，人和队也是失误了                   42'第42分钟，舜天将球分至边路组织进攻，萨利及时将球头球顶出禁区
43'舜天任意球送到小禁区前沿                   42'第42分钟，舜天将球分至边路组织进攻，萨利及时将球头球顶出禁区
44'队友头球摆渡下来，埃雷尔森第二点停了一下被于海干扰                   42'第42分钟，舜天将球分至边路组织进攻，萨利及时将球头球顶出禁区
44'吉翔左路禁区内接球，将球送出底线                   42'第42分钟，舜天将球分至边路组织进攻，萨利及时将球头球顶出禁区
45'巴力换到了左路                   42'第42分钟，舜天将球分至边路组织进攻，萨利及时将球头球顶出禁区
45'巴力左路传球送到禁区后点                   42'第42分钟，舜天将球分至边路组织进攻，萨利及时将球头球顶出禁区
45'队友头球摆渡下来被解围                   42'第42分钟，舜天将球分至边路组织进攻，萨利及时将球头球顶出禁区
45'禁区外围，舜天队的远射又是没有吃准部位                   42'第42分钟，舜天将球分至边路组织进攻，萨利及时将球头球顶出禁区
60'贵州人和换人，杨一虎下，李春郁上！                   60'经过15分钟的中场休息，两队开始了下半场的较量
60'达纳拉赫传球送到禁区内                   60'经过15分钟的中场休息，两队开始了下半场的较量
60'萨利赫接球后转身打门打高了！！                   60'经过15分钟的中场休息，两队开始了下半场的较量
60'今天达纳拉赫和萨利赫都不在状态上                   60'经过15分钟的中场休息，两队开始了下半场的较量
61'而达纳拉赫在复出后也是一直没有调整好比赛节奏                   60'经过15分钟的中场休息，两队开始了下半场的较量
61'埃雷尔森拼抢中受伤                   60'经过15分钟的中场休息，两队开始了下半场的较量
61'队医进场为其接受治疗                   60'经过15分钟的中场休息，两队开始了下半场的较量
62'舜天队前场获得任意球机会                   60'经过15分钟的中场休息，两队开始了下半场的较量
63'任意球送到禁区内，第一点被人和队顶了出来                   60'经过15分钟的中场休息，两队开始了下半场的较量
63'人和队前场右路带球突破被断                   60'经过15分钟的中场休息，两队开始了下半场的较量
63'达纳拉赫中场背身拿球造犯规                   60'经过15分钟的中场休息，两队开始了下半场的较量
53'陆博飞禁区弧顶拿球分球给到邓卓翔                   52'第52分钟，邓卓翔禁区弧顶处稍作调整起脚远射，球高出门楣
53'邓卓翔稍作调整，直接远射打高                   52'第52分钟，邓卓翔禁区弧顶处稍作调整起脚远射，球高出门楣
54'于海前场禁区内接球                   52'第52分钟，邓卓翔禁区弧顶处稍作调整起脚远射，球高出门楣
54'横向摆脱后远射打高                   52'第52分钟，邓卓翔禁区弧顶处稍作调整起脚远射，球高出门楣
54'于海自己也是显得很遗憾                   52'第52分钟，邓卓翔禁区弧顶处稍作调整起脚远射，球高出门楣
54'舜天队中场附近传球失误                   52'第52分钟，邓卓翔禁区弧顶处稍作调整起脚远射，球高出门楣
54'不过很快，舜天队将球反抢回来                   52'第52分钟，邓卓翔禁区弧顶处稍作调整起脚远射，球高出门楣
54'禁区前沿，萨利赫劲射打偏                   52'第52分钟，邓卓翔禁区弧顶处稍作调整起脚远射，球高出门楣
55'舜天队禁区弧顶传球送到左路                   52'第52分钟，邓卓翔禁区弧顶处稍作调整起脚远射，球高出门楣
59'贵州人和又进球了！！                   59'久攻不下的舜天在第59分钟再遭打击，于海右路传球舜天后卫在解围中忙中出错，球正好落到了埋伏在禁区内的曲波脚下，后者劲射梅开二度
59'又是曲波！！                   59'久攻不下的舜天在第59分钟再遭打击，于海右路传球舜天后卫在解围中忙中出错，球正好落到了埋伏在禁区内的曲波脚下，后者劲射梅开二度
59'于海右路传球送后点，舜天队解围没有打远，曲波快速插上劲射远角得分！                   59'久攻不下的舜天在第59分钟再遭打击，于海右路传球舜天后卫在解围中忙中出错，球正好落到了埋伏在禁区内的曲波脚下，后者劲射梅开二度
60'贵州人和换人，杨一虎下，李春郁上！                   59'久攻不下的舜天在第59分钟再遭打击，于海右路传球舜天后卫在解围中忙中出错，球正好落到了埋伏在禁区内的曲波脚下，后者劲射梅开二度
60'达纳拉赫传球送到禁区内                   59'久攻不下的舜天在第59分钟再遭打击，于海右路传球舜天后卫在解围中忙中出错，球正好落到了埋伏在禁区内的曲波脚下，后者劲射梅开二度
60'萨利赫接球后转身打门打高了！！                   59'久攻不下的舜天在第59分钟再遭打击，于海右路传球舜天后卫在解围中忙中出错，球正好落到了埋伏在禁区内的曲波脚下，后者劲射梅开二度
60'今天达纳拉赫和萨利赫都不在状态上                   59'久攻不下的舜天在第59分钟再遭打击，于海右路传球舜天后卫在解围中忙中出错，球正好落到了埋伏在禁区内的曲波脚下，后者劲射梅开二度
61'而达纳拉赫在复出后也是一直没有调整好比赛节奏                   59'久攻不下的舜天在第59分钟再遭打击，于海右路传球舜天后卫在解围中忙中出错，球正好落到了埋伏在禁区内的曲波脚下，后者劲射梅开二度
61'埃雷尔森拼抢中受伤                   59'久攻不下的舜天在第59分钟再遭打击，于海右路传球舜天后卫在解围中忙中出错，球正好落到了埋伏在禁区内的曲波脚下，后者劲射梅开二度
61'队医进场为其接受治疗                   59'久攻不下的舜天在第59分钟再遭打击，于海右路传球舜天后卫在解围中忙中出错，球正好落到了埋伏在禁区内的曲波脚下，后者劲射梅开二度
62'舜天队前场获得任意球机会                   59'久攻不下的舜天在第59分钟再遭打击，于海右路传球舜天后卫在解围中忙中出错，球正好落到了埋伏在禁区内的曲波脚下，后者劲射梅开二度
60'贵州人和换人，杨一虎下，李春郁上！                   60'两球落后的舜天在第60分钟与进球再次擦肩而过，萨利赫禁区内的转身射门球飞出底线
60'达纳拉赫传球送到禁区内                   60'两球落后的舜天在第60分钟与进球再次擦肩而过，萨利赫禁区内的转身射门球飞出底线
60'萨利赫接球后转身打门打高了！！                   60'两球落后的舜天在第60分钟与进球再次擦肩而过，萨利赫禁区内的转身射门球飞出底线
60'今天达纳拉赫和萨利赫都不在状态上                   60'两球落后的舜天在第60分钟与进球再次擦肩而过，萨利赫禁区内的转身射门球飞出底线
61'而达纳拉赫在复出后也是一直没有调整好比赛节奏                   60'两球落后的舜天在第60分钟与进球再次擦肩而过，萨利赫禁区内的转身射门球飞出底线
61'埃雷尔森拼抢中受伤                   60'两球落后的舜天在第60分钟与进球再次擦肩而过，萨利赫禁区内的转身射门球飞出底线
61'队医进场为其接受治疗                   60'两球落后的舜天在第60分钟与进球再次擦肩而过，萨利赫禁区内的转身射门球飞出底线
62'舜天队前场获得任意球机会                   60'两球落后的舜天在第60分钟与进球再次擦肩而过，萨利赫禁区内的转身射门球飞出底线
63'任意球送到禁区内，第一点被人和队顶了出来                   60'两球落后的舜天在第60分钟与进球再次擦肩而过，萨利赫禁区内的转身射门球飞出底线
63'人和队前场右路带球突破被断                   60'两球落后的舜天在第60分钟与进球再次擦肩而过，萨利赫禁区内的转身射门球飞出底线
63'达纳拉赫中场背身拿球造犯规                   60'两球落后的舜天在第60分钟与进球再次擦肩而过，萨利赫禁区内的转身射门球飞出底线
76'邓卓翔准备接球，结果被前点的队友晃了一下                   76'第76分钟，吉翔连续带球中路闪开空档，孙继海倒地暴铲将吉翔放倒
76'贵州人和后场传球失误了                   76'第76分钟，吉翔连续带球中路闪开空档，孙继海倒地暴铲将吉翔放倒
76'吉翔抢断成功后带球到了禁区弧顶                   76'第76分钟，吉翔连续带球中路闪开空档，孙继海倒地暴铲将吉翔放倒
77'准备射门的时候被孙继海凶狠放倒                   76'第76分钟，吉翔连续带球中路闪开空档，孙继海倒地暴铲将吉翔放倒
77'孙继海也是得到一张黄牌！                   76'第76分钟，吉翔连续带球中路闪开空档，孙继海倒地暴铲将吉翔放倒
77'舜天队这个任意球的位置还是不错的                   76'第76分钟，吉翔连续带球中路闪开空档，孙继海倒地暴铲将吉翔放倒
77'邓卓翔任意球起左脚打门，球被张烈侧身扑出                   76'第76分钟，吉翔连续带球中路闪开空档，孙继海倒地暴铲将吉翔放倒
78'舜天队角球开出，落点不好                   76'第76分钟，吉翔连续带球中路闪开空档，孙继海倒地暴铲将吉翔放倒
79'贵州人和现在也是不着急进攻了                   76'第76分钟，吉翔连续带球中路闪开空档，孙继海倒地暴铲将吉翔放倒
79'舜天队前场断球，达纳拉赫带球自己有些乱                   76'第76分钟，吉翔连续带球中路闪开空档，孙继海倒地暴铲将吉翔放倒
79'人和队左路传球送到禁区内                   76'第76分钟，吉翔连续带球中路闪开空档，孙继海倒地暴铲将吉翔放倒
80'队友的射门被塔吉耶夫挡了一下高出横梁                   80'第80分钟，于海门前接队友边路传球左脚大力射门，球被塔吉耶夫挡出底线
80'贵州人和换人，曲波下，吴伟上                   80'第80分钟，于海门前接队友边路传球左脚大力射门，球被塔吉耶夫挡出底线
80'人和队角球送前点                   80'第80分钟，于海门前接队友边路传球左脚大力射门，球被塔吉耶夫挡出底线
81'舜天队抢到第一点将球解围                   80'第80分钟，于海门前接队友边路传球左脚大力射门，球被塔吉耶夫挡出底线
81'舜天换人，萨利赫下，耶夫蒂奇上！                   80'第80分钟，于海门前接队友边路传球左脚大力射门，球被塔吉耶夫挡出底线
81'吴伟刚一上来就领到一张黄牌！                   80'第80分钟，于海门前接队友边路传球左脚大力射门，球被塔吉耶夫挡出底线
82'人和中场断球，长传打到了左路                   80'第80分钟，于海门前接队友边路传球左脚大力射门，球被塔吉耶夫挡出底线
82'埃雷尔森边路防守滑铲犯规                   80'第80分钟，于海门前接队友边路传球左脚大力射门，球被塔吉耶夫挡出底线
82'埃雷尔森得到一张黄牌！                   80'第80分钟，于海门前接队友边路传球左脚大力射门，球被塔吉耶夫挡出底线
87'孙继海刚刚防守的时候冒顶了                   87'第87分钟，埃雷尔森的后场长传迫使孙继海出现失误，但耶夫蒂奇的挑射准星全无
88'埃雷尔森中场长传打边路                   87'第87分钟，埃雷尔森的后场长传迫使孙继海出现失误，但耶夫蒂奇的挑射准星全无
88'吉翔得球，没有机会将球回敲                   87'第87分钟，埃雷尔森的后场长传迫使孙继海出现失误，但耶夫蒂奇的挑射准星全无
88'舜天前场右路拿球被断                   87'第87分钟，埃雷尔森的后场长传迫使孙继海出现失误，但耶夫蒂奇的挑射准星全无
89'耶夫蒂奇回追到中场防守，结果犯规了                   87'第87分钟，埃雷尔森的后场长传迫使孙继海出现失误，但耶夫蒂奇的挑射准星全无
89'舜天队的球员们都很拼，但始终不进球                   87'第87分钟，埃雷尔森的后场长传迫使孙继海出现失误，但耶夫蒂奇的挑射准星全无
90'任航前场中路传球被挡                   87'第87分钟，埃雷尔森的后场长传迫使孙继海出现失误，但耶夫蒂奇的挑射准星全无
