1'上半场比赛开始！                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
8'回敲给到了威尔谢尔                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
8'威尔谢尔左路起球送中路                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
8'桑切斯插上没有越位                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
8'乔-哈特提前出击先将球扑了一下                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
9'纳瓦斯右路起球送后点                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
9'双方球员都没有拿到                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
9'维尔贝克右路带球突破被解围                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
10'曼城前场拿球往禁区里走                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
10'阿圭罗突破到底线后横敲                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
11'席尔瓦稍稍慢了半拍                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
11'厄齐尔左路拿球，横敲到了禁区内                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
11'这球维尔贝克跟上再打给打偏了                   8'第8分钟，威尔谢尔挑传桑切斯，乔-哈特及时出击将皮球拨出
47'上半场比赛结束了！                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
47'经过45分钟的激战，曼城凭借着阿圭罗的进球1-0领先阿森纳                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
47'上半场比赛，双方都有机会                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
47'而维尔贝克的单刀遗憾中柱                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
47'而曼城队这边的反击更加犀利，阿圭罗门前的推射最终帮助球队建功                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
47'让我稍事休息，一会儿为您带来双方下半场的比赛                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
46'下半场比赛开始！                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
46'下半场比赛由曼城开球                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
46'阿森纳中场拿球回敲                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
47'阿森纳前场带球突破被断                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
47'曼城的反击机会                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
47'将球转移到了右路                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
47'边路的起球落点不好                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
48'阿森纳这边中场策动反击                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
48'最后维尔贝克的射门没有打高                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
48'阿森纳右路低平球送门前                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
49'队友插上的打门没有碰到                   46'1分钟后，席尔瓦回传失误，前曼联中锋维尔贝克突入禁区右肋10码处挑射打中远角立柱弹回
22'兰帕德背后铲球放倒了拉姆塞                   22'第22分钟，兰帕德中场背后铲倒拉姆塞被罚黄牌
22'兰帕德得到一张黄牌！                   22'第22分钟，兰帕德中场背后铲倒拉姆塞被罚黄牌
23'上半场比赛已经过了20分钟，两队都还是有机会的                   22'第22分钟，兰帕德中场背后铲倒拉姆塞被罚黄牌
24'阿森纳反击的机会                   22'第22分钟，兰帕德中场背后铲倒拉姆塞被罚黄牌
24'左路起球送后点                   22'第22分钟，兰帕德中场背后铲倒拉姆塞被罚黄牌
24'这球没有什么威胁                   22'第22分钟，兰帕德中场背后铲倒拉姆塞被罚黄牌
24'萨巴莱塔得到一张黄牌！                   22'第22分钟，兰帕德中场背后铲倒拉姆塞被罚黄牌
24'之前的前场抢球从身后踢倒了对方                   22'第22分钟，兰帕德中场背后铲倒拉姆塞被罚黄牌
25'纳斯里在热身                   22'第22分钟，兰帕德中场背后铲倒拉姆塞被罚黄牌
25'现场也全部都是嘘声                   22'第22分钟，兰帕德中场背后铲倒拉姆塞被罚黄牌
28'萨巴莱塔要注意了                   28'曼城第28分钟取得领先，弗拉米尼中场飞铲阿圭罗，纳瓦斯右路突破传中，阿圭罗绕过弗拉米尼小禁区前推射破门
28'曼城队右路反击                   28'曼城第28分钟取得领先，弗拉米尼中场飞铲阿圭罗，纳瓦斯右路突破传中，阿圭罗绕过弗拉米尼小禁区前推射破门
28'曼城进球了！！                   28'曼城第28分钟取得领先，弗拉米尼中场飞铲阿圭罗，纳瓦斯右路突破传中，阿圭罗绕过弗拉米尼小禁区前推射破门
28'阿圭罗！！                   28'曼城第28分钟取得领先，弗拉米尼中场飞铲阿圭罗，纳瓦斯右路突破传中，阿圭罗绕过弗拉米尼小禁区前推射破门
28'纳瓦斯右路拿球低平球送中路，阿圭罗插上后推射破门！                   28'曼城第28分钟取得领先，弗拉米尼中场飞铲阿圭罗，纳瓦斯右路突破传中，阿圭罗绕过弗拉米尼小禁区前推射破门
30'翡冷翠的王子：曼城犯规太多了【有些动作是要注意一下】                   28'曼城第28分钟取得领先，弗拉米尼中场飞铲阿圭罗，纳瓦斯右路突破传中，阿圭罗绕过弗拉米尼小禁区前推射破门
30'上半场30分钟了，场上的比分是曼城1-0领先阿森纳                   28'曼城第28分钟取得领先，弗拉米尼中场飞铲阿圭罗，纳瓦斯右路突破传中，阿圭罗绕过弗拉米尼小禁区前推射破门
31'兰帕德禁区外围的远射被后卫挡出                   28'曼城第28分钟取得领先，弗拉米尼中场飞铲阿圭罗，纳瓦斯右路突破传中，阿圭罗绕过弗拉米尼小禁区前推射破门
31'兰帕德在曼城穿几号球衣？[qiangda]                   28'曼城第28分钟取得领先，弗拉米尼中场飞铲阿圭罗，纳瓦斯右路突破传中，阿圭罗绕过弗拉米尼小禁区前推射破门
32'控球率上现在是50对50                   32'第32分钟，萨巴莱塔传球，席尔瓦小禁区右侧的射门被斯泽斯尼扑出
32'曼城这边差点又进球啊                   32'第32分钟，萨巴莱塔传球，席尔瓦小禁区右侧的射门被斯泽斯尼扑出
32'斯泽斯尼封住了角度                   32'第32分钟，萨巴莱塔传球，席尔瓦小禁区右侧的射门被斯泽斯尼扑出
33'精彩回放：纳瓦斯右路拿球送禁区内，萨巴莱塔底线拿球倒三角传回来，席尔瓦得球后直接推射被斯泽斯尼用腿挡出                   32'第32分钟，萨巴莱塔传球，席尔瓦小禁区右侧的射门被斯泽斯尼扑出
34'维尔贝克前场争抢头球顶下来                   32'第32分钟，萨巴莱塔传球，席尔瓦小禁区右侧的射门被斯泽斯尼扑出
34'第二点被孔帕尼直接拿到                   32'第32分钟，萨巴莱塔传球，席尔瓦小禁区右侧的射门被斯泽斯尼扑出
35'蒙雷亚尔左路低平球横扫门前                   32'第32分钟，萨巴莱塔传球，席尔瓦小禁区右侧的射门被斯泽斯尼扑出
35'这球曼城队滑铲解围                   32'第32分钟，萨巴莱塔传球，席尔瓦小禁区右侧的射门被斯泽斯尼扑出
35'威尔谢尔抢球对克里希犯规                   32'第32分钟，萨巴莱塔传球，席尔瓦小禁区右侧的射门被斯泽斯尼扑出
37'桑切斯任意球直接打门！！                   37'第37分钟，纳瓦斯禁区前犯规，桑切斯左路25码处任意球直接射门高出
37'这球是打高了                   37'第37分钟，纳瓦斯禁区前犯规，桑切斯左路25码处任意球直接射门高出
38'曼城中场拿球送直塞                   37'第37分钟，纳瓦斯禁区前犯规，桑切斯左路25码处任意球直接射门高出
38'这球队友停球的时候没有停好                   37'第37分钟，纳瓦斯禁区前犯规，桑切斯左路25码处任意球直接射门高出
47'上半场比赛结束了！                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
47'经过45分钟的激战，曼城凭借着阿圭罗的进球1-0领先阿森纳                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
47'上半场比赛，双方都有机会                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
47'而维尔贝克的单刀遗憾中柱                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
47'而曼城队这边的反击更加犀利，阿圭罗门前的推射最终帮助球队建功                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
47'让我稍事休息，一会儿为您带来双方下半场的比赛                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
47'阿森纳前场带球突破被断                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
47'曼城的反击机会                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
47'将球转移到了右路                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
47'边路的起球落点不好                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
48'阿森纳这边中场策动反击                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
48'最后维尔贝克的射门没有打高                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
48'阿森纳右路低平球送门前                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
49'队友插上的打门没有碰到                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
50'曼城中场拿球做撞墙配合                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
50'左路的突破到了禁区内                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
50'最后倒三角传回来结果是队友跑过了                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
50'这边裁判又是拿出了黄牌                   47'第47分钟，桑切斯传球，维尔贝克禁区左侧小角度射门被斯泽斯尼没收
55'威尔谢尔带球的时候有些拌蒜                   55'第55分钟，纳斯里传球，阿圭罗禁区前射偏
55'犹豫的时候被断抢                   55'第55分钟，纳斯里传球，阿圭罗禁区前射偏
55'威尔谢尔在反抢的时候犯规了                   55'第55分钟，纳斯里传球，阿圭罗禁区前射偏
56'阿森纳中场控球，下半场他们还没有很好的射门机会                   55'第55分钟，纳斯里传球，阿圭罗禁区前射偏
56'拉姆塞边路接球的时候先越位了                   55'第55分钟，纳斯里传球，阿圭罗禁区前射偏
57'阿森纳主场现在已经几轮不败？[qiangda]                   55'第55分钟，纳斯里传球，阿圭罗禁区前射偏
58'阿森纳这边获得反击机会，可惜禁区前沿传球被拦截                   55'第55分钟，纳斯里传球，阿圭罗禁区前射偏
58'曼城的反击，弗拉米尼踢人犯规                   55'第55分钟，纳斯里传球，阿圭罗禁区前射偏
58'弗拉米尼得到一张黄牌！                   55'第55分钟，纳斯里传球，阿圭罗禁区前射偏
59'曼城禁区前沿挑传送到里面                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
59'克里希插上后挑射稍稍偏了一点                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
59'曼城后场又断球了                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
59'右路的突破没有过去                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
60'曼城将球回敲到了中场重新组织                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
60'席尔瓦中场的抢球犯规了                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
61'阿森纳前场右路获得定位球                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
61'任意球送后点                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
61'曼城拿到了第一点                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
61'左路阿森纳再送前点                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
62'萨巴莱塔头球顶了出来                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
62'蒙雷亚尔又得到一张黄牌！！                   59'曼城第59分钟险些扩大比分，席尔瓦挑传，克里希禁区左侧10码处挑射偏出右侧立柱
63'萨巴莱塔右路下底送到禁区内                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
63'这球威胁不大，球在前点被阿森纳球员破坏                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
63'阿森纳的反击机会                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
63'右路的突破被双方包夹                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
63'但球现在还在阿森纳脚下                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
63'挑传直接被孔帕尼抢到                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
64'阿森纳进球了！！                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
65'前场的断抢直接送到禁区弧顶，队友分球送给插上的威尔谢尔，威尔谢尔小角度挑射破门！                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
65'曼城这边阿圭罗也是得到一张黄牌！                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
66'曼城这边获得角球机会                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
66'角球送禁区内，球被阿森纳拿到                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
66'曼城这边哲科要准备登场了                   63'阿森纳第63分钟扳平比分，拉姆塞传球，威尔谢尔轻松突破克里希后小禁区右侧边缘射上角入网，1-1
65'前场的断抢直接送到禁区弧顶，队友分球送给插上的威尔谢尔，威尔谢尔小角度挑射破门！                   65'第65分钟，克里希传球，阿圭罗禁区前的射门被斯泽斯尼救出
65'曼城这边阿圭罗也是得到一张黄牌！                   65'第65分钟，克里希传球，阿圭罗禁区前的射门被斯泽斯尼救出
66'曼城这边获得角球机会                   65'第65分钟，克里希传球，阿圭罗禁区前的射门被斯泽斯尼救出
66'角球送禁区内，球被阿森纳拿到                   65'第65分钟，克里希传球，阿圭罗禁区前的射门被斯泽斯尼救出
66'曼城这边哲科要准备登场了                   65'第65分钟，克里希传球，阿圭罗禁区前的射门被斯泽斯尼救出
67'曼城换人，哲科上，换下阿圭罗！                   65'第65分钟，克里希传球，阿圭罗禁区前的射门被斯泽斯尼救出
67'曼城换人，哲科上，换下阿圭罗！                   67'第67分钟，厄齐尔回传，德布希禁区右侧射门偏出近角
69'阿森纳左路拿球送禁区内                   67'第67分钟，厄齐尔回传，德布希禁区右侧射门偏出近角
69'弗拉米尼回防将球解围                   67'第67分钟，厄齐尔回传，德布希禁区右侧射门偏出近角
70'阿森纳将球转移到了右路                   67'第67分钟，厄齐尔回传，德布希禁区右侧射门偏出近角
70'桑切斯没有什么机会将球回敲                   67'第67分钟，厄齐尔回传，德布希禁区右侧射门偏出近角
70'阿森纳传球送到禁区里                   67'第67分钟，厄齐尔回传，德布希禁区右侧射门偏出近角
70'维尔贝克插上后抢射一脚被乔-哈特拦截下来                   67'第67分钟，厄齐尔回传，德布希禁区右侧射门偏出近角
70'这球其实也挺有威胁的                   67'第67分钟，厄齐尔回传，德布希禁区右侧射门偏出近角
70'阿森纳将球转移到了右路                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
70'桑切斯没有什么机会将球回敲                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
70'阿森纳传球送到禁区里                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
70'维尔贝克插上后抢射一脚被乔-哈特拦截下来                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
70'这球其实也挺有威胁的                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
72'全场比赛已经过去了70分钟，场上的比分是1-1                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
72'曼城左路横敲到禁区前沿                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
72'纳斯里得球后直接选择了打门                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
72'这球被斯泽斯尼扑住                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
73'纳斯里这球打得有些正                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
73'阿森纳中场带球突破被拉了一下                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
73'桑切斯也是想裁判抱怨                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
73'犯规的是孔帕尼                   70'第70分钟，德布希直传，维尔贝克禁区右侧的左脚射门被乔-哈特出击救出
74'阿森纳进球了！！                   74'阿森纳第74分钟反超比分，拉姆塞禁区右侧传中被孔帕尼顶出，威尔谢尔头球前顶，桑切斯10码处凌空射入上角，2-1
74'桑切斯！！！                   74'阿森纳第74分钟反超比分，拉姆塞禁区右侧传中被孔帕尼顶出，威尔谢尔头球前顶，桑切斯10码处凌空射入上角，2-1
75'阿森纳右路起球送禁区中路，孔帕尼头球解围出了禁区，而禁区外围，阿森纳也是再次头球顶了回去，桑切斯不做调整直接垫射破门！                   74'阿森纳第74分钟反超比分，拉姆塞禁区右侧传中被孔帕尼顶出，威尔谢尔头球前顶，桑切斯10码处凌空射入上角，2-1
76'现在压力来到了曼城这一边                   74'阿森纳第74分钟反超比分，拉姆塞禁区右侧传中被孔帕尼顶出，威尔谢尔头球前顶，桑切斯10码处凌空射入上角，2-1
77'桑切斯因为进球后脱掉球衣得到一张黄牌！                   74'阿森纳第74分钟反超比分，拉姆塞禁区右侧传中被孔帕尼顶出，威尔谢尔头球前顶，桑切斯10码处凌空射入上角，2-1
77'曼城这边将科拉罗夫换了上来！                   74'阿森纳第74分钟反超比分，拉姆塞禁区右侧传中被孔帕尼顶出，威尔谢尔头球前顶，桑切斯10码处凌空射入上角，2-1
77'桑切斯因为进球后脱掉球衣得到一张黄牌！                   77'第77分钟，威尔谢尔挑传，拉姆塞10码处铲射偏出
77'曼城这边将科拉罗夫换了上来！                   77'第77分钟，威尔谢尔挑传，拉姆塞10码处铲射偏出
78'德布希受伤倒地                   77'第77分钟，威尔谢尔挑传，拉姆塞10码处铲射偏出
79'德布希停球的时候自己将自己的脚踝掰了一下                   77'第77分钟，威尔谢尔挑传，拉姆塞10码处铲射偏出
79'这下受伤比较严重                   77'第77分钟，威尔谢尔挑传，拉姆塞10码处铲射偏出
79'担架已经进场了                   77'第77分钟，威尔谢尔挑传，拉姆塞10码处铲射偏出
79'之前，威尔谢尔禁区内有手球的动作，但裁判没有判                   77'第77分钟，威尔谢尔挑传，拉姆塞10码处铲射偏出
80'应该是没有办法在坚持了                   77'第77分钟，威尔谢尔挑传，拉姆塞10码处铲射偏出
80'阿森纳这边准备换人                   77'第77分钟，威尔谢尔挑传，拉姆塞10码处铲射偏出
83'曼城右路起球送后点                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
83'钱伯斯头球蹭了一下                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
83'这球还在曼城脚下                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
83'左路传球被钱伯斯挡出底线                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
83'2-2！！                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
85'曼城角球送中路，德米凯利斯在无人看防的情况下高高跃起头球攻门将球顶进，这球斯泽斯尼扑了一下，但球还在砸在门柱内侧进了！                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
85'全场比赛85分钟了，比赛会有绝杀吗？                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
85'阿森纳前场送直塞到底线                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
86'萨巴莱塔回追将球拿到                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
86'曼城的反击机会                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
86'禁区外围将球转移到了左路                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
86'边路传球威胁不大                   83'曼城第83分钟扳平比分，科拉罗夫开出角球，无人防守的德米凯利斯头球破门，2-2
47'上半场比赛结束了！                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
47'经过45分钟的激战，曼城凭借着阿圭罗的进球1-0领先阿森纳                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
47'上半场比赛，双方都有机会                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
47'而维尔贝克的单刀遗憾中柱                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
47'而曼城队这边的反击更加犀利，阿圭罗门前的推射最终帮助球队建功                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
47'让我稍事休息，一会儿为您带来双方下半场的比赛                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
46'下半场比赛开始！                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
46'下半场比赛由曼城开球                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
46'阿森纳中场拿球回敲                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
47'阿森纳前场带球突破被断                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
47'曼城的反击机会                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
47'将球转移到了右路                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
47'边路的起球落点不好                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
48'阿森纳这边中场策动反击                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
48'最后维尔贝克的射门没有打高                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
48'阿森纳右路低平球送门前                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
49'队友插上的打门没有碰到                   46'1分钟后，维尔贝克左路禁区前弧线球射门偏出远角
93'哲科争抢的时候抢点打门，球划出一道诡异的弧线击中了立柱！！！                   93'第93分钟，席尔瓦挑传哲科，科斯切尔尼拦截，皮球再次打中右侧立柱
93'哲科想跟进再补是没有机会                   93'第93分钟，席尔瓦挑传哲科，科斯切尔尼拦截，皮球再次打中右侧立柱
94'曼城左路拿球给到禁区弧顶                   93'第93分钟，席尔瓦挑传哲科，科斯切尔尼拦截，皮球再次打中右侧立柱
94'禁区内，纳斯里补射打进球门，但被吹了越位！                   93'第93分钟，席尔瓦挑传哲科，科斯切尔尼拦截，皮球再次打中右侧立柱
95'曼城禁区弧顶拿球给到禁区里的哲科，哲科推射被斯泽斯尼扑出，纳斯里跟进补射破门但先越位了                   93'第93分钟，席尔瓦挑传哲科，科斯切尔尼拦截，皮球再次打中右侧立柱
