1'上半场比赛开始！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
51'下半场开始5分钟，皇马再下一城，估计还得进啊！！                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
51'马塞洛前场左路拿球，内切后分球左侧给J罗                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
51'J罗下底传中到后点，直接出了底线！！                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
52'皇马换人：6号纳乔上，换下15号卡瓦哈尔！！                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
52'赫塔菲换人：32号埃米上，换下8号拉岑                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
53'赫塔菲需要攻击手，要进球啊！！                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
53'赫塔菲右路的传中球到后点，被佩佩解围出底线！！                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
53'赫塔菲左侧角球机会，萨拉比亚主罚！！                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
53'角球开出到禁区，比加雷抢点犯规在先！！                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
74'C罗停球，左脚怒射，打在了边网上！！                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
74'莱昂禁区外拿球，斜塞给到前插的什切波维奇                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
75'什切波维奇怒射，纳瓦斯封堵出来                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
75'马塞洛停球再挑，准备解围，纳瓦斯将球拿到！！                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
75'裁判吹罚了纳瓦斯的违例，手接回传球。。。                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
75'赫塔菲获得禁区内的任意球机会！！                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
76'位置就在小禁区线上！！                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
76'萨拉比亚准备主罚，皇马球员站满了门线！！                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
76'裁判哨响，纳瓦斯出击直接封堵！！                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
76'萨拉比亚再射，打在防守球员身上出了底线！！                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
76'赫塔菲获得右侧角球机会，并未形成威胁！！！                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
77'这样的禁区内任意球，很难见到啊！！                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
77'皇马本场的控球率一直控制在60%以上！！                   74'第74分钟，纳瓦斯小禁区内手接马塞洛回传球，裁判判罚近距离的间接任意球，皇马10名球员站在门线上摆成人墙，塞波维奇拨出皮球，萨拉比亚射门被纳瓦斯扑出后再射又被挡出
88'1-4！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
88'J罗的进球！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
89'卢卡斯右路拿球，倒三角回传禁区中路，J罗点球点附近拿球，面对放铲的比加雷，一扣摆脱，接着起脚低射打进球门右下角！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
89'皇马中场抢断，克罗斯的斜塞打身后！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
89'纳乔前插接应，被吹越位在先！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
90'萨拉比亚左路拿球强突，纳乔回防放铲，犯规！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
90'纳乔被主裁判出示了黄牌警告！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
90'赫塔菲获得前场左侧得任意球机会！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
90'伊斯科和卢卡斯排出了两人的人墙！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
90'萨拉比亚的任意球斜传前点，没威胁！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
91'下半场比赛补时2分钟！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
91'马塞洛左路拿球，回传中间给J罗                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
91'J罗左脚斜传到右侧找纳乔，纳乔横传伊斯科，被断！！                   88'第88分钟，卢卡斯-巴斯克斯传球，J罗12码处从容晃过比盖雷后低射右下角入网，4-1
