2'Mirko Valdifiori为恩波利赢得一个任意球.                   1'第1分钟，两队都难以攻入禁区
54'恩波利球员维奇诺大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是Daniele Croce.                   52'第52分钟，波多尔斯基右侧开出角球，维迪奇在门前5米处顶出弹地球贴左门柱而出
64'射门!!!恩波利球员Manuel Pucciarelli大禁区左侧左脚射门,被对方守门员横身扑出.                   64'第64分钟，前场左路断球摆脱防守，单刀突入禁区左侧斜射又被汉达诺维奇扑了一下，球碰瓜林滚向空门，安德烈奥利门前解围
65'恩波利换人,辛宁斯基换下威尔第                   64'第64分钟，前场左路断球摆脱防守，单刀突入禁区左侧斜射又被汉达诺维奇扑了一下，球碰瓜林滚向空门，安德烈奥利门前解围
65'恩波利球员Daniele Croce大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是辛宁斯基.                   64'第64分钟，前场左路断球摆脱防守，单刀突入禁区左侧斜射又被汉达诺维奇扑了一下，球碰瓜林滚向空门，安德烈奥利门前解围
67'维迪奇将球处理出底线,恩波利获得角球.                   64'第64分钟，前场左路断球摆脱防守，单刀突入禁区左侧斜射又被汉达诺维奇扑了一下，球碰瓜林滚向空门，安德烈奥利门前解围
72'射门!!!恩波利球员辛宁斯基大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是马卡罗内.                   72'第72分钟，马卡罗内直塞禁区右侧，杰林斯基小角度低射被汉达诺维奇没收
72'维迪奇为国际米兰赢得一个任意球.                   72'第72分钟，马卡罗内直塞禁区右侧，杰林斯基小角度低射被汉达诺维奇没收
72'恩波利球员辛宁斯基拼抢犯规,对手获得控球权.                   72'第72分钟，马卡罗内直塞禁区右侧，杰林斯基小角度低射被汉达诺维奇没收
73'恩波利球员马卡罗内大禁区外右脚射门,被防守球员封堵.给他传球的是辛宁斯基.                   72'第72分钟，马卡罗内直塞禁区右侧，杰林斯基小角度低射被汉达诺维奇没收
73'恩波利球员Mirko Valdifiori大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是维奇诺.                   72'第72分钟，马卡罗内直塞禁区右侧，杰林斯基小角度低射被汉达诺维奇没收
74'国际米兰换人,沙奇里换下波多尔斯基                   72'第72分钟，马卡罗内直塞禁区右侧，杰林斯基小角度低射被汉达诺维奇没收
74'国际米兰球员德安布罗西奥一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   72'第72分钟，马卡罗内直塞禁区右侧，杰林斯基小角度低射被汉达诺维奇没收
75'国际米兰球员沙奇里大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是帕拉西奥.                   72'第72分钟，马卡罗内直塞禁区右侧，杰林斯基小角度低射被汉达诺维奇没收
84'国际米兰球员帕拉西奥拼抢犯规,对手获得控球权.                   83'第83分钟出现搞笑镜头，梅德尔突然送出过顶球，助理裁判变向回跑时滑倒，坐在地上仍不忘举起旗帜，判帕拉西奥越位，他接受治疗后继续执法
84'鲁加尼为恩波利赢得一个任意球.                   83'第83分钟出现搞笑镜头，梅德尔突然送出过顶球，助理裁判变向回跑时滑倒，坐在地上仍不忘举起旗帜，判帕拉西奥越位，他接受治疗后继续执法
84'恩波利换人,塔瓦诺换下Manuel Pucciarelli                   83'第83分钟出现搞笑镜头，梅德尔突然送出过顶球，助理裁判变向回跑时滑倒，坐在地上仍不忘举起旗帜，判帕拉西奥越位，他接受治疗后继续执法
85'国际米兰球员沙奇里大禁区中央左脚射门,被防守球员封堵.给他传球的是埃尔纳内斯.                   83'第83分钟出现搞笑镜头，梅德尔突然送出过顶球，助理裁判变向回跑时滑倒，坐在地上仍不忘举起旗帜，判帕拉西奥越位，他接受治疗后继续执法
86'国际米兰球员维迪奇拼抢犯规,对手获得控球权.                   83'第83分钟出现搞笑镜头，梅德尔突然送出过顶球，助理裁判变向回跑时滑倒，坐在地上仍不忘举起旗帜，判帕拉西奥越位，他接受治疗后继续执法
86'马卡罗内为恩波利赢得一个任意球.                   83'第83分钟出现搞笑镜头，梅德尔突然送出过顶球，助理裁判变向回跑时滑倒，坐在地上仍不忘举起旗帜，判帕拉西奥越位，他接受治疗后继续执法
86'黄牌！国际米兰球员维迪奇因为恶意犯规,被主裁判出示黄牌.                   83'第83分钟出现搞笑镜头，梅德尔突然送出过顶球，助理裁判变向回跑时滑倒，坐在地上仍不忘举起旗帜，判帕拉西奥越位，他接受治疗后继续执法
89'国际米兰球员埃尔纳内斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是沙奇里.                   89'第89分钟，沙奇里长途奔袭，右路被断球后又反抢成功，转移到左路，埃尔纳内斯低射偏出左门柱
90'+3'国际米兰球员梅德尔拼抢犯规,对手获得控球权.                   89'第89分钟，沙奇里长途奔袭，右路被断球后又反抢成功，转移到左路，埃尔纳内斯低射偏出左门柱
90'+3'塔瓦诺为恩波利赢得一个任意球.                   89'第89分钟，沙奇里长途奔袭，右路被断球后又反抢成功，转移到左路，埃尔纳内斯低射偏出左门柱
90'+3'黄牌！国际米兰球员梅德尔因为恶意犯规,被主裁判出示黄牌.                   89'第89分钟，沙奇里长途奔袭，右路被断球后又反抢成功，转移到左路，埃尔纳内斯低射偏出左门柱
90'+4'下半场结束,恩波利 0-0 国际米兰                   89'第89分钟，沙奇里长途奔袭，右路被断球后又反抢成功，转移到左路，埃尔纳内斯低射偏出左门柱
