2' 郑达伦推传给中路                   2'第2分钟又是维特塞尔转移，赵旭日远射高出
20'申花换人，孙世林替下徐骏敏                   18'第18分钟申花左路连续多人冲击，最后是特维斯截球后，从底线附近杀入，但最后的射门高出门楣
21'李建滨分球给左侧，给到了左侧的柏佳骏                   18'第18分钟申花左路连续多人冲击，最后是特维斯截球后，从底线附近杀入，但最后的射门高出门楣
21' 柏佳骏继续分给中路                   18'第18分钟申花左路连续多人冲击，最后是特维斯截球后，从底线附近杀入，但最后的射门高出门楣
20'特维斯底线突破杀入禁区，小角度爆射射高了一点点                   20'第20分钟瓜林斜角度吊入，天津后卫解围不远，特维斯抢射打在人堆里，天津队立刻反击，陶金为了阻挡帕托，中场附近手球犯规，裁判出黄牌警告，天津全队对这个判罚不满
20'申花换人，孙世林替下徐骏敏                   20'第20分钟瓜林斜角度吊入，天津后卫解围不远，特维斯抢射打在人堆里，天津队立刻反击，陶金为了阻挡帕托，中场附近手球犯规，裁判出黄牌警告，天津全队对这个判罚不满
21'李建滨分球给左侧，给到了左侧的柏佳骏                   20'第20分钟瓜林斜角度吊入，天津后卫解围不远，特维斯抢射打在人堆里，天津队立刻反击，陶金为了阻挡帕托，中场附近手球犯规，裁判出黄牌警告，天津全队对这个判罚不满
21' 柏佳骏继续分给中路                   20'第20分钟瓜林斜角度吊入，天津后卫解围不远，特维斯抢射打在人堆里，天津队立刻反击，陶金为了阻挡帕托，中场附近手球犯规，裁判出黄牌警告，天津全队对这个判罚不满
22'陶金故意手球，吃到了黄牌                   20'第20分钟瓜林斜角度吊入，天津后卫解围不远，特维斯抢射打在人堆里，天津队立刻反击，陶金为了阻挡帕托，中场附近手球犯规，裁判出黄牌警告，天津全队对这个判罚不满
22'陶金是逃过一劫啊                   20'第20分钟瓜林斜角度吊入，天津后卫解围不远，特维斯抢射打在人堆里，天津队立刻反击，陶金为了阻挡帕托，中场附近手球犯规，裁判出黄牌警告，天津全队对这个判罚不满
23'糜昊伦发出定位球，被王林破坏出边线                   20'第20分钟瓜林斜角度吊入，天津后卫解围不远，特维斯抢射打在人堆里，天津队立刻反击，陶金为了阻挡帕托，中场附近手球犯规，裁判出黄牌警告，天津全队对这个判罚不满
23'李建滨继续推传给身前的孙世林                   20'第20分钟瓜林斜角度吊入，天津后卫解围不远，特维斯抢射打在人堆里，天津队立刻反击，陶金为了阻挡帕托，中场附近手球犯规，裁判出黄牌警告，天津全队对这个判罚不满
23'糜昊伦发出定位球，被王林破坏出边线                   23'第23分钟场上发生意外变故，秦升在争角球时，存心狠踩维特塞尔一脚，后者痛苦倒地，裁判李海新果断出红牌将其罚下，秦升还对这个判罚一脸不解状
23'李建滨继续推传给身前的孙世林                   23'第23分钟场上发生意外变故，秦升在争角球时，存心狠踩维特塞尔一脚，后者痛苦倒地，裁判李海新果断出红牌将其罚下，秦升还对这个判罚一脸不解状
24' 王林向前分球找到右路接应的莫雷诺                   23'第23分钟场上发生意外变故，秦升在争角球时，存心狠踩维特塞尔一脚，后者痛苦倒地，裁判李海新果断出红牌将其罚下，秦升还对这个判罚一脸不解状
24'莫雷诺继续向前分球                   23'第23分钟场上发生意外变故，秦升在争角球时，存心狠踩维特塞尔一脚，后者痛苦倒地，裁判李海新果断出红牌将其罚下，秦升还对这个判罚一脸不解状
24'被权健球员解围出底线                   23'第23分钟场上发生意外变故，秦升在争角球时，存心狠踩维特塞尔一脚，后者痛苦倒地，裁判李海新果断出红牌将其罚下，秦升还对这个判罚一脸不解状
24'申花球员的右侧角球，禁区内有拼抢犯规                   23'第23分钟场上发生意外变故，秦升在争角球时，存心狠踩维特塞尔一脚，后者痛苦倒地，裁判李海新果断出红牌将其罚下，秦升还对这个判罚一脸不解状
25'维特塞尔禁区内倒地，秦升禁区内踩脚了                   23'第23分钟场上发生意外变故，秦升在争角球时，存心狠踩维特塞尔一脚，后者痛苦倒地，裁判李海新果断出红牌将其罚下，秦升还对这个判罚一脸不解状
25' ...秦升吃到了红牌                   23'第23分钟场上发生意外变故，秦升在争角球时，存心狠踩维特塞尔一脚，后者痛苦倒地，裁判李海新果断出红牌将其罚下，秦升还对这个判罚一脸不解状
25'红牌啊                   23'第23分钟场上发生意外变故，秦升在争角球时，存心狠踩维特塞尔一脚，后者痛苦倒地，裁判李海新果断出红牌将其罚下，秦升还对这个判罚一脸不解状
26' 糜昊伦一脚横敲                   23'第23分钟场上发生意外变故，秦升在争角球时，存心狠踩维特塞尔一脚，后者痛苦倒地，裁判李海新果断出红牌将其罚下，秦升还对这个判罚一脸不解状
35' 郑达伦一记横向转移                   34'本就占优的天津队更是全面压制，但申花防守还算得当，不给对方机会，第34分钟天津队糜昊伦禁区外斜角度打门打偏
35' 给到左路的糜昊伦                   34'本就占优的天津队更是全面压制，但申花防守还算得当，不给对方机会，第34分钟天津队糜昊伦禁区外斜角度打门打偏
39'张鹭手抛球发出                   39'第39分钟孙世林在本方禁区外盲目出脚，赵旭日截球后怒射高出
39' 给到了禁区外左侧的格乌瓦尼奥                   39'第39分钟孙世林在本方禁区外盲目出脚，赵旭日截球后怒射高出
40' 张诚给一个提前量                   39'第39分钟孙世林在本方禁区外盲目出脚，赵旭日截球后怒射高出
40' 被申花球员破坏掉                   39'第39分钟孙世林在本方禁区外盲目出脚，赵旭日截球后怒射高出
41' 孙世林推传给身边接应的特维斯                   39'第39分钟孙世林在本方禁区外盲目出脚，赵旭日截球后怒射高出
41'特维斯横敲给中前场右侧的王林                   39'第39分钟孙世林在本方禁区外盲目出脚，赵旭日截球后怒射高出
42' 孙世林球分到左边路                   39'第39分钟孙世林在本方禁区外盲目出脚，赵旭日截球后怒射高出
42'曹赟定继续回敲                   39'第39分钟孙世林在本方禁区外盲目出脚，赵旭日截球后怒射高出
