4'姜至鹏中场沿边路带球突破孙可的防守送一脚斜塞，可惜队友没有拿到                   4'第4分钟，姜至鹏中场沿边路带球突破孙可的防守送一脚斜塞，可惜队友没有拿到
11'孙可右路下底直接送到门前，刘殿座后撤几步将球得到                   8'第8分钟，陆博飞后场抢球对朱宝杰犯规，申鑫队前场左路再获任意球机会，姜至鹏任意球送到禁区后点，队友第一下没有接好，申鑫队右路再起，结果禁区内申鑫队两点包抄队友是互相让了一下，错失射门良机
12'这段时间申鑫队打得也并不保守                   12'第12分钟，吉翔左路带球突破后将球横敲，陆博飞稍微慢了几步，最后一个抢传被刘殿座得到
12'姜至鹏中场拿球将球横向转移                   12'第12分钟，吉翔左路带球突破后将球横敲，陆博飞稍微慢了几步，最后一个抢传被刘殿座得到
12'队友见没有太多机会将球回敲                   12'第12分钟，吉翔左路带球突破后将球横敲，陆博飞稍微慢了几步，最后一个抢传被刘殿座得到
13'吉翔左路带球突破后将球横敲，陆博飞稍微慢了几步，最后一个抢传被刘殿座得到                   12'第12分钟，吉翔左路带球突破后将球横敲，陆博飞稍微慢了几步，最后一个抢传被刘殿座得到
14'陆博飞中场策动攻势给到了克里维茨脚下                   12'第12分钟，吉翔左路带球突破后将球横敲，陆博飞稍微慢了几步，最后一个抢传被刘殿座得到
15'克里维茨将球分边给到了插上的任航                   12'第12分钟，吉翔左路带球突破后将球横敲，陆博飞稍微慢了几步，最后一个抢传被刘殿座得到
15'任航一路狂奔到了大禁区前沿送直线再次找到了克里维茨                   12'第12分钟，吉翔左路带球突破后将球横敲，陆博飞稍微慢了几步，最后一个抢传被刘殿座得到
15'克里维茨小禁区前沿得球后准备射门结果被于涛先挡出底线                   12'第12分钟，吉翔左路带球突破后将球横敲，陆博飞稍微慢了几步，最后一个抢传被刘殿座得到
15'舜天队角球送到中路，威胁并不是很大                   12'第12分钟，吉翔左路带球突破后将球横敲，陆博飞稍微慢了几步，最后一个抢传被刘殿座得到
15'克里维茨将球分边给到了插上的任航                   15'第15分钟，吉翔左路在无人看防的情况下起球送到前点，乔尼抢在孙可之前将球解围，随后的角球舜天队将球给到中路，刘殿座单拳将球打了一下，于涛协防将球再次顶出底线
15'任航一路狂奔到了大禁区前沿送直线再次找到了克里维茨                   15'第15分钟，吉翔左路在无人看防的情况下起球送到前点，乔尼抢在孙可之前将球解围，随后的角球舜天队将球给到中路，刘殿座单拳将球打了一下，于涛协防将球再次顶出底线
15'克里维茨小禁区前沿得球后准备射门结果被于涛先挡出底线                   15'第15分钟，吉翔左路在无人看防的情况下起球送到前点，乔尼抢在孙可之前将球解围，随后的角球舜天队将球给到中路，刘殿座单拳将球打了一下，于涛协防将球再次顶出底线
15'舜天队角球送到中路，威胁并不是很大                   15'第15分钟，吉翔左路在无人看防的情况下起球送到前点，乔尼抢在孙可之前将球解围，随后的角球舜天队将球给到中路，刘殿座单拳将球打了一下，于涛协防将球再次顶出底线
16'吉翔左路在无人看防的情况下起球送到前点，乔尼抢在孙可之前将球解围                   15'第15分钟，吉翔左路在无人看防的情况下起球送到前点，乔尼抢在孙可之前将球解围，随后的角球舜天队将球给到中路，刘殿座单拳将球打了一下，于涛协防将球再次顶出底线
17'舜天队角球给到中路，刘殿座单拳将球打了一下，于涛协防将球再次顶出底线                   15'第15分钟，吉翔左路在无人看防的情况下起球送到前点，乔尼抢在孙可之前将球解围，随后的角球舜天队将球给到中路，刘殿座单拳将球打了一下，于涛协防将球再次顶出底线
18'凯撒中场带球往前走，吉翔情急之下拉人犯规                   15'第15分钟，吉翔左路在无人看防的情况下起球送到前点，乔尼抢在孙可之前将球解围，随后的角球舜天队将球给到中路，刘殿座单拳将球打了一下，于涛协防将球再次顶出底线
18'吉翔得到一张黄牌！                   15'第15分钟，吉翔左路在无人看防的情况下起球送到前点，乔尼抢在孙可之前将球解围，随后的角球舜天队将球给到中路，刘殿座单拳将球打了一下，于涛协防将球再次顶出底线
19'朱宝杰前场送直塞送到禁区内，雅伊尔顿插上后射门被邓小飞扑住！                   19'第19分钟，朱宝杰前场送直塞送到禁区内，雅伊尔顿插上后射门被邓小飞扑住
19'雅伊尔顿中场抢突造塔吉耶夫犯规                   19'第19分钟，朱宝杰前场送直塞送到禁区内，雅伊尔顿插上后射门被邓小飞扑住
21'雅伊尔顿前场左边路停球后被塔吉耶夫暗算踢中裆部                   19'第19分钟，朱宝杰前场送直塞送到禁区内，雅伊尔顿插上后射门被邓小飞扑住
21'雅伊尔顿很痛苦的倒在了地上                   19'第19分钟，朱宝杰前场送直塞送到禁区内，雅伊尔顿插上后射门被邓小飞扑住
22'塔吉耶夫这次犯规比较严重，但裁判并没有出示黄牌                   19'第19分钟，朱宝杰前场送直塞送到禁区内，雅伊尔顿插上后射门被邓小飞扑住
22'申鑫任意球送到禁区内被破坏出来                   19'第19分钟，朱宝杰前场送直塞送到禁区内，雅伊尔顿插上后射门被邓小飞扑住
22'朱宝杰禁区外围手球犯规                   19'第19分钟，朱宝杰前场送直塞送到禁区内，雅伊尔顿插上后射门被邓小飞扑住
22'朱宝杰故意拖延时间得到一张黄牌                   19'第19分钟，朱宝杰前场送直塞送到禁区内，雅伊尔顿插上后射门被邓小飞扑住
22'塔吉耶夫这次犯规比较严重，但裁判并没有出示黄牌                   22'第22分钟，朱宝杰前场手球后故意拖延时间得到一张黄牌
22'申鑫任意球送到禁区内被破坏出来                   22'第22分钟，朱宝杰前场手球后故意拖延时间得到一张黄牌
22'朱宝杰禁区外围手球犯规                   22'第22分钟，朱宝杰前场手球后故意拖延时间得到一张黄牌
22'朱宝杰故意拖延时间得到一张黄牌                   22'第22分钟，朱宝杰前场手球后故意拖延时间得到一张黄牌
23'叶重秋中场争抢头球的时候在落地后有附加动作                   22'第22分钟，朱宝杰前场手球后故意拖延时间得到一张黄牌
23'叶重秋得到一张黄牌！                   22'第22分钟，朱宝杰前场手球后故意拖延时间得到一张黄牌
24'孙可右路起球送到禁区内，刘殿座出击单拳将球击出                   22'第22分钟，朱宝杰前场手球后故意拖延时间得到一张黄牌
25'申鑫队获得一个角球机会                   22'第22分钟，朱宝杰前场手球后故意拖延时间得到一张黄牌
25'角球给到中路，球被舜天队解围出禁区                   22'第22分钟，朱宝杰前场手球后故意拖延时间得到一张黄牌
27'禁区外围申鑫队送直塞到禁区内，马罗内的抢点被舜天队再次破坏                   26'第26分钟，马罗内前场禁区内的争抢的时候造成了头部受伤到场外接受治疗
27'姜至鹏角球送到后点，队友的头球攻门被埃雷尔森头球顶了一下                   26'第26分钟，马罗内前场禁区内的争抢的时候造成了头部受伤到场外接受治疗
27'不过这个球是先出了底线                   26'第26分钟，马罗内前场禁区内的争抢的时候造成了头部受伤到场外接受治疗
29'马罗内刚刚禁区内的抢点也是造成了头部受伤到场外接受治疗                   26'第26分钟，马罗内前场禁区内的争抢的时候造成了头部受伤到场外接受治疗
32'申鑫队中场送直塞被埃雷尔森得到                   32'第32分钟，舜天队前场将球转移送到了右路，周云不等球落地直接一脚将球垫到禁区内，可惜萨利赫倒禁区内的钩射门并没有打上
33'陆博飞前场边路拿球突破两人的包夹被断                   32'第32分钟，舜天队前场将球转移送到了右路，周云不等球落地直接一脚将球垫到禁区内，可惜萨利赫倒禁区内的钩射门并没有打上
33'舜天队将球转移到了右路                   32'第32分钟，舜天队前场将球转移送到了右路，周云不等球落地直接一脚将球垫到禁区内，可惜萨利赫倒禁区内的钩射门并没有打上
33'周云右路起球送到禁区内，萨利赫的倒钩射门没有打上                   32'第32分钟，舜天队前场将球转移送到了右路，周云不等球落地直接一脚将球垫到禁区内，可惜萨利赫倒禁区内的钩射门并没有打上
35'朱宝杰前场左路接球后传中，球被舜天队挡了一下                   32'第32分钟，舜天队前场将球转移送到了右路，周云不等球落地直接一脚将球垫到禁区内，可惜萨利赫倒禁区内的钩射门并没有打上
40'孙可禁区弧顶得球后将球给到了右路                   40'第40分钟，孙可禁区弧顶得球后将球给到了右路，周云边路插上后在于涛的干扰下一脚突然的打门被刘殿座得到
40'周云边路插上后在于涛的干扰下一脚突然的打门被刘殿座得到                   40'第40分钟，孙可禁区弧顶得球后将球给到了右路，周云边路插上后在于涛的干扰下一脚突然的打门被刘殿座得到
40'乔尼后场抢球的时候对克里维茨犯规                   40'第40分钟，孙可禁区弧顶得球后将球给到了右路，周云边路插上后在于涛的干扰下一脚突然的打门被刘殿座得到
41'而乔尼对克里维茨也不是太满意                   40'第40分钟，孙可禁区弧顶得球后将球给到了右路，周云边路插上后在于涛的干扰下一脚突然的打门被刘殿座得到
46'申鑫队中场附近连续倒脚也是无法积极舜天队球门                   46'第46分钟，姜嘉俊禁区弧顶射门没有打正部位正好落在了耶夫蒂奇脚下，耶夫蒂奇得球后晃开防守球员后在禁区弧顶远射被刘殿座得到
46'下半场比赛开始！                   46'第46分钟，姜嘉俊禁区弧顶射门没有打正部位正好落在了耶夫蒂奇脚下，耶夫蒂奇得球后晃开防守球员后在禁区弧顶远射被刘殿座得到
46'下半场比赛由上海申鑫队发球                   46'第46分钟，姜嘉俊禁区弧顶射门没有打正部位正好落在了耶夫蒂奇脚下，耶夫蒂奇得球后晃开防守球员后在禁区弧顶远射被刘殿座得到
46'陆博飞上半场被叶重秋限制也不得不让德拉甘做出换人调整                   46'第46分钟，姜嘉俊禁区弧顶射门没有打正部位正好落在了耶夫蒂奇脚下，耶夫蒂奇得球后晃开防守球员后在禁区弧顶远射被刘殿座得到
47'姜嘉俊禁区弧顶射门没有打正部位正好落在了耶夫蒂奇脚下                   46'第46分钟，姜嘉俊禁区弧顶射门没有打正部位正好落在了耶夫蒂奇脚下，耶夫蒂奇得球后晃开防守球员后在禁区弧顶远射被刘殿座得到
47'耶夫蒂奇得球后禁区弧顶远射被刘殿座得到                   46'第46分钟，姜嘉俊禁区弧顶射门没有打正部位正好落在了耶夫蒂奇脚下，耶夫蒂奇得球后晃开防守球员后在禁区弧顶远射被刘殿座得到
48'姜嘉俊前场边路接球对于涛推人犯规                   46'第46分钟，姜嘉俊禁区弧顶射门没有打正部位正好落在了耶夫蒂奇脚下，耶夫蒂奇得球后晃开防守球员后在禁区弧顶远射被刘殿座得到
49'下半场开始后，舜天队开始猛攻                   46'第46分钟，姜嘉俊禁区弧顶射门没有打正部位正好落在了耶夫蒂奇脚下，耶夫蒂奇得球后晃开防守球员后在禁区弧顶远射被刘殿座得到
49'申鑫队前场进攻送到禁区内诶                   46'第46分钟，姜嘉俊禁区弧顶射门没有打正部位正好落在了耶夫蒂奇脚下，耶夫蒂奇得球后晃开防守球员后在禁区弧顶远射被刘殿座得到
51'姜嘉俊后场断球后送直塞被断                   51'第51分钟，申鑫队中场断球后直接将球送到前场，队友接球后直接送直塞打舜天队身后，刘骏楠得球后到了禁区内起右脚打门挑上角攻破邓小飞把守的大门
51'申鑫队进球了！！                   51'第51分钟，申鑫队中场断球后直接将球送到前场，队友接球后直接送直塞打舜天队身后，刘骏楠得球后到了禁区内起右脚打门挑上角攻破邓小飞把守的大门
51'刘骏楠！！！                   51'第51分钟，申鑫队中场断球后直接将球送到前场，队友接球后直接送直塞打舜天队身后，刘骏楠得球后到了禁区内起右脚打门挑上角攻破邓小飞把守的大门
53'申鑫队中场断球后直接将球送到前场，刘骏楠得球后到了禁区先附近连续压了两下后挑上角射门攻破邓小飞把守的大门                   51'第51分钟，申鑫队中场断球后直接将球送到前场，队友接球后直接送直塞打舜天队身后，刘骏楠得球后到了禁区内起右脚打门挑上角攻破邓小飞把守的大门
54'申鑫队下半场的突然发力先攻入一球                   51'第51分钟，申鑫队中场断球后直接将球送到前场，队友接球后直接送直塞打舜天队身后，刘骏楠得球后到了禁区内起右脚打门挑上角攻破邓小飞把守的大门
54'这也让舜天队不得不压出来打                   51'第51分钟，申鑫队中场断球后直接将球送到前场，队友接球后直接送直塞打舜天队身后，刘骏楠得球后到了禁区内起右脚打门挑上角攻破邓小飞把守的大门
55'这个时候申鑫队的教练组应该对判罚有些不满与裁判进行沟通                   55'第55分钟，舜天做出第三次换人调整，巴力上场换下吉翔
55'舜天队这边要准备进行第三次换人调整                   55'第55分钟，舜天做出第三次换人调整，巴力上场换下吉翔
56'舜天换人，巴力上，吉翔下                   55'第55分钟，舜天做出第三次换人调整，巴力上场换下吉翔
56'舜天队早早做完三次换人调整也是有些冒险啊                   55'第55分钟，舜天做出第三次换人调整，巴力上场换下吉翔
57'申鑫队中场拿球将球回敲                   55'第55分钟，舜天做出第三次换人调整，巴力上场换下吉翔
57'刘殿座后场大脚送到前场                   55'第55分钟，舜天做出第三次换人调整，巴力上场换下吉翔
57'任航前场左路拿球横向带球后射门被封堵                   55'第55分钟，舜天做出第三次换人调整，巴力上场换下吉翔
58'舜天队获得点球机会！！                   55'第55分钟，舜天做出第三次换人调整，巴力上场换下吉翔
58'孙可左路突然起速杀到禁区内                   55'第55分钟，舜天做出第三次换人调整，巴力上场换下吉翔
58'马罗内情急之下铲球犯规被判罚点球                   55'第55分钟，舜天做出第三次换人调整，巴力上场换下吉翔
60'1-1两队再次回到同一水平线上                   60'第60分钟，申鑫队前场左路获得任意球机会，姜至鹏任意球直接转球门的左上角，球到门前是急速下降，不过球还是稍稍偏出
60'申鑫队前场左路获得任意球机会                   60'第60分钟，申鑫队前场左路获得任意球机会，姜至鹏任意球直接转球门的左上角，球到门前是急速下降，不过球还是稍稍偏出
61'姜至鹏任意球直接转球门的左上角，球是稍稍偏出                   60'第60分钟，申鑫队前场左路获得任意球机会，姜至鹏任意球直接转球门的左上角，球到门前是急速下降，不过球还是稍稍偏出
62'申鑫队中场附近获得任意球机会                   60'第60分钟，申鑫队前场左路获得任意球机会，姜至鹏任意球直接转球门的左上角，球到门前是急速下降，不过球还是稍稍偏出
62'申鑫队任意球送到禁区内，埃雷尔森头球解围不远                   60'第60分钟，申鑫队前场左路获得任意球机会，姜至鹏任意球直接转球门的左上角，球到门前是急速下降，不过球还是稍稍偏出
63'禁区前沿刘骏楠的射门造成邓小飞扑球脱手                   60'第60分钟，申鑫队前场左路获得任意球机会，姜至鹏任意球直接转球门的左上角，球到门前是急速下降，不过球还是稍稍偏出
63'舜天队及时回防将球解围出底线                   60'第60分钟，申鑫队前场左路获得任意球机会，姜至鹏任意球直接转球门的左上角，球到门前是急速下降，不过球还是稍稍偏出
63'申鑫队获得点球机会                   60'第60分钟，申鑫队前场左路获得任意球机会，姜至鹏任意球直接转球门的左上角，球到门前是急速下降，不过球还是稍稍偏出
63'塔吉耶夫禁区内拉拽了凯撒                   60'第60分钟，申鑫队前场左路获得任意球机会，姜至鹏任意球直接转球门的左上角，球到门前是急速下降，不过球还是稍稍偏出
63'禁区前沿刘骏楠的射门造成邓小飞扑球脱手                   63'第63分钟，申鑫队右路起球送到禁区内，塔吉耶夫争抢的时候手上有动作将凯撒拉倒，凯撒亲自操刀主罚将球打进，申鑫将比分再次反超
63'舜天队及时回防将球解围出底线                   63'第63分钟，申鑫队右路起球送到禁区内，塔吉耶夫争抢的时候手上有动作将凯撒拉倒，凯撒亲自操刀主罚将球打进，申鑫将比分再次反超
63'申鑫队获得点球机会                   63'第63分钟，申鑫队右路起球送到禁区内，塔吉耶夫争抢的时候手上有动作将凯撒拉倒，凯撒亲自操刀主罚将球打进，申鑫将比分再次反超
63'塔吉耶夫禁区内拉拽了凯撒                   63'第63分钟，申鑫队右路起球送到禁区内，塔吉耶夫争抢的时候手上有动作将凯撒拉倒，凯撒亲自操刀主罚将球打进，申鑫将比分再次反超
64'凯撒点球打右上角命中！！                   63'第63分钟，申鑫队右路起球送到禁区内，塔吉耶夫争抢的时候手上有动作将凯撒拉倒，凯撒亲自操刀主罚将球打进，申鑫将比分再次反超
64'申鑫队再次将比分超出                   63'第63分钟，申鑫队右路起球送到禁区内，塔吉耶夫争抢的时候手上有动作将凯撒拉倒，凯撒亲自操刀主罚将球打进，申鑫将比分再次反超
66'舜天队右路起球送到禁区后点，孙可凌空打门被刘殿座扑出！                   63'第63分钟，申鑫队右路起球送到禁区内，塔吉耶夫争抢的时候手上有动作将凯撒拉倒，凯撒亲自操刀主罚将球打进，申鑫将比分再次反超
66'申鑫队左路突破被周云解围出底线                   63'第63分钟，申鑫队右路起球送到禁区内，塔吉耶夫争抢的时候手上有动作将凯撒拉倒，凯撒亲自操刀主罚将球打进，申鑫将比分再次反超
72'主裁判吹停了比赛                   72'第72分钟，刘骏楠在场外接受治疗后故意倒在了场内，这也迫使主裁判暂停了比赛来进行处理
72'让担架队到刘骏楠身边                   72'第72分钟，刘骏楠在场外接受治疗后故意倒在了场内，这也迫使主裁判暂停了比赛来进行处理
73'原来是刘骏楠从场边故意倒在了场内                   72'第72分钟，刘骏楠在场外接受治疗后故意倒在了场内，这也迫使主裁判暂停了比赛来进行处理
74'而申鑫这边刘骏楠应该是无法在坚持了                   72'第72分钟，刘骏楠在场外接受治疗后故意倒在了场内，这也迫使主裁判暂停了比赛来进行处理
74'刘骏楠也是一瘸一拐的在队医的搀扶下离场                   72'第72分钟，刘骏楠在场外接受治疗后故意倒在了场内，这也迫使主裁判暂停了比赛来进行处理
75'王佳玉换下了刘骏楠                   72'第72分钟，刘骏楠在场外接受治疗后故意倒在了场内，这也迫使主裁判暂停了比赛来进行处理
75'姜嘉俊前场拿球后将球回敲                   72'第72分钟，刘骏楠在场外接受治疗后故意倒在了场内，这也迫使主裁判暂停了比赛来进行处理
75'舜天队长传打到前场                   72'第72分钟，刘骏楠在场外接受治疗后故意倒在了场内，这也迫使主裁判暂停了比赛来进行处理
75'王佳玉换下了刘骏楠                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
75'姜嘉俊前场拿球后将球回敲                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
75'舜天队长传打到前场                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
76'队友头球蹭下来后到了耶夫蒂奇脚下                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
76'耶夫蒂奇将球横敲给到了无人看防的巴力                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
76'结果巴力禁区外围太过发力，球是打高了                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
77'现在舜天队的反击并不是太流畅                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
78'舜天队中场险些将球断了下来                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
78'叶重秋中场抢球的时候背后推人犯规                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
78'舜天队快速反击，结果是失误了                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
78'现在舜天队打得还是太急                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
78'姜嘉俊中场长传找萨利赫                   75'第75分钟，舜天队中场长传打到禁区前沿，队友头球摆渡下来后耶夫蒂奇将球横敲给到右路，禁区外围巴力原地的远射是将球打高
83'申鑫队现在还有两次换人的调整机会                   83'第83分钟，申鑫队换人调整，葛振换下了叶重秋
83'申鑫队换人，叶重秋下，葛振上！                   83'第83分钟，申鑫队换人调整，葛振换下了叶重秋
84'申鑫队前场底线拿球被断                   83'第83分钟，申鑫队换人调整，葛振换下了叶重秋
84'现在舜天的三条线比较混乱                   83'第83分钟，申鑫队换人调整，葛振换下了叶重秋
85'申鑫队现在在中场很容易就能将球拿下                   83'第83分钟，申鑫队换人调整，葛振换下了叶重秋
85'舜天队后场长传又是被申鑫队得到                   83'第83分钟，申鑫队换人调整，葛振换下了叶重秋
85'埃雷尔森现在也是助攻了上来                   83'第83分钟，申鑫队换人调整，葛振换下了叶重秋
85'巴力右路起球送到禁区内                   83'第83分钟，申鑫队换人调整，葛振换下了叶重秋
86'前点的萨利赫后撤几步后一个头球一蹭被门将得到                   83'第83分钟，申鑫队换人调整，葛振换下了叶重秋
86'雅伊尔顿中场拿球被放倒                   83'第83分钟，申鑫队换人调整，葛振换下了叶重秋
86'申鑫队前场组织反击                   83'第83分钟，申鑫队换人调整，葛振换下了叶重秋
86'前点的萨利赫后撤几步后一个头球一蹭被门将得到                   86'第86分钟，马罗内一个倒地的铲球被埃雷尔森直接踩踏，埃雷尔森也是直接被红牌罚出场外
86'雅伊尔顿中场拿球被放倒                   86'第86分钟，马罗内一个倒地的铲球被埃雷尔森直接踩踏，埃雷尔森也是直接被红牌罚出场外
86'申鑫队前场组织反击                   86'第86分钟，马罗内一个倒地的铲球被埃雷尔森直接踩踏，埃雷尔森也是直接被红牌罚出场外
87'朱宝杰前场的传球失误了                   86'第86分钟，马罗内一个倒地的铲球被埃雷尔森直接踩踏，埃雷尔森也是直接被红牌罚出场外
87'中场，马罗内一个倒地的铲球被埃雷尔森直接踩踏                   86'第86分钟，马罗内一个倒地的铲球被埃雷尔森直接踩踏，埃雷尔森也是直接被红牌罚出场外
88'埃雷尔森直接被出示红牌                   86'第86分钟，马罗内一个倒地的铲球被埃雷尔森直接踩踏，埃雷尔森也是直接被红牌罚出场外
89'这个球没得可说，红牌是最正确的判罚                   86'第86分钟，马罗内一个倒地的铲球被埃雷尔森直接踩踏，埃雷尔森也是直接被红牌罚出场外
89'经过简单的治疗，马罗内又重新回到了场内                   86'第86分钟，马罗内一个倒地的铲球被埃雷尔森直接踩踏，埃雷尔森也是直接被红牌罚出场外
