30'莫德里奇中场拿球，直塞找前插的J罗，边裁举旗，又是越位                   30'皇马进攻略显急躁，前30分钟5次落入越位陷阱
51'J罗后场拿球，直塞打身后找前插的C罗                   51'第51分钟，C-罗纳尔多反越位成功突入禁区左侧在阿马亚铲球防守下摔倒，他以假摔被罚黄牌
52'C罗拿球单骑闯关，突入禁区，面对阿马亚的防守，脚下一扣，被阿马亚顺势带倒在地                   51'第51分钟，C-罗纳尔多反越位成功突入禁区左侧在阿马亚铲球防守下摔倒，他以假摔被罚黄牌
53'主裁判鸣哨，吹罚了C罗的假摔，给了C罗一张黄牌！！！                   51'第51分钟，C-罗纳尔多反越位成功突入禁区左侧在阿马亚铲球防守下摔倒，他以假摔被罚黄牌
53'慢镜回放显示，阿马亚的这个放铲，绝对的犯规球啊                   51'第51分钟，C-罗纳尔多反越位成功突入禁区左侧在阿马亚铲球防守下摔倒，他以假摔被罚黄牌
53'纳乔中场拿球，贝尔回防，身后放铲铲翻了纳乔                   51'第51分钟，C-罗纳尔多反越位成功突入禁区左侧在阿马亚铲球防守下摔倒，他以假摔被罚黄牌
54'贝尔被主裁判出示了黄牌警告！！！                   51'第51分钟，C-罗纳尔多反越位成功突入禁区左侧在阿马亚铲球防守下摔倒，他以假摔被罚黄牌
54'克罗斯的不满，抗议两声，也被主裁判出示了黄牌警告！！！                   51'第51分钟，C-罗纳尔多反越位成功突入禁区左侧在阿马亚铲球防守下摔倒，他以假摔被罚黄牌
54'这段时间皇马球员的心态有点着急了啊                   51'第51分钟，C-罗纳尔多反越位成功突入禁区左侧在阿马亚铲球防守下摔倒，他以假摔被罚黄牌
68'C罗的附身冲顶！！！！                   68'皇马第68分钟打破僵局，卡瓦哈尔速度摆脱埃姆巴巴后切入禁区右侧传中，无人防守的C-罗纳尔多小禁区前冲顶入网
68'这是C罗本赛季联赛的第37个进球，同时也是其生涯为皇马打进的第300个进球！！！                   68'皇马第68分钟打破僵局，卡瓦哈尔速度摆脱埃姆巴巴后切入禁区右侧传中，无人防守的C-罗纳尔多小禁区前冲顶入网
69'卡瓦哈尔右路拿球，强突摆脱防守，底线内切后的的挑传，C罗跟进附身冲顶，顶进！！！                   68'皇马第68分钟打破僵局，卡瓦哈尔速度摆脱埃姆巴巴后切入禁区右侧传中，无人防守的C-罗纳尔多小禁区前冲顶入网
70'巴列卡诺换人：7号米库上，换下23号布雷诺                   68'皇马第68分钟打破僵局，卡瓦哈尔速度摆脱埃姆巴巴后切入禁区右侧传中，无人防守的C-罗纳尔多小禁区前冲顶入网
71'莫德里奇右路回防，面对逼抢，转身直接大脚将球解围                   68'皇马第68分钟打破僵局，卡瓦哈尔速度摆脱埃姆巴巴后切入禁区右侧传中，无人防守的C-罗纳尔多小禁区前冲顶入网
73'2-0！！！                   73'皇马第73分钟扩大比分，C-罗纳尔多横传，哈梅斯-罗德里格斯禁区边缘射入左下角，2-0
73'J罗禁区线上的抽射，打进！！！                   73'皇马第73分钟扩大比分，C-罗纳尔多横传，哈梅斯-罗德里格斯禁区边缘射入左下角，2-0
75'C罗前场右路拿球，内切后横传交给J罗，J罗禁区弧顶拿球，稍作调整，左脚抽射，贝尔起跳晃飞科本诺，球直窜球门左侧进网！！！                   73'皇马第73分钟扩大比分，C-罗纳尔多横传，哈梅斯-罗德里格斯禁区边缘射入左下角，2-0
75'下半场比赛30分钟，比分2-0，皇马领先                   73'皇马第73分钟扩大比分，C-罗纳尔多横传，哈梅斯-罗德里格斯禁区边缘射入左下角，2-0
76'卡瓦哈尔右路拿球，马努乔上抢，直接一掌打在了卡瓦哈尔脸上，犯规                   73'皇马第73分钟扩大比分，C-罗纳尔多横传，哈梅斯-罗德里格斯禁区边缘射入左下角，2-0
76'皇马前场进攻，克罗斯中路拿球，一脚远射，打飞                   73'皇马第73分钟扩大比分，C-罗纳尔多横传，哈梅斯-罗德里格斯禁区边缘射入左下角，2-0
