1'上半场比赛开始                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
31'坎塞洛左路接应分，传中到门前                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
31'曼朱基奇包抄慢了一步                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
32'波利塔诺转移球被C罗断下                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
32'C罗禁区前远射被封堵                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
32'加利亚尔迪尼左路下底，倒三角被拦截                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
48'上半场比赛结束                   48'下半时开始3分钟，皮亚尼奇本方禁区内选择横传，马图伊迪在波利塔诺紧逼下回传失误，波利塔诺断球与伊卡尔迪踢墙配合，右侧距门10米处左脚推射被博努奇封堵
48'伊卡尔迪中路回撤接应，分左路                   48'下半时开始3分钟，皮亚尼奇本方禁区内选择横传，马图伊迪在波利塔诺紧逼下回传失误，波利塔诺断球与伊卡尔迪踢墙配合，右侧距门10米处左脚推射被博努奇封堵
48'布罗佐维奇拿球再转移，波利塔诺起球                   48'下半时开始3分钟，皮亚尼奇本方禁区内选择横传，马图伊迪在波利塔诺紧逼下回传失误，波利塔诺断球与伊卡尔迪踢墙配合，右侧距门10米处左脚推射被博努奇封堵
48'后点被坎塞洛顶出去                   48'下半时开始3分钟，皮亚尼奇本方禁区内选择横传，马图伊迪在波利塔诺紧逼下回传失误，波利塔诺断球与伊卡尔迪踢墙配合，右侧距门10米处左脚推射被博努奇封堵
48'尤文后防玩火                   48'下半时开始3分钟，皮亚尼奇本方禁区内选择横传，马图伊迪在波利塔诺紧逼下回传失误，波利塔诺断球与伊卡尔迪踢墙配合，右侧距门10米处左脚推射被博努奇封堵
48'禁区内波利塔诺和伊卡尔迪配合                   48'下半时开始3分钟，皮亚尼奇本方禁区内选择横传，马图伊迪在波利塔诺紧逼下回传失误，波利塔诺断球与伊卡尔迪踢墙配合，右侧距门10米处左脚推射被博努奇封堵
48'拉开空间起脚，被封堵出去                   48'下半时开始3分钟，皮亚尼奇本方禁区内选择横传，马图伊迪在波利塔诺紧逼下回传失误，波利塔诺断球与伊卡尔迪踢墙配合，右侧距门10米处左脚推射被博努奇封堵
49'长传找C罗，没能停好球                   48'下半时开始3分钟，皮亚尼奇本方禁区内选择横传，马图伊迪在波利塔诺紧逼下回传失误，波利塔诺断球与伊卡尔迪踢墙配合，右侧距门10米处左脚推射被博努奇封堵
49'波利塔诺回撤做球，被基耶利尼破坏                   48'下半时开始3分钟，皮亚尼奇本方禁区内选择横传，马图伊迪在波利塔诺紧逼下回传失误，波利塔诺断球与伊卡尔迪踢墙配合，右侧距门10米处左脚推射被博努奇封堵
50'布罗佐维奇分边，波利塔诺传中出了底线                   48'下半时开始3分钟，皮亚尼奇本方禁区内选择横传，马图伊迪在波利塔诺紧逼下回传失误，波利塔诺断球与伊卡尔迪踢墙配合，右侧距门10米处左脚推射被博努奇封堵
51'佩里西奇左路上抢，绊倒迪巴拉                   48'下半时开始3分钟，皮亚尼奇本方禁区内选择横传，马图伊迪在波利塔诺紧逼下回传失误，波利塔诺断球与伊卡尔迪踢墙配合，右侧距门10米处左脚推射被博努奇封堵
66'尤文进球了！！！                   66'尤文第66分钟取得领先
66'曼朱基奇！！                   66'尤文第66分钟取得领先
66'坎塞洛左路下底，调整一步传后点，曼朱基奇头球破门                   66'尤文第66分钟取得领先
66'尤文1-0领先国米                   66'尤文第66分钟取得领先
67'本坦库尔右路拿球，被阿萨莫阿破坏出界                   66'尤文第66分钟取得领先
68'德西利奥右路传中，大了                   66'尤文第66分钟取得领先
68'伊卡尔迪回撤拿球，过半场                   66'尤文第66分钟取得领先
69'没有队友跟上，被铲截出边线                   66'尤文第66分钟取得领先
69'什克里尼亚尔后场斜传禁区，没有队友                   66'尤文第66分钟取得领先
