4'斯托克城球员卡梅伦拼抢犯规,对手获得控球权.                   4'第4分钟，卡梅伦丢球后踢倒卢卡斯也被罚黄牌
53'斯托克城球员琼斯大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是惠兰.                   50'第50分钟，杰拉德开出角球，唐宁远点铲回，格伦-约翰逊11码处射门高出
60'贝戈维奇为斯托克城赢得一个任意球.                   60'第60分钟，苏亚雷斯抢点时铲翻贝戈维奇被罚黄牌
60'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   60'第60分钟，苏亚雷斯抢点时铲翻贝戈维奇被罚黄牌
60'利物浦苏亚雷斯受伤倒地,比赛暂停                   60'第60分钟，苏亚雷斯抢点时铲翻贝戈维奇被罚黄牌
61'黄牌！利物浦球员苏亚雷斯因为恶意犯规,被主裁判出示黄牌.                   60'第60分钟，苏亚雷斯抢点时铲翻贝戈维奇被罚黄牌
61'暂停结束,球员们重新开始比赛.                   60'第60分钟，苏亚雷斯抢点时铲翻贝戈维奇被罚黄牌
63'斯托克城球员卡梅伦拼抢犯规,对手获得控球权.                   60'第60分钟，苏亚雷斯抢点时铲翻贝戈维奇被罚黄牌
63'何塞-恩里克为利物浦在左路,赢得一个任意球.                   60'第60分钟，苏亚雷斯抢点时铲翻贝戈维奇被罚黄牌
86'斯托克城球员惠兰拼抢犯规,对手获得控球权.                   86'第86分钟，维兰禁区边缘外铲倒苏亚雷斯被罚黄牌，但乌拉圭人任意球直接射门被人墙挡回
86'苏亚雷斯为利物浦在对方半场,赢得一个任意球.                   86'第86分钟，维兰禁区边缘外铲倒苏亚雷斯被罚黄牌，但乌拉圭人任意球直接射门被人墙挡回
86'黄牌！斯托克城球员惠兰因为恶意犯规,被主裁判出示黄牌.                   86'第86分钟，维兰禁区边缘外铲倒苏亚雷斯被罚黄牌，但乌拉圭人任意球直接射门被人墙挡回
87'利物浦球员苏亚雷斯大禁区外右脚射门,被防守球员封堵.                   86'第86分钟，维兰禁区边缘外铲倒苏亚雷斯被罚黄牌，但乌拉圭人任意球直接射门被人墙挡回
88'斯托克城球员怀特海德拼抢犯规,对手获得控球权.                   86'第86分钟，维兰禁区边缘外铲倒苏亚雷斯被罚黄牌，但乌拉圭人任意球直接射门被人墙挡回
88'何塞-恩里克为利物浦赢得一个任意球.                   86'第86分钟，维兰禁区边缘外铲倒苏亚雷斯被罚黄牌，但乌拉圭人任意球直接射门被人墙挡回
89'射门!!!利物浦球员杰拉德大禁区外右脚射门,被对方守门员横身扑出.给他传球的是何塞-恩里克.                   86'第86分钟，维兰禁区边缘外铲倒苏亚雷斯被罚黄牌，但乌拉圭人任意球直接射门被人墙挡回
