2'卡利亚里球员拉米雷斯大禁区外右脚射门,被防守球员封堵.                   1'第1分钟，博努奇后场传球失误，埃克达尔突至禁区前沿射门被博努奇挡出底线
24'尤文图斯球员利西斯泰纳球门右侧小角度尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是巴尔扎利.                   24'第24分钟，皮尔洛右侧距门27米处主罚任意球打在人墙上
25'卡利亚里球员蒂亚戈-里贝罗大禁区左侧右脚射门,被防守球员封堵.给他传球的是纳因格兰.                   24'第24分钟，皮尔洛右侧距门27米处主罚任意球打在人墙上
26'卡利亚里球员阿斯托里拼抢犯规,对手获得控球权.                   24'第24分钟，皮尔洛右侧距门27米处主罚任意球打在人墙上
26'乔文科为尤文图斯在对方半场,赢得一个任意球.                   24'第24分钟，皮尔洛右侧距门27米处主罚任意球打在人墙上
27'皮尼拉为卡利亚里在对方半场,赢得一个任意球.                   24'第24分钟，皮尔洛右侧距门27米处主罚任意球打在人墙上
27'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   24'第24分钟，皮尔洛右侧距门27米处主罚任意球打在人墙上
27'尤文图斯球员比达尔被主裁判出示了一张黄牌.                   24'第24分钟，皮尔洛右侧距门27米处主罚任意球打在人墙上
29'卡利亚里球员穆鲁拼抢犯规,对手获得控球权.                   29'第29分钟，穆鲁铲倒利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，夸利亚雷拉挡到右侧，乔文科直接小角度凌空打飞
29'利西斯泰纳为尤文图斯在右路,赢得一个任意球.                   29'第29分钟，穆鲁铲倒利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，夸利亚雷拉挡到右侧，乔文科直接小角度凌空打飞
29'黄牌！卡利亚里球员穆鲁因为恶意犯规,被主裁判出示黄牌.                   29'第29分钟，穆鲁铲倒利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，夸利亚雷拉挡到右侧，乔文科直接小角度凌空打飞
30'尤文图斯球员乔文科大禁区右侧尝试右脚射门,可惜皮球高出球门.                   29'第29分钟，穆鲁铲倒利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，夸利亚雷拉挡到右侧，乔文科直接小角度凌空打飞
31'卡利亚里球员马克-苏拼抢犯规,对手获得控球权.                   29'第29分钟，穆鲁铲倒利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，夸利亚雷拉挡到右侧，乔文科直接小角度凌空打飞
31'阿萨莫阿为尤文图斯赢得一个任意球.                   29'第29分钟，穆鲁铲倒利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，夸利亚雷拉挡到右侧，乔文科直接小角度凌空打飞
32'尤文图斯球员夸利亚雷拉大禁区中央尝试左脚射门,可惜皮球偏出球门.给他传球的是博努奇.                   29'第29分钟，穆鲁铲倒利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，夸利亚雷拉挡到右侧，乔文科直接小角度凌空打飞
32'德塞纳为卡利亚里赢得一个任意球.                   29'第29分钟，穆鲁铲倒利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，夸利亚雷拉挡到右侧，乔文科直接小角度凌空打飞
32'尤文图斯球员马尔基西奥拼抢犯规,对手获得控球权.                   29'第29分钟，穆鲁铲倒利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，夸利亚雷拉挡到右侧，乔文科直接小角度凌空打飞
37'卡利亚里球员阿斯托里拼抢犯规,对手获得控球权.                   37'第37分钟，阿斯托里背后放倒乔文科，被黄牌警告
37'乔文科为尤文图斯在对方半场,赢得一个任意球.                   37'第37分钟，阿斯托里背后放倒乔文科，被黄牌警告
37'黄牌！卡利亚里球员阿斯托里因为恶意犯规,被主裁判出示黄牌.                   37'第37分钟，阿斯托里背后放倒乔文科，被黄牌警告
44'射门!!!尤文图斯球员皮尔洛大禁区外左脚射门,被对方守门员横身扑出.给他传球的是比达尔.                   43'第43分钟，利希施泰纳右路低传，乔文科前点扫射被封堵
45'阿斯托里为卡利亚里赢得一个任意球.                   43'第43分钟，利希施泰纳右路低传，乔文科前点扫射被封堵
45'尤文图斯球员夸利亚雷拉拼抢犯规,对手获得控球权.                   43'第43分钟，利希施泰纳右路低传，乔文科前点扫射被封堵
45'+1'上半场结束,卡利亚里 1-0 尤文图斯,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，利希施泰纳右路低传，乔文科前点扫射被封堵
46'卡利亚里球员皮尼拉拼抢犯规,对手获得控球权.                   43'第43分钟，利希施泰纳右路低传，乔文科前点扫射被封堵
46'布冯为尤文图斯赢得一个任意球.                   43'第43分钟，利希施泰纳右路低传，乔文科前点扫射被封堵
47'卡利亚里球员拉米雷斯拼抢犯规,对手获得控球权.                   47'下半时开始2分钟，皮尔洛右侧任意球被破坏，马尔基西奥禁区前沿左脚大力抽射被阿加齐没收
47'利西斯泰纳为尤文图斯在右路,赢得一个任意球.                   47'下半时开始2分钟，皮尔洛右侧任意球被破坏，马尔基西奥禁区前沿左脚大力抽射被阿加齐没收
47'射门!!!尤文图斯球员马尔基西奥大禁区外左脚射门,被对方守门员横身扑出.给他传球的是阿萨莫阿.                   47'下半时开始2分钟，皮尔洛右侧任意球被破坏，马尔基西奥禁区前沿左脚大力抽射被阿加齐没收
48'尤文图斯球员比达尔一脚直塞球给乔文科,但是边裁举旗显示后者已经越位.                   47'下半时开始2分钟，皮尔洛右侧任意球被破坏，马尔基西奥禁区前沿左脚大力抽射被阿加齐没收
50'卡利亚里球员皮尼拉大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是纳因格兰.                   47'下半时开始2分钟，皮尔洛右侧任意球被破坏，马尔基西奥禁区前沿左脚大力抽射被阿加齐没收
50'卡利亚里球员拉米雷斯拼抢犯规,对手获得控球权.                   47'下半时开始2分钟，皮尔洛右侧任意球被破坏，马尔基西奥禁区前沿左脚大力抽射被阿加齐没收
50'比达尔为尤文图斯在对方半场,赢得一个任意球.                   47'下半时开始2分钟，皮尔洛右侧任意球被破坏，马尔基西奥禁区前沿左脚大力抽射被阿加齐没收
52'尤文图斯球员夸利亚雷拉大禁区右侧右脚射门,被防守球员封堵.给他传球的是比达尔.                   51'第51分钟，比达尔在穆鲁反复拉拽下继续突破，随后被埃克达尔放倒在地，尤文队员表示不满，认为穆鲁应该吃到第2张黄牌，纳英戈兰和博努奇发生推搡
52'卡利亚里球员穆鲁拼抢犯规,对手获得控球权.                   51'第51分钟，比达尔在穆鲁反复拉拽下继续突破，随后被埃克达尔放倒在地，尤文队员表示不满，认为穆鲁应该吃到第2张黄牌，纳英戈兰和博努奇发生推搡
52'比达尔为尤文图斯在右路,赢得一个任意球.                   51'第51分钟，比达尔在穆鲁反复拉拽下继续突破，随后被埃克达尔放倒在地，尤文队员表示不满，认为穆鲁应该吃到第2张黄牌，纳英戈兰和博努奇发生推搡
53'卡利亚里换人,珀佩里科换下穆鲁                   51'第51分钟，比达尔在穆鲁反复拉拽下继续突破，随后被埃克达尔放倒在地，尤文队员表示不满，认为穆鲁应该吃到第2张黄牌，纳英戈兰和博努奇发生推搡
54'马克-苏为卡利亚里赢得一个任意球.                   51'第51分钟，比达尔在穆鲁反复拉拽下继续突破，随后被埃克达尔放倒在地，尤文队员表示不满，认为穆鲁应该吃到第2张黄牌，纳英戈兰和博努奇发生推搡
54'尤文图斯球员利西斯泰纳拼抢犯规,对手获得控球权.                   51'第51分钟，比达尔在穆鲁反复拉拽下继续突破，随后被埃克达尔放倒在地，尤文队员表示不满，认为穆鲁应该吃到第2张黄牌，纳英戈兰和博努奇发生推搡
54'黄牌！尤文图斯球员利西斯泰纳因为恶意犯规,被主裁判出示黄牌.                   51'第51分钟，比达尔在穆鲁反复拉拽下继续突破，随后被埃克达尔放倒在地，尤文队员表示不满，认为穆鲁应该吃到第2张黄牌，纳英戈兰和博努奇发生推搡
54'卡利亚里球员阿斯托里一脚直塞球给皮尼拉,但是边裁举旗显示后者已经越位.                   51'第51分钟，比达尔在穆鲁反复拉拽下继续突破，随后被埃克达尔放倒在地，尤文队员表示不满，认为穆鲁应该吃到第2张黄牌，纳英戈兰和博努奇发生推搡
59'尤文图斯球员巴尔扎利一脚直塞球给夸利亚雷拉,但是边裁举旗显示后者已经越位.                   59'第59分钟，萨乌在门前20米处抽射被布冯得到
59'射门!!!卡利亚里球员马克-苏大禁区外右脚射门,被对方守门员横身扑出.给他传球的是蒂亚戈-里贝罗.                   59'第59分钟，萨乌在门前20米处抽射被布冯得到
60'卡利亚里球员皮萨诺危险动作,对手获得控球权.                   59'第59分钟，萨乌在门前20米处抽射被布冯得到
60'利西斯泰纳为尤文图斯赢得一个任意球.                   59'第59分钟，萨乌在门前20米处抽射被布冯得到
60'黄牌！卡利亚里球员皮萨诺因为有危险动作,被主裁判出示黄牌.                   59'第59分钟，萨乌在门前20米处抽射被布冯得到
60'尤文图斯换人,马特里换下夸利亚雷拉                   59'第59分钟，萨乌在门前20米处抽射被布冯得到
62'卡利亚里球员拉米雷斯拼抢犯规,对手获得控球权.                   59'第59分钟，萨乌在门前20米处抽射被布冯得到
62'比达尔为尤文图斯赢得一个任意球.                   59'第59分钟，萨乌在门前20米处抽射被布冯得到
62'尤文图斯换人,帕多因换下卡塞雷斯                   59'第59分钟，萨乌在门前20米处抽射被布冯得到
63'卡利亚里球员纳因格兰拼抢犯规,对手获得控球权.                   63'第63分钟再次出现争议，皮尔洛右侧开出角球，博努奇在门前10米处头球击中左门角，马特里在门前5米处左脚凌空勾射被阿加齐封出，阿萨莫阿左侧头球补射空门偏出近门柱
63'乔文科为尤文图斯在右路,赢得一个任意球.                   63'第63分钟再次出现争议，皮尔洛右侧开出角球，博努奇在门前10米处头球击中左门角，马特里在门前5米处左脚凌空勾射被阿加齐封出，阿萨莫阿左侧头球补射空门偏出近门柱
63'卡利亚里球员拉米雷斯拼抢犯规,对手获得控球权.                   63'第63分钟再次出现争议，皮尔洛右侧开出角球，博努奇在门前10米处头球击中左门角，马特里在门前5米处左脚凌空勾射被阿加齐封出，阿萨莫阿左侧头球补射空门偏出近门柱
63'帕多因为尤文图斯在右路,赢得一个任意球.                   63'第63分钟再次出现争议，皮尔洛右侧开出角球，博努奇在门前10米处头球击中左门角，马特里在门前5米处左脚凌空勾射被阿加齐封出，阿萨莫阿左侧头球补射空门偏出近门柱
63'皮萨诺将球处理出底线,尤文图斯获得角球.                   63'第63分钟再次出现争议，皮尔洛右侧开出角球，博努奇在门前10米处头球击中左门角，马特里在门前5米处左脚凌空勾射被阿加齐封出，阿萨莫阿左侧头球补射空门偏出近门柱
63'尤文图斯球员博努奇大禁区中央头球,命中门柱横梁.给他传球的是皮尔洛.                   63'第63分钟再次出现争议，皮尔洛右侧开出角球，博努奇在门前10米处头球击中左门角，马特里在门前5米处左脚凌空勾射被阿加齐封出，阿萨莫阿左侧头球补射空门偏出近门柱
63'射门!!!尤文图斯球员马特里球门线跟前左脚射门,被对方守门员横身扑出.                   63'第63分钟再次出现争议，皮尔洛右侧开出角球，博努奇在门前10米处头球击中左门角，马特里在门前5米处左脚凌空勾射被阿加齐封出，阿萨莫阿左侧头球补射空门偏出近门柱
63'尤文图斯球员阿萨莫阿球门线跟前尝试头球,可惜皮球稍稍偏出了左球门.                   63'第63分钟再次出现争议，皮尔洛右侧开出角球，博努奇在门前10米处头球击中左门角，马特里在门前5米处左脚凌空勾射被阿加齐封出，阿萨莫阿左侧头球补射空门偏出近门柱
64'卡利亚里球员阿斯托里拼抢犯规,对手获得控球权.                   63'第63分钟再次出现争议，皮尔洛右侧开出角球，博努奇在门前10米处头球击中左门角，马特里在门前5米处左脚凌空勾射被阿加齐封出，阿萨莫阿左侧头球补射空门偏出近门柱
64'乔文科为尤文图斯在对方半场,赢得一个任意球.                   63'第63分钟再次出现争议，皮尔洛右侧开出角球，博努奇在门前10米处头球击中左门角，马特里在门前5米处左脚凌空勾射被阿加齐封出，阿萨莫阿左侧头球补射空门偏出近门柱
64'卡利亚里球员阿斯托里因为恶意犯规,被裁判出示了第二张黄牌.                   63'第63分钟再次出现争议，皮尔洛右侧开出角球，博努奇在门前10米处头球击中左门角，马特里在门前5米处左脚凌空勾射被阿加齐封出，阿萨莫阿左侧头球补射空门偏出近门柱
68'德尔法布罗将球处理出底线,尤文图斯获得角球.                   68'第68分钟，尤文斜传禁区右侧，比达尔底线凌空勾传，阿萨莫阿头球摆渡，帕多因在门前12米处凌空抽射偏出左门柱
68'尤文图斯球员帕多因大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是比达尔.                   68'第68分钟，尤文斜传禁区右侧，比达尔底线凌空勾传，阿萨莫阿头球摆渡，帕多因在门前12米处凌空抽射偏出左门柱
70'尤文图斯球员巴尔扎利大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是比达尔.                   68'第68分钟，尤文斜传禁区右侧，比达尔底线凌空勾传，阿萨莫阿头球摆渡，帕多因在门前12米处凌空抽射偏出左门柱
71'卡利亚里球员皮萨诺拼抢犯规,对手获得控球权.                   68'第68分钟，尤文斜传禁区右侧，比达尔底线凌空勾传，阿萨莫阿头球摆渡，帕多因在门前12米处凌空抽射偏出左门柱
71'比达尔为尤文图斯在右路,赢得一个任意球.                   68'第68分钟，尤文斜传禁区右侧，比达尔底线凌空勾传，阿萨莫阿头球摆渡，帕多因在门前12米处凌空抽射偏出左门柱
71'卡利亚里球员德尔法布罗犯规,致使对方获得点球.                   68'第68分钟，尤文斜传禁区右侧，比达尔底线凌空勾传，阿萨莫阿头球摆渡，帕多因在门前12米处凌空抽射偏出左门柱
71'点球,乔文科在禁区内被侵犯,尤文图斯获得点球.                   68'第68分钟，尤文斜传禁区右侧，比达尔底线凌空勾传，阿萨莫阿头球摆渡，帕多因在门前12米处凌空抽射偏出左门柱
75'射门!!!尤文图斯球员武齐尼奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是皮尔洛.                   75'尤文第75分钟追平，皮尔洛低传，武齐尼奇禁区弧顶大力低射造成阿加齐脱手，马特里补射入网，1比1
75'进球啦！！！尤文图斯球员马特里球门线跟前右脚射门,球从中路飞进球门,球进了! 卡利亚里 1-1 尤文图斯.                   75'尤文第75分钟追平，皮尔洛低传，武齐尼奇禁区弧顶大力低射造成阿加齐脱手，马特里补射入网，1比1
76'卡利亚里换人,内内换下皮尼拉                   75'尤文第75分钟追平，皮尔洛低传，武齐尼奇禁区弧顶大力低射造成阿加齐脱手，马特里补射入网，1比1
76'尤文图斯球员乔文科大禁区外右脚射门,被防守球员封堵.给他传球的是比达尔.                   75'尤文第75分钟追平，皮尔洛低传，武齐尼奇禁区弧顶大力低射造成阿加齐脱手，马特里补射入网，1比1
76'尤文图斯球员帕多因大禁区外左脚射门,被防守球员封堵.                   75'尤文第75分钟追平，皮尔洛低传，武齐尼奇禁区弧顶大力低射造成阿加齐脱手，马特里补射入网，1比1
77'卡利亚里纳因格兰受伤倒地,比赛暂停                   75'尤文第75分钟追平，皮尔洛低传，武齐尼奇禁区弧顶大力低射造成阿加齐脱手，马特里补射入网，1比1
77'暂停结束,球员们重新开始比赛.                   75'尤文第75分钟追平，皮尔洛低传，武齐尼奇禁区弧顶大力低射造成阿加齐脱手，马特里补射入网，1比1
78'射门!!!尤文图斯球员马特里大禁区外右脚射门,被对方守门员横身扑出.给他传球的是阿萨莫阿.                   75'尤文第75分钟追平，皮尔洛低传，武齐尼奇禁区弧顶大力低射造成阿加齐脱手，马特里补射入网，1比1
78'尤文图斯球员马特里一脚直塞球给阿萨莫阿,但是边裁举旗显示后者已经越位.                   75'尤文第75分钟追平，皮尔洛低传，武齐尼奇禁区弧顶大力低射造成阿加齐脱手，马特里补射入网，1比1
86'射门!!!尤文图斯球员武齐尼奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是马尔基西奥.                   86'第86分钟，武齐尼奇左侧禁区前沿抽射被阿加齐没收
87'尤文图斯球员帕多因手球犯规,对手获得球权.                   86'第86分钟，武齐尼奇左侧禁区前沿抽射被阿加齐没收
87'内内为卡利亚里在左路,赢得一个任意球.                   86'第86分钟，武齐尼奇左侧禁区前沿抽射被阿加齐没收
87'尤文图斯球员博努奇拼抢犯规,对手获得控球权.                   86'第86分钟，武齐尼奇左侧禁区前沿抽射被阿加齐没收
89'射门!!!尤文图斯球员阿萨莫阿球门线跟前头球,被对方守门员横身扑出.给他传球的是马特里.                   86'第86分钟，武齐尼奇左侧禁区前沿抽射被阿加齐没收
89'尤文图斯球员武齐尼奇大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.                   86'第86分钟，武齐尼奇左侧禁区前沿抽射被阿加齐没收
50'卡利亚里球员皮尼拉大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是纳因格兰.                   49'第四官员示意补时4分钟
50'卡利亚里球员拉米雷斯拼抢犯规,对手获得控球权.                   49'第四官员示意补时4分钟
50'比达尔为尤文图斯在对方半场,赢得一个任意球.                   49'第四官员示意补时4分钟
52'尤文图斯球员夸利亚雷拉大禁区右侧右脚射门,被防守球员封堵.给他传球的是比达尔.                   49'第四官员示意补时4分钟
52'卡利亚里球员穆鲁拼抢犯规,对手获得控球权.                   49'第四官员示意补时4分钟
52'比达尔为尤文图斯在右路,赢得一个任意球.                   49'第四官员示意补时4分钟
50'卡利亚里球员皮尼拉大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是纳因格兰.                   50'补时第5分钟，马尔基西奥直传防线身后，乔文科禁区左侧面对门将出击低传，武齐尼奇在右门柱边推过门线，将比分锁定为3比1
50'卡利亚里球员拉米雷斯拼抢犯规,对手获得控球权.                   50'补时第5分钟，马尔基西奥直传防线身后，乔文科禁区左侧面对门将出击低传，武齐尼奇在右门柱边推过门线，将比分锁定为3比1
50'比达尔为尤文图斯在对方半场,赢得一个任意球.                   50'补时第5分钟，马尔基西奥直传防线身后，乔文科禁区左侧面对门将出击低传，武齐尼奇在右门柱边推过门线，将比分锁定为3比1
52'尤文图斯球员夸利亚雷拉大禁区右侧右脚射门,被防守球员封堵.给他传球的是比达尔.                   50'补时第5分钟，马尔基西奥直传防线身后，乔文科禁区左侧面对门将出击低传，武齐尼奇在右门柱边推过门线，将比分锁定为3比1
52'卡利亚里球员穆鲁拼抢犯规,对手获得控球权.                   50'补时第5分钟，马尔基西奥直传防线身后，乔文科禁区左侧面对门将出击低传，武齐尼奇在右门柱边推过门线，将比分锁定为3比1
52'比达尔为尤文图斯在右路,赢得一个任意球.                   50'补时第5分钟，马尔基西奥直传防线身后，乔文科禁区左侧面对门将出击低传，武齐尼奇在右门柱边推过门线，将比分锁定为3比1
53'卡利亚里换人,珀佩里科换下穆鲁                   50'补时第5分钟，马尔基西奥直传防线身后，乔文科禁区左侧面对门将出击低传，武齐尼奇在右门柱边推过门线，将比分锁定为3比1
