3'瓜林中场控制球                   1'申花第1分钟前三脚射门全部由瓜林来完成
44'申花犯规                   41'第41分钟切里拉到左路给出精确传中，奥伦加头球点下，张萌祺跟上稍慢，没碰到球
44'中圈争抢球，裁判哨响                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
44'申花犯规                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
45'范云龙外围来一脚远射                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
45'被李帅扑出                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
45'上半场马上就要结束了                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
46'上半场补时2分钟                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
47'曹赟定带球突破，球被踢出了边线                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
47'曹赟定继续拿球，被犯规了                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
47'申花定位球机会                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
46'下半场比赛开始了                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
46'智成率先进攻                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
46'中场莫雷诺将球控制下来                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
47'莫雷诺被犯规了                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
47'法图斯的犯规                   44'第44分钟奥伦加靠身体强行从左路挤进后倒三角传球，范云龙中路射门被李帅扑出
57'中场法图斯将球控制下来                   56'第56分钟切里组织进攻，刘浩拿球右路下底传中，李营建门前抢射没有踢实皮球
57'传球奥伦加                   56'第56分钟切里组织进攻，刘浩拿球右路下底传中，李营建门前抢射没有踢实皮球
57'刘浩拿球，传球禁区，李营的射门，偏了                   56'第56分钟切里组织进攻，刘浩拿球右路下底传中，李营建门前抢射没有踢实皮球
58'莫雷诺中场的传球被断了                   56'第56分钟切里组织进攻，刘浩拿球右路下底传中，李营建门前抢射没有踢实皮球
59'智成获得定位球机会                   56'第56分钟切里组织进攻，刘浩拿球右路下底传中，李营建门前抢射没有踢实皮球
66'柏佳骏控制球，被刘浩断下了                   66'第66分钟申花打出战术角球配合，马丁斯反越位成功，禁区内接到球，但他胸部一垫之后，球被身后的毛剑卿拿到，小毛打远角中柱弹出，接着毛剑卿被判越位
66'瓜林反断回来，传球边路毛剑卿                   66'第66分钟申花打出战术角球配合，马丁斯反越位成功，禁区内接到球，但他胸部一垫之后，球被身后的毛剑卿拿到，小毛打远角中柱弹出，接着毛剑卿被判越位
66'传球禁区                   66'第66分钟申花打出战术角球配合，马丁斯反越位成功，禁区内接到球，但他胸部一垫之后，球被身后的毛剑卿拿到，小毛打远角中柱弹出，接着毛剑卿被判越位
66'球被解围出来                   66'第66分钟申花打出战术角球配合，马丁斯反越位成功，禁区内接到球，但他胸部一垫之后，球被身后的毛剑卿拿到，小毛打远角中柱弹出，接着毛剑卿被判越位
67'角球机会                   66'第66分钟申花打出战术角球配合，马丁斯反越位成功，禁区内接到球，但他胸部一垫之后，球被身后的毛剑卿拿到，小毛打远角中柱弹出，接着毛剑卿被判越位
67'还是战术角球                   66'第66分钟申花打出战术角球配合，马丁斯反越位成功，禁区内接到球，但他胸部一垫之后，球被身后的毛剑卿拿到，小毛打远角中柱弹出，接着毛剑卿被判越位
67'曹赟定传球禁区                   66'第66分钟申花打出战术角球配合，马丁斯反越位成功，禁区内接到球，但他胸部一垫之后，球被身后的毛剑卿拿到，小毛打远角中柱弹出，接着毛剑卿被判越位
68'瓜林来一脚射门                   66'第66分钟申花打出战术角球配合，马丁斯反越位成功，禁区内接到球，但他胸部一垫之后，球被身后的毛剑卿拿到，小毛打远角中柱弹出，接着毛剑卿被判越位
68'打高了                   66'第66分钟申花打出战术角球配合，马丁斯反越位成功，禁区内接到球，但他胸部一垫之后，球被身后的毛剑卿拿到，小毛打远角中柱弹出，接着毛剑卿被判越位
69'莫雷诺中圈重新控制球                   66'第66分钟申花打出战术角球配合，马丁斯反越位成功，禁区内接到球，但他胸部一垫之后，球被身后的毛剑卿拿到，小毛打远角中柱弹出，接着毛剑卿被判越位
69'麦克格文反断                   66'第66分钟申花打出战术角球配合，马丁斯反越位成功，禁区内接到球，但他胸部一垫之后，球被身后的毛剑卿拿到，小毛打远角中柱弹出，接着毛剑卿被判越位
72'前点，球被解围出来                   72'第72分钟贵州梁学铭用换下范云龙
73'韩鹏飞大范围转移球，出了边线                   72'第72分钟贵州梁学铭用换下范云龙
74'王林拿球，被放倒了                   72'第72分钟贵州梁学铭用换下范云龙
75'定位球开出来，韩鹏飞将球控制下来                   72'第72分钟贵州梁学铭用换下范云龙
75'刘浩传球禁区，球被解围出来                   72'第72分钟贵州梁学铭用换下范云龙
75'定位球开出来，韩鹏飞将球控制下来                   75'第75分钟马丁斯在底线抢球时钩倒麦克格文吃到黄牌
75'刘浩传球禁区，球被解围出来                   75'第75分钟马丁斯在底线抢球时钩倒麦克格文吃到黄牌
76'马丁斯带球突破，躺球过人，没能成功                   75'第75分钟马丁斯在底线抢球时钩倒麦克格文吃到黄牌
77'麦克格文送出长传球，曹赟定将球拦截下来                   75'第75分钟马丁斯在底线抢球时钩倒麦克格文吃到黄牌
78'奥伦加将球反抢回来                   75'第75分钟马丁斯在底线抢球时钩倒麦克格文吃到黄牌
78'杨挺传球禁区，找切里                   75'第75分钟马丁斯在底线抢球时钩倒麦克格文吃到黄牌
78'奥伦加将球反抢回来                   78'第78分钟切里强行突破被孙世林抢先把球踢出底线，切里自己主罚角球，韩鹏飞头球高出
78'杨挺传球禁区，找切里                   78'第78分钟切里强行突破被孙世林抢先把球踢出底线，切里自己主罚角球，韩鹏飞头球高出
79'球被解围出底线                   78'第78分钟切里强行突破被孙世林抢先把球踢出底线，切里自己主罚角球，韩鹏飞头球高出
79'智成角球机会                   78'第78分钟切里强行突破被孙世林抢先把球踢出底线，切里自己主罚角球，韩鹏飞头球高出
79'角球开到禁区，前点，韩鹏飞的头球攻门                   78'第78分钟切里强行突破被孙世林抢先把球踢出底线，切里自己主罚角球，韩鹏飞头球高出
79'顶高了                   78'第78分钟切里强行突破被孙世林抢先把球踢出底线，切里自己主罚角球，韩鹏飞头球高出
80'王林的传球出现了失误                   78'第78分钟切里强行突破被孙世林抢先把球踢出底线，切里自己主罚角球，韩鹏飞头球高出
81'刘浩断球快速过半场                   78'第78分钟切里强行突破被孙世林抢先把球踢出底线，切里自己主罚角球，韩鹏飞头球高出
81'刘浩挑传禁区                   78'第78分钟切里强行突破被孙世林抢先把球踢出底线，切里自己主罚角球，韩鹏飞头球高出
81'球被解围出来                   78'第78分钟切里强行突破被孙世林抢先把球踢出底线，切里自己主罚角球，韩鹏飞头球高出
85'角球开出来，球被解围出来                   85'第85分钟李帅发球有些慢被吃到黄牌
85'毛剑卿拿球，被犯规了                   85'第85分钟李帅发球有些慢被吃到黄牌
86'李帅因为拖延时间吃到了一张黄牌                   85'第85分钟李帅发球有些慢被吃到黄牌
86'下半场也接近尾声了                   85'第85分钟李帅发球有些慢被吃到黄牌
87'曹赟定前场拿球，挑传马丁斯                   85'第85分钟李帅发球有些慢被吃到黄牌
87'来一脚射门                   85'第85分钟李帅发球有些慢被吃到黄牌
88'被门将稳稳抱住                   85'第85分钟李帅发球有些慢被吃到黄牌
88'申花换人了                   85'第85分钟李帅发球有些慢被吃到黄牌
88'王寿亭换下了曹赟定                   85'第85分钟李帅发球有些慢被吃到黄牌
86'李帅因为拖延时间吃到了一张黄牌                   86'第86分钟申花用王寿挺换下曹赟定，贵州用逢志泉换下李营健
86'下半场也接近尾声了                   86'第86分钟申花用王寿挺换下曹赟定，贵州用逢志泉换下李营健
87'曹赟定前场拿球，挑传马丁斯                   86'第86分钟申花用王寿挺换下曹赟定，贵州用逢志泉换下李营健
87'来一脚射门                   86'第86分钟申花用王寿挺换下曹赟定，贵州用逢志泉换下李营健
88'被门将稳稳抱住                   86'第86分钟申花用王寿挺换下曹赟定，贵州用逢志泉换下李营健
88'申花换人了                   86'第86分钟申花用王寿挺换下曹赟定，贵州用逢志泉换下李营健
88'王寿亭换下了曹赟定                   86'第86分钟申花用王寿挺换下曹赟定，贵州用逢志泉换下李营健
89'马丁斯前场拿球，突破禁区，带球出了底线。。。。。。。。。                   86'第86分钟申花用王寿挺换下曹赟定，贵州用逢志泉换下李营健
