4'富勒姆球员鲁伊斯大禁区外左脚射门,被防守球员封堵.给他传球的是西德维尔.                   4'第4分钟，西德维尔传球，布莱恩-鲁伊斯禁区前劲射被默特萨克挡出
67'进球啦！！！富勒姆球员贝尔巴托夫右脚射门,球从左下角飞进球门,球进了! 阿森纳 2-3 富勒姆.                   67'富勒姆第67分钟反超比分，阿尔特塔被布莱恩-鲁伊斯抢断后禁区内无奈犯规，贝尔巴托夫点球低射左下死角入网，3-2
68'射门!!!阿森纳球员沃尔科特大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是卡佐拉.                   67'富勒姆第67分钟反超比分，阿尔特塔被布莱恩-鲁伊斯抢断后禁区内无奈犯规，贝尔巴托夫点球低射左下死角入网，3-2
68'射门!!!富勒姆球员卡坎克利奇大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是贝尔巴托夫.                   67'富勒姆第67分钟反超比分，阿尔特塔被布莱恩-鲁伊斯抢断后禁区内无奈犯规，贝尔巴托夫点球低射左下死角入网，3-2
69'阿森纳球员吉鲁德大禁区中央左脚射门,命中门柱右侧立柱.给他传球的是卡佐拉.                   67'富勒姆第67分钟反超比分，阿尔特塔被布莱恩-鲁伊斯抢断后禁区内无奈犯规，贝尔巴托夫点球低射左下死角入网，3-2
69'进球啦！！！阿森纳球员吉鲁德大禁区中央头球,球从左上角飞进球门,球进了!助攻的是沃尔科特. 阿森纳 3-3 富勒姆.                   67'富勒姆第67分钟反超比分，阿尔特塔被布莱恩-鲁伊斯抢断后禁区内无奈犯规，贝尔巴托夫点球低射左下死角入网，3-2
69'阿森纳球员吉鲁德大禁区中央左脚射门,命中门柱右侧立柱.给他传球的是卡佐拉.                   69'阿森纳随即在第69分钟扳平比分，卡索拉传球，吉鲁禁区边缘内左脚单刀推射打中右侧立柱弹回，沃尔科特禁区右侧传中，无人防守的吉鲁小禁区边缘外头球破门，3-3
69'进球啦！！！阿森纳球员吉鲁德大禁区中央头球,球从左上角飞进球门,球进了!助攻的是沃尔科特. 阿森纳 3-3 富勒姆.                   69'阿森纳随即在第69分钟扳平比分，卡索拉传球，吉鲁禁区边缘内左脚单刀推射打中右侧立柱弹回，沃尔科特禁区右侧传中，无人防守的吉鲁小禁区边缘外头球破门，3-3
71'射门!!!富勒姆球员鲁伊斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是卡坎克利奇.                   69'阿森纳随即在第69分钟扳平比分，卡索拉传球，吉鲁禁区边缘内左脚单刀推射打中右侧立柱弹回，沃尔科特禁区右侧传中，无人防守的吉鲁小禁区边缘外头球破门，3-3
71'曼诺内将球处理出底线,富勒姆获得角球.                   69'阿森纳随即在第69分钟扳平比分，卡索拉传球，吉鲁禁区边缘内左脚单刀推射打中右侧立柱弹回，沃尔科特禁区右侧传中，无人防守的吉鲁小禁区边缘外头球破门，3-3
76'富勒姆球员里特一脚直塞球给鲁伊斯,但是边裁举旗显示后者已经越位.                   76'第76分钟，张伯伦换下波多尔斯基
76'阿森纳换人,张伯伦换下波多尔斯基                   76'第76分钟，张伯伦换下波多尔斯基
89'富勒姆球员汉格兰德大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是鲁伊斯.                   89'第89分钟，汉格兰德接角球头球攻门偏出
90'富勒姆球员鲁伊斯一脚直塞球给贝尔巴托夫,但是边裁举旗显示后者已经越位.                   89'第89分钟，汉格兰德接角球头球攻门偏出
90'阿森纳球员吉鲁德大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是萨尼亚.                   89'第89分钟，汉格兰德接角球头球攻门偏出
90'+1'休斯将球处理出底线,阿森纳获得角球.                   89'第89分钟，汉格兰德接角球头球攻门偏出
90'+2'西德维尔将球处理出底线,阿森纳获得角球.                   89'第89分钟，汉格兰德接角球头球攻门偏出
90'+2'阿森纳球员阿尔特塔大禁区外右脚射门,被防守球员封堵.                   89'第89分钟，汉格兰德接角球头球攻门偏出
90'+3'贝尔德将球处理出底线,阿森纳获得角球.                   89'第89分钟，汉格兰德接角球头球攻门偏出
90'+4'富勒姆球员里特手球,致使对方获得点球.                   89'第89分钟，汉格兰德接角球头球攻门偏出
90'+5'富勒姆球员贝尔德被主裁判出示了一张黄牌.                   89'第89分钟，汉格兰德接角球头球攻门偏出
90'+5'阿森纳球员阿尔特塔点球被对方守门员扑出.点球罚失.                   89'第89分钟，汉格兰德接角球头球攻门偏出
90'+5'下半场结束,阿森纳 3-3 富勒姆                   89'第89分钟，汉格兰德接角球头球攻门偏出
