1'斯图若多为尤文图斯在右路,赢得一个任意球.                   1'第1分钟，那不勒斯一点也不给双冠王面子，主动发起进攻
70'布冯将球处理出底线,那不勒斯获得角球.                   69'第69分钟，马乔右侧顶向中路，大卫-洛佩斯在门前14米处凌空推射被布冯单手托出横梁，梅尔滕斯左侧开出角球，哈姆西克后点距门5米处头球弹地被布冯封出近角，卡列洪右侧再开角球，布冯出击扑空，大卫-洛佩斯又顶出弹地球被挡出
70'那不勒斯球员D-洛佩斯大禁区中央头球,被防守球员封堵.给他传球的是卡列洪.                   69'第69分钟，马乔右侧顶向中路，大卫-洛佩斯在门前14米处凌空推射被布冯单手托出横梁，梅尔滕斯左侧开出角球，哈姆西克后点距门5米处头球弹地被布冯封出近角，卡列洪右侧再开角球，布冯出击扑空，大卫-洛佩斯又顶出弹地球被挡出
70'射门!!!那不勒斯球员哈姆西克球门线跟前右脚射门,被对方守门员横身扑出.给他传球的是加比亚迪尼.                   69'第69分钟，马乔右侧顶向中路，大卫-洛佩斯在门前14米处凌空推射被布冯单手托出横梁，梅尔滕斯左侧开出角球，哈姆西克后点距门5米处头球弹地被布冯封出近角，卡列洪右侧再开角球，布冯出击扑空，大卫-洛佩斯又顶出弹地球被挡出
71'尤文图斯换人,皮尔洛换下马尔基西奥                   69'第69分钟，马乔右侧顶向中路，大卫-洛佩斯在门前14米处凌空推射被布冯单手托出横梁，梅尔滕斯左侧开出角球，哈姆西克后点距门5米处头球弹地被布冯封出近角，卡列洪右侧再开角球，布冯出击扑空，大卫-洛佩斯又顶出弹地球被挡出
77'进球啦！！！尤文图斯球员斯图若多大禁区中央左脚射门,球从左上角飞进球门,球进了!助攻的是莫拉塔. 尤文图斯 2-1 那不勒斯.                   77'尤文第77分钟再度超出
78'那不勒斯换人,约尔吉尼奥换下加尔加诺                   77'尤文第77分钟再度超出
79'尤文图斯换人,佩佩换下佩雷拉                   77'尤文第77分钟再度超出
80'博努奇将球处理出底线,那不勒斯获得角球.                   77'尤文第77分钟再度超出
80'那不勒斯球员D-洛佩斯大禁区中央尝试,可惜皮球稍稍偏出了右球门.给他传球的是默滕斯.                   77'尤文第77分钟再度超出
80'那不勒斯球员哈姆西克大禁区外右脚射门,被防守球员封堵.给他传球的是默滕斯.                   77'尤文第77分钟再度超出
89'那不勒斯球员哈姆西克大禁区外右脚射门,被防守球员封堵.                   89'第89分钟，梅尔滕斯左路传中，加比亚迪尼在门前5米处头球一蹭，布冯下意识倒地封出
89'射门!!!那不勒斯球员加比亚迪尼大禁区中央头球,被对方守门员横身扑出.给他传球的是默滕斯.                   89'第89分钟，梅尔滕斯左路传中，加比亚迪尼在门前5米处头球一蹭，布冯下意识倒地封出
89'阿萨莫阿将球处理出底线,那不勒斯获得角球.                   89'第89分钟，梅尔滕斯左路传中，加比亚迪尼在门前5米处头球一蹭，布冯下意识倒地封出
90'+1'尤文图斯球员莫拉塔被主裁判出示了一张黄牌.                   89'第89分钟，梅尔滕斯左路传中，加比亚迪尼在门前5米处头球一蹭，布冯下意识倒地封出
90'+1'那不勒斯球员布里托斯犯规,致使对方获得点球.                   89'第89分钟，梅尔滕斯左路传中，加比亚迪尼在门前5米处头球一蹭，布冯下意识倒地封出
90'+1'点球,莫拉塔在禁区内被侵犯,尤文图斯获得点球.                   89'第89分钟，梅尔滕斯左路传中，加比亚迪尼在门前5米处头球一蹭，布冯下意识倒地封出
90'+1'那不勒斯球员布里托斯因为在场上斗殴,被裁判直接红牌罚下.                   89'第89分钟，梅尔滕斯左路传中，加比亚迪尼在门前5米处头球一蹭，布冯下意识倒地封出
90'+3'进球啦！！！尤文图斯球员佩佩右脚射门,球从中路飞进球门,球进了! 尤文图斯 3-1 那不勒斯.                   89'第89分钟，梅尔滕斯左路传中，加比亚迪尼在门前5米处头球一蹭，布冯下意识倒地封出
90'+5'下半场结束,尤文图斯 3-1 那不勒斯                   89'第89分钟，梅尔滕斯左路传中，加比亚迪尼在门前5米处头球一蹭，布冯下意识倒地封出
