18'国际米兰坎比亚索受伤倒地,比赛暂停                   18'第18分钟，坎比亚索受伤到场边治疗
74'利沃诺球员保利尼奥大禁区中央尝试头球,可惜皮球高出球门.给他传球的是格米蒂.                   73'第73分钟，国米禁区内小配合，长友佑都做给坎比亚索，坎比亚索在门前12米处推射被巴尔迪倒地没收
76'埃莫森将球处理出底线,国际米兰获得角球.                   73'第73分钟，国米禁区内小配合，长友佑都做给坎比亚索，坎比亚索在门前12米处推射被巴尔迪倒地没收
48'利沃诺球员瓦伦蒂尼一脚直塞球给希利加尔迪,但是边裁举旗显示后者已经越位.                   47'2分钟后，贝尔福迪左侧开出角球，拉诺齐亚头球被巴尔迪得到
85'希亚塔雷拉为利沃诺赢得一个任意球.                   85'第85分钟，萨内蒂长距离冲刺又引来喝彩
85'国际米兰球员坎比亚索拼抢犯规,对手获得控球权.                   85'第85分钟，萨内蒂长距离冲刺又引来喝彩
87'利沃诺换人,Miguel Borja换下格米蒂                   85'第85分钟，萨内蒂长距离冲刺又引来喝彩
88'国际米兰若纳坦受伤倒地,比赛暂停                   85'第85分钟，萨内蒂长距离冲刺又引来喝彩
88'暂停结束,球员们重新开始比赛.                   85'第85分钟，萨内蒂长距离冲刺又引来喝彩
48'利沃诺球员瓦伦蒂尼一脚直塞球给希利加尔迪,但是边裁举旗显示后者已经越位.                   46'补时第1分钟，萨内蒂右路过人传球，科瓦契奇又连过3人轻搓禁区，长友佑都在门前10米处半凌空勾射入右下角，2比0
52'利沃诺球员姆巴耶拼抢犯规,对手获得控球权.                   49'补时第4分钟，罗兰多背后踢倒保利尼奥，被黄牌警告
52'瓜林为国际米兰在对方半场,赢得一个任意球.                   49'补时第4分钟，罗兰多背后踢倒保利尼奥，被黄牌警告
52'国际米兰球员瓜林大禁区外右脚射门,被防守球员封堵.给他传球的是坎比亚索.                   49'补时第4分钟，罗兰多背后踢倒保利尼奥，被黄牌警告
