1'上半场比赛开始                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
67'苏瓦雷左路拿球，斜传给到博拉西耶，博拉西耶横传球，萨科停球一扣，摆脱放铲的阿斯皮利奎塔，接着右脚抽射，打进球门右侧！！！                   65'水晶宫第65分钟打破僵局，索亚雷直传，博拉西耶禁区左侧传中，阿斯皮利奎塔封铲未能解围，萨科10码处射入上角
67'萨科这反应速度，值得称赞啊                   65'水晶宫第65分钟打破僵局，索亚雷直传，博拉西耶禁区左侧传中，阿斯皮利奎塔封铲未能解围，萨科10码处射入上角
67'切尔西换人：9号法尔考上，换下22号威廉                   65'水晶宫第65分钟打破僵局，索亚雷直传，博拉西耶禁区左侧传中，阿斯皮利奎塔封铲未能解围，萨科10码处射入上角
68'本场比赛率先进球的是水晶宫！！你答对了吗？[qiangda]                   65'水晶宫第65分钟打破僵局，索亚雷直传，博拉西耶禁区左侧传中，阿斯皮利奎塔封铲未能解围，萨科10码处射入上角
68'切尔西再次换人：16号肯尼迪上，换下28号阿斯皮利奎塔                   65'水晶宫第65分钟打破僵局，索亚雷直传，博拉西耶禁区左侧传中，阿斯皮利奎塔封铲未能解围，萨科10码处射入上角
74'萨科右路拿球，强突后横传到禁区                   74'水晶宫第74分钟险些扩大比分，萨科右路传中，博拉西耶小禁区边缘推射偏出
74'博拉西耶后点跟进，在卡希尔的干扰下，推射打偏啦                   74'水晶宫第74分钟险些扩大比分，萨科右路传中，博拉西耶小禁区边缘推射偏出
74'非常好的一次机会，几乎是个空门，可惜博拉西耶自己没能控制好，打飞啦                   74'水晶宫第74分钟险些扩大比分，萨科右路传中，博拉西耶小禁区边缘推射偏出
75'蓝军前场进攻，赢得任意球，并未形成威胁                   74'水晶宫第74分钟险些扩大比分，萨科右路传中，博拉西耶小禁区边缘推射偏出
75'小法中场失误，麦克阿瑟的抢断                   74'水晶宫第74分钟险些扩大比分，萨科右路传中，博拉西耶小禁区边缘推射偏出
75'麦克阿瑟中路带球，禁区弧顶分边左侧给到博拉西耶                   74'水晶宫第74分钟险些扩大比分，萨科右路传中，博拉西耶小禁区边缘推射偏出
76'博拉西耶得球，内切，禁区角上起脚兜弧线打门，高出横梁出底线                   74'水晶宫第74分钟险些扩大比分，萨科右路传中，博拉西耶小禁区边缘推射偏出
77'水晶宫前场进攻，再次赢得左侧角球机会                   74'水晶宫第74分钟险些扩大比分，萨科右路传中，博拉西耶小禁区边缘推射偏出
79'切尔西进球啦！！！                   79'切尔西第79分钟扳平比分，佩德罗右路传中，法尔考前点小禁区边缘抢在德莱尼之前鱼跃顶入右下死角，1-1
79'此时此刻值得来杯嘉士伯！！！！                   79'切尔西第79分钟扳平比分，佩德罗右路传中，法尔考前点小禁区边缘抢在德莱尼之前鱼跃顶入右下死角，1-1
80'法尔考的甩头攻门，顶进近角！！！                   79'切尔西第79分钟扳平比分，佩德罗右路传中，法尔考前点小禁区边缘抢在德莱尼之前鱼跃顶入右下死角，1-1
80'小法中场拿球，斜传转移球到右侧给佩德罗，佩德罗挑传球到前点，法尔考抢在德拉尼之前甩头攻门，顶进近角！！！                   79'切尔西第79分钟扳平比分，佩德罗右路传中，法尔考前点小禁区边缘抢在德莱尼之前鱼跃顶入右下死角，1-1
81'法尔考的这个进球，也是打破了自己的17球英超进球荒！！！                   79'切尔西第79分钟扳平比分，佩德罗右路传中，法尔考前点小禁区边缘抢在德莱尼之前鱼跃顶入右下死角，1-1
81'水晶宫再次领先啦！！！                   79'切尔西第79分钟扳平比分，佩德罗右路传中，法尔考前点小禁区边缘抢在德莱尼之前鱼跃顶入右下死角，1-1
81'此时此刻值得来杯嘉士伯！！！！                   79'切尔西第79分钟扳平比分，佩德罗右路传中，法尔考前点小禁区边缘抢在德莱尼之前鱼跃顶入右下死角，1-1
82'沃德的鱼跃冲顶，顶进空门！！！                   79'切尔西第79分钟扳平比分，佩德罗右路传中，法尔考前点小禁区边缘抢在德莱尼之前鱼跃顶入右下死角，1-1
81'法尔考的这个进球，也是打破了自己的17球英超进球荒！！！                   81'水晶宫第81分钟再度超出，博拉西耶左路传中，远点无人防守的萨科回传，沃德小禁区边缘头球破门，2-1
81'水晶宫再次领先啦！！！                   81'水晶宫第81分钟再度超出，博拉西耶左路传中，远点无人防守的萨科回传，沃德小禁区边缘头球破门，2-1
81'此时此刻值得来杯嘉士伯！！！！                   81'水晶宫第81分钟再度超出，博拉西耶左路传中，远点无人防守的萨科回传，沃德小禁区边缘头球破门，2-1
82'沃德的鱼跃冲顶，顶进空门！！！                   81'水晶宫第81分钟再度超出，博拉西耶左路传中，远点无人防守的萨科回传，沃德小禁区边缘头球破门，2-1
83'博拉西耶左路拿球，内切，禁区线上起球到后点，萨科前插吸引库尔图瓦出击，萨科将球端回中路，沃德一个鱼跃冲顶，顶进空门！！！                   81'水晶宫第81分钟再度超出，博拉西耶左路传中，远点无人防守的萨科回传，沃德小禁区边缘头球破门，2-1
83'切尔西的前场进攻，伊万的头球，顶偏                   81'水晶宫第81分钟再度超出，博拉西耶左路传中，远点无人防守的萨科回传，沃德小禁区边缘头球破门，2-1
84'水晶宫换人：李青龙上，换下萨科；莱德利换下卡巴耶                   81'水晶宫第81分钟再度超出，博拉西耶左路传中，远点无人防守的萨科回传，沃德小禁区边缘头球破门，2-1
84'这样两队的三个换人名额全部用完啦                   81'水晶宫第81分钟再度超出，博拉西耶左路传中，远点无人防守的萨科回传，沃德小禁区边缘头球破门，2-1
