6'张璐将球挑到前场，荣昊头球顶一下                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
18'回复：丘陵也有海拔 对 命运与舞会说 埃尔克森停赛,穆里奇好像是伤了（嗯，恒大进攻受很大影响）                   17'第17分钟，广州恒大中场策动进攻，迪亚曼蒂将球转移到左路，金英权高速插上稍作调整起左脚劲射，周亚君横身将球扑出底线
18'建业中路的进攻，张璐将给马科斯，马科斯倚住金英权回做                   17'第17分钟，广州恒大中场策动进攻，迪亚曼蒂将球转移到左路，金英权高速插上稍作调整起左脚劲射，周亚君横身将球扑出底线
19'张璐跟进的远射没有吃正部位                   17'第17分钟，广州恒大中场策动进攻，迪亚曼蒂将球转移到左路，金英权高速插上稍作调整起左脚劲射，周亚君横身将球扑出底线
19'郑智得球交给董学升，董学升短传郜林                   17'第17分钟，广州恒大中场策动进攻，迪亚曼蒂将球转移到左路，金英权高速插上稍作调整起左脚劲射，周亚君横身将球扑出底线
19'郜林回做，雷内分边力量小了，尹鸿博启动断球了                   17'第17分钟，广州恒大中场策动进攻，迪亚曼蒂将球转移到左路，金英权高速插上稍作调整起左脚劲射，周亚君横身将球扑出底线
20'金英权上前被断球，金英权回身踢倒了尹鸿博！                   17'第17分钟，广州恒大中场策动进攻，迪亚曼蒂将球转移到左路，金英权高速插上稍作调整起左脚劲射，周亚君横身将球扑出底线
20'主裁判李俊向金英权出示本场比赛第一张黄牌！                   17'第17分钟，广州恒大中场策动进攻，迪亚曼蒂将球转移到左路，金英权高速插上稍作调整起左脚劲射，周亚君横身将球扑出底线
27'黄希扬回传给桑科，桑科漂亮的长传到禁区前沿                   27'第27分钟，河南建业后场长传到禁区前沿，拉斐尔胸部控制球下来压入禁区内，可惜球趟得有点大无法跟上错失直接面对守门员机会
27'拉斐尔胸部停球下来左脚一扣过掉金英权，还好李帅出击及时将球没收                   27'第27分钟，河南建业后场长传到禁区前沿，拉斐尔胸部控制球下来压入禁区内，可惜球趟得有点大无法跟上错失直接面对守门员机会
27'回头董学升再一次越位                   27'第27分钟，河南建业后场长传到禁区前沿，拉斐尔胸部控制球下来压入禁区内，可惜球趟得有点大无法跟上错失直接面对守门员机会
28'荣昊右路断球交给迪亚曼蒂，买提江中路防守犯规                   27'第27分钟，河南建业后场长传到禁区前沿，拉斐尔胸部控制球下来压入禁区内，可惜球趟得有点大无法跟上错失直接面对守门员机会
28'廖力生过顶传球被桑顶了回来，拉斐尔中场抢球推倒了迪亚曼蒂                   27'第27分钟，河南建业后场长传到禁区前沿，拉斐尔胸部控制球下来压入禁区内，可惜球趟得有点大无法跟上错失直接面对守门员机会
28'迪亚曼蒂过半场尝试一次远射，偏离目标很多                   27'第27分钟，河南建业后场长传到禁区前沿，拉斐尔胸部控制球下来压入禁区内，可惜球趟得有点大无法跟上错失直接面对守门员机会
29'回复：永远00714 这个马克斯的优异表现，让我想到了原陕西大杀四方的外援马克斯！（很遥远的记忆了，当年马克斯还被提议加入中国国籍）                   27'第27分钟，河南建业后场长传到禁区前沿，拉斐尔胸部控制球下来压入禁区内，可惜球趟得有点大无法跟上错失直接面对守门员机会
30'马科斯左路的传中，郑智头球顶出来                   27'第27分钟，河南建业后场长传到禁区前沿，拉斐尔胸部控制球下来压入禁区内，可惜球趟得有点大无法跟上错失直接面对守门员机会
30'恒大的反击，孙祥交给拉边的郜林                   27'第27分钟，河南建业后场长传到禁区前沿，拉斐尔胸部控制球下来压入禁区内，可惜球趟得有点大无法跟上错失直接面对守门员机会
30'郜林回给廖力生现转移给荣昊                   27'第27分钟，河南建业后场长传到禁区前沿，拉斐尔胸部控制球下来压入禁区内，可惜球趟得有点大无法跟上错失直接面对守门员机会
30'迪亚曼蒂接应，建业已经回防到位                   27'第27分钟，河南建业后场长传到禁区前沿，拉斐尔胸部控制球下来压入禁区内，可惜球趟得有点大无法跟上错失直接面对守门员机会
35'张璐分给尹鸿博，尹鸿博传中，郑智头球攻门解围                   35'第35分钟，河南建业前场右路策动进攻，球传到禁区内恒大后卫头球解围不远，禁区外围黄希扬跟进选择直接远射，球高出了横梁许多
35'黄博文外围远射打偏了                   35'第35分钟，河南建业前场右路策动进攻，球传到禁区内恒大后卫头球解围不远，禁区外围黄希扬跟进选择直接远射，球高出了横梁许多
36'上半场到目前为止建业队的打门比恒大还要多                   35'第35分钟，河南建业前场右路策动进攻，球传到禁区内恒大后卫头球解围不远，禁区外围黄希扬跟进选择直接远射，球高出了横梁许多
36'恒大的进攻套路没能打出来，当然今天恒大的人员残缺得比较厉害                   35'第35分钟，河南建业前场右路策动进攻，球传到禁区内恒大后卫头球解围不远，禁区外围黄希扬跟进选择直接远射，球高出了横梁许多
37'恒大左路的进攻，孙祥直塞打身后，郜林越位了一点点                   35'第35分钟，河南建业前场右路策动进攻，球传到禁区内恒大后卫头球解围不远，禁区外围黄希扬跟进选择直接远射，球高出了横梁许多
37'董学升中场带球，交给荣昊                   35'第35分钟，河南建业前场右路策动进攻，球传到禁区内恒大后卫头球解围不远，禁区外围黄希扬跟进选择直接远射，球高出了横梁许多
38'雷内接应，几下过渡后又到了雷内脚下，李志南上抢扫倒了雷内                   35'第35分钟，河南建业前场右路策动进攻，球传到禁区内恒大后卫头球解围不远，禁区外围黄希扬跟进选择直接远射，球高出了横梁许多
38'恒大获得一个前场中路的任意球机会！                   35'第35分钟，河南建业前场右路策动进攻，球传到禁区内恒大后卫头球解围不远，禁区外围黄希扬跟进选择直接远射，球高出了横梁许多
40'迪亚曼蒂任意球直接打门被人墙挡住，第二点争夺迪亚曼蒂扛人犯规                   40'第40分钟，张琳M中场左路一次犯规被主裁判出示了一张黄牌
40'黄希扬分边左路，张琳芃踢倒了徐洋                   40'第40分钟，张琳M中场左路一次犯规被主裁判出示了一张黄牌
41'张琳芃也吃到一张黄牌！                   40'第40分钟，张琳M中场左路一次犯规被主裁判出示了一张黄牌
41'黄希扬任意球吊到禁区李帅摘高球有点脱手，还好马上将球拿回来                   40'第40分钟，张琳M中场左路一次犯规被主裁判出示了一张黄牌
42'张璐中场拿球被雷内捅掉，张璐拉人犯规                   40'第40分钟，张琳M中场左路一次犯规被主裁判出示了一张黄牌
42'迪亚曼蒂中路停球顺势抹过去被拉斐尔绊倒                   40'第40分钟，张琳M中场左路一次犯规被主裁判出示了一张黄牌
42'，对不起，是被尹鸿博绊倒，动作比较大，不过裁判没有给黄牌                   40'第40分钟，张琳M中场左路一次犯规被主裁判出示了一张黄牌
43'迪亚曼蒂还是硬射，穿不过人墙                   40'第40分钟，张琳M中场左路一次犯规被主裁判出示了一张黄牌
43'雷内左路边线前护球出了底线                   40'第40分钟，张琳M中场左路一次犯规被主裁判出示了一张黄牌
43'雷内今天的表现应该令里皮满意                   40'第40分钟，张琳M中场左路一次犯规被主裁判出示了一张黄牌
48'下半场恒大好像打起了三后卫，郑智、雷内与金英权                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
48'黄博文转移到右路，雷内得球交给张琳芃，张琳芃的传中球传得比较大                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
49'拉斐尔右路得球同，清脆地晃过了金英权                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
49'可惜打门处理不好，踢到球下部打飞了！                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
50'黄博文中场是球，分给迪亚曼蒂                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
50'迪亚曼蒂回传到中场，金英权过渡到左路                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
50'雷内已经来到这一侧，转身被张璐拦截出边线                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
50'郜林出来接应界外球回传，力量不好，球已经出了边线                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
51'黄博文再次送过顶球到禁区，桑科头球后蹭交给周亚君                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
51'马科斯右路得球，交给尹鸿博，尹鸿博内切                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
51'分到左路的张璐，张璐传中被郑智解围                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
51'雷内中场变向过人被买提江放倒                   48'第48分钟，河南建业右路策动进攻，拉斐尔巧妙摆脱金英权防守，起左脚劲射球高得有点离谱
55'雷内分边给了郜林，郜林对方两人间塞给雷内，雷内从禁区左边缘加速“油爆丸子”过掉李志南后倚住张璐右脚弹射远门柱，尽管周亚君挡了一下，但球还是滚入球门右下角！                   54'第54分钟，广州恒大中场斜塞右路空挡，郜林高速插上摆脱出击守门员横敲门前，建业后卫及时封堵头球解围
55'迪亚曼蒂左路得球，大力送后点，周亚君将球摘下                   54'第54分钟，广州恒大中场斜塞右路空挡，郜林高速插上摆脱出击守门员横敲门前，建业后卫及时封堵头球解围
55'周亚君手抛球发动进攻，徐洋下底传中，金英权抢先捅到球                   54'第54分钟，广州恒大中场斜塞右路空挡，郜林高速插上摆脱出击守门员横敲门前，建业后卫及时封堵头球解围
55'裁判吹了拉斐尔推人犯规                   54'第54分钟，广州恒大中场斜塞右路空挡，郜林高速插上摆脱出击守门员横敲门前，建业后卫及时封堵头球解围
57'回复：用户uhf8ab8scm 建业怎么有两个拉斐尔？（只有一个，11号是拉斐尔，9号是瑞恩-约翰逊）                   54'第54分钟，广州恒大中场斜塞右路空挡，郜林高速插上摆脱出击守门员横敲门前，建业后卫及时封堵头球解围
57'金英权长传前场，张璐头球解围到中场                   54'第54分钟，广州恒大中场斜塞右路空挡，郜林高速插上摆脱出击守门员横敲门前，建业后卫及时封堵头球解围
64'里皮中场换上的球员又有进球，确实不服不行！                   64'第64分钟，里皮用梅方替换迪亚曼蒂，要为周中亚冠留力了
64'尹鸿博右路得球内切后传禁区，给得太直了                   64'第64分钟，里皮用梅方替换迪亚曼蒂，要为周中亚冠留力了
64'河南建业换人，22号祝一帆换下了40号买提江！                   64'第64分钟，里皮用梅方替换迪亚曼蒂，要为周中亚冠留力了
65'郜林与董学升在左路打二过人配合，郜林再往前突，李志南阻挡犯规                   64'第64分钟，里皮用梅方替换迪亚曼蒂，要为周中亚冠留力了
65'李志南拿到一张黄牌！                   64'第64分钟，里皮用梅方替换迪亚曼蒂，要为周中亚冠留力了
65'这边厢恒大的梅方准备上场                   64'第64分钟，里皮用梅方替换迪亚曼蒂，要为周中亚冠留力了
65'3号梅方换下的是23号迪亚曼蒂！！！                   64'第64分钟，里皮用梅方替换迪亚曼蒂，要为周中亚冠留力了
66'迪亚曼蒂下场时也向观众席鼓掌致意！下星期还有亚冠的比赛，迪亚曼蒂被换下也合理                   64'第64分钟，里皮用梅方替换迪亚曼蒂，要为周中亚冠留力了
66'黄博文的任意球传中比较低                   64'第64分钟，里皮用梅方替换迪亚曼蒂，要为周中亚冠留力了
67'雷内分给给了冯仁亮，冯仁亮下底传中，直接出了底线                   64'第64分钟，里皮用梅方替换迪亚曼蒂，要为周中亚冠留力了
72'桑科中路大脚解围落在郑智面前，郑智直接一端形成一记漂亮的过顶传球，郜林反越位成功精彩地脚面将球粘下来面对周亚君没有贪功而是横传给位置更好的董学升，董学升推射空门成功！                   71'第71分钟，河南建业后卫解围不远，孙祥直接一脚长传前场郜林反越位成功面对出击守门员及时横敲中路空挡，董学升跟进直接推射空门得手，场上比分改写为3比0
72'河南建业换人，5号顾超换下了18号徐洋！                   71'第71分钟，河南建业后卫解围不远，孙祥直接一脚长传前场郜林反越位成功面对出击守门员及时横敲中路空挡，董学升跟进直接推射空门得手，场上比分改写为3比0
72'此外，9号瑞恩-约翰逊换下了3号桑科！                   71'第71分钟，河南建业后卫解围不远，孙祥直接一脚长传前场郜林反越位成功面对出击守门员及时横敲中路空挡，董学升跟进直接推射空门得手，场上比分改写为3比0
74'恒大的反击，董学升中路接应分到右路                   71'第71分钟，河南建业后卫解围不远，孙祥直接一脚长传前场郜林反越位成功面对出击守门员及时横敲中路空挡，董学升跟进直接推射空门得手，场上比分改写为3比0
74'冯仁亮的传中球被顾超拦截                   71'第71分钟，河南建业后卫解围不远，孙祥直接一脚长传前场郜林反越位成功面对出击守门员及时横敲中路空挡，董学升跟进直接推射空门得手，场上比分改写为3比0
74'顾超上来后取代桑科站以中后位位置                   71'第71分钟，河南建业后卫解围不远，孙祥直接一脚长传前场郜林反越位成功面对出击守门员及时横敲中路空挡，董学升跟进直接推射空门得手，场上比分改写为3比0
83'尹鸿博左路再传中，约翰逊抢前点头球攻门偏出                   83'第83分钟，黄博文中场及时转移到右路空挡，冯仁亮得球高速压入禁区可惜处理球有点慢，面对守门员射门打在及时回访球员脚上出了底线
83'雷内后场放一脚长传，李志南头球解围                   83'第83分钟，黄博文中场及时转移到右路空挡，冯仁亮得球高速压入禁区可惜处理球有点慢，面对守门员射门打在及时回访球员脚上出了底线
84'中场还是恒大的球，分到右路，冯仁亮进了禁区                   83'第83分钟，黄博文中场及时转移到右路空挡，冯仁亮得球高速压入禁区可惜处理球有点慢，面对守门员射门打在及时回访球员脚上出了底线
84'冯仁亮打门被顾超伸腿挡出底线                   83'第83分钟，黄博文中场及时转移到右路空挡，冯仁亮得球高速压入禁区可惜处理球有点慢，面对守门员射门打在及时回访球员脚上出了底线
84'恒大获得前场右路的角球机会                   83'第83分钟，黄博文中场及时转移到右路空挡，冯仁亮得球高速压入禁区可惜处理球有点慢，面对守门员射门打在及时回访球员脚上出了底线
84'黄博文角球发到前眯，顾超顶到第一点                   83'第83分钟，黄博文中场及时转移到右路空挡，冯仁亮得球高速压入禁区可惜处理球有点慢，面对守门员射门打在及时回访球员脚上出了底线
85'约翰逊加一头解围                   83'第83分钟，黄博文中场及时转移到右路空挡，冯仁亮得球高速压入禁区可惜处理球有点慢，面对守门员射门打在及时回访球员脚上出了底线
86'回复：杭州炭马 张琳芃缺勤国家队，伤好这么快？（张琳芃是因为累计黄牌停赛缺席中伊之战）                   83'第83分钟，黄博文中场及时转移到右路空挡，冯仁亮得球高速压入禁区可惜处理球有点慢，面对守门员射门打在及时回访球员脚上出了底线
86'回复：十三班-Kiss哥 恒大开始锋线不要外援了。。。。。（还不能如此定论）                   83'第83分钟，黄博文中场及时转移到右路空挡，冯仁亮得球高速压入禁区可惜处理球有点慢，面对守门员射门打在及时回访球员脚上出了底线
86'郑智中场短传给雷内，雷内转身被祝一帆绊倒                   83'第83分钟，黄博文中场及时转移到右路空挡，冯仁亮得球高速压入禁区可惜处理球有点慢，面对守门员射门打在及时回访球员脚上出了底线
