10'汪佳捷的45度斜传球到禁区，第一点被陈晓头球解围！！                   10'10分钟之内上港获得不少禁区内射门的机会，但总是最后一脚传球处理不到位
34'埃尔克森停球一扣，摆脱陈晓                   32'第32分钟张卫左路助攻上前，他在禁区附近拨球给埃尔克森，后者下底传中，此球冲着后门柱而来，曹海清抢在武磊之前头球解围，差点把球顶进自家大门
34'埃尔克森起球到后点，曹海清抢在武磊身前，头球解围！！                   32'第32分钟张卫左路助攻上前，他在禁区附近拨球给埃尔克森，后者下底传中，此球冲着后门柱而来，曹海清抢在武磊之前头球解围，差点把球顶进自家大门
35'傅欢右路拿球，过顶球找埃尔克森！！                   32'第32分钟张卫左路助攻上前，他在禁区附近拨球给埃尔克森，后者下底传中，此球冲着后门柱而来，曹海清抢在武磊之前头球解围，差点把球顶进自家大门
35'埃尔克森头球回顶给埃弗拉！！                   32'第32分钟张卫左路助攻上前，他在禁区附近拨球给埃尔克森，后者下底传中，此球冲着后门柱而来，曹海清抢在武磊之前头球解围，差点把球顶进自家大门
35'埃弗拉横传汪佳捷，汪佳捷再给武磊！！                   32'第32分钟张卫左路助攻上前，他在禁区附近拨球给埃尔克森，后者下底传中，此球冲着后门柱而来，曹海清抢在武磊之前头球解围，差点把球顶进自家大门
35'武磊拿球 内切，回传给孔卡！1                   32'第32分钟张卫左路助攻上前，他在禁区附近拨球给埃尔克森，后者下底传中，此球冲着后门柱而来，曹海清抢在武磊之前头球解围，差点把球顶进自家大门
41'埃尔克森脚尖停球，没停好，被陈晓解围！                   41'第41分钟埃弗拉右路挑球过人，曹海清把球踢出界外，孔卡右路角球开出，于海近门头球高门而出
41'埃弗拉右路拿球内切，摆脱曹海清                   41'第41分钟埃弗拉右路挑球过人，曹海清把球踢出界外，孔卡右路角球开出，于海近门头球高门而出
42'面对补防的吴范锡，埃弗拉挑球过人！！                   41'第41分钟埃弗拉右路挑球过人，曹海清把球踢出界外，孔卡右路角球开出，于海近门头球高门而出
42'埃弗拉摔倒在地，裁判没理会，球被回防的葛振解围出底线！                   41'第41分钟埃弗拉右路挑球过人，曹海清把球踢出界外，孔卡右路角球开出，于海近门头球高门而出
42'上港获得右侧角球机会，并未形成威胁！！                   41'第41分钟埃弗拉右路挑球过人，曹海清把球踢出界外，孔卡右路角球开出，于海近门头球高门而出
42'武磊中圈位置争抢，被吹拉人犯规！！                   41'第41分钟埃弗拉右路挑球过人，曹海清把球踢出界外，孔卡右路角球开出，于海近门头球高门而出
43'埃弗拉头球后蹭找埃尔克森，吴范锡补防将球解围出边线！                   41'第41分钟埃弗拉右路挑球过人，曹海清把球踢出界外，孔卡右路角球开出，于海近门头球高门而出
44'于海中场拿球，面对逼抢，分球给上来的石柯                   41'第41分钟埃弗拉右路挑球过人，曹海清把球踢出界外，孔卡右路角球开出，于海近门头球高门而出
44'石柯再给孔卡，孔卡斜传禁区，传大啦！！                   41'第41分钟埃弗拉右路挑球过人，曹海清把球踢出界外，孔卡右路角球开出，于海近门头球高门而出
44'阿甘前场背身拿球，没机会转身，回传卡希尔！！                   41'第41分钟埃弗拉右路挑球过人，曹海清把球踢出界外，孔卡右路角球开出，于海近门头球高门而出
49'加比奥内塔示意球碰到傅欢出界，裁判未理会，给了上港门球！                   49'第49分钟埃弗拉转战左路送球，埃尔克森禁区内一脚没踢到皮球
49'张卫左路拿球，强突后的传中！！                   49'第49分钟埃弗拉转战左路送球，埃尔克森禁区内一脚没踢到皮球
49'张磊出击，直接将球拿到！！                   49'第49分钟埃弗拉转战左路送球，埃尔克森禁区内一脚没踢到皮球
50'上港中场抢断，斜传球给到前插的埃弗拉！！                   49'第49分钟埃弗拉转战左路送球，埃尔克森禁区内一脚没踢到皮球
50'埃弗拉强突下底，急停转身，回传中路给跟进的埃尔克森！！                   49'第49分钟埃弗拉转战左路送球，埃尔克森禁区内一脚没踢到皮球
50'埃尔克森左脚劲射，踢茨了，打偏！！                   49'第49分钟埃弗拉转战左路送球，埃尔克森禁区内一脚没踢到皮球
51'埃弗拉前场左路拿球，直塞给到前插的张卫！！                   49'第49分钟埃弗拉转战左路送球，埃尔克森禁区内一脚没踢到皮球
51'张卫趟球往禁区走，趟大啦！！                   49'第49分钟埃弗拉转战左路送球，埃尔克森禁区内一脚没踢到皮球
51'吴范锡回防将球拦截，大脚破坏！！                   49'第49分钟埃弗拉转战左路送球，埃尔克森禁区内一脚没踢到皮球
51'绿城的反击，加比奥内塔左路拿球，强突禁区！！                   49'第49分钟埃弗拉转战左路送球，埃尔克森禁区内一脚没踢到皮球
52'金周荣回防卡位，加比奥内塔再抢，推人犯规，球被自己捅出底线！！                   49'第49分钟埃弗拉转战左路送球，埃尔克森禁区内一脚没踢到皮球
54'埃弗拉坐在地上很痛苦，孔卡也是拿球向裁判示意卡希尔犯规！！                   54'第54分钟埃尔克森右路扣球转身后传中，球到左侧，孔卡头球摆渡到中路，张磊受到后卫葛振挤撞无法从容起跳，埃弗拉奋力起跳头球破门
54'卡希尔被主裁判口头警告了一翻，比赛继续！！                   54'第54分钟埃尔克森右路扣球转身后传中，球到左侧，孔卡头球摆渡到中路，张磊受到后卫葛振挤撞无法从容起跳，埃弗拉奋力起跳头球破门
54'埃弗拉起身往前走，和卡希尔拍手和好！！                   54'第54分钟埃尔克森右路扣球转身后传中，球到左侧，孔卡头球摆渡到中路，张磊受到后卫葛振挤撞无法从容起跳，埃弗拉奋力起跳头球破门
55'1-0！！                   54'第54分钟埃尔克森右路扣球转身后传中，球到左侧，孔卡头球摆渡到中路，张磊受到后卫葛振挤撞无法从容起跳，埃弗拉奋力起跳头球破门
55'埃弗拉的头球！！                   54'第54分钟埃尔克森右路扣球转身后传中，球到左侧，孔卡头球摆渡到中路，张磊受到后卫葛振挤撞无法从容起跳，埃弗拉奋力起跳头球破门
56'埃尔克森右路拿球，强突下底，一扣摆脱放铲的曹海清，左脚搓传后点，孔卡头球摆渡到门前，埃弗拉跟进，力压出击的张磊头球顶进！！                   54'第54分钟埃尔克森右路扣球转身后传中，球到左侧，孔卡头球摆渡到中路，张磊受到后卫葛振挤撞无法从容起跳，埃弗拉奋力起跳头球破门
57'绿城球员示意埃弗拉头球冲撞门将，裁判并未理会，示意进球有效！！                   54'第54分钟埃尔克森右路扣球转身后传中，球到左侧，孔卡头球摆渡到中路，张磊受到后卫葛振挤撞无法从容起跳，埃弗拉奋力起跳头球破门
57'绿城球员示意埃弗拉头球冲撞门将，裁判并未理会，示意进球有效！！                   57'第57分钟加比奥内塔左路怒射偏出
58'绿城的左路进攻，傅欢将球解围出边线！！                   57'第57分钟加比奥内塔左路怒射偏出
59'于海中场的头球见高不见远，冯刚上来拿到！！                   57'第57分钟加比奥内塔左路怒射偏出
59'冯刚的过顶挑传找前插的阿甘！！                   57'第57分钟加比奥内塔左路怒射偏出
59'阿甘拿球反击，禁区外的低射，被挡出！！                   57'第57分钟加比奥内塔左路怒射偏出
59'孔卡拿球反击，直塞球给到埃弗拉！！                   57'第57分钟加比奥内塔左路怒射偏出
59'埃弗拉分球左侧给张卫，张卫边路传中到门前！！                   57'第57分钟加比奥内塔左路怒射偏出
60'张磊出击，从埃尔克森头顶将球单拳打出！！                   57'第57分钟加比奥内塔左路怒射偏出
60'上港前场抢断，汪佳捷的分球找武磊                   57'第57分钟加比奥内塔左路怒射偏出
60'可惜传在了武磊身后，球出了边线！！                   57'第57分钟加比奥内塔左路怒射偏出
64'孔卡拿球，有利原则，强突后斜传门前找武磊！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
64'回防的葛振倒勾将球解围！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
64'上港前场再攻，孔卡中路拿球，分球禁区左侧给埃弗拉！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
64'埃弗拉停球，可以打门，不打！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
64'控制一下，回带，再横传找孔卡，被破坏！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
64'埃尔克森逼抢，身后拉人犯规！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
64'这球上港的配合太细啦！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
65'冯刚左路拿球，强突被回防的傅欢绊倒在地！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
65'傅欢的阻挡犯规，绿城前场左侧的任意球机会！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
66'冯刚的任意球斜传球到禁区前点，陈柏良的打门，被颜骏凌倒地压在身下！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
66'于海中场拿球，斜传找埃弗拉！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
66'埃弗拉面对逼抢，没敢拿，直接头球回顶给到于海！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
67'上港中场失误，绿城的反击！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
67'阿甘拿球，横切被于海拉倒在地！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
67'绿城获得前场中路的任意球机会！！                   64'第64分钟冯刚左路任意球传入禁区，陈柏良转身扫射被颜骏凌扑住
69'孔卡中场拿球，直塞找前场的武磊！1                   69'第69分钟王燊超换张卫，吕文君换埃弗拉
69'武磊想让球到身前，结果球打在脚后跟上弹回！！                   69'第69分钟王燊超换张卫，吕文君换埃弗拉
69'埃弗拉拿球，脚后跟回做给孔卡！！                   69'第69分钟王燊超换张卫，吕文君换埃弗拉
69'孔卡趟球往边路走，斜传球到后点找埃尔克森！！                   69'第69分钟王燊超换张卫，吕文君换埃弗拉
70'球被绿城球员解围出底线，角球！！                   69'第69分钟王燊超换张卫，吕文君换埃弗拉
70'孔卡角球开出到前点，汪佳捷的头球顶偏！！                   69'第69分钟王燊超换张卫，吕文君换埃弗拉
70'上港换人：4号王燊超和11号吕文君上，换下2号张卫和17号埃弗拉！！                   69'第69分钟王燊超换张卫，吕文君换埃弗拉
71'埃弗拉的下场，也是引来现场球迷的阵阵欢呼声！！                   69'第69分钟王燊超换张卫，吕文君换埃弗拉
71'埃尔克森前场逼抢，放铲铲断葛振                   69'第69分钟王燊超换张卫，吕文君换埃弗拉
71'裁判鸣哨，吹罚了埃尔克森的犯规！！                   69'第69分钟王燊超换张卫，吕文君换埃弗拉
72'埃里克森在场边不满，葛振坐在地上向其作出闭嘴的手势！                   69'第69分钟王燊超换张卫，吕文君换埃弗拉
73'傅欢中场和陈柏良争抢头球，傅欢被吹犯规！！                   73'第73分钟绿城用罗竞换下加比奥内塔，第75分钟臧一锋换下黄希扬
74'阿甘中路拿球，强突后分球右侧给加比奥内塔                   73'第73分钟绿城用罗竞换下加比奥内塔，第75分钟臧一锋换下黄希扬
74'加比奥内塔拿球横切，禁区外的远射，被挡出！！                   73'第73分钟绿城用罗竞换下加比奥内塔，第75分钟臧一锋换下黄希扬
74'绿城前场再攻，左路的传中到后点！！                   73'第73分钟绿城用罗竞换下加比奥内塔，第75分钟臧一锋换下黄希扬
74'卡希尔的头球攻门，被颜骏凌单掌托出底线！！                   73'第73分钟绿城用罗竞换下加比奥内塔，第75分钟臧一锋换下黄希扬
75'绿城获得右侧角球机会！！                   73'第73分钟绿城用罗竞换下加比奥内塔，第75分钟臧一锋换下黄希扬
75'绿城换人：12号罗竞上，换下7号加比奥内塔！！                   73'第73分钟绿城用罗竞换下加比奥内塔，第75分钟臧一锋换下黄希扬
75'绿城角球开出到禁区，颜骏凌出击将球拿到！！                   73'第73分钟绿城用罗竞换下加比奥内塔，第75分钟臧一锋换下黄希扬
76'埃尔克森中圈上抢，撞翻了陈晓！！                   73'第73分钟绿城用罗竞换下加比奥内塔，第75分钟臧一锋换下黄希扬
85'王燊超左路拿球，横传找孔卡，差点失误！！                   85'第85分钟吕文君不听裁判判罚吃到黄牌
85'王燊超再抢，将球破坏出边线！！                   85'第85分钟吕文君不听裁判判罚吃到黄牌
85'上港的换人：6号蔡慧康上，换下5号汪佳捷！！                   85'第85分钟吕文君不听裁判判罚吃到黄牌
86'吕文君在裁判鸣哨后，将球踢远！！                   85'第85分钟吕文君不听裁判判罚吃到黄牌
86'吕文君被主裁判出示了黄牌警告！！                   85'第85分钟吕文君不听裁判判罚吃到黄牌
87'这是上港本场比赛的第二张黄牌！！                   85'第85分钟吕文君不听裁判判罚吃到黄牌
87'卡希尔和石柯争抢头球，头碰头，痛啊！！                   85'第85分钟吕文君不听裁判判罚吃到黄牌
88'傅欢右路的大脚斜传球到前场，被出击的张磊控制！！                   85'第85分钟吕文君不听裁判判罚吃到黄牌
88'孔卡中场拿球，转身过顶长传找埃尔克森！！                   85'第85分钟吕文君不听裁判判罚吃到黄牌
87'这是上港本场比赛的第二张黄牌！！                   87'第87分钟庄佳杰换下阿甘
87'卡希尔和石柯争抢头球，头碰头，痛啊！！                   87'第87分钟庄佳杰换下阿甘
88'傅欢右路的大脚斜传球到前场，被出击的张磊控制！！                   87'第87分钟庄佳杰换下阿甘
88'孔卡中场拿球，转身过顶长传找埃尔克森！！                   87'第87分钟庄佳杰换下阿甘
89'吴范锡回防，抢在埃尔克森之前将球解围出边线！！                   87'第87分钟庄佳杰换下阿甘
89'绿城换人：20号阿甘被换下，换上10号庄佳杰！！                   87'第87分钟庄佳杰换下阿甘
89'双方的换人名额全部用完啦！！                   87'第87分钟庄佳杰换下阿甘
89'庄佳杰的中路拿球，斜传找前插的罗竞！！                   87'第87分钟庄佳杰换下阿甘
89'可惜传球速度太快，球先出了底线！！                   87'第87分钟庄佳杰换下阿甘
90'绿城的后场过顶长传找卡希尔！！                   87'第87分钟庄佳杰换下阿甘
90'卡希尔被吹越位位置回接！！                   87'第87分钟庄佳杰换下阿甘
90'下半场比赛补时3分钟！！                   87'第87分钟庄佳杰换下阿甘
