2'维冈左路的进攻，斯塔姆强突被吹拉人犯规                   2'开场仅2分钟，托雷斯传球，拉米雷斯禁区右侧的射门被卡德维尔挡出底线
48'兰帕德禁区左上角打的打门，被维冈后卫解围出底线                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
48'切尔西获得左侧角球机会，本场第7个                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
48'目前双方角球比例：7-3，切尔西领先一倍                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
48'切尔西角球开出，并没有形成威胁                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
49'麦卡锡后场控球，面对切尔西球员的围抢，回敲给到菲格罗亚                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
49'菲格罗亚后场过顶长传到前场                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
33'阿扎尔禁区弧顶顶分边到右路找阿兹皮利奎塔                   33'切尔西第33分钟险些扩大比分，阿斯皮利奎塔右路传中，托雷斯8码处头球攻门被哈布西飞身托出横梁
33'阿兹皮利奎塔的下底传中，托雷斯高高的头球攻门                   33'切尔西第33分钟险些扩大比分，阿斯皮利奎塔右路传中，托雷斯8码处头球攻门被哈布西飞身托出横梁
33'艾哈比斯奋力，单掌将球托出横梁                   33'切尔西第33分钟险些扩大比分，阿斯皮利奎塔右路传中，托雷斯8码处头球攻门被哈布西飞身托出横梁
33'切尔西获得右侧角球机会，不过并没形成威胁                   33'切尔西第33分钟险些扩大比分，阿斯皮利奎塔右路传中，托雷斯8码处头球攻门被哈布西飞身托出横梁
34'斯塔姆后场右路防守阿扎尔的突破又被吹阻挡犯规                   33'切尔西第33分钟险些扩大比分，阿斯皮利奎塔右路传中，托雷斯8码处头球攻门被哈布西飞身托出横梁
35'切尔西左路大范围转移球到右路，拉米雷斯得球                   33'切尔西第33分钟险些扩大比分，阿斯皮利奎塔右路传中，托雷斯8码处头球攻门被哈布西飞身托出横梁
35'拉米雷斯的斜传球到禁区，托雷斯没能碰到，阿扎尔在后点将球控制                   33'切尔西第33分钟险些扩大比分，阿斯皮利奎塔右路传中，托雷斯8码处头球攻门被哈布西飞身托出横梁
36'阿扎尔底线附近回敲中路，球被维冈球员抢先解围出边线                   33'切尔西第33分钟险些扩大比分，阿斯皮利奎塔右路传中，托雷斯8码处头球攻门被哈布西飞身托出横梁
36'切尔西的进攻，兰帕德禁区外突施冷箭，球稍微偏出了左侧立柱一点点                   33'切尔西第33分钟险些扩大比分，阿斯皮利奎塔右路传中，托雷斯8码处头球攻门被哈布西飞身托出横梁
39'天涯影传奇:托妞连着三场助攻了（有助攻没进球，怪事啊）                   39'第39分钟，阿斯皮利奎塔传球，路易斯右路25码处劲射飞上看台
39'切尔西的前场进攻，路易斯的远射，可惜是个高射炮                   39'第39分钟，阿斯皮利奎塔传球，路易斯右路25码处劲射飞上看台
40'1477:都是真球迷啊（现在看球的，这是必须的撒）                   39'第39分钟，阿斯皮利奎塔传球，路易斯右路25码处劲射飞上看台
40'博塞豪尔中场拿球，分边到左路给到马洛尼                   39'第39分钟，阿斯皮利奎塔传球，路易斯右路25码处劲射飞上看台
41'马洛尼拿球内切，禁区内的抽射，切赫将球解围                   39'第39分钟，阿斯皮利奎塔传球，路易斯右路25码处劲射飞上看台
41'不知不觉比赛已经来到了尾声，比分1-0，切尔西领先                   39'第39分钟，阿斯皮利奎塔传球，路易斯右路25码处劲射飞上看台
42'拉米雷斯中场拿球，埃斯皮诺萨和菲格罗亚的双人包夹防守，放倒了拉米雷斯                   39'第39分钟，阿斯皮利奎塔传球，路易斯右路25码处劲射飞上看台
42'维冈后场抢断，麦卡锡拿球横拨给到麦克阿瑟                   39'第39分钟，阿斯皮利奎塔传球，路易斯右路25码处劲射飞上看台
52'本山大叔来了，德刚压阵，大家满意否                   52'第52分钟，迪桑托禁区前射门偏出
52'维冈的前场的进攻，迪桑托拿球摆脱奥斯卡的逼抢                   52'第52分钟，迪桑托禁区前射门偏出
52'转身，右脚的远射，放了高射炮                   52'第52分钟，迪桑托禁区前射门偏出
53'伊万诺维奇左边路防守背身拿球的迪桑托，被吹身后推人犯规                   52'第52分钟，迪桑托禁区前射门偏出
53'马塔叔叔已经在场边热身了，他会上来发红包嘛                   52'第52分钟，迪桑托禁区前射门偏出
54'维冈右边路的任意球机会，斜传吊进禁区                   52'第52分钟，迪桑托禁区前射门偏出
54'沙尔内尔的头球攻门，顶飞了                   52'第52分钟，迪桑托禁区前射门偏出
54'阿兹皮利奎塔中场位置的防守，踢倒了迪桑托                   52'第52分钟，迪桑托禁区前射门偏出
55'目前来看维冈这边对蓝军最有威胁的就是迪桑托，可惜他独木难支哦                   52'第52分钟，迪桑托禁区前射门偏出
56'博塞豪尔左边路和队友的配合失误                   56'切尔西第56分钟扩大比分，卡希尔长传，阿斯皮利奎塔切入禁区右侧横传，阿扎尔13码处扫射破门，这是他本赛季第9粒入球，其中联赛打入7球
56'托雷斯后场拿球，被上抢的维冈球员放倒在地                   56'切尔西第56分钟扩大比分，卡希尔长传，阿斯皮利奎塔切入禁区右侧横传，阿扎尔13码处扫射破门，这是他本赛季第9粒入球，其中联赛打入7球
56'进球了，2-0                   56'切尔西第56分钟扩大比分，卡希尔长传，阿斯皮利奎塔切入禁区右侧横传，阿扎尔13码处扫射破门，这是他本赛季第9粒入球，其中联赛打入7球
56'阿扎尔！！！                   56'切尔西第56分钟扩大比分，卡希尔长传，阿斯皮利奎塔切入禁区右侧横传，阿扎尔13码处扫射破门，这是他本赛季第9粒入球，其中联赛打入7球
57'卡希尔后场过顶长传给到右边路的阿兹皮利奎塔，阿兹皮利奎塔拿球底线一扣，内切横传中路，阿扎尔包抄推射破网                   56'切尔西第56分钟扩大比分，卡希尔长传，阿斯皮利奎塔切入禁区右侧横传，阿扎尔13码处扫射破门，这是他本赛季第9粒入球，其中联赛打入7球
58'说话间，维冈的反击扳回一城                   56'切尔西第56分钟扩大比分，卡希尔长传，阿斯皮利奎塔切入禁区右侧横传，阿扎尔13码处扫射破门，这是他本赛季第9粒入球，其中联赛打入7球
58'马洛尼~~~                   56'切尔西第56分钟扩大比分，卡希尔长传，阿斯皮利奎塔切入禁区右侧横传，阿扎尔13码处扫射破门，这是他本赛季第9粒入球，其中联赛打入7球
59'维冈后场的过顶球，马洛尼反越位形成单刀，面对出击的切赫低射远角，球从切赫身下滚进空门，卡希尔奋力回防还是没办法                   56'切尔西第56分钟扩大比分，卡希尔长传，阿斯皮利奎塔切入禁区右侧横传，阿扎尔13码处扫射破门，这是他本赛季第9粒入球，其中联赛打入7球
64'阿扎尔继续罚，还是一样低，被维冈球员解围                   64'第64分钟，沙尔纳对奥斯卡犯规被罚黄牌
64'奥斯卡左边路拿球，被沙尔内尔从身后推倒                   64'第64分钟，沙尔纳对奥斯卡犯规被罚黄牌
65'沙尔内尔被迪恩出示黄牌警告                   64'第64分钟，沙尔纳对奥斯卡犯规被罚黄牌
65'这也是本场比赛的第一张黄牌                   64'第64分钟，沙尔纳对奥斯卡犯规被罚黄牌
65'切尔西前场左路的任意球，兰帕德主罚                   64'第64分钟，沙尔纳对奥斯卡犯规被罚黄牌
65'兰帕德任意球吊到禁区，第一点被后卫解围                   64'第64分钟，沙尔纳对奥斯卡犯规被罚黄牌
65'路易斯得到第二落点，一脚远射，放了飞机                   64'第64分钟，沙尔纳对奥斯卡犯规被罚黄牌
67'兰帕德，好机会啊                   64'第64分钟，沙尔纳对奥斯卡犯规被罚黄牌
67'兰帕德小禁区左侧的左脚低射远角，差之毫厘                   64'第64分钟，沙尔纳对奥斯卡犯规被罚黄牌
47'切尔西的前场右路传球，被维冈球员抢断                   47'2分钟后，阿什利-科尔传球，兰帕德禁区左肋8码处斜射，皮球擦右侧立柱偏出
47'维冈的进攻，又被阿兹皮利奎塔破坏出边线                   47'2分钟后，阿什利-科尔传球，兰帕德禁区左肋8码处斜射，皮球擦右侧立柱偏出
47'希望场外的鞭炮声，能让本场比赛再进几球                   47'2分钟后，阿什利-科尔传球，兰帕德禁区左肋8码处斜射，皮球擦右侧立柱偏出
47'维冈中场传球失误，切尔西的反击                   47'2分钟后，阿什利-科尔传球，兰帕德禁区左肋8码处斜射，皮球擦右侧立柱偏出
48'兰帕德禁区左上角打的打门，被维冈后卫解围出底线                   47'2分钟后，阿什利-科尔传球，兰帕德禁区左肋8码处斜射，皮球擦右侧立柱偏出
48'切尔西获得左侧角球机会，本场第7个                   47'2分钟后，阿什利-科尔传球，兰帕德禁区左肋8码处斜射，皮球擦右侧立柱偏出
48'目前双方角球比例：7-3，切尔西领先一倍                   47'2分钟后，阿什利-科尔传球，兰帕德禁区左肋8码处斜射，皮球擦右侧立柱偏出
48'切尔西角球开出，并没有形成威胁                   47'2分钟后，阿什利-科尔传球，兰帕德禁区左肋8码处斜射，皮球擦右侧立柱偏出
49'麦卡锡后场控球，面对切尔西球员的围抢，回敲给到菲格罗亚                   47'2分钟后，阿什利-科尔传球，兰帕德禁区左肋8码处斜射，皮球擦右侧立柱偏出
49'菲格罗亚后场过顶长传到前场                   47'2分钟后，阿什利-科尔传球，兰帕德禁区左肋8码处斜射，皮球擦右侧立柱偏出
50'迪桑托头球摆渡到中路，可惜没有队友包抄哦                   47'2分钟后，阿什利-科尔传球，兰帕德禁区左肋8码处斜射，皮球擦右侧立柱偏出
75'不过前场抢断切尔西，右路的传中，迪桑托停球打门，赢得角球机会                   75'第75分钟，迪桑托禁区左侧的射门被封堵
76'维冈左侧角球开出，考德威尔的头球攻门打在切尔西球员身上出底线                   75'第75分钟，迪桑托禁区左侧的射门被封堵
77'维冈继续角球，禁区内维冈球员争顶撞翻了阿扎尔，犯规                   75'第75分钟，迪桑托禁区左侧的射门被封堵
77'切尔西终于换人了：马塔换下奥斯卡                   75'第75分钟，迪桑托禁区左侧的射门被封堵
78'明-明德:梦想能和兰8合照一张（希望你能美梦成真啊）                   75'第75分钟，迪桑托禁区左侧的射门被封堵
82'维冈中场的斜传球给到科内                   82'第82分钟，麦克阿瑟传球，科内切入禁区左侧低射被切赫没收
82'科内前场左路拿球，进入禁区，继续横向盘带，闪开角度，右脚的抽射                   82'第82分钟，麦克阿瑟传球，科内切入禁区左侧低射被切赫没收
83'放倒了切尔西三名防守球员，切赫跪在地上将球揽入怀中                   82'第82分钟，麦克阿瑟传球，科内切入禁区左侧低射被切赫没收
83'维冈继续换人：琼斯换下斯塔姆                   82'第82分钟，麦克阿瑟传球，科内切入禁区左侧低射被切赫没收
84'切尔西这边的贝纳永站在了场边，不过并没被换上来                   82'第82分钟，麦克阿瑟传球，科内切入禁区左侧低射被切赫没收
84'切尔西的后场过顶球，托雷斯前插，又被吹越位了                   82'第82分钟，麦克阿瑟传球，科内切入禁区左侧低射被切赫没收
85'切尔西左路的进攻，科尔直传给到阿扎尔                   82'第82分钟，麦克阿瑟传球，科内切入禁区左侧低射被切赫没收
92'刚刚解禁复出的阿扎尔，本场表现不错，下场时也是受到了现场球迷的掌声                   92'第92分钟，阿斯皮利奎塔右路禁区前劲射被哈布西勉强扑出，马林禁区左侧8码处头球顶入空门，4-1
92'马林进球了                   92'第92分钟，阿斯皮利奎塔右路禁区前劲射被哈布西勉强扑出，马林禁区左侧8码处头球顶入空门，4-1
92'上场比赛第一次触球就破门了。。。                   92'第92分钟，阿斯皮利奎塔右路禁区前劲射被哈布西勉强扑出，马林禁区左侧8码处头球顶入空门，4-1
93'阿兹皮利奎塔右侧禁区线上的抽射，艾哈比斯奋力扑出，马林左侧跟进，俯身冲顶破门                   92'第92分钟，阿斯皮利奎塔右路禁区前劲射被哈布西勉强扑出，马林禁区左侧8码处头球顶入空门，4-1
94'维冈的反击，麦克阿瑟的抽射，切赫将球揽入怀中                   92'第92分钟，阿斯皮利奎塔右路禁区前劲射被哈布西勉强扑出，马林禁区左侧8码处头球顶入空门，4-1
95'托雷斯，近在咫尺的补射，被艾哈比斯扑出了                   92'第92分钟，阿斯皮利奎塔右路禁区前劲射被哈布西勉强扑出，马林禁区左侧8码处头球顶入空门，4-1
95'切尔西右侧角球，开出并没什么威胁                   92'第92分钟，阿斯皮利奎塔右路禁区前劲射被哈布西勉强扑出，马林禁区左侧8码处头球顶入空门，4-1
93'阿兹皮利奎塔右侧禁区线上的抽射，艾哈比斯奋力扑出，马林左侧跟进，俯身冲顶破门                   93'第93分钟，卡德维尔传球，麦克阿瑟禁区右侧的劲射被切赫没收
94'维冈的反击，麦克阿瑟的抽射，切赫将球揽入怀中                   93'第93分钟，卡德维尔传球，麦克阿瑟禁区右侧的劲射被切赫没收
95'托雷斯，近在咫尺的补射，被艾哈比斯扑出了                   93'第93分钟，卡德维尔传球，麦克阿瑟禁区右侧的劲射被切赫没收
95'切尔西右侧角球，开出并没什么威胁                   93'第93分钟，卡德维尔传球，麦克阿瑟禁区右侧的劲射被切赫没收
