1'上半场比赛开始！！                   1'巴萨第1分钟试图控制比赛，梅西禁区前射左下角被科帕救下
88'巴萨中场拿球给到边路                   85'第85分钟，埃切巴里亚开出角球，阿杜里斯头球顶向左下角被特尔施特根神勇扑出
88'左路横向将球转移                   85'第85分钟，埃切巴里亚开出角球，阿杜里斯头球顶向左下角被特尔施特根神勇扑出
88'塞梅多右路推进到底线                   85'第85分钟，埃切巴里亚开出角球，阿杜里斯头球顶向左下角被特尔施特根神勇扑出
88'横敲到中路                   85'第85分钟，埃切巴里亚开出角球，阿杜里斯头球顶向左下角被特尔施特根神勇扑出
92'0-2！！！                   92'巴萨第92分钟锁定胜局，梅西反击中斜传，苏亚雷斯禁区左侧射门被扑出，保利尼奥补射入网，2-0
92'保利尼奥！！！                   92'巴萨第92分钟锁定胜局，梅西反击中斜传，苏亚雷斯禁区左侧射门被扑出，保利尼奥补射入网，2-0
93'巴萨后场断球走中路突破，梅西禁区弧顶分球给到左路，苏亚雷斯接球推射被门将扑出，后点保利尼奥跟进补射空门得分！！                   92'巴萨第92分钟锁定胜局，梅西反击中斜传，苏亚雷斯禁区左侧射门被扑出，保利尼奥补射入网，2-0
93'毕尔巴鄂竞技这边球员投诉保利尼奥越位                   92'巴萨第92分钟锁定胜局，梅西反击中斜传，苏亚雷斯禁区左侧射门被扑出，保利尼奥补射入网，2-0
93'但是慢镜头显示这球并不越位                   92'巴萨第92分钟锁定胜局，梅西反击中斜传，苏亚雷斯禁区左侧射门被扑出，保利尼奥补射入网，2-0
93'巴萨也是锁定了胜局                   92'巴萨第92分钟锁定胜局，梅西反击中斜传，苏亚雷斯禁区左侧射门被扑出，保利尼奥补射入网，2-0
93'毕尔巴鄂竞技这边获得角球机会                   92'巴萨第92分钟锁定胜局，梅西反击中斜传，苏亚雷斯禁区左侧射门被扑出，保利尼奥补射入网，2-0
94'角球送中路                   92'巴萨第92分钟锁定胜局，梅西反击中斜传，苏亚雷斯禁区左侧射门被扑出，保利尼奥补射入网，2-0
94'特尔施特根接球被撞倒                   92'巴萨第92分钟锁定胜局，梅西反击中斜传，苏亚雷斯禁区左侧射门被扑出，保利尼奥补射入网，2-0
94'裁判吹了一个冲撞门将                   92'巴萨第92分钟锁定胜局，梅西反击中斜传，苏亚雷斯禁区左侧射门被扑出，保利尼奥补射入网，2-0
