3'莫德里奇中场拿球，分边右路给到阿韦洛亚                   3'第3分钟，加莱后场对C-罗纳尔多犯规，贝尔任意球远射偏出
46'10号费德上，换下29号皮尼洛斯                   44'第44分钟，哈维纳尔小禁区边缘接角球后头球攻门偏出
47'科尔多瓦的左路斜传球到禁区右侧，回防的佩佩在哈维纳尔之前将球解围出底线                   44'第44分钟，哈维纳尔小禁区边缘接角球后头球攻门偏出
47'科尔多瓦获得右侧角球机会                   44'第44分钟，哈维纳尔小禁区边缘接角球后头球攻门偏出
46'下半场比赛开始，科尔多瓦开球                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
46'科尔多瓦下半场一开始就做出人员调整                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
46'10号费德上，换下29号皮尼洛斯                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
47'科尔多瓦的左路斜传球到禁区右侧，回防的佩佩在哈维纳尔之前将球解围出底线                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
47'科尔多瓦获得右侧角球机会                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
48'角球开出到禁区，哈维纳尔身高优势，两手按着拉莫斯和佩佩拔地头球                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
48'主裁判鸣哨，哈维纳尔的压人犯规                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
48'哈维纳尔这有点欺负人啊，自己确实一脸坏笑                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
48'科尔多瓦的左路进攻，再次赢得角球机会                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
49'角球开出，并未形成威胁                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
49'不过球权依旧在科尔多瓦这边                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
49'费德拿球强突，进入禁区一脚低射，卡西倒地将球拿到                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
49'下半场开始后，科尔多瓦的攻势打出来啦                   46'1分钟后，马托斯禁区左侧的射门被卡西利亚斯得到
60'加雷这边被主裁判补发黄牌一张，之前在中场身后铲翻了摩德里奇                   60'第60分钟，科尔多瓦解围角球不力，哈梅斯-罗德里格斯禁区左侧10码处左脚劲射被胡安-卡洛斯扑出近角
60'皇马右侧角球开出，混战中，J罗的左脚劲射，被胡安-卡洛斯奋力扑出                   60'第60分钟，科尔多瓦解围角球不力，哈梅斯-罗德里格斯禁区左侧10码处左脚劲射被胡安-卡洛斯扑出近角
61'接着再抢，在后卫干扰下球出了底线，主裁判给了门球                   60'第60分钟，科尔多瓦解围角球不力，哈梅斯-罗德里格斯禁区左侧10码处左脚劲射被胡安-卡洛斯扑出近角
62'科尔多瓦再次换人：20号吕德被换下，换上16号菲德尔                   60'第60分钟，科尔多瓦解围角球不力，哈梅斯-罗德里格斯禁区左侧10码处左脚劲射被胡安-卡洛斯扑出近角
62'马塞洛左后场的过顶斜传找右路的贝尔                   60'第60分钟，科尔多瓦解围角球不力，哈梅斯-罗德里格斯禁区左侧10码处左脚劲射被胡安-卡洛斯扑出近角
62'贝尔胸部停球，准备内切，边裁举旗，越位啦                   60'第60分钟，科尔多瓦解围角球不力，哈梅斯-罗德里格斯禁区左侧10码处左脚劲射被胡安-卡洛斯扑出近角
63'科尔多瓦后场球大脚开到前场，哈维纳尔和佩佩争顶，被吹压人犯规                   60'第60分钟，科尔多瓦解围角球不力，哈梅斯-罗德里格斯禁区左侧10码处左脚劲射被胡安-卡洛斯扑出近角
81'费德左路拿球，面对卡瓦哈尔的防守，强突下底                   81'第81分钟，C-罗纳尔多左路传中远点，贝尔小禁区边缘头球攻门正入胡安-卡洛斯下怀
81'结果自己将球趟大，趟出了底线                   81'第81分钟，C-罗纳尔多左路传中远点，贝尔小禁区边缘头球攻门正入胡安-卡洛斯下怀
82'伊斯科左路拿球，45度斜传球到后点                   81'第81分钟，C-罗纳尔多左路传中远点，贝尔小禁区边缘头球攻门正入胡安-卡洛斯下怀
82'贝尔插上头球回摆到到门前，胡安-卡洛斯抢在上来的马塞洛之前将球拿到                   81'第81分钟，C-罗纳尔多左路传中远点，贝尔小禁区边缘头球攻门正入胡安-卡洛斯下怀
83'科尔多瓦的前场进攻，赢得角球机会                   81'第81分钟，C-罗纳尔多左路传中远点，贝尔小禁区边缘头球攻门正入胡安-卡洛斯下怀
83'战术角球开出，斜传禁区，卡西出击，没能拿到                   81'第81分钟，C-罗纳尔多左路传中远点，贝尔小禁区边缘头球攻门正入胡安-卡洛斯下怀
83'和对方的加雷，以及防守的佩佩相撞倒地                   81'第81分钟，C-罗纳尔多左路传中远点，贝尔小禁区边缘头球攻门正入胡安-卡洛斯下怀
83'主裁判鸣哨，吹罚了加雷的犯规                   81'第81分钟，C-罗纳尔多左路传中远点，贝尔小禁区边缘头球攻门正入胡安-卡洛斯下怀
90'克罗斯中场拿球，横传找马塞洛                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
90'马塞洛前插慢了点，球先出了边线                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
90'2-0！！！                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
90'这下安切洛蒂可以安心坐下休息啦                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
91'C罗的一脚世界波，禁区外的怒射，锁定胜局！！！                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
91'下半场比赛补时3分钟                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
92'伊斯科前场抢断，过度给到C罗，C罗拿球转身，趟了两步后拔脚抽射，势大力沉啊，胡安-卡洛斯也是鞭长莫及！！！                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
92'科尔多瓦右路斜传球到禁区                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
92'拉莫斯头球解围出禁区                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
93'菲德尔禁区线上得球，稍作调整，一脚怒射，稍微偏了一点点哦                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
93'罗西右路拿球，面对马塞洛强突，失误啦                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
93'J罗拿球准备进攻，主裁判鸣哨                   90'皇马第90分钟锁定胜局，伊斯科传球，C-罗纳尔多禁区前射出反弹球紧贴左侧立柱入网，2-0
92'伊斯科前场抢断，过度给到C罗，C罗拿球转身，趟了两步后拔脚抽射，势大力沉啊，胡安-卡洛斯也是鞭长莫及！！！                   92'第92分钟，菲德尔禁区边缘劲射擦右侧立柱偏出
92'科尔多瓦右路斜传球到禁区                   92'第92分钟，菲德尔禁区边缘劲射擦右侧立柱偏出
92'拉莫斯头球解围出禁区                   92'第92分钟，菲德尔禁区边缘劲射擦右侧立柱偏出
93'菲德尔禁区线上得球，稍作调整，一脚怒射，稍微偏了一点点哦                   92'第92分钟，菲德尔禁区边缘劲射擦右侧立柱偏出
93'罗西右路拿球，面对马塞洛强突，失误啦                   92'第92分钟，菲德尔禁区边缘劲射擦右侧立柱偏出
93'J罗拿球准备进攻，主裁判鸣哨                   92'第92分钟，菲德尔禁区边缘劲射擦右侧立柱偏出
