4'C罗延左边路带球~                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
7'小白最近状态太牛了~~~                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
7'又是一个左脚破门！！！                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
8'接到了梅西的中路分球~~伊涅斯塔在边路无人盯防~~~禁区内左脚大力射门！球击中了横梁下沿弹入网窝                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
8'上一场比赛，小白就有一次左脚的世界波破门                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
8'伊涅斯塔如此状态，也是西班牙国家队之福啊                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
9'用户lqzknnt0m104:09 柠檬，希望今晚的裁判不要像那天切尔西打阿森那那样，红牌乌龙！---那裁判无敌了~                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
10'皇马丢球之后加强了中场的围抢                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
10'佩佩后场起高球~又丢了                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
10'巴萨得球之后也并没有急着打反击                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
10'场边嘘声不断~                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
10'皇马断球了~前场只有3名球员                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
12'贝尔带球狂奔~~~                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
12'分给了本泽马~~~                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
12'调整了一下之后本泽马禁区外射门~太正了                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
12'迪马利亚~~杀入禁区！                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
12'好机会~~~                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
12'本泽马接球打门~~~必进之球居然打高了                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
13'浪费机会是可耻的~                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
13'迪马利亚今天状态也很出色                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
13'巴萨今天在中后场的失误挺多                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
13'给了皇马不少的射门机会                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
14'莫德里奇长传分边~力量给大了出了底线                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
15'梅西单刀机会~~~                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
15'左脚打门！偏了~~~                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
15'两队各自浪费了一个绝好的机会                   12'第12分钟，贝尔传球，本泽马禁区前劲射被封堵后正入巴尔德斯下怀
15'梅西单刀机会~~~                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
15'左脚打门！偏了~~~                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
15'两队各自浪费了一个绝好的机会                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
16'小法中场断球，挑给内马尔                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
16'佩佩将球拦截下来~                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
16'这个会有手球嫌疑么？裁判示意比赛继续                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
16'刚才梅西的单刀机会来自小法在中场的挑传，正好越过后卫头顶                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
17'相比上一场国家德比，今天两队打出了更多的激情                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
17'内马尔拿球过多，禁区内被抢断~                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
18'皇马的反击来了~                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
18'C罗~禁区外远射！太着急了一点啊                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
18'巴尔德斯将球稳稳的接住                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
18'内马尔~还是身体差了一些                   15'巴萨第15分钟仍有机会扩大比分，法布雷加斯直传，梅西禁区左侧12码处斜射偏出
19'梅西的直塞~内马尔禁区内跌跌撞撞                   19'第19分钟，梅西传球，内马尔突入禁区边缘内射门被马塞洛封堵
19'左脚的打门没有踢正部位                   19'第19分钟，梅西传球，内马尔突入禁区边缘内射门被马塞洛封堵
19'这一次跟自己的老乡马塞洛的对抗处在了下风                   19'第19分钟，梅西传球，内马尔突入禁区边缘内射门被马塞洛封堵
19'Gooooooooooooooooal~~~~                   19'第19分钟，梅西传球，内马尔突入禁区边缘内射门被马塞洛封堵
20'C罗~~~~~                   19'第19分钟，梅西传球，内马尔突入禁区边缘内射门被马塞洛封堵
20'本泽马~~~                   19'第19分钟，梅西传球，内马尔突入禁区边缘内射门被马塞洛封堵
20'迪马利亚的左边路传中~~~本泽马力压马斯切拉诺！！！                   19'第19分钟，梅西传球，内马尔突入禁区边缘内射门被马塞洛封堵
20'小禁区内甩头攻门！巴尔德斯虽然扑到了皮球，但是还是无法阻止皮球入网                   19'第19分钟，梅西传球，内马尔突入禁区边缘内射门被马塞洛封堵
21'迪马利亚在送出助攻之后，倒在了地上ca                   19'第19分钟，梅西传球，内马尔突入禁区边缘内射门被马塞洛封堵
21'裁判暂时中断比赛，队医进场了                   19'第19分钟，梅西传球，内马尔突入禁区边缘内射门被马塞洛封堵
24'Goooooooooooooooooooal~~~                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
24'又是迪马利亚的传中~~~                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
24'又是本泽马中路抢点~                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
24'大腿将球卸下，无人盯防的本泽马轻松破门                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
25'两个丢球都跟马斯切拉诺的防守不到位有关                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
25'拉莫斯对梅西的犯规，巴萨获得了一个前场定位球机会                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
26'梅西定位球打门被人墙挡了出去                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
26'迪马利亚又来了~                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
26'变向过了阿尔维斯~~~                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
26'传中~本泽马左脚一停~~                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
26'射门被门线上的皮克挡出                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
26'本泽马离帽子戏法只差了一点                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
27'迪马利亚倒在了禁区线外，皇马的定位球                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
27'C罗的定位球打门也是被人墙挡出                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
27'跟上的莫德里奇弧顶处左脚打门，踢飞了                   24'第24分钟，马塞洛前传，迪马利亚左路下底传中，无人防守的本泽马前点8码处大腿停球后半凌空抽射破门，2-1
26'梅西定位球打门被人墙挡了出去                   26'随后他在第26分钟险些上演帽子戏法，迪马利亚底线附近切入禁区左侧传中，本泽马远点8码处推射被皮克在门线前解围
26'迪马利亚又来了~                   26'随后他在第26分钟险些上演帽子戏法，迪马利亚底线附近切入禁区左侧传中，本泽马远点8码处推射被皮克在门线前解围
26'变向过了阿尔维斯~~~                   26'随后他在第26分钟险些上演帽子戏法，迪马利亚底线附近切入禁区左侧传中，本泽马远点8码处推射被皮克在门线前解围
26'传中~本泽马左脚一停~~                   26'随后他在第26分钟险些上演帽子戏法，迪马利亚底线附近切入禁区左侧传中，本泽马远点8码处推射被皮克在门线前解围
26'射门被门线上的皮克挡出                   26'随后他在第26分钟险些上演帽子戏法，迪马利亚底线附近切入禁区左侧传中，本泽马远点8码处推射被皮克在门线前解围
26'本泽马离帽子戏法只差了一点                   26'随后他在第26分钟险些上演帽子戏法，迪马利亚底线附近切入禁区左侧传中，本泽马远点8码处推射被皮克在门线前解围
27'迪马利亚倒在了禁区线外，皇马的定位球                   26'随后他在第26分钟险些上演帽子戏法，迪马利亚底线附近切入禁区左侧传中，本泽马远点8码处推射被皮克在门线前解围
27'C罗的定位球打门也是被人墙挡出                   26'随后他在第26分钟险些上演帽子戏法，迪马利亚底线附近切入禁区左侧传中，本泽马远点8码处推射被皮克在门线前解围
27'跟上的莫德里奇弧顶处左脚打门，踢飞了                   26'随后他在第26分钟险些上演帽子戏法，迪马利亚底线附近切入禁区左侧传中，本泽马远点8码处推射被皮克在门线前解围
29'迪马利亚防守中手球了                   26'随后他在第26分钟险些上演帽子戏法，迪马利亚底线附近切入禁区左侧传中，本泽马远点8码处推射被皮克在门线前解围
29'巴萨再次获得了前场定位球机会                   26'随后他在第26分钟险些上演帽子戏法，迪马利亚底线附近切入禁区左侧传中，本泽马远点8码处推射被皮克在门线前解围
30'哈维定位球直接打门~人墙挡了一下                   30'第30分钟，迪马利亚禁区前手球犯规，哈维30码处任意球射门也打中人墙
30'马蒂诺有些坐不住了                   30'第30分钟，迪马利亚禁区前手球犯规，哈维30码处任意球射门也打中人墙
30'安切洛蒂却是满面红光~                   30'第30分钟，迪马利亚禁区前手球犯规，哈维30码处任意球射门也打中人墙
31'内马尔的传中被阿隆索头球解围~                   30'第30分钟，迪马利亚禁区前手球犯规，哈维30码处任意球射门也打中人墙
31'巴萨的边路传中效果并不好                   30'第30分钟，迪马利亚禁区前手球犯规，哈维30码处任意球射门也打中人墙
32'贝尔底线突破~稍微趟大了一点                   30'第30分钟，迪马利亚禁区前手球犯规，哈维30码处任意球射门也打中人墙
33'巴萨还是打得不急不慢                   30'第30分钟，迪马利亚禁区前手球犯规，哈维30码处任意球射门也打中人墙
33'阿尔巴的低平球传中被对方后卫破坏~                   30'第30分钟，迪马利亚禁区前手球犯规，哈维30码处任意球射门也打中人墙
42'梅西~~~                   42'巴萨第42分钟扳平比分，梅西同内马尔踢墙配合后12码处劲射入右下角，皇马3名后卫未能封堵住射门，2-2
42'Goooooooooooooooooal~~~~                   42'巴萨第42分钟扳平比分，梅西同内马尔踢墙配合后12码处劲射入右下角，皇马3名后卫未能封堵住射门，2-2
42'场上爆发了冲突！                   42'巴萨第42分钟扳平比分，梅西同内马尔踢墙配合后12码处劲射入右下角，皇马3名后卫未能封堵住射门，2-2
43'皇马的禁区内有人倒地                   42'巴萨第42分钟扳平比分，梅西同内马尔踢墙配合后12码处劲射入右下角，皇马3名后卫未能封堵住射门，2-2
43'看起来是小法跟佩佩                   42'巴萨第42分钟扳平比分，梅西同内马尔踢墙配合后12码处劲射入右下角，皇马3名后卫未能封堵住射门，2-2
43'什么情况？                   42'巴萨第42分钟扳平比分，梅西同内马尔踢墙配合后12码处劲射入右下角，皇马3名后卫未能封堵住射门，2-2
43'裁判各大50大板，两人一人一张黄牌                   42'巴萨第42分钟扳平比分，梅西同内马尔踢墙配合后12码处劲射入右下角，皇马3名后卫未能封堵住射门，2-2
44'梅西的进球来自于个人的表演~内马尔禁区内背身拿球，卡瓦哈尔伸脚一挡，刚好挡在了梅西脚下~~~梅西左脚劲射！距离太近洛佩兹反应不及                   42'巴萨第42分钟扳平比分，梅西同内马尔踢墙配合后12码处劲射入右下角，皇马3名后卫未能封堵住射门，2-2
45'而刚才小法跟佩佩是起了言语上的冲突                   42'巴萨第42分钟扳平比分，梅西同内马尔踢墙配合后12码处劲射入右下角，皇马3名后卫未能封堵住射门，2-2
45'手机用户315403668304:46 三个阿根廷人上半场决定了比赛---哈哈，确实如此                   42'巴萨第42分钟扳平比分，梅西同内马尔踢墙配合后12码处劲射入右下角，皇马3名后卫未能封堵住射门，2-2
82'马斯切拉诺也来一脚远射！！！不常见啊                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
82'马斯切拉诺的打门高出了横梁                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
82'巴萨跟皇马打平，最高兴的就是马竞了                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
83'又是点球？？？                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
83'巴萨再次获得了点球！                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
83'什么情况？                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
83'伊涅斯塔被卡瓦哈尔推倒！                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
84'另外阿隆索也有一个绊脚的动作                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
84'梅西再次站在点球点前                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
84'Goooooooooooooooal~~~                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
84'梅西上演了帽子戏法！                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
84'点球罚向了球门右上角！！！                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
85'阿隆索因为抗议还领到了一张黄牌                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
85'皇马换下了迪马利亚，换上伊斯科                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
85'C罗在争抢中绊倒了马斯切拉诺！                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
85'裁判掏出了黄牌，给了C罗                   82'第82分钟，布斯克茨传球，马斯切拉诺30码处远射稍稍高出
