1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
74'克罗斯中圈拿球，过顶球找赫塞                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
74'孔帕尼头球顶回，克里希左侧抢在巴斯克斯之前，出脚破坏                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
74'皇马前场再攻，克罗斯中路拿球，分球右侧给贝尔                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
79'中路强突，禁区弧顶被孔帕尼掀翻在地！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
79'裁判没理会，曼城球员拿球反击！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
79'马塞洛中线位置抢断，给到赫塞                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
79'赫塞左侧拿球，再给马塞洛                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
79'马塞洛下底传中，被后卫挡出底线！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
80'皇马的左侧角球，克罗斯主罚！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
80'开出到前点，卡塞米罗力压萨尼亚头球，哈特用腿将球挡出！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
80'这个球很有威胁，哈特的站位不错！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
80'马塞洛左路拿球，内切强突，费尔南多放铲犯规！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
81'皇马获得大禁区左上角的任意球机会！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
81'非常危险的位置，拉莫斯、克罗斯和贝尔都站在球前！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
82'拉莫斯虚晃，贝尔左脚任意球攻门，被孔帕尼头球解围出底线！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
82'皇马的左侧角球机会！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
82'哈特再次立功！！                   79'第79分钟，卡塞米罗角球混战中近距离头球攻门被乔-哈特用腿挡出
