14'斯帕尔大巴摆得很有心得                   14'开场14分钟，尤文首次射正就取得领先
54'连续两下补球，球是由伊科诺莫顶进                   53'8分钟后，萨拉蒙放倒伊瓜因，在门前22米处左脚任意球越过人墙挂右上角，2比0
54'不过帕洛斯基打门的时候已经越位                   53'8分钟后，萨拉蒙放倒伊瓜因，在门前22米处左脚任意球越过人墙挂右上角，2比0
54'进球无效                   53'8分钟后，萨拉蒙放倒伊瓜因，在门前22米处左脚任意球越过人墙挂右上角，2比0
54'回看慢镜判罚正确                   53'8分钟后，萨拉蒙放倒伊瓜因，在门前22米处左脚任意球越过人墙挂右上角，2比0
56'没有问题，进球无效                   53'8分钟后，萨拉蒙放倒伊瓜因，在门前22米处左脚任意球越过人墙挂右上角，2比0
56'尤文图斯换人，7号夸雷拉多抽下了33号贝纳德斯基                   53'8分钟后，萨拉蒙放倒伊瓜因，在门前22米处左脚任意球越过人墙挂右上角，2比0
34'斯帕尔角球机会                   34'斯帕尔第34分钟追回一分
34'战术角球，菲利佩禁区边缘打门，帕洛斯基插上门前捅射球进！                   34'斯帕尔第34分钟追回一分
35'斯帕尔顽强地将比分追到较接近纪录                   34'斯帕尔第34分钟追回一分
35'贝纳德斯基右路加速下底传中，球要在了菲利佩身上弹到门前                   34'斯帕尔第34分钟追回一分
35'戈米斯将球没收                   34'斯帕尔第34分钟追回一分
35'本坦库尔交给贝纳德斯基，回传                   34'斯帕尔第34分钟追回一分
35'迪巴拉右路传中被里佐挡一下                   34'斯帕尔第34分钟追回一分
36'外围还是尤文图斯控球                   34'斯帕尔第34分钟追回一分
36'迪巴拉右路的传中，萨拉蒙头球解围                   34'斯帕尔第34分钟追回一分
36'第二点的争顶，贝纳德斯基推里佐犯规                   34'斯帕尔第34分钟追回一分
37'伊瓜因分左路的桑德罗                   34'斯帕尔第34分钟追回一分
37'直传，赫迪拉传中，伊科诺莫的解围                   34'斯帕尔第34分钟追回一分
65'科斯塔左路下底传中，打在斯基亚冯身上出底线，角                   65'尤文第65分钟恢复2球优势，皮亚尼奇左侧角球开出后，赫迪拉右脚外脚背垫射被挡，他将球让给后点的伊瓜因，伊瓜因在门前8米处左脚低射入远角，3比1
65'迪巴拉发角球到禁区内                   65'尤文第65分钟恢复2球优势，皮亚尼奇左侧角球开出后，赫迪拉右脚外脚背垫射被挡，他将球让给后点的伊瓜因，伊瓜因在门前8米处左脚低射入远角，3比1
65'皮亚尼奇打门击中了后卫                   65'尤文第65分钟恢复2球优势，皮亚尼奇左侧角球开出后，赫迪拉右脚外脚背垫射被挡，他将球让给后点的伊瓜因，伊瓜因在门前8米处左脚低射入远角，3比1
66'伊瓜因禁区右侧小角度劲射，球进了！                   65'尤文第65分钟恢复2球优势，皮亚尼奇左侧角球开出后，赫迪拉右脚外脚背垫射被挡，他将球让给后点的伊瓜因，伊瓜因在门前8米处左脚低射入远角，3比1
66'这是皮亚尼奇发的角球，赫迪拉打门被挡一下，伊瓜因小角度劲射破网                   65'尤文第65分钟恢复2球优势，皮亚尼奇左侧角球开出后，赫迪拉右脚外脚背垫射被挡，他将球让给后点的伊瓜因，伊瓜因在门前8米处左脚低射入远角，3比1
66'伊瓜因打进了自己在本赛季意甲的第4个进球                   65'尤文第65分钟恢复2球优势，皮亚尼奇左侧角球开出后，赫迪拉右脚外脚背垫射被挡，他将球让给后点的伊瓜因，伊瓜因在门前8米处左脚低射入远角，3比1
67'这球对于伊瓜因来说非常重要，本赛季他的进球数偏少                   65'尤文第65分钟恢复2球优势，皮亚尼奇左侧角球开出后，赫迪拉右脚外脚背垫射被挡，他将球让给后点的伊瓜因，伊瓜因在门前8米处左脚低射入远角，3比1
67'皮亚尼奇直传被斯基亚冯断下                   65'尤文第65分钟恢复2球优势，皮亚尼奇左侧角球开出后，赫迪拉右脚外脚背垫射被挡，他将球让给后点的伊瓜因，伊瓜因在门前8米处左脚低射入远角，3比1
67'斯帕尔中场控球                   65'尤文第65分钟恢复2球优势，皮亚尼奇左侧角球开出后，赫迪拉右脚外脚背垫射被挡，他将球让给后点的伊瓜因，伊瓜因在门前8米处左脚低射入远角，3比1
68'尤文图斯后场控球                   65'尤文第65分钟恢复2球优势，皮亚尼奇左侧角球开出后，赫迪拉右脚外脚背垫射被挡，他将球让给后点的伊瓜因，伊瓜因在门前8米处左脚低射入远角，3比1
88'科斯塔前场断球送到禁区内                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
88'迪巴拉得球搓向，搓得不好，戈米斯直接将球没收                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
88'皮亚尼奇直传                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
89'伊瓜因前插单刀了，盘过了门将打空门球进！                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
89'伊瓜因梅开二度！                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
90'我们再看看，伊瓜因这球没有算                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
90'主裁判看了视频回放后判定伊瓜因越位在先                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
91'下半场补时5分钟                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
91'桑德罗交给科斯塔                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
91'回传给伊瓜因                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
91'转移右路的夸德拉多                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
91'一顺                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
91'皮亚尼奇插上倒三角传球                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
91'迪巴拉打门被戈米斯倒地扑了一下，球出底线                   88'伊瓜因第88分钟进球被判无效，马尔基西奥中圈直塞，伊瓜因单刀晃过门将后左脚打进空门，但主裁判帕斯夸得到录像助理裁判提醒后，判定进球无效，慢镜证实伊瓜因确实越位
