5'阿森纳中场的横向转移出现失误                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
16'沃尔科特在替补席上，今天出场的可能性有吗？ [qiangda]                   16'安德莱赫特第16分钟也获得机会，西里亚克禁区左侧传中被默特萨克解围，克吉斯坦拿球突入小禁区前射门被斯泽斯尼出击封出
17'孔特前场拿球送直塞到底线                   16'安德莱赫特第16分钟也获得机会，西里亚克禁区左侧传中被默特萨克解围，克吉斯坦拿球突入小禁区前射门被斯泽斯尼出击封出
18'挑传送中路，安德莱赫特球员通过拼抢赢得机会                   16'安德莱赫特第16分钟也获得机会，西里亚克禁区左侧传中被默特萨克解围，克吉斯坦拿球突入小禁区前射门被斯泽斯尼出击封出
18'右路的无人看防，面对斯泽斯尼的打门被封了                   16'安德莱赫特第16分钟也获得机会，西里亚克禁区左侧传中被默特萨克解围，克吉斯坦拿球突入小禁区前射门被斯泽斯尼出击封出
18'阿森纳前场送直塞到禁区里                   16'安德莱赫特第16分钟也获得机会，西里亚克禁区左侧传中被默特萨克解围，克吉斯坦拿球突入小禁区前射门被斯泽斯尼出击封出
18'这球先被防守球员碰了一下                   16'安德莱赫特第16分钟也获得机会，西里亚克禁区左侧传中被默特萨克解围，克吉斯坦拿球突入小禁区前射门被斯泽斯尼出击封出
18'两队这段时间的攻防转换很快                   16'安德莱赫特第16分钟也获得机会，西里亚克禁区左侧传中被默特萨克解围，克吉斯坦拿球突入小禁区前射门被斯泽斯尼出击封出
19'之前安德莱赫特获得机会的是萨查-科尔杰斯坦                   16'安德莱赫特第16分钟也获得机会，西里亚克禁区左侧传中被默特萨克解围，克吉斯坦拿球突入小禁区前射门被斯泽斯尼出击封出
25'阿尔特塔点球打中路，成功骗过了门将！！                   25'阿森纳第25分钟取得领先，桑切斯直传，曼古鲁禁区内背后绊倒维尔贝克犯规，阿尔特塔主罚点球命中
25'这球打得非常轻松，1-0！                   25'阿森纳第25分钟取得领先，桑切斯直传，曼古鲁禁区内背后绊倒维尔贝克犯规，阿尔特塔主罚点球命中
26'精彩回放：阿森纳前场送直塞，姆贝巴卡身位的时候将维尔贝克放倒，姆贝巴防守中也是想打擦边球，但这球还是被裁判明察秋毫判了点球                   25'阿森纳第25分钟取得领先，桑切斯直传，曼古鲁禁区内背后绊倒维尔贝克犯规，阿尔特塔主罚点球命中
27'阿森纳底线起球送中路                   25'阿森纳第25分钟取得领先，桑切斯直传，曼古鲁禁区内背后绊倒维尔贝克犯规，阿尔特塔主罚点球命中
27'卡索拉停球后没有形成打门的机会                   25'阿森纳第25分钟取得领先，桑切斯直传，曼古鲁禁区内背后绊倒维尔贝克犯规，阿尔特塔主罚点球命中
28'卡索拉禁区前沿拿球被拉倒                   25'阿森纳第25分钟取得领先，桑切斯直传，曼古鲁禁区内背后绊倒维尔贝克犯规，阿尔特塔主罚点球命中
28'阿森纳获得一个位置不错的任意球机会                   25'阿森纳第25分钟取得领先，桑切斯直传，曼古鲁禁区内背后绊倒维尔贝克犯规，阿尔特塔主罚点球命中
28'2-0！！                   25'阿森纳第25分钟取得领先，桑切斯直传，曼古鲁禁区内背后绊倒维尔贝克犯规，阿尔特塔主罚点球命中
28'桑切斯！！                   25'阿森纳第25分钟取得领先，桑切斯直传，曼古鲁禁区内背后绊倒维尔贝克犯规，阿尔特塔主罚点球命中
29'桑切斯任意球打门第一下被人墙挡了出来，球回来后，桑切斯跟上再打球从近角入网！                   29'阿森纳第29分钟扩大比分，桑切斯右路禁区边缘外任意球射门打中人墙，前巴萨边锋半凌空再射入右下角，2-0
29'5分钟内，阿森纳连入2球                   29'阿森纳第29分钟扩大比分，桑切斯右路禁区边缘外任意球射门打中人墙，前巴萨边锋半凌空再射入右下角，2-0
30'安德莱赫特这边前场左路获得定位球                   29'阿森纳第29分钟扩大比分，桑切斯右路禁区边缘外任意球射门打中人墙，前巴萨边锋半凌空再射入右下角，2-0
31'蒂勒芒斯任意球送禁区内                   29'阿森纳第29分钟扩大比分，桑切斯右路禁区边缘外任意球射门打中人墙，前巴萨边锋半凌空再射入右下角，2-0
31'乱战中，队友的打门没有打上                   29'阿森纳第29分钟扩大比分，桑切斯右路禁区边缘外任意球射门打中人墙，前巴萨边锋半凌空再射入右下角，2-0
32'张伯伦右路拿球突破到底线                   29'阿森纳第29分钟扩大比分，桑切斯右路禁区边缘外任意球射门打中人墙，前巴萨边锋半凌空再射入右下角，2-0
32'最后的一下被对方卡住赢得角球机会                   29'阿森纳第29分钟扩大比分，桑切斯右路禁区边缘外任意球射门打中人墙，前巴萨边锋半凌空再射入右下角，2-0
32'阿森纳角球送前点，这球被对方球员破坏出底线                   29'阿森纳第29分钟扩大比分，桑切斯右路禁区边缘外任意球射门打中人墙，前巴萨边锋半凌空再射入右下角，2-0
39'禁区前沿阿森纳将球回敲                   39'第39分钟，拉姆塞传球，张伯伦远射偏出
39'张伯伦得球后打门将球打偏                   39'第39分钟，拉姆塞传球，张伯伦远射偏出
39'阿森纳右路进攻又来了                   39'第39分钟，拉姆塞传球，张伯伦远射偏出
39'桑切斯边路拿球送禁区里                   39'第39分钟，拉姆塞传球，张伯伦远射偏出
39'维尔贝克这边又是慢了半拍                   39'第39分钟，拉姆塞传球，张伯伦远射偏出
41'维尔贝克这边单刀球到了禁区内                   39'第39分钟，拉姆塞传球，张伯伦远射偏出
41'维尔贝克禁区内小角度打门被后卫碰出底线                   39'第39分钟，拉姆塞传球，张伯伦远射偏出
41'阿森纳角球机会                   39'第39分钟，拉姆塞传球，张伯伦远射偏出
41'角球送中路，第一点被安德莱赫特顶出                   39'第39分钟，拉姆塞传球，张伯伦远射偏出
42'阿森纳这边又获得角球机会                   39'第39分钟，拉姆塞传球，张伯伦远射偏出
47'阿森纳这边进攻，连续获得机会                   47'第47分钟，吉布斯12码处无私传球，张伯伦禁区右侧10码处的射门被阿切姆蓬飞铲封堵
47'张伯伦的打门又是被后卫挡了出来                   47'第47分钟，吉布斯12码处无私传球，张伯伦禁区右侧10码处的射门被阿切姆蓬飞铲封堵
48'下半场一开始，安德莱赫特的后防让人担心啊                   47'第47分钟，吉布斯12码处无私传球，张伯伦禁区右侧10码处的射门被阿切姆蓬飞铲封堵
49'阿森纳这边获得角球机会                   47'第47分钟，吉布斯12码处无私传球，张伯伦禁区右侧10码处的射门被阿切姆蓬飞铲封堵
49'角球送中路，双方球员都没有碰到                   47'第47分钟，吉布斯12码处无私传球，张伯伦禁区右侧10码处的射门被阿切姆蓬飞铲封堵
49'阿森纳中场拿球给到边路                   47'第47分钟，吉布斯12码处无私传球，张伯伦禁区右侧10码处的射门被阿切姆蓬飞铲封堵
50'钱伯斯边路拿球往中路给                   47'第47分钟，吉布斯12码处无私传球，张伯伦禁区右侧10码处的射门被阿切姆蓬飞铲封堵
50'这球被安德莱赫特破坏出来                   47'第47分钟，吉布斯12码处无私传球，张伯伦禁区右侧10码处的射门被阿切姆蓬飞铲封堵
50'阿森纳中场长传到禁区前沿                   47'第47分钟，吉布斯12码处无私传球，张伯伦禁区右侧10码处的射门被阿切姆蓬飞铲封堵
50'桑切斯停球后往前                   47'第47分钟，吉布斯12码处无私传球，张伯伦禁区右侧10码处的射门被阿切姆蓬飞铲封堵
58'阿森纳挑传送禁区前沿                   58'第58分钟，张伯伦前场抢断后突入禁区左肋10码处推射远角入网，3-0
58'维尔贝克停球后给到拉姆塞                   58'第58分钟，张伯伦前场抢断后突入禁区左肋10码处推射远角入网，3-0
58'拉姆塞得球后再传被后卫封堵                   58'第58分钟，张伯伦前场抢断后突入禁区左肋10码处推射远角入网，3-0
58'3-0！！                   58'第58分钟，张伯伦前场抢断后突入禁区左肋10码处推射远角入网，3-0
59'张伯伦！！                   58'第58分钟，张伯伦前场抢断后突入禁区左肋10码处推射远角入网，3-0
59'阿森纳前场包夹抢断，张伯伦得球后直突到禁区里，左路小角度推远角得分！                   58'第58分钟，张伯伦前场抢断后突入禁区左肋10码处推射远角入网，3-0
60'另外一场比赛，多特已经2-0领先了                   58'第58分钟，张伯伦前场抢断后突入禁区左肋10码处推射远角入网，3-0
60'这两队携手晋级应该是没有多大悬念了                   58'第58分钟，张伯伦前场抢断后突入禁区左肋10码处推射远角入网，3-0
61'安德莱赫特扳回一球！！                   58'第58分钟，张伯伦前场抢断后突入禁区左肋10码处推射远角入网，3-0
61'范登博雷！！                   58'第58分钟，张伯伦前场抢断后突入禁区左肋10码处推射远角入网，3-0
61'这球有越位啊                   58'第58分钟，张伯伦前场抢断后突入禁区左肋10码处推射远角入网，3-0
61'安德莱赫特扳回一球！！                   61'安德莱赫特第61分钟扳回一城，卡瓦亚禁区左侧强突钱伯斯传中，越位位置的范登-博雷近距离推射破门，1-3
61'范登博雷！！                   61'安德莱赫特第61分钟扳回一城，卡瓦亚禁区左侧强突钱伯斯传中，越位位置的范登-博雷近距离推射破门，1-3
61'这球有越位啊                   61'安德莱赫特第61分钟扳回一城，卡瓦亚禁区左侧强突钱伯斯传中，越位位置的范登-博雷近距离推射破门，1-3
63'这球最后还是算了                   61'安德莱赫特第61分钟扳回一城，卡瓦亚禁区左侧强突钱伯斯传中，越位位置的范登-博雷近距离推射破门，1-3
64'奇里亚克禁区前沿拿球分到左路，队友接球后横敲送中路，范登博雷推射破门，但范登博雷在接球的瞬间是在越位的位置上！                   61'安德莱赫特第61分钟扳回一城，卡瓦亚禁区左侧强突钱伯斯传中，越位位置的范登-博雷近距离推射破门，1-3
69'拉姆塞右边路拿球出现失误                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
69'维尔贝克禁区内拿球先被对方捅出底线                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
69'角球送前点                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
70'维尔贝克头球攻门，球在弹地后被门将扑出                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
70'安德莱赫特前场拿球被断                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
70'安德莱赫特左路起球送禁区内                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
71'斯泽斯尼表现很稳定侧扑将球得到                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
71'维尔贝克右路套边过来                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
71'边路低平球送禁区内                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
71'前点队友脚后跟传球到中路                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
71'桑切斯跟上打门被封堵                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
72'蒙雷亚尔禁区内犯规！！点球加黄牌！                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
72'安德莱赫特获得点球机会                   69'第69分钟，卡索拉开出角球，维尔贝克8码处头球攻门被普洛托扑挡后没收
75'另外一场比赛，多特蒙德3-1领先加拉塔萨雷                   75'第75分钟，维尔贝克突破受阻，钱伯斯禁区边缘内射门被挡出
75'阿森纳这边获得角球机会                   75'第75分钟，维尔贝克突破受阻，钱伯斯禁区边缘内射门被挡出
76'角球送前点被顶了出来                   75'第75分钟，维尔贝克突破受阻，钱伯斯禁区边缘内射门被挡出
76'再传禁区里被普洛托直接拿到                   75'第75分钟，维尔贝克突破受阻，钱伯斯禁区边缘内射门被挡出
77'卡索拉左路带球到禁区内                   75'第75分钟，维尔贝克突破受阻，钱伯斯禁区边缘内射门被挡出
77'卡索拉低射打门被门将侧扑得到                   75'第75分钟，维尔贝克突破受阻，钱伯斯禁区边缘内射门被挡出
78'安德莱赫特这边又获得任意球机会                   75'第75分钟，维尔贝克突破受阻，钱伯斯禁区边缘内射门被挡出
78'安德莱赫特这边又获得任意球机会                   78'第78分钟，泰勒曼斯30码处任意球直接射门被斯泽斯尼没收
79'位置不错就是距离有点远                   78'第78分钟，泰勒曼斯30码处任意球直接射门被斯泽斯尼没收
79'任意球直接打门，球被门将侧扑得到                   78'第78分钟，泰勒曼斯30码处任意球直接射门被斯泽斯尼没收
80'安德莱赫特左路起球送禁区内                   78'第78分钟，泰勒曼斯30码处任意球直接射门被斯泽斯尼没收
80'吉布斯的头球解围险些乌龙啊                   78'第78分钟，泰勒曼斯30码处任意球直接射门被斯泽斯尼没收
80'安德莱赫特获得角球机会                   78'第78分钟，泰勒曼斯30码处任意球直接射门被斯泽斯尼没收
80'角球送禁区前点被顶出                   78'第78分钟，泰勒曼斯30码处任意球直接射门被斯泽斯尼没收
84'罗西基边路拿球摆脱被断                   84'安德莱赫特第84分钟再造险情，阿切姆蓬禁区左侧18码处劲射擦中横梁弹出
85'阿奇姆彭禁区呢接球打门稍稍打高                   84'安德莱赫特第84分钟再造险情，阿切姆蓬禁区左侧18码处劲射擦中横梁弹出
85'安德莱赫特也是发起了最后的冲击                   84'安德莱赫特第84分钟再造险情，阿切姆蓬禁区左侧18码处劲射擦中横梁弹出
86'弗拉米尼后场解围的时候膝盖顶到对方                   84'安德莱赫特第84分钟再造险情，阿切姆蓬禁区左侧18码处劲射擦中横梁弹出
86'裁判并没有吹犯规                   84'安德莱赫特第84分钟再造险情，阿切姆蓬禁区左侧18码处劲射擦中横梁弹出
86'范登博雷也是找裁判投诉                   84'安德莱赫特第84分钟再造险情，阿切姆蓬禁区左侧18码处劲射擦中横梁弹出
87'阿森纳前场拿球，范登博雷也是做了相同动作                   84'安德莱赫特第84分钟再造险情，阿切姆蓬禁区左侧18码处劲射擦中横梁弹出
87'这次裁判吹了犯规                   84'安德莱赫特第84分钟再造险情，阿切姆蓬禁区左侧18码处劲射擦中横梁弹出
87'萨查-科尔杰斯坦禁区前沿防守又犯规了                   84'安德莱赫特第84分钟再造险情，阿切姆蓬禁区左侧18码处劲射擦中横梁弹出
90'比赛马上要进入到伤停补时                   90'安德莱赫特第90分钟扳平比分，纳亚尔右路传中，米特洛维奇10码处抢在默特萨克之前头球破门，3-3
90'安德莱赫特中场拿球回敲                   90'安德莱赫特第90分钟扳平比分，纳亚尔右路传中，米特洛维奇10码处抢在默特萨克之前头球破门，3-3
90'安德莱赫特！！！进球了！！！！                   90'安德莱赫特第90分钟扳平比分，纳亚尔右路传中，米特洛维奇10码处抢在默特萨克之前头球破门，3-3
90'米特洛维奇俯身冲顶！！！                   90'安德莱赫特第90分钟扳平比分，纳亚尔右路传中，米特洛维奇10码处抢在默特萨克之前头球破门，3-3
91'纳亚尔右路起球送禁区内，米特洛维奇俯身冲顶破门！！                   90'安德莱赫特第90分钟扳平比分，纳亚尔右路传中，米特洛维奇10码处抢在默特萨克之前头球破门，3-3
92'阿森纳这边获得机会                   90'安德莱赫特第90分钟扳平比分，纳亚尔右路传中，米特洛维奇10码处抢在默特萨克之前头球破门，3-3
92'波多尔斯基抢射打偏了。。。                   90'安德莱赫特第90分钟扳平比分，纳亚尔右路传中，米特洛维奇10码处抢在默特萨克之前头球破门，3-3
93'安德莱赫特左路拿球下底被门将得到                   90'安德莱赫特第90分钟扳平比分，纳亚尔右路传中，米特洛维奇10码处抢在默特萨克之前头球破门，3-3
93'范登博雷中场防守踢人犯规                   90'安德莱赫特第90分钟扳平比分，纳亚尔右路传中，米特洛维奇10码处抢在默特萨克之前头球破门，3-3
93'范登博雷得到一张黄牌！                   90'安德莱赫特第90分钟扳平比分，纳亚尔右路传中，米特洛维奇10码处抢在默特萨克之前头球破门，3-3
