4'双方上来节奏还是很慢的                   4'开场4分钟，埃尼奥左路似传似射，被耿晓峰直接抱住皮球
24'[qiangda]长春亚泰目前排名第几？                   24'第24分钟长春队靠定位球取得进球，伊斯梅洛夫 埃尼奥开到前点，贝切莱压住曹秉局把球顶下，伊斯梅洛夫用腰部顺了一下球，接着侧身扫射，皮球飞入大门，1比1，长春队扳平
24'刘卫东右侧传中，被李文博碰出边线                   24'第24分钟长春队靠定位球取得进球，伊斯梅洛夫 埃尼奥开到前点，贝切莱压住曹秉局把球顶下，伊斯梅洛夫用腰部顺了一下球，接着侧身扫射，皮球飞入大门，1比1，长春队扳平
24'亚泰掷出边线球                   24'第24分钟长春队靠定位球取得进球，伊斯梅洛夫 埃尼奥开到前点，贝切莱压住曹秉局把球顶下，伊斯梅洛夫用腰部顺了一下球，接着侧身扫射，皮球飞入大门，1比1，长春队扳平
25'亚泰获得右侧角球                   24'第24分钟长春队靠定位球取得进球，伊斯梅洛夫 埃尼奥开到前点，贝切莱压住曹秉局把球顶下，伊斯梅洛夫用腰部顺了一下球，接着侧身扫射，皮球飞入大门，1比1，长春队扳平
27'角球开出到前点，贝奇拉耶高高跃起将球蹭到了伊斯梅洛夫的脚下，门线前的伊斯梅洛夫轻轻一捅，皮球窜进了网窝！！                   24'第24分钟长春队靠定位球取得进球，伊斯梅洛夫 埃尼奥开到前点，贝切莱压住曹秉局把球顶下，伊斯梅洛夫用腰部顺了一下球，接着侧身扫射，皮球飞入大门，1比1，长春队扳平
27'申花获得右侧一个角球                   24'第24分钟长春队靠定位球取得进球，伊斯梅洛夫 埃尼奥开到前点，贝切莱压住曹秉局把球顶下，伊斯梅洛夫用腰部顺了一下球，接着侧身扫射，皮球飞入大门，1比1，长春队扳平
27'角球开到前点，第一点被泰达后卫控制住了                   24'第24分钟长春队靠定位球取得进球，伊斯梅洛夫 埃尼奥开到前点，贝切莱压住曹秉局把球顶下，伊斯梅洛夫用腰部顺了一下球，接着侧身扫射，皮球飞入大门，1比1，长春队扳平
27'同桌的你555 :琪琪姐，你是哪个队的球迷呢--湖人球迷  哈哈哈                   24'第24分钟长春队靠定位球取得进球，伊斯梅洛夫 埃尼奥开到前点，贝切莱压住曹秉局把球顶下，伊斯梅洛夫用腰部顺了一下球，接着侧身扫射，皮球飞入大门，1比1，长春队扳平
38'申花后点漏人了，但伊格莱西亚斯打次了，也没有造成什么威胁啊                   38'第38分钟绿地申花在对方禁区内短传配合，徐亮拉到右侧往外送球，莫雷诺接球后左脚弧线球打偏
38'杨昌名名 :主持人能不能让我上一次墙。。从来没有过呢？---okay啊                   38'第38分钟绿地申花在对方禁区内短传配合，徐亮拉到右侧往外送球，莫雷诺接球后左脚弧线球打偏
38'刘卫东突破时后面推人犯规了                   38'第38分钟绿地申花在对方禁区内短传配合，徐亮拉到右侧往外送球，莫雷诺接球后左脚弧线球打偏
40'徐亮右路倒三角传给莫雷诺，莫雷诺脚背外侧打门，皮球飘着偏出了左侧立柱，皮球还是压住了的                   38'第38分钟绿地申花在对方禁区内短传配合，徐亮拉到右侧往外送球，莫雷诺接球后左脚弧线球打偏
40'高迪右侧低平球传中，被宋振瑜抱住                   38'第38分钟绿地申花在对方禁区内短传配合，徐亮拉到右侧往外送球，莫雷诺接球后左脚弧线球打偏
40'陈俊豪c :我预感这场比赛有红牌。。--你是怎么感觉的呢                   38'第38分钟绿地申花在对方禁区内短传配合，徐亮拉到右侧往外送球，莫雷诺接球后左脚弧线球打偏
41'[qiangda]申花主场的名字叫什么？                   38'第38分钟绿地申花在对方禁区内短传配合，徐亮拉到右侧往外送球，莫雷诺接球后左脚弧线球打偏
46'亚泰获得左侧角球                   46'下半场第1分钟，长春队围攻绿地申花大门，第47分钟瓦尔特右路切入禁区后怒射稍偏出界
48'贝奇拉耶脚后跟传给李晓铤，边裁举旗示意越位                   46'下半场第1分钟，长春队围攻绿地申花大门，第47分钟瓦尔特右路切入禁区后怒射稍偏出界
48'[qiangda]哪座足球场名字是你心中最好听最浪漫的？、                   46'下半场第1分钟，长春队围攻绿地申花大门，第47分钟瓦尔特右路切入禁区后怒射稍偏出界
46'下半场比赛开始！！                   46'下半场第1分钟，长春队围攻绿地申花大门，第47分钟瓦尔特右路切入禁区后怒射稍偏出界
48'吕建军斜长传禁区，皮球碰到了对方后卫身上出了底线，亚泰角球                   46'下半场第1分钟，长春队围攻绿地申花大门，第47分钟瓦尔特右路切入禁区后怒射稍偏出界
48'角球开出，第一点被曹秉局顶出                   46'下半场第1分钟，长春队围攻绿地申花大门，第47分钟瓦尔特右路切入禁区后怒射稍偏出界
48'无锡小蜜蜂 :比利亚雷尓的琴歌球场如何---ronmatic                   46'下半场第1分钟，长春队围攻绿地申花大门，第47分钟瓦尔特右路切入禁区后怒射稍偏出界
49'亚泰获得前场右侧任意球                   46'下半场第1分钟，长春队围攻绿地申花大门，第47分钟瓦尔特右路切入禁区后怒射稍偏出界
57'亚泰开出定位球，第一点被对方后卫破坏                   57'第57分钟长春队再次集结在上海队禁区周围寻觅机会，张笑飞突然30米外冷射，皮球力量甚大，但角度过正，给耿晓峰拍了一下后接住
58'路易斯左路一对一，内切准备射门时被对方后卫放倒，但裁判没有什么表示                   57'第57分钟长春队再次集结在上海队禁区周围寻觅机会，张笑飞突然30米外冷射，皮球力量甚大，但角度过正，给耿晓峰拍了一下后接住
58'亚泰获得右侧角球                   57'第57分钟长春队再次集结在上海队禁区周围寻觅机会，张笑飞突然30米外冷射，皮球力量甚大，但角度过正，给耿晓峰拍了一下后接住
59'申花顶出第一点，裴帅跟进禁区外一脚远射，皮球力大势沉，但角度太正被耿晓峰控制                   57'第57分钟长春队再次集结在上海队禁区周围寻觅机会，张笑飞突然30米外冷射，皮球力量甚大，但角度过正，给耿晓峰拍了一下后接住
60'双方踢得头挺乱的，中场都不断的出现传球失误                   57'第57分钟长春队再次集结在上海队禁区周围寻觅机会，张笑飞突然30米外冷射，皮球力量甚大，但角度过正，给耿晓峰拍了一下后接住
60'[qiangda]辽阔的东北大平原共有几支中超球队？                   57'第57分钟长春队再次集结在上海队禁区周围寻觅机会，张笑飞突然30米外冷射，皮球力量甚大，但角度过正，给耿晓峰拍了一下后接住
65'高迪边路1对1，见没有机会就又回给了徐亮                   65'第65分钟被动下的绿地申花也找到机会，高迪接左侧任意球头球稍偏
65'申花还是想控制中场减少失误啊                   65'第65分钟被动下的绿地申花也找到机会，高迪接左侧任意球头球稍偏
65'申花获得禁区右前沿任意球                   65'第65分钟被动下的绿地申花也找到机会，高迪接左侧任意球头球稍偏
66'郭起闻 :我在现场，天气有些冷了--真假？？                   65'第65分钟被动下的绿地申花也找到机会，高迪接左侧任意球头球稍偏
66'球开到后点，路易斯顶到皮球但偏出了右侧立柱出了底线                   65'第65分钟被动下的绿地申花也找到机会，高迪接左侧任意球头球稍偏
66'拉斐尔想要上场了                   65'第65分钟被动下的绿地申花也找到机会，高迪接左侧任意球头球稍偏
67'阳光风中劲草 :不是，应该是四只--到底几个啊  只是中超球队啊                   65'第65分钟被动下的绿地申花也找到机会，高迪接左侧任意球头球稍偏
68'王寿亭挑传路易斯，高度不够，被张笑飞破坏                   65'第65分钟被动下的绿地申花也找到机会，高迪接左侧任意球头球稍偏
69'吕建军做大范围的转移，角度没有控制好，传给了对方的后卫                   69'第69分钟埃尼奥前场直传，刘卫东靠速度硬超李文博向禁区内杀去，耿晓峰飞身出击没碰到球，但他干扰了刘卫东跑动节奏，结果皮球直接被他趟出界
70'拉斐尔换下伊格莱斯西亚   曹添堡换下吕建军                   69'第69分钟埃尼奥前场直传，刘卫东靠速度硬超李文博向禁区内杀去，耿晓峰飞身出击没碰到球，但他干扰了刘卫东跑动节奏，结果皮球直接被他趟出界
71'爱你无依靠 :琪琪姐，大家伙都想你了--我也是 嘿嘿                   69'第69分钟埃尼奥前场直传，刘卫东靠速度硬超李文博向禁区内杀去，耿晓峰飞身出击没碰到球，但他干扰了刘卫东跑动节奏，结果皮球直接被他趟出界
71'泰达换人明显加强了进攻，看样主场失利还是不能接受的啊                   69'第69分钟埃尼奥前场直传，刘卫东靠速度硬超李文博向禁区内杀去，耿晓峰飞身出击没碰到球，但他干扰了刘卫东跑动节奏，结果皮球直接被他趟出界
72'申花现在场面很被动啊                   69'第69分钟埃尼奥前场直传，刘卫东靠速度硬超李文博向禁区内杀去，耿晓峰飞身出击没碰到球，但他干扰了刘卫东跑动节奏，结果皮球直接被他趟出界
72'曹赟定带球内切，直接起脚打门，皮球偏出了立柱好多，没有什么威胁                   69'第69分钟埃尼奥前场直传，刘卫东靠速度硬超李文博向禁区内杀去，耿晓峰飞身出击没碰到球，但他干扰了刘卫东跑动节奏，结果皮球直接被他趟出界
72'申花现在场面很被动啊                   72'第72分钟刚出场的拉斐尔险些得分，长春队渗透送球，刘卫东背身拿球后被踢出，拉斐尔20米外接球怒射，皮球擦柱而出
72'曹赟定带球内切，直接起脚打门，皮球偏出了立柱好多，没有什么威胁                   72'第72分钟刚出场的拉斐尔险些得分，长春队渗透送球，刘卫东背身拿球后被踢出，拉斐尔20米外接球怒射，皮球擦柱而出
73'拉斐尔禁区弧顶外直接一脚远射，稍微偏了一点，皮球压的还是很好的                   72'第72分钟刚出场的拉斐尔险些得分，长春队渗透送球，刘卫东背身拿球后被踢出，拉斐尔20米外接球怒射，皮球擦柱而出
74'如果要是打中了门框范围，就危险了                   72'第72分钟刚出场的拉斐尔险些得分，长春队渗透送球，刘卫东背身拿球后被踢出，拉斐尔20米外接球怒射，皮球擦柱而出
74'拉斐尔和李晓铤做撞墙配合时出现了失误                   72'第72分钟刚出场的拉斐尔险些得分，长春队渗透送球，刘卫东背身拿球后被踢出，拉斐尔20米外接球怒射，皮球擦柱而出
75'靠谱的霸気Ten哫 :主播，这场申花是谁指挥的啊？谢谢-----巴蒂斯图塔啊                   72'第72分钟刚出场的拉斐尔险些得分，长春队渗透送球，刘卫东背身拿球后被踢出，拉斐尔20米外接球怒射，皮球擦柱而出
79'同桌的你555 :琪琪想什么呢--晚上吃什么                   79'第79分钟拉斐尔右侧送球到门前，贝切莱射门正好被耿晓峰拼脚挡出
79'。。。。全场在问候沈祥福。。。。                   79'第79分钟拉斐尔右侧送球到门前，贝切莱射门正好被耿晓峰拼脚挡出
79'亚泰又尝试一脚远射，皮球打了飞机                   79'第79分钟拉斐尔右侧送球到门前，贝切莱射门正好被耿晓峰拼脚挡出
81'拉斐尔接到后点的传中球，扫射到大门前，好在耿晓峰反应迅速，及时将球破坏了                   79'第79分钟拉斐尔右侧送球到门前，贝切莱射门正好被耿晓峰拼脚挡出
81'无锡小蜜蜂 :琪琪，下了班来无锡吃排骨--很好吃吗                   79'第79分钟拉斐尔右侧送球到门前，贝切莱射门正好被耿晓峰拼脚挡出
81'王长庆换下曹赟定                   79'第79分钟拉斐尔右侧送球到门前，贝切莱射门正好被耿晓峰拼脚挡出
82'申花还是想再一次冲击一下亚泰的后防                   79'第79分钟拉斐尔右侧送球到门前，贝切莱射门正好被耿晓峰拼脚挡出
81'拉斐尔接到后点的传中球，扫射到大门前，好在耿晓峰反应迅速，及时将球破坏了                   81'第81分钟路易斯左路传中，莫雷诺拿球后带开伊斯梅洛夫和宋振瑜后，艰难起脚扫射打偏
81'无锡小蜜蜂 :琪琪，下了班来无锡吃排骨--很好吃吗                   81'第81分钟路易斯左路传中，莫雷诺拿球后带开伊斯梅洛夫和宋振瑜后，艰难起脚扫射打偏
81'王长庆换下曹赟定                   81'第81分钟路易斯左路传中，莫雷诺拿球后带开伊斯梅洛夫和宋振瑜后，艰难起脚扫射打偏
82'申花还是想再一次冲击一下亚泰的后防                   81'第81分钟路易斯左路传中，莫雷诺拿球后带开伊斯梅洛夫和宋振瑜后，艰难起脚扫射打偏
83'同桌的你555 :绿地赢了我请你吃肯德基---麦当劳可以吗  哈哈哈                   81'第81分钟路易斯左路传中，莫雷诺拿球后带开伊斯梅洛夫和宋振瑜后，艰难起脚扫射打偏
83'大家积极预测比分哦，比赛结束后将从答对的同学中随机抽取3名会员哦                   81'第81分钟路易斯左路传中，莫雷诺拿球后带开伊斯梅洛夫和宋振瑜后，艰难起脚扫射打偏
84'拉斐尔右路生突2个人，回传给刘卫东，刘卫东无人看守，起脚打门时高出了横梁                   81'第81分钟路易斯左路传中，莫雷诺拿球后带开伊斯梅洛夫和宋振瑜后，艰难起脚扫射打偏
84'拉斐尔上来很是活跃啊，基本上每次进攻都和他有关系                   81'第81分钟路易斯左路传中，莫雷诺拿球后带开伊斯梅洛夫和宋振瑜后，艰难起脚扫射打偏
84'申花能不能抗住这一段时间的狂轰乱炸呢                   81'第81分钟路易斯左路传中，莫雷诺拿球后带开伊斯梅洛夫和宋振瑜后，艰难起脚扫射打偏
84'拉斐尔右路生突2个人，回传给刘卫东，刘卫东无人看守，起脚打门时高出了横梁                   84'第84分钟绿地申花队右路快攻配合，但莫雷诺的射门被宋振瑜扑出，王长庆的推射堪堪偏出
84'拉斐尔上来很是活跃啊，基本上每次进攻都和他有关系                   84'第84分钟绿地申花队右路快攻配合，但莫雷诺的射门被宋振瑜扑出，王长庆的推射堪堪偏出
84'申花能不能抗住这一段时间的狂轰乱炸呢                   84'第84分钟绿地申花队右路快攻配合，但莫雷诺的射门被宋振瑜扑出，王长庆的推射堪堪偏出
85'wenshuzxg :2：2--非常有可能                   84'第84分钟绿地申花队右路快攻配合，但莫雷诺的射门被宋振瑜扑出，王长庆的推射堪堪偏出
85'用户2fsa80k3ez :琪琪：亚冠蔚山输给了人和，为什么积分榜钱蔚山是0负呢？求解……----@亚足联                   84'第84分钟绿地申花队右路快攻配合，但莫雷诺的射门被宋振瑜扑出，王长庆的推射堪堪偏出
86'孙捷换下裴帅                   84'第84分钟绿地申花队右路快攻配合，但莫雷诺的射门被宋振瑜扑出，王长庆的推射堪堪偏出
86'亚泰获得右侧角球                   84'第84分钟绿地申花队右路快攻配合，但莫雷诺的射门被宋振瑜扑出，王长庆的推射堪堪偏出
86'第一点被莫雷诺破坏                   84'第84分钟绿地申花队右路快攻配合，但莫雷诺的射门被宋振瑜扑出，王长庆的推射堪堪偏出
86'申花寻求反击，传球出现了失误，力量给太大了                   84'第84分钟绿地申花队右路快攻配合，但莫雷诺的射门被宋振瑜扑出，王长庆的推射堪堪偏出
87'熊飞换下战怡麟                   84'第84分钟绿地申花队右路快攻配合，但莫雷诺的射门被宋振瑜扑出，王长庆的推射堪堪偏出
87'战怡麟受伤了                   84'第84分钟绿地申花队右路快攻配合，但莫雷诺的射门被宋振瑜扑出，王长庆的推射堪堪偏出
84'拉斐尔右路生突2个人，回传给刘卫东，刘卫东无人看守，起脚打门时高出了横梁                   84'第84分钟长春队用孙捷换下裴帅
84'拉斐尔上来很是活跃啊，基本上每次进攻都和他有关系                   84'第84分钟长春队用孙捷换下裴帅
84'申花能不能抗住这一段时间的狂轰乱炸呢                   84'第84分钟长春队用孙捷换下裴帅
85'wenshuzxg :2：2--非常有可能                   84'第84分钟长春队用孙捷换下裴帅
85'用户2fsa80k3ez :琪琪：亚冠蔚山输给了人和，为什么积分榜钱蔚山是0负呢？求解……----@亚足联                   84'第84分钟长春队用孙捷换下裴帅
86'孙捷换下裴帅                   84'第84分钟长春队用孙捷换下裴帅
86'亚泰获得右侧角球                   84'第84分钟长春队用孙捷换下裴帅
86'第一点被莫雷诺破坏                   84'第84分钟长春队用孙捷换下裴帅
86'申花寻求反击，传球出现了失误，力量给太大了                   84'第84分钟长春队用孙捷换下裴帅
87'熊飞换下战怡麟                   84'第84分钟长春队用孙捷换下裴帅
87'战怡麟受伤了                   84'第84分钟长春队用孙捷换下裴帅
90'角球第一点被莫雷诺破坏了                   90'第90分钟路易斯在对方多名队员逼抢下竟然拿球挤入禁区，但反应敏捷的宋振瑜出击把球抢先打出
90'常规时间马上打完                   90'第90分钟路易斯在对方多名队员逼抢下竟然拿球挤入禁区，但反应敏捷的宋振瑜出击把球抢先打出
90'全场补时4分钟                   90'第90分钟路易斯在对方多名队员逼抢下竟然拿球挤入禁区，但反应敏捷的宋振瑜出击把球抢先打出
92'亚泰还在全力以赴                   90'第90分钟路易斯在对方多名队员逼抢下竟然拿球挤入禁区，但反应敏捷的宋振瑜出击把球抢先打出
92'申花全线退守，亚泰找不到什么好的机会                   90'第90分钟路易斯在对方多名队员逼抢下竟然拿球挤入禁区，但反应敏捷的宋振瑜出击把球抢先打出
92'菲拉斯换下路易斯                   90'第90分钟路易斯在对方多名队员逼抢下竟然拿球挤入禁区，但反应敏捷的宋振瑜出击把球抢先打出
93'拉斐尔被莫雷诺铲倒，亚泰获得禁区右侧一任意球                   90'第90分钟路易斯在对方多名队员逼抢下竟然拿球挤入禁区，但反应敏捷的宋振瑜出击把球抢先打出
93'艾尼尼奥开出任意球，皮球开到后点，没有队友包抄                   90'第90分钟路易斯在对方多名队员逼抢下竟然拿球挤入禁区，但反应敏捷的宋振瑜出击把球抢先打出
93'拉斐尔被莫雷诺铲倒，亚泰获得禁区右侧一任意球                   93'第93分钟莫雷诺飞身铲倒拉斐尔，长春队获得右路禁区外一点的任意球机会，宋振瑜都冲了上来要，但皮球没有形成威胁
93'艾尼尼奥开出任意球，皮球开到后点，没有队友包抄                   93'第93分钟莫雷诺飞身铲倒拉斐尔，长春队获得右路禁区外一点的任意球机会，宋振瑜都冲了上来要，但皮球没有形成威胁
94'王寿亭后脚跟磕给徐亮，直接磕出了边线                   93'第93分钟莫雷诺飞身铲倒拉斐尔，长春队获得右路禁区外一点的任意球机会，宋振瑜都冲了上来要，但皮球没有形成威胁
95'进球啦！！！曹添堡左路传中到点球点，拉斐尔突然插上高高跃起将球顶进了死角！！！                   93'第93分钟莫雷诺飞身铲倒拉斐尔，长春队获得右路禁区外一点的任意球机会，宋振瑜都冲了上来要，但皮球没有形成威胁
95'果然还是2比2！！！                   93'第93分钟莫雷诺飞身铲倒拉斐尔，长春队获得右路禁区外一点的任意球机会，宋振瑜都冲了上来要，但皮球没有形成威胁
96'裁判吹响了全场比赛结束的哨声！！                   93'第93分钟莫雷诺飞身铲倒拉斐尔，长春队获得右路禁区外一点的任意球机会，宋振瑜都冲了上来要，但皮球没有形成威胁
