1'上半场比赛开始~                   1'第1分钟国米攻势占优
73'帕拉西奥分边埃尔纳内斯，后者的低平球传中~帕拉西奥抢点没有碰到皮球！却误打误撞的被梅克斯给挡进了自家大门                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
73'真是躲都没躲开                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
74'什么情况？进球又无效                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
74'这个进球被主裁判吹掉了                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
74'米兰换下了苏索                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
74'主裁判吹掉了两个进球                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
74'原来是帕拉西奥在出球之后拉人犯规了                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
75'助理裁判提醒了主裁判之后，主裁取消了这个进球                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
75'上半场米兰也曾打入一球，被吹了无效                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
79'门前救险~~~                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
79'国米角球开出~门线上拉诺基亚的射门被后卫封堵                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
79'球还在国米的控制下                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
79'胡安禁区线上的一脚劲射被洛佩斯飞身扑出底线~                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
80'哇~~~                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
80'洛佩斯真神了                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
80'国米的这个角球开出之后，近距离的射门又被洛佩斯连续扑出                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
80'看起来是奥比的射门                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
80'米兰中场横传失误~~                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
81'不过帕拉西奥自己趟大了                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
82'德安布罗西奥禁区右侧的射门擦着横梁飞出底线                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
82'米兰这边换下了波利                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
82'上来的是切尔奇                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
82'下半场果然是精彩多了                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
82'阿巴特防守奥比犯规领到了一张黄牌                   79'第79分钟，国米右侧开出角球，迭戈-洛佩斯指尖托出，奥比左路再传中，帕拉西奥外脚背弹射太正，恰好打在迭戈-洛佩斯脸上
85'埃尔纳内斯中路带球突破~~撞倒了帕莱塔                   85'第85分钟，德斯特罗在门前22米处转身低射被汉达诺维奇得到
85'裁判给了埃尔纳内斯一张黄牌                   85'第85分钟，德斯特罗在门前22米处转身低射被汉达诺维奇得到
86'梅德尔回传球失误了~                   85'第85分钟，德斯特罗在门前22米处转身低射被汉达诺维奇得到
86'德斯特罗接球之后禁区弧顶转身打门~~~                   85'第85分钟，德斯特罗在门前22米处转身低射被汉达诺维奇得到
86'汉达诺维奇将球死死的压在身下                   85'第85分钟，德斯特罗在门前22米处转身低射被汉达诺维奇得到
86'fly-陈志飞 柠檬，困吗？？？？额呃呃呃---都还好，现在看起来越来越精彩了                   85'第85分钟，德斯特罗在门前22米处转身低射被汉达诺维奇得到
88'沙奇里断球反击~                   85'第85分钟，德斯特罗在门前22米处转身低射被汉达诺维奇得到
88'没机会将球传出去啊                   85'第85分钟，德斯特罗在门前22米处转身低射被汉达诺维奇得到
