2'拉卡泽特分弧顶姆希塔良！                   2'开场仅2分钟，拉卡泽特回敲，姆希塔良禁区弧内劲射打中左侧立柱弹回
74'奥巴梅扬近距离凌空抽射！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
74'球打偏了啊！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
75'阿森纳右侧挑传禁区！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
76'拉卡泽特侧身扫射被挡出底线！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
76'阿森纳右侧角球给前点！被解围了！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
76'姆希塔良得球中路推进！分身边蒙雷亚尔！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
76'回传姆希塔良！交给扎卡！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
76'短传托雷拉！直塞弧顶奥巴梅扬！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
76'回传拉卡泽特！突破禁区中路！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
76'外脚背抽射！被防守球员挡出底线！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
76'阿森纳左侧角球！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
76'角球给禁区中路！被解围出去！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
77'扎卡左侧得球传中！被挡出底线！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
77'阿森纳左侧角球！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
77'给到中路！被头球解围出边线！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
77'阿森纳换3人！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
77'利希施泰纳被科拉希纳茨换下！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
77'伊沃比换下扎卡！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
77'贡多齐换下姆希塔良！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
