9'佩斯卡拉球员科西克犯规,致使对方获得点球.                   9'第9分钟，诺切里诺禁区左侧被乔西奇绊倒，点球
57'进球啦！！！AC米兰球员巴洛特利小禁区右侧右脚射门,球从右上角飞进球门,球进了!助攻的是弗拉米尼. 佩斯卡拉 0-4 AC米兰.                   57'AC米兰第57分钟再添一分，弗拉米尼右路卸球传中，巴洛特利前点倚住卡普阿诺，在小禁区角上转身小角度扫射入近角，4比0
58'佩斯卡拉球员弗兰塞斯克拼抢犯规,对手获得控球权.                   57'AC米兰第57分钟再添一分，弗拉米尼右路卸球传中，巴洛特利前点倚住卡普阿诺，在小禁区角上转身小角度扫射入近角，4比0
58'康斯坦特为AC米兰赢得一个任意球.                   57'AC米兰第57分钟再添一分，弗拉米尼右路卸球传中，巴洛特利前点倚住卡普阿诺，在小禁区角上转身小角度扫射入近角，4比0
59'AC米兰球员诺切里诺一脚直塞球给康斯坦特,但是边裁举旗显示后者已经越位.                   57'AC米兰第57分钟再添一分，弗拉米尼右路卸球传中，巴洛特利前点倚住卡普阿诺，在小禁区角上转身小角度扫射入近角，4比0
59'AC米兰换人,特劳雷换下弗拉米尼                   57'AC米兰第57分钟再添一分，弗拉米尼右路卸球传中，巴洛特利前点倚住卡普阿诺，在小禁区角上转身小角度扫射入近角，4比0
60'扎乌里为佩斯卡拉在对方半场,赢得一个任意球.                   57'AC米兰第57分钟再添一分，弗拉米尼右路卸球传中，巴洛特利前点倚住卡普阿诺，在小禁区角上转身小角度扫射入近角，4比0
60'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   57'AC米兰第57分钟再添一分，弗拉米尼右路卸球传中，巴洛特利前点倚住卡普阿诺，在小禁区角上转身小角度扫射入近角，4比0
69'射门!!!AC米兰球员帕齐尼大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是巴洛特利.                   69'第69分钟，巴洛特利挑传，帕齐尼反越位获得单刀，禁区左侧胸部停球距门10米处推射远角被佩林没收
70'托格尼为佩斯卡拉在对方半场,赢得一个任意球.                   69'第69分钟，巴洛特利挑传，帕齐尼反越位获得单刀，禁区左侧胸部停球距门10米处推射远角被佩林没收
70'AC米兰球员特劳雷拼抢犯规,对手获得控球权.                   69'第69分钟，巴洛特利挑传，帕齐尼反越位获得单刀，禁区左侧胸部停球距门10米处推射远角被佩林没收
72'弗兰塞斯克为佩斯卡拉在右路,赢得一个任意球.                   69'第69分钟，巴洛特利挑传，帕齐尼反越位获得单刀，禁区左侧胸部停球距门10米处推射远角被佩林没收
72'AC米兰球员康斯坦特拼抢犯规,对手获得控球权.                   69'第69分钟，巴洛特利挑传，帕齐尼反越位获得单刀，禁区左侧胸部停球距门10米处推射远角被佩林没收
77'AC米兰球员帕齐尼大禁区中央左脚射门,被防守球员封堵.给他传球的是沙拉维.                   77'第77分钟，巴洛特利右路突破3人传中，沙拉维停给帕齐尼，帕齐尼在门前9米处左脚射门被挡出底线，巴洛特利右侧开出角球，萨帕塔后点头球偏出
77'里佐将球处理出底线,AC米兰获得角球.                   77'第77分钟，巴洛特利右路突破3人传中，沙拉维停给帕齐尼，帕齐尼在门前9米处左脚射门被挡出底线，巴洛特利右侧开出角球，萨帕塔后点头球偏出
78'AC米兰球员萨帕塔大禁区左侧尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是巴洛特利.                   77'第77分钟，巴洛特利右路突破3人传中，沙拉维停给帕齐尼，帕齐尼在门前9米处左脚射门被挡出底线，巴洛特利右侧开出角球，萨帕塔后点头球偏出
79'佩斯卡拉球员斯弗齐尼拼抢犯规,对手获得控球权.                   77'第77分钟，巴洛特利右路突破3人传中，沙拉维停给帕齐尼，帕齐尼在门前9米处左脚射门被挡出底线，巴洛特利右侧开出角球，萨帕塔后点头球偏出
79'康斯坦特为AC米兰在左路,赢得一个任意球.                   77'第77分钟，巴洛特利右路突破3人传中，沙拉维停给帕齐尼，帕齐尼在门前9米处左脚射门被挡出底线，巴洛特利右侧开出角球，萨帕塔后点头球偏出
80'AC米兰球员特劳雷大禁区右侧右脚射门,被防守球员封堵.给他传球的是阿巴特.                   77'第77分钟，巴洛特利右路突破3人传中，沙拉维停给帕齐尼，帕齐尼在门前9米处左脚射门被挡出底线，巴洛特利右侧开出角球，萨帕塔后点头球偏出
80'卡普阿诺将球处理出底线,AC米兰获得角球.                   77'第77分钟，巴洛特利右路突破3人传中，沙拉维停给帕齐尼，帕齐尼在门前9米处左脚射门被挡出底线，巴洛特利右侧开出角球，萨帕塔后点头球偏出
