5'维罗纳球员托尼大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是Artur Ionita.                   5'开场5分钟，约尼塔右路传中，托尼在门前13米处头球偏出
48'维罗纳球员Artur Ionita大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是马科斯.                   46'1分钟后，托尼几乎打进世界波，约尼塔右路传中，托尼后点距门11米处背身凌空勾射被阿比亚蒂托出底线，维罗纳开出角球，AC米兰得球反击，沙拉维右肋疾进，阿戈斯蒂尼背后下铲，但主裁判瓦莱里只亮出黄牌
49'Artur Ionita为维罗纳赢得一个任意球.                   46'1分钟后，托尼几乎打进世界波，约尼塔右路传中，托尼后点距门11米处背身凌空勾射被阿比亚蒂托出底线，维罗纳开出角球，AC米兰得球反击，沙拉维右肋疾进，阿戈斯蒂尼背后下铲，但主裁判瓦莱里只亮出黄牌
49'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   46'1分钟后，托尼几乎打进世界波，约尼塔右路传中，托尼后点距门11米处背身凌空勾射被阿比亚蒂托出底线，维罗纳开出角球，AC米兰得球反击，沙拉维右肋疾进，阿戈斯蒂尼背后下铲，但主裁判瓦莱里只亮出黄牌
47'Juanito Gómez为维罗纳在对方半场,赢得一个任意球.                   46'1分钟后，塔赫齐季斯左路传中，扬科维奇在门前11米处头球又被阿比亚蒂单手托出左门角
47'AC米兰球员沙拉维拼抢犯规,对手获得控球权.                   46'1分钟后，塔赫齐季斯左路传中，扬科维奇在门前11米处头球又被阿比亚蒂单手托出左门角
48'维罗纳球员Artur Ionita大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是马科斯.                   46'1分钟后，塔赫齐季斯左路传中，扬科维奇在门前11米处头球又被阿比亚蒂单手托出左门角
49'Artur Ionita为维罗纳赢得一个任意球.                   46'1分钟后，塔赫齐季斯左路传中，扬科维奇在门前11米处头球又被阿比亚蒂单手托出左门角
49'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   46'1分钟后，塔赫齐季斯左路传中，扬科维奇在门前11米处头球又被阿比亚蒂单手托出左门角
38'射门!!!维罗纳球员托尼大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是Artur Ionita.                   38'第38分钟，托尼禁区右侧闪开拉米，在门前13米处左脚推射远角被阿比亚蒂得到
56'进球啦！！！AC米兰球员本田圭佑大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是拉米. 维罗纳 0-3 AC米兰.                   56'下半时开始11分钟，本田圭佑梅开二度
57'维罗纳球员扬科维奇左侧很远处尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是霍尔弗雷德森.                   56'下半时开始11分钟，本田圭佑梅开二度
58'射门!!!AC米兰球员本田圭佑球门线跟前左脚射门,被对方守门员横身扑出.                   56'下半时开始11分钟，本田圭佑梅开二度
58'射门!!!AC米兰球员托雷斯大禁区中央右脚射门,被对方守门员横身扑出.                   56'下半时开始11分钟，本田圭佑梅开二度
58'AC米兰球员托雷斯一脚直塞球给沙拉维,但是边裁举旗显示后者已经越位.                   56'下半时开始11分钟，本田圭佑梅开二度
59'AC米兰球员蒙塔里大禁区外右脚射门,被防守球员封堵.给他传球的是沙拉维.                   56'下半时开始11分钟，本田圭佑梅开二度
59'塔赫特西迪斯将球处理出底线,AC米兰获得角球.                   56'下半时开始11分钟，本田圭佑梅开二度
58'射门!!!AC米兰球员本田圭佑球门线跟前左脚射门,被对方守门员横身扑出.                   58'第58分钟，沙拉维左路切入禁区传中，本田圭佑前点射门被拉斐尔封出，托雷斯凌空勾射又被拉斐尔化解
58'射门!!!AC米兰球员托雷斯大禁区中央右脚射门,被对方守门员横身扑出.                   58'第58分钟，沙拉维左路切入禁区传中，本田圭佑前点射门被拉斐尔封出，托雷斯凌空勾射又被拉斐尔化解
58'AC米兰球员托雷斯一脚直塞球给沙拉维,但是边裁举旗显示后者已经越位.                   58'第58分钟，沙拉维左路切入禁区传中，本田圭佑前点射门被拉斐尔封出，托雷斯凌空勾射又被拉斐尔化解
59'AC米兰球员蒙塔里大禁区外右脚射门,被防守球员封堵.给他传球的是沙拉维.                   58'第58分钟，沙拉维左路切入禁区传中，本田圭佑前点射门被拉斐尔封出，托雷斯凌空勾射又被拉斐尔化解
59'塔赫特西迪斯将球处理出底线,AC米兰获得角球.                   58'第58分钟，沙拉维左路切入禁区传中，本田圭佑前点射门被拉斐尔封出，托雷斯凌空勾射又被拉斐尔化解
60'维罗纳球员托尼大禁区外右脚射门,被防守球员封堵.给他传球的是扬科维奇.                   58'第58分钟，沙拉维左路切入禁区传中，本田圭佑前点射门被拉斐尔封出，托雷斯凌空勾射又被拉斐尔化解
60'AC米兰球员阿巴特大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是沙拉维.                   58'第58分钟，沙拉维左路切入禁区传中，本田圭佑前点射门被拉斐尔封出，托雷斯凌空勾射又被拉斐尔化解
61'扬科维奇将球处理出底线,AC米兰获得角球.                   58'第58分钟，沙拉维左路切入禁区传中，本田圭佑前点射门被拉斐尔封出，托雷斯凌空勾射又被拉斐尔化解
64'射门!!!维罗纳球员塔赫特西迪斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是霍尔弗雷德森.                   64'第64分钟，塔赫齐季斯禁区前沿大力抽射被阿比亚蒂托出横梁
64'阿比亚蒂将球处理出底线,维罗纳获得角球.                   64'第64分钟，塔赫齐季斯禁区前沿大力抽射被阿比亚蒂托出横梁
65'维罗纳球员Artur Ionita拼抢犯规,对手获得控球权.                   64'第64分钟，塔赫齐季斯禁区前沿大力抽射被阿比亚蒂托出横梁
65'德希利奥为AC米兰赢得一个任意球.                   64'第64分钟，塔赫齐季斯禁区前沿大力抽射被阿比亚蒂托出横梁
65'维罗纳球员Juanito Gómez大禁区右侧右脚射门,被防守球员封堵.给他传球的是霍尔弗雷德森.                   64'第64分钟，塔赫齐季斯禁区前沿大力抽射被阿比亚蒂托出横梁
65'阿莱士将球处理出底线,维罗纳获得角球.                   64'第64分钟，塔赫齐季斯禁区前沿大力抽射被阿比亚蒂托出横梁
67'维罗纳换人,坎帕纳罗换下扬科维奇                   64'第64分钟，塔赫齐季斯禁区前沿大力抽射被阿比亚蒂托出横梁
74'尼克-洛佩斯为维罗纳赢得一个任意球.                   74'第74分钟，尼科-洛佩斯禁区右侧下底回传，托尼超近捅射已被阿比亚蒂封住角度
74'AC米兰球员埃辛拼抢犯规,对手获得控球权.                   74'第74分钟，尼科-洛佩斯禁区右侧下底回传，托尼超近捅射已被阿比亚蒂封住角度
74'射门!!!维罗纳球员托尼小禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是尼克-洛佩斯.                   74'第74分钟，尼科-洛佩斯禁区右侧下底回传，托尼超近捅射已被阿比亚蒂封住角度
75'维罗纳球员内内大禁区外左脚射门,被防守球员封堵.给他传球的是Rafael Marques.                   74'第74分钟，尼科-洛佩斯禁区右侧下底回传，托尼超近捅射已被阿比亚蒂封住角度
77'AC米兰换人,博纳文图拉换下沙拉维                   74'第74分钟，尼科-洛佩斯禁区右侧下底回传，托尼超近捅射已被阿比亚蒂封住角度
77'维罗纳球员尼克-洛佩斯大禁区外左脚射门,被防守球员封堵.给他传球的是塔赫特西迪斯.                   74'第74分钟，尼科-洛佩斯禁区右侧下底回传，托尼超近捅射已被阿比亚蒂封住角度
83'AC米兰球员本田圭佑拼抢犯规,对手获得控球权.                   83'第83分钟，本田圭佑绊倒哈尔弗雷特松，被黄牌警告，哈尔弗雷特松在门前22米处左脚任意球打在人墙上
83'霍尔弗雷德森为维罗纳在对方半场,赢得一个任意球.                   83'第83分钟，本田圭佑绊倒哈尔弗雷特松，被黄牌警告，哈尔弗雷特松在门前22米处左脚任意球打在人墙上
83'黄牌！AC米兰球员本田圭佑因为恶意犯规,被主裁判出示黄牌.                   83'第83分钟，本田圭佑绊倒哈尔弗雷特松，被黄牌警告，哈尔弗雷特松在门前22米处左脚任意球打在人墙上
84'维罗纳球员霍尔弗雷德森大禁区外左脚射门,被防守球员封堵.                   83'第83分钟，本田圭佑绊倒哈尔弗雷特松，被黄牌警告，哈尔弗雷特松在门前22米处左脚任意球打在人墙上
85'AC米兰球员本田圭佑拼抢犯规,对手获得控球权.                   83'第83分钟，本田圭佑绊倒哈尔弗雷特松，被黄牌警告，哈尔弗雷特松在门前22米处左脚任意球打在人墙上
85'霍尔弗雷德森为维罗纳赢得一个任意球.                   83'第83分钟，本田圭佑绊倒哈尔弗雷特松，被黄牌警告，哈尔弗雷特松在门前22米处左脚任意球打在人墙上
85'维罗纳霍尔弗雷德森受伤倒地,比赛暂停                   83'第83分钟，本田圭佑绊倒哈尔弗雷特松，被黄牌警告，哈尔弗雷特松在门前22米处左脚任意球打在人墙上
85'AC米兰换人,博内拉换下本田圭佑                   83'第83分钟，本田圭佑绊倒哈尔弗雷特松，被黄牌警告，哈尔弗雷特松在门前22米处左脚任意球打在人墙上
86'暂停结束,球员们重新开始比赛.                   83'第83分钟，本田圭佑绊倒哈尔弗雷特松，被黄牌警告，哈尔弗雷特松在门前22米处左脚任意球打在人墙上
87'进球啦！！！维罗纳球员尼克-洛佩斯大禁区外左脚射门,球从左下角飞进球门,球进了!助攻的是莫拉斯. 维罗纳 1-3 AC米兰.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
88'AC米兰球员蒙塔里拼抢犯规,对手获得控球权.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
88'内内为维罗纳在对方半场,赢得一个任意球.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
89'维罗纳球员内内球门线跟前右脚射门,命中门柱横梁.给他传球的是托尼.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+1'坎帕纳罗为维罗纳在对方半场,赢得一个任意球.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+1'AC米兰球员蒙塔里危险动作,对手获得控球权.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+2'霍尔弗雷德森为维罗纳在左路,赢得一个任意球.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+2'AC米兰球员博内拉拼抢犯规,对手获得控球权.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+2'AC米兰球员梅内斯尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是蒙塔里.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+3'维罗纳球员马科斯拼抢犯规,对手获得控球权.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+3'博纳文图拉为AC米兰在左路,赢得一个任意球.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+3'维罗纳球员马科斯因为恶意犯规,被裁判出示了第二张黄牌.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+4'维罗纳球员塔赫特西迪斯拼抢犯规,对手获得控球权.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+4'德希利奥为AC米兰在左路,赢得一个任意球.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+5'黄牌！维罗纳球员塔赫特西迪斯因为恶意犯规,被主裁判出示黄牌.                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
90'+5'下半场结束,维罗纳 1-3 AC米兰                   87'维罗纳第87分钟打进安慰球，莫拉斯右路回敲，尼科-洛佩斯内切闪开蒙塔里，在门前17米处左脚低射钻进远角，1比3
48'维罗纳球员Artur Ionita大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是马科斯.                   48'补时第3分钟，马克斯阻挡博纳文图拉，累计2张黄牌被罚下
49'Artur Ionita为维罗纳赢得一个任意球.                   48'补时第3分钟，马克斯阻挡博纳文图拉，累计2张黄牌被罚下
49'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   48'补时第3分钟，马克斯阻挡博纳文图拉，累计2张黄牌被罚下
51'维罗纳球员扬科维奇拼抢犯规,对手获得控球权.                   48'补时第3分钟，马克斯阻挡博纳文图拉，累计2张黄牌被罚下
51'阿巴特为AC米兰在对方半场,赢得一个任意球.                   48'补时第3分钟，马克斯阻挡博纳文图拉，累计2张黄牌被罚下
