20'广州富力球员张远拼抢犯规,对手获得控球权.                   19'第19分钟罗斯伊顿对裁判张远进攻犯规不满，言语不敬结果吃到黄牌
67'上海申鑫球员安东尼奥一脚直塞球给雅伊尔顿,但是边裁举旗显示后者已经越位.                   66'此后申鑫攻势再起，第66分钟申鑫反击到前场，姜至鹏左路下底传中，但此球起得过高，身材不够高大的安东尼奥跃起没碰到球
69'上海申鑫球员杨家威大禁区左侧右脚射门,被防守球员封堵.给他传球的是马洛内.                   66'此后申鑫攻势再起，第66分钟申鑫反击到前场，姜至鹏左路下底传中，但此球起得过高，身材不够高大的安东尼奥跃起没碰到球
69'张耀坤将球处理出底线,上海申鑫获得角球.                   66'此后申鑫攻势再起，第66分钟申鑫反击到前场，姜至鹏左路下底传中，但此球起得过高，身材不够高大的安东尼奥跃起没碰到球
73'卢琳为广州富力在对方半场,赢得一个任意球.                   72'第72分钟卢琳任意球穿过申鑫层层拦截，好在最后时刻还是被挡出，李岩远射制造角球
73'上海申鑫球员葛振拼抢犯规,对手获得控球权.                   72'第72分钟卢琳任意球穿过申鑫层层拦截，好在最后时刻还是被挡出，李岩远射制造角球
73'广州富力球员李岩大禁区外右脚射门,被防守球员封堵.                   72'第72分钟卢琳任意球穿过申鑫层层拦截，好在最后时刻还是被挡出，李岩远射制造角球
73'乔尼将球处理出底线,广州富力获得角球.                   72'第72分钟卢琳任意球穿过申鑫层层拦截，好在最后时刻还是被挡出，李岩远射制造角球
74'广州富力球员姜宁大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   72'第72分钟卢琳任意球穿过申鑫层层拦截，好在最后时刻还是被挡出，李岩远射制造角球
80'上海申鑫球员葛振一脚直塞球给雅伊尔顿,但是边裁举旗显示后者已经越位.                   80'第80分钟富力第三次换人，两队此前三场比赛对申鑫都有进球的拉斐尔换下姜宁
81'广州富力换人,拉斐尔换下姜宁                   80'第80分钟富力第三次换人，两队此前三场比赛对申鑫都有进球的拉斐尔换下姜宁
81'广州富力球员李岩拼抢犯规,对手获得控球权.                   80'第80分钟富力第三次换人，两队此前三场比赛对申鑫都有进球的拉斐尔换下姜宁
81'安东尼奥为上海申鑫赢得一个任意球.                   80'第80分钟富力第三次换人，两队此前三场比赛对申鑫都有进球的拉斐尔换下姜宁
82'李岩将球处理出底线,上海申鑫获得角球.                   80'第80分钟富力第三次换人，两队此前三场比赛对申鑫都有进球的拉斐尔换下姜宁
86'达维为广州富力赢得一个任意球.                   86'第86分钟马罗内拼抢中防倒戴维吃到黄牌
86'上海申鑫球员马洛内拼抢犯规,对手获得控球权.                   86'第86分钟马罗内拼抢中防倒戴维吃到黄牌
87'黄牌！上海申鑫球员马洛内因为恶意犯规,被主裁判出示黄牌.                   86'第86分钟马罗内拼抢中防倒戴维吃到黄牌
89'上海申鑫换人,叶重秋换下杨家威                   86'第86分钟马罗内拼抢中防倒戴维吃到黄牌
89'上海申鑫球员雅伊尔顿手球犯规,对手获得球权.                   86'第86分钟马罗内拼抢中防倒戴维吃到黄牌
48'广州富力球员张远拼抢犯规,对手获得控球权.                   48'比赛在补时3分钟后结束，上海申鑫主场1比0战胜广州富力，已经没有什么保级压力
48'马洛内为上海申鑫赢得一个任意球.                   48'比赛在补时3分钟后结束，上海申鑫主场1比0战胜广州富力，已经没有什么保级压力
51'广州富力球员姜宁大禁区中央右脚射门,被防守球员封堵.给他传球的是唐淼.                   48'比赛在补时3分钟后结束，上海申鑫主场1比0战胜广州富力，已经没有什么保级压力
51'张永海将球处理出底线,广州富力获得角球.                   48'比赛在补时3分钟后结束，上海申鑫主场1比0战胜广州富力，已经没有什么保级压力
