4'不过说实话，刚才的进球阿萨莫阿在接应武齐尼奇直塞的时候似乎有越位的嫌疑                   4'第4分钟，乔文科突入禁区右侧，马尔基西奥中路包抄没碰到球
34'马尔基西奥中场生抢加尔加诺断球                   34'第34分钟，有牌在身的利希施泰纳恶劣铲球动作放倒帕拉西奥，但主裁判塔利亚文托没有亮牌
34'利希施泰纳边路铲倒帕拉西奥                   34'第34分钟，有牌在身的利希施泰纳恶劣铲球动作放倒帕拉西奥，但主裁判塔利亚文托没有亮牌
35'这个动作还是有些大的，身背黄牌的利希施泰纳要小心啊                   34'第34分钟，有牌在身的利希施泰纳恶劣铲球动作放倒帕拉西奥，但主裁判塔利亚文托没有亮牌
35'国米球员也在找主裁判要黄牌，裁判还是手下留情了                   34'第34分钟，有牌在身的利希施泰纳恶劣铲球动作放倒帕拉西奥，但主裁判塔利亚文托没有亮牌
35'帕拉西奥越位了                   34'第34分钟，有牌在身的利希施泰纳恶劣铲球动作放倒帕拉西奥，但主裁判塔利亚文托没有亮牌
36'乔文科自己带球面对加尔加诺的防守反而自己犯规了                   34'第34分钟，有牌在身的利希施泰纳恶劣铲球动作放倒帕拉西奥，但主裁判塔利亚文托没有亮牌
36'双方在中场的纠缠很激烈                   34'第34分钟，有牌在身的利希施泰纳恶劣铲球动作放倒帕拉西奥，但主裁判塔利亚文托没有亮牌
37'萨内蒂边路传中被基耶里尼挡了一下，后点坎比亚索在利希施泰纳贴身防守之下勉强的头球没有力量，门将把球拿到                   34'第34分钟，有牌在身的利希施泰纳恶劣铲球动作放倒帕拉西奥，但主裁判塔利亚文托没有亮牌
51'博努齐从后场断球助攻上来，晃过一名防守球员后远射被门将扑出，后卫赶紧解围                   51'第51分钟，博努奇中路突破距门24米处抽射被汉达诺维奇封出
52'米利托和基耶里尼争抢被拉倒                   51'第51分钟，博努奇中路突破距门24米处抽射被汉达诺维奇封出
52'裁判又给基耶里尼一张黄牌                   51'第51分钟，博努奇中路突破距门24米处抽射被汉达诺维奇封出
52'拉诺齐亚后场长传，帕拉西奥插上拿球突入禁区，面对出击的布冯小角度传中踢中边网                   51'第51分钟，博努奇中路突破距门24米处抽射被汉达诺维奇封出
53'萨内蒂右路拿球横传被比达尔上抢断下                   51'第51分钟，博努奇中路突破距门24米处抽射被汉达诺维奇封出
53'皮尔洛摆脱后塞给右路乔文科                   51'第51分钟，博努奇中路突破距门24米处抽射被汉达诺维奇封出
54'本特纳后脚跟传球没有成功                   51'第51分钟，博努奇中路突破距门24米处抽射被汉达诺维奇封出
54'基耶里尼断球后自己带反而丢了                   51'第51分钟，博努奇中路突破距门24米处抽射被汉达诺维奇封出
54'本特纳后脚跟传球没有成功                   54'第54分钟，米利托中路反击形成多打少，卡萨诺和帕拉西奥两侧接应，米利托选择分到右侧，帕拉西奥没有直接起脚，调整两下距门12米处抽射高出
54'基耶里尼断球后自己带反而丢了                   54'第54分钟，米利托中路反击形成多打少，卡萨诺和帕拉西奥两侧接应，米利托选择分到右侧，帕拉西奥没有直接起脚，调整两下距门12米处抽射高出
55'国米反击，帕拉西奥进入大禁区右脚打门高出横梁                   54'第54分钟，米利托中路反击形成多打少，卡萨诺和帕拉西奥两侧接应，米利托选择分到右侧，帕拉西奥没有直接起脚，调整两下距门12米处抽射高出
56'尤文球门一侧的底线裁判好像被场边球迷投掷的一个貌似护腕的东西打中脖子                   54'第54分钟，米利托中路反击形成多打少，卡萨诺和帕拉西奥两侧接应，米利托选择分到右侧，帕拉西奥没有直接起脚，调整两下距门12米处抽射高出
56'尤文队医看紧过来，连声道歉，球迷别惹事啊                   54'第54分钟，米利托中路反击形成多打少，卡萨诺和帕拉西奥两侧接应，米利托选择分到右侧，帕拉西奥没有直接起脚，调整两下距门12米处抽射高出
56'比赛继续                   54'第54分钟，米利托中路反击形成多打少，卡萨诺和帕拉西奥两侧接应，米利托选择分到右侧，帕拉西奥没有直接起脚，调整两下距门12米处抽射高出
57'长友佑都左路带球内切到禁区突然打门被布冯扑出                   54'第54分钟，米利托中路反击形成多打少，卡萨诺和帕拉西奥两侧接应，米利托选择分到右侧，帕拉西奥没有直接起脚，调整两下距门12米处抽射高出
57'禁区外比达尔犯规                   54'第54分钟，米利托中路反击形成多打少，卡萨诺和帕拉西奥两侧接应，米利托选择分到右侧，帕拉西奥没有直接起脚，调整两下距门12米处抽射高出
57'国米禁区前的任意球                   54'第54分钟，米利托中路反击形成多打少，卡萨诺和帕拉西奥两侧接应，米利托选择分到右侧，帕拉西奥没有直接起脚，调整两下距门12米处抽射高出
56'尤文球门一侧的底线裁判好像被场边球迷投掷的一个貌似护腕的东西打中脖子                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
56'尤文队医看紧过来，连声道歉，球迷别惹事啊                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
56'比赛继续                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
57'长友佑都左路带球内切到禁区突然打门被布冯扑出                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
57'禁区外比达尔犯规                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
57'国米禁区前的任意球                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
58'卡萨诺任意球选择了直塞禁区里坎比亚索，后者后脚跟传给米利托                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
58'米利托倒地了！！点球！！！                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
58'裁判给了点球                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
59'慢动作看问题不大啊                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
59'米利托主罚                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
59'米利托选择了上角的打门，力量很大，球速很快，1比1！！！                   56'第56分钟，阿萨莫阿左侧距门25米处左脚抽射被挡出
58'卡萨诺任意球选择了直塞禁区里坎比亚索，后者后脚跟传给米利托                   58'国米第58分钟获得点球
58'米利托倒地了！！点球！！！                   58'国米第58分钟获得点球
58'裁判给了点球                   58'国米第58分钟获得点球
59'慢动作看问题不大啊                   58'国米第58分钟获得点球
59'米利托主罚                   58'国米第58分钟获得点球
59'米利托选择了上角的打门，力量很大，球速很快，1比1！！！                   58'国米第58分钟获得点球
60'国际米兰依靠同样稍有争议的点球扳平了比分，1比1                   58'国米第58分钟获得点球
61'本特纳禁区前拿球控制住后选择了直塞乔文科，被萨内蒂死死卡住身位                   58'国米第58分钟获得点球
62'卡塞雷斯边路拿球交给比达尔                   62'第62分钟，博努奇绊倒米利托，被黄牌警告
62'坎比亚索身后勾倒比达尔                   62'第62分钟，博努奇绊倒米利托，被黄牌警告
62'本特纳拉出来拿球丢了                   62'第62分钟，博努奇绊倒米利托，被黄牌警告
62'国米后场直接长传找到米利托                   62'第62分钟，博努奇绊倒米利托，被黄牌警告
62'米利托左路过掉博努齐后被绊倒                   62'第62分钟，博努奇绊倒米利托，被黄牌警告
62'博努齐黄牌                   62'第62分钟，博努奇绊倒米利托，被黄牌警告
63'任意球给前点被比达尔胸部挡下                   62'第62分钟，博努奇绊倒米利托，被黄牌警告
64'刚刚那个点球看慢动作马尔基西奥有一个很小的拉拽动作，如果没有上半场那个进球的话这个点球判罚的几率很小                   62'第62分钟，博努奇绊倒米利托，被黄牌警告
64'乔文科背身拿球造成拉诺齐亚犯规                   62'第62分钟，博努奇绊倒米利托，被黄牌警告
65'尤文拿到禁区角左侧位置的任意球                   62'第62分钟，博努奇绊倒米利托，被黄牌警告
65'皮尔洛直接打门绕过人墙不过角度很正，汉达诺维奇双拳把球击出                   62'第62分钟，博努奇绊倒米利托，被黄牌警告
66'长友佑都左路摆脱比达尔后传中被后卫顶出来                   66'第66分钟，乔文科禁区左侧突破拉诺齐亚，在加尔加诺贴身防守下倒地，塔利亚文托没有中断比赛
67'尤文反击，乔文科过掉拉诺齐亚进入禁区在加尔加诺补防的情况下倒地                   66'第66分钟，乔文科禁区左侧突破拉诺齐亚，在加尔加诺贴身防守下倒地，塔利亚文托没有中断比赛
67'裁判没有任何判罚                   66'第66分钟，乔文科禁区左侧突破拉诺齐亚，在加尔加诺贴身防守下倒地，塔利亚文托没有中断比赛
67'皮尔洛长传找到左路的阿萨莫阿，传中到门前                   66'第66分钟，乔文科禁区左侧突破拉诺齐亚，在加尔加诺贴身防守下倒地，塔利亚文托没有中断比赛
68'门将抢在插上的本特纳之前把球没收                   66'第66分钟，乔文科禁区左侧突破拉诺齐亚，在加尔加诺贴身防守下倒地，塔利亚文托没有中断比赛
68'长友佑都左路角旗附近拿球，身后的巴尔扎利犯规                   66'第66分钟，乔文科禁区左侧突破拉诺齐亚，在加尔加诺贴身防守下倒地，塔利亚文托没有中断比赛
68'国米角旗附近的任意球                   66'第66分钟，乔文科禁区左侧突破拉诺齐亚，在加尔加诺贴身防守下倒地，塔利亚文托没有中断比赛
69'战术角球给禁区外的长友佑都远射被比达尔挡下                   66'第66分钟，乔文科禁区左侧突破拉诺齐亚，在加尔加诺贴身防守下倒地，塔利亚文托没有中断比赛
69'尤文反击，比达尔中场传球后被上抢的胡安踩在脚上倒地，裁判没有表示                   66'第66分钟，乔文科禁区左侧突破拉诺齐亚，在加尔加诺贴身防守下倒地，塔利亚文托没有中断比赛
69'国米换人 瓜林换下卡萨诺                   66'第66分钟，乔文科禁区左侧突破拉诺齐亚，在加尔加诺贴身防守下倒地，塔利亚文托没有中断比赛
73'双方你断我抢好几个回合                   73'第73分钟，巴尔扎利蹬踏米利托胫骨，但塔利亚文托没有亮牌
73'刚上场的瓜林紧紧跟着皮尔洛，寸步不离                   73'第73分钟，巴尔扎利蹬踏米利托胫骨，但塔利亚文托没有亮牌
74'皮尔洛除了上半场开场两次给马尔基西奥的传球后有威胁的组织还不多                   73'第73分钟，巴尔扎利蹬踏米利托胫骨，但塔利亚文托没有亮牌
74'巴尔扎利身后踢倒米利托                   73'第73分钟，巴尔扎利蹬踏米利托胫骨，但塔利亚文托没有亮牌
75'国米右路帕拉西奥下底传中，前点米利托漏过，后点卡塞雷斯抢在坎比亚索打门之前把球破坏                   73'第73分钟，巴尔扎利蹬踏米利托胫骨，但塔利亚文托没有亮牌
75'比达尔传球失误，瓜林拿球禁区外远射被布冯扑出                   73'第73分钟，巴尔扎利蹬踏米利托胫骨，但塔利亚文托没有亮牌
76'米利托补射打进！！！！！！！                   73'第73分钟，巴尔扎利蹬踏米利托胫骨，但塔利亚文托没有亮牌
76'瓜林断球后禁区外斜射被布冯扑出，米利托及时很近把球补射打进，国米2比1反超尤文                   73'第73分钟，巴尔扎利蹬踏米利托胫骨，但塔利亚文托没有亮牌
82'阿萨莫阿再往门前传，胡安解围                   82'第82分钟，皮尔洛闪开防守距门25米处抽射被汉达诺维奇飞身指尖托出近门柱
82'皮尔洛禁区外突施冷箭直奔死角，汉达诺维奇飞身把球扑出底线                   82'第82分钟，皮尔洛闪开防守距门25米处抽射被汉达诺维奇飞身指尖托出近门柱
82'尤文角球没有什么威胁                   82'第82分钟，皮尔洛闪开防守距门25米处抽射被汉达诺维奇飞身指尖托出近门柱
83'乔文科前场断球个人突破被回防的加尔加诺断下                   82'第82分钟，皮尔洛闪开防守距门25米处抽射被汉达诺维奇飞身指尖托出近门柱
84'加尔加诺回传门将被本特纳插上断球了                   82'第82分钟，皮尔洛闪开防守距门25米处抽射被汉达诺维奇飞身指尖托出近门柱
84'小角度吊射滑门而过啊                   82'第82分钟，皮尔洛闪开防守距门25米处抽射被汉达诺维奇飞身指尖托出近门柱
84'夸利亚雷拉越位了                   82'第82分钟，皮尔洛闪开防守距门25米处抽射被汉达诺维奇飞身指尖托出近门柱
85'阿萨莫阿左路突破，萨内蒂拉人犯规                   82'第82分钟，皮尔洛闪开防守距门25米处抽射被汉达诺维奇飞身指尖托出近门柱
85'皮尔洛任意球到门前，帕拉西奥头球解围                   82'第82分钟，皮尔洛闪开防守距门25米处抽射被汉达诺维奇飞身指尖托出近门柱
89'传到比达尔一侧，头球摆渡进去没解围出来                   89'第89分钟，瓜林右肋斜传反击，长友佑都突入禁区左侧射门被封堵，但再度拿球吸引防守直塞，帕拉西奥在门前9米处捅射被布冯一扑入网，3比1
90'国米反击，瓜林斜塞长友佑都，插入禁区被后卫挡下                   89'第89分钟，瓜林右肋斜传反击，长友佑都突入禁区左侧射门被封堵，但再度拿球吸引防守直塞，帕拉西奥在门前9米处捅射被布冯一扑入网，3比1
90'不过还是长友佑都控制着，带球到禁区外                   89'第89分钟，瓜林右肋斜传反击，长友佑都突入禁区左侧射门被封堵，但再度拿球吸引防守直塞，帕拉西奥在门前9米处捅射被布冯一扑入网，3比1
90'帕拉西奥锁定胜局！！3比1                   89'第89分钟，瓜林右肋斜传反击，长友佑都突入禁区左侧射门被封堵，但再度拿球吸引防守直塞，帕拉西奥在门前9米处捅射被布冯一扑入网，3比1
91'长友佑都弧顶前直塞，插上的帕拉西奥点球点面对门将捅射，纵然布冯挡了一下难阻进球！                   89'第89分钟，瓜林右肋斜传反击，长友佑都突入禁区左侧射门被封堵，但再度拿球吸引防守直塞，帕拉西奥在门前9米处捅射被布冯一扑入网，3比1
91'全场补时3分钟                   89'第89分钟，瓜林右肋斜传反击，长友佑都突入禁区左侧射门被封堵，但再度拿球吸引防守直塞，帕拉西奥在门前9米处捅射被布冯一扑入网，3比1
92'斯特拉马乔尼今天这一仗是意义非凡啊                   89'第89分钟，瓜林右肋斜传反击，长友佑都突入禁区左侧射门被封堵，但再度拿球吸引防守直塞，帕拉西奥在门前9米处捅射被布冯一扑入网，3比1
92'最后时刻尤文球员的心气儿也下去了，帕拉西奥这个球太及时了                   89'第89分钟，瓜林右肋斜传反击，长友佑都突入禁区左侧射门被封堵，但再度拿球吸引防守直塞，帕拉西奥在门前9米处捅射被布冯一扑入网，3比1
92'尤文整个后防被长友佑都一个人给搅乱了                   89'第89分钟，瓜林右肋斜传反击，长友佑都突入禁区左侧射门被封堵，但再度拿球吸引防守直塞，帕拉西奥在门前9米处捅射被布冯一扑入网，3比1
