1'上半场比赛开始！                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
5'莱斯特城防守从身后犯规                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
5'曼联中场控球，迪马利亚沿右路突破                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
5'瓦伦西亚这边拿球被破坏                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
6'法尔考拿球转身给到范佩西                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
6'范佩西停球挺大了，这球比较可惜                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
7'迪马利亚左路带球突破                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
32'这球是法尔考本赛季第几个进球？A4、B5[qiangda]                   32'曼联第32分钟扩大比分，范佩西传球，迪马利亚禁区左侧10码处的射门被前切尔西门将施瓦泽勉强扑出，法尔考近距离铲射入网，2-0
32'此时此刻值得来杯嘉士伯                   32'曼联第32分钟扩大比分，范佩西传球，迪马利亚禁区左侧10码处的射门被前切尔西门将施瓦泽勉强扑出，法尔考近距离铲射入网，2-0
33'范佩西中场拿球分到左路，迪马利亚拿球形成单刀，禁区内左路低射造成了施瓦泽脱手，法尔考跟进滑铲将球打进！                   32'曼联第32分钟扩大比分，范佩西传球，迪马利亚禁区左侧10码处的射门被前切尔西门将施瓦泽勉强扑出，法尔考近距离铲射入网，2-0
33'卢克肖后场拿球被夹击，放倒                   32'曼联第32分钟扩大比分，范佩西传球，迪马利亚禁区左侧10码处的射门被前切尔西门将施瓦泽勉强扑出，法尔考近距离铲射入网，2-0
34'德林柯沃特亮了鞋底                   32'曼联第32分钟扩大比分，范佩西传球，迪马利亚禁区左侧10码处的射门被前切尔西门将施瓦泽勉强扑出，法尔考近距离铲射入网，2-0
34'德林柯沃特得到一张黄牌！                   32'曼联第32分钟扩大比分，范佩西传球，迪马利亚禁区左侧10码处的射门被前切尔西门将施瓦泽勉强扑出，法尔考近距离铲射入网，2-0
35'法尔考中场拿球被踢了一下                   32'曼联第32分钟扩大比分，范佩西传球，迪马利亚禁区左侧10码处的射门被前切尔西门将施瓦泽勉强扑出，法尔考近距离铲射入网，2-0
35'经过短暂休整，问题不大                   32'曼联第32分钟扩大比分，范佩西传球，迪马利亚禁区左侧10码处的射门被前切尔西门将施瓦泽勉强扑出，法尔考近距离铲射入网，2-0
35'鲁尼中场拿球回敲                   32'曼联第32分钟扩大比分，范佩西传球，迪马利亚禁区左侧10码处的射门被前切尔西门将施瓦泽勉强扑出，法尔考近距离铲射入网，2-0
35'莱斯特城这边上抢的也是非常快                   32'曼联第32分钟扩大比分，范佩西传球，迪马利亚禁区左侧10码处的射门被前切尔西门将施瓦泽勉强扑出，法尔考近距离铲射入网，2-0
57'曼联中场挑传送禁区前沿                   57'第57分钟，迪马利亚妙传，鲁尼禁区右侧传中，但法尔考跟进稍慢错过射门机会
58'鲁尼插上后横敲到中路                   57'第57分钟，迪马利亚妙传，鲁尼禁区右侧传中，但法尔考跟进稍慢错过射门机会
58'法尔考插上后没有选择铲射                   57'第57分钟，迪马利亚妙传，鲁尼禁区右侧传中，但法尔考跟进稍慢错过射门机会
67'禁区前沿的横向摆脱，带球有点远                   67'第67分钟，菲尔-琼斯回传失误，幸亏德赫亚及时出击拦挡住纽金特的突破
68'琼斯后场回敲给门将                   67'第67分钟，菲尔-琼斯回传失误，幸亏德赫亚及时出击拦挡住纽金特的突破
68'这球短了。。。                   67'第67分钟，菲尔-琼斯回传失误，幸亏德赫亚及时出击拦挡住纽金特的突破
68'纽金特跟进后到禁区内，想推一下被德赫亚拦截了！！                   67'第67分钟，菲尔-琼斯回传失误，幸亏德赫亚及时出击拦挡住纽金特的突破
68'曼联换人，范佩西下，麦克奈尔上！                   67'第67分钟，菲尔-琼斯回传失误，幸亏德赫亚及时出击拦挡住纽金特的突破
80'法尔考头球解围                   80'莱斯特城第80分钟扳回一城，阿尔布莱顿禁区右侧边缘传中远点，瓦希勒夫斯基小禁区边缘内头球破门，1-3
80'3-1！！                   80'莱斯特城第80分钟扳回一城，阿尔布莱顿禁区右侧边缘传中远点，瓦希勒夫斯基小禁区边缘内头球破门，1-3
80'瓦西莱夫斯基！                   80'莱斯特城第80分钟扳回一城，阿尔布莱顿禁区右侧边缘传中远点，瓦希勒夫斯基小禁区边缘内头球破门，1-3
81'坎比亚索右路禁区内拿球被捅了一下，禁区外围，奥尔布莱顿下底到后点，瓦西莱夫斯基头球攻门将球顶进！                   80'莱斯特城第80分钟扳回一城，阿尔布莱顿禁区右侧边缘传中远点，瓦希勒夫斯基小禁区边缘内头球破门，1-3
81'此时此刻值得来杯嘉士伯                   80'莱斯特城第80分钟扳回一城，阿尔布莱顿禁区右侧边缘传中远点，瓦希勒夫斯基小禁区边缘内头球破门，1-3
82'纽金特底线附近强行起球                   80'莱斯特城第80分钟扳回一城，阿尔布莱顿禁区右侧边缘传中远点，瓦希勒夫斯基小禁区边缘内头球破门，1-3
82'这球纽金特是没有处理好                   80'莱斯特城第80分钟扳回一城，阿尔布莱顿禁区右侧边缘传中远点，瓦希勒夫斯基小禁区边缘内头球破门，1-3
83'曼联这边换人，法尔考下，威尔逊上！                   80'莱斯特城第80分钟扳回一城，阿尔布莱顿禁区右侧边缘传中远点，瓦希勒夫斯基小禁区边缘内头球破门，1-3
83'奥尔布莱顿禁区外围打一脚                   80'莱斯特城第80分钟扳回一城，阿尔布莱顿禁区右侧边缘传中远点，瓦希勒夫斯基小禁区边缘内头球破门，1-3
