5'巴萨边路进攻                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
33'魔儿de面具:主播你好，这场巴萨拿下的话可以提前夺冠了么？谢谢---拿下这场只领先11分，联赛还剩下4轮，不足以提前夺冠                   30'第30分钟，特略禁区左侧底线附近回传，无人防守的比利亚小禁区边缘射门也被阿德里安用腿挡出
33'今天巴萨两名边锋突破能力都很强                   30'第30分钟，特略禁区左侧底线附近回传，无人防守的比利亚小禁区边缘射门也被阿德里安用腿挡出
47'伊涅斯塔传中球出了底线                   47'2分钟后，伊涅斯塔传球，特略左路25码处劲射被阿德里安没收
47'比利亚在争抢的时候推倒了对方后卫                   47'2分钟后，伊涅斯塔传球，特略左路25码处劲射被阿德里安没收
47'裁判给了贝蒂斯一个后场定位球                   47'2分钟后，伊涅斯塔传球，特略左路25码处劲射被阿德里安没收
47'下半场比赛两队看起来都没有换人                   47'2分钟后，伊涅斯塔传球，特略左路25码处劲射被阿德里安没收
48'贝蒂斯上半场一共才5次打门                   47'2分钟后，伊涅斯塔传球，特略左路25码处劲射被阿德里安没收
48'巴萨多出了贝蒂斯6次                   47'2分钟后，伊涅斯塔传球，特略左路25码处劲射被阿德里安没收
48'贝蒂斯这次中路的直塞，莫利纳已经越位了                   47'2分钟后，伊涅斯塔传球，特略左路25码处劲射被阿德里安没收
43'贝蒂斯世界波！                   43'贝蒂斯第43分钟再度超出，诺萨回敲，鲁文-佩雷斯30码处远射左上角入网
43'8号佩雷斯！                   43'贝蒂斯第43分钟再度超出，诺萨回敲，鲁文-佩雷斯30码处远射左上角入网
43'浪费机会的巴萨遭到了惩罚！                   43'贝蒂斯第43分钟再度超出，诺萨回敲，鲁文-佩雷斯30码处远射左上角入网
44'诺萨把球回敲，佩雷斯跟上距离球门26米左右一脚怒射，球直挂球门左上角                   43'贝蒂斯第43分钟再度超出，诺萨回敲，鲁文-佩雷斯30码处远射左上角入网
44'慢动作再次回放了特略刚才那个射门，显示应该是没有整体过线                   43'贝蒂斯第43分钟再度超出，诺萨回敲，鲁文-佩雷斯30码处远射左上角入网
45'场上有贝蒂斯的球员受伤                   43'贝蒂斯第43分钟再度超出，诺萨回敲，鲁文-佩雷斯30码处远射左上角入网
45'裁判吹停了比赛                   43'贝蒂斯第43分钟再度超出，诺萨回敲，鲁文-佩雷斯30码处远射左上角入网
45'给阿德里亚诺补了一张黄牌                   43'贝蒂斯第43分钟再度超出，诺萨回敲，鲁文-佩雷斯30码处远射左上角入网
46'正是他刚才身后的踢人，造成莫利纳的受伤                   43'贝蒂斯第43分钟再度超出，诺萨回敲，鲁文-佩雷斯30码处远射左上角入网
46'下半场比赛开始了！                   43'贝蒂斯第43分钟再度超出，诺萨回敲，鲁文-佩雷斯30码处远射左上角入网
54'桑切斯在边路突破，一扣过了对方边后卫                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
54'可惜传中球没能联系上队友                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
54'梅西热身完毕，应该快要登场了                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
54'宋被对方球员铲倒了                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
55'8号的佩雷斯因此领到了黄牌                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
55'场边一片欢呼，原来是梅西将要登场                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
55'梅西已经在等候死球了                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
56'比利亚！                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
56'终于进球了！！！                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
56'如释重负的感觉                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
56'接到了右边路阿尔维斯的下底传中，比利亚后点没人防守，头球攻门将球顶入了网窝                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
56'进球之后比利亚被梅西换下                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
57'眼看比利亚才进球，这换人应该是早就做出的决定吧                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
57'梅西能否联赛中继续进球呢？                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
57'莫利纳又一次被边裁吹了越位                   54'第54分钟，鲁文-佩雷斯铲倒亚历山大-宋被罚黄牌
60'贝蒂斯也换人了，9号瓦迪洛上场                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
60'梅西！！！                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
60'第一次射门，就进球了！                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
60'太神奇了                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
60'定位球破门！                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
61'梅西主罚的定位球直挂球门右上角！门将飞身扑救虽然碰到了皮球，但是速度太快了，球还是飞入了网窝                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
61'贝蒂斯是被梅西给吓的？                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
61'一下连丢两球                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
62'就攻击力来说巴萨如今也并不差                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
62'但是防守是最让巴萨球迷头疼的事情了                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
62'普约尔长期因伤打不了比赛                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
62'阿比达尔呢岁数也大了，也是久疏战阵                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
63'中卫位置上几乎就没人可用了                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
63'用马斯切拉诺？                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
63'他的外号都叫做马三粒                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
63'因为他这个赛季打入了3粒乌龙球                   60'巴萨第60分钟反超比分，梅西25码处任意球射入右上角，3-2
61'梅西主罚的定位球直挂球门右上角！门将飞身扑救虽然碰到了皮球，但是速度太快了，球还是飞入了网窝                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
61'贝蒂斯是被梅西给吓的？                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
61'一下连丢两球                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
62'就攻击力来说巴萨如今也并不差                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
62'但是防守是最让巴萨球迷头疼的事情了                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
62'普约尔长期因伤打不了比赛                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
62'阿比达尔呢岁数也大了，也是久疏战阵                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
63'中卫位置上几乎就没人可用了                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
63'用马斯切拉诺？                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
63'他的外号都叫做马三粒                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
63'因为他这个赛季打入了3粒乌龙球                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
64'桑切斯接应哈维的中路直传，被吹了越位                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
64'游客9695: 破天荒了，巴萨一场比赛进两个头球，这几年应该是第一次吧---确实太罕见了                   61'第61分钟，亚历山大-宋传球，阿尔维斯远射偏出
71'包抄的队友把球垫向门前，被阿德挡了一下                   71'巴萨第71分钟扩大比分，伊涅斯塔脚后跟传球，反越位成功的桑切斯禁区右肋无私横传，梅西小禁区边缘轻松破门，4-2
71'梅西！                   71'巴萨第71分钟扩大比分，伊涅斯塔脚后跟传球，反越位成功的桑切斯禁区右肋无私横传，梅西小禁区边缘轻松破门，4-2
71'巴萨行云流水的传球配合！                   71'巴萨第71分钟扩大比分，伊涅斯塔脚后跟传球，反越位成功的桑切斯禁区右肋无私横传，梅西小禁区边缘轻松破门，4-2
72'如此精彩的进球！                   71'巴萨第71分钟扩大比分，伊涅斯塔脚后跟传球，反越位成功的桑切斯禁区右肋无私横传，梅西小禁区边缘轻松破门，4-2
72'边路连续的撞墙式2过1，伊涅斯塔脚后跟一拉，桑切斯没有越位！扣过了最后一名防守球员，把球推到门前，梅西要做的只是打个空门而已                   71'巴萨第71分钟扩大比分，伊涅斯塔脚后跟传球，反越位成功的桑切斯禁区右肋无私横传，梅西小禁区边缘轻松破门，4-2
72'这个进球配合太霸道了                   71'巴萨第71分钟扩大比分，伊涅斯塔脚后跟传球，反越位成功的桑切斯禁区右肋无私横传，梅西小禁区边缘轻松破门，4-2
73'贝蒂斯显得有些慌乱                   71'巴萨第71分钟扩大比分，伊涅斯塔脚后跟传球，反越位成功的桑切斯禁区右肋无私横传，梅西小禁区边缘轻松破门，4-2
73'至从梅西要上场的那一刻开始                   71'巴萨第71分钟扩大比分，伊涅斯塔脚后跟传球，反越位成功的桑切斯禁区右肋无私横传，梅西小禁区边缘轻松破门，4-2
74'特略突入到了禁区                   71'巴萨第71分钟扩大比分，伊涅斯塔脚后跟传球，反越位成功的桑切斯禁区右肋无私横传，梅西小禁区边缘轻松破门，4-2
74'传中被后卫先后挡出                   71'巴萨第71分钟扩大比分，伊涅斯塔脚后跟传球，反越位成功的桑切斯禁区右肋无私横传，梅西小禁区边缘轻松破门，4-2
74'有梅西在场，巴萨的球员就像吃了一颗定心丸一样                   71'巴萨第71分钟扩大比分，伊涅斯塔脚后跟传球，反越位成功的桑切斯禁区右肋无私横传，梅西小禁区边缘轻松破门，4-2
75'传切球失误率明显减少了很多                   75'第75分钟，伊涅斯塔直传，桑切斯禁区边缘内挑射被出击的阿德里安拦挡后没收
75'桑切斯单刀机会！                   75'第75分钟，伊涅斯塔直传，桑切斯禁区边缘内挑射被出击的阿德里安拦挡后没收
75'想挑过出击的门将                   75'第75分钟，伊涅斯塔直传，桑切斯禁区边缘内挑射被出击的阿德里安拦挡后没收
75'没能成功，桑切斯好像还自己受伤了                   75'第75分钟，伊涅斯塔直传，桑切斯禁区边缘内挑射被出击的阿德里安拦挡后没收
76'被门将的脚带到了桑切斯的关键部位                   75'第75分钟，伊涅斯塔直传，桑切斯禁区边缘内挑射被出击的阿德里安拦挡后没收
76'这下够疼啊                   75'第75分钟，伊涅斯塔直传，桑切斯禁区边缘内挑射被出击的阿德里安拦挡后没收
77'下半场76分钟了                   75'第75分钟，伊涅斯塔直传，桑切斯禁区边缘内挑射被出击的阿德里安拦挡后没收
77'贝蒂斯把防守阵型提得有些靠前                   75'第75分钟，伊涅斯塔直传，桑切斯禁区边缘内挑射被出击的阿德里安拦挡后没收
77'所以也多次给了巴萨打身后的机会                   75'第75分钟，伊涅斯塔直传，桑切斯禁区边缘内挑射被出击的阿德里安拦挡后没收
77'如果他们保守一点，就死守禁区线                   75'第75分钟，伊涅斯塔直传，桑切斯禁区边缘内挑射被出击的阿德里安拦挡后没收
78'那么巴萨还能不能顺利反超呢？                   75'第75分钟，伊涅斯塔直传，桑切斯禁区边缘内挑射被出击的阿德里安拦挡后没收
93'梅西还有机会帽子戏法啊                   93'第93分钟，伊涅斯塔传球，梅西强突禁区左侧的射门被阿德里安扑出
93'连续的突破最后一脚挑射，被门将单掌挡出                   93'第93分钟，伊涅斯塔传球，梅西强突禁区左侧的射门被阿德里安扑出
93'梅西错过了这次机会之后显得相当恼火                   93'第93分钟，伊涅斯塔传球，梅西强突禁区左侧的射门被阿德里安扑出
93'把球狠狠的踢向了球门后面的广告牌                   93'第93分钟，伊涅斯塔传球，梅西强突禁区左侧的射门被阿德里安扑出
93'梅西太渴望进球了                   93'第93分钟，伊涅斯塔传球，梅西强突禁区左侧的射门被阿德里安扑出
