2'戴维斯后场拿球，贝莱林的抢断                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
30'热刺获得了前场左路的任意球机会！！                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
30'戴维斯假跑，埃里克森任意球搓传到前点                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
31'球进了，1-1！！！！                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
31'迪尔！！                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
31'热刺球员庆祝进球，和场边热身的阿森纳球员发生摩擦                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
31'差点打群架啊！！                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
32'好在双方球员还算克制，热刺主帅和裁判也是及时到位                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
33'埃里克森左路任意球搓传到前点，迪尔的甩头轰门，顶进近角！！                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
33'阿森纳中场失误，热刺的反击                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
33'长传给到孙兴慜，强突禁区                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
33'面对贝莱林，和补防的霍尔丁                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
33'急停被放倒在地                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
33'裁判给了热刺点球！！                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
34'犯规的霍尔丁也是领到黄牌！！                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
34'凯恩主罚，一蹴而就，1-2！！                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
34'热刺反超了比分！！                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
35'凯恩助跑，右脚抽射打进球门左下角，莱诺也是判断错了方向！                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
35'凯恩前场拿球强突，穆斯塔菲的上抢犯规！                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
36'埃梅里在场边向队员示意，稳一稳                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
36'扎卡中场拿球，面对两人围抢                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
36'回传帕帕，再给莱诺                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
37'贝莱林右路拿球，直塞找姆希塔良                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
37'姆希塔良启动慢了点，维尔通亨回防卡位                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
37'姆希塔良再抢，没能碰到                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
37'球被勾回，戴维斯过来拿到                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
37'直塞左侧给到回来接应的孙兴慜                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
37'孙兴慜准备起速反击，穆斯塔菲的上抢，蹬踏犯规                   34'热刺第34分钟反超比分，孙兴慜突入禁区左侧被霍尔丁铲倒，阿森纳球员认为韩国人假摔再起争执，哈里-凯恩主罚点球命中，2-1
56'没打，分球左侧找前插的科拉希纳茨                   56'阿森纳第56分钟扳平，贝莱林长传，拉姆塞横传，奥巴梅扬禁区弧顶第一时间劲射，皮球紧贴右侧立柱入网，2-2
56'再传禁区中路，被解围出来                   56'阿森纳第56分钟扳平，贝莱林长传，拉姆塞横传，奥巴梅扬禁区弧顶第一时间劲射，皮球紧贴右侧立柱入网，2-2
56'霍尔丁外围拿球，直接打远角，踢偏！                   56'阿森纳第56分钟扳平，贝莱林长传，拉姆塞横传，奥巴梅扬禁区弧顶第一时间劲射，皮球紧贴右侧立柱入网，2-2
56'2-2！！！                   56'阿森纳第56分钟扳平，贝莱林长传，拉姆塞横传，奥巴梅扬禁区弧顶第一时间劲射，皮球紧贴右侧立柱入网，2-2
56'奥巴梅杨！！                   56'阿森纳第56分钟扳平，贝莱林长传，拉姆塞横传，奥巴梅扬禁区弧顶第一时间劲射，皮球紧贴右侧立柱入网，2-2
57'贝莱林后场拿球，直塞身后找前插的拉姆塞，拉姆塞不停球横传给奥巴梅杨，禁区弧位置迎球抽射，打进！！                   56'阿森纳第56分钟扳平，贝莱林长传，拉姆塞横传，奥巴梅扬禁区弧顶第一时间劲射，皮球紧贴右侧立柱入网，2-2
58'这球拉姆塞没停球直接传，相当漂亮                   56'阿森纳第56分钟扳平，贝莱林长传，拉姆塞横传，奥巴梅扬禁区弧顶第一时间劲射，皮球紧贴右侧立柱入网，2-2
58'奥巴梅杨同样不停球，迎球怒射，很准啊                   56'阿森纳第56分钟扳平，贝莱林长传，拉姆塞横传，奥巴梅扬禁区弧顶第一时间劲射，皮球紧贴右侧立柱入网，2-2
59'科拉希纳茨前场左路拿球，强突被奥里尔放倒在地                   56'阿森纳第56分钟扳平，贝莱林长传，拉姆塞横传，奥巴梅扬禁区弧顶第一时间劲射，皮球紧贴右侧立柱入网，2-2
59'阿森纳获得了前场左路的任意球机会！                   56'阿森纳第56分钟扳平，贝莱林长传，拉姆塞横传，奥巴梅扬禁区弧顶第一时间劲射，皮球紧贴右侧立柱入网，2-2
59'托雷拉和扎卡站在球前！！                   56'阿森纳第56分钟扳平，贝莱林长传，拉姆塞横传，奥巴梅扬禁区弧顶第一时间劲射，皮球紧贴右侧立柱入网，2-2
74'拉卡泽特右路的强突，传中球被戴维斯挡出底线                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
74'阿森纳再次获得了右侧角球机会！                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
74'角球开出到后点，福伊特的头球解围                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
74'奥巴梅杨外围拿球，再回传托雷拉                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
75'托雷拉回传失误                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
75'凯恩插上差点单刀，莱诺出击到禁区外，将球破坏                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
75'阿森纳的前场进攻！！                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
75'3-2！！！                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
75'拉卡泽特！！！                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
77'福伊特中线位置拿球，拉姆塞抢断反击，斜塞身后找到了拉卡泽特，横切摆脱维尔通亨，面对迪尔，禁区弧内起脚打门，自己也是滑倒在地，球碰到迪尔变向，擦着左侧立柱内侧进网！                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
77'这球角度太刁，洛里斯毫无办法啊                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
77'4-2！！！                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
77'托雷拉打进了加盟阿森纳的处子球！！                   74'阿森纳第74分钟反超比分，拉姆塞抢断弗伊斯后斜传，拉卡泽特禁区弧顶左脚射门时支撑脚滑倒，皮球打中戴尔腿上偏转入左下角，3-2
85'小卢卡斯中场抢断，直塞埃里克森                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
85'中路强突，单骑闯关，被拦截                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
85'拉姆塞左路拿球，再给科拉希纳茨                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
85'分球扎卡，给到托雷拉                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
85'斜塞找前插的拉卡泽特                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
86'维尔通亨补防，抢在拉卡泽特之前，滑铲将球给到左侧罗斯                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
86'球被铲走后，直接踹在了拉卡泽特的脚踝处                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
86'.维尔通亨被主裁判出示了黄牌，两黄变一红，被罚出场！                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
87'这球维尔通亨很不理解，自己先铲到了皮球啊                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
87'不过维尔通亨这次铲球后并未收脚，有伤害拉卡泽特的嫌疑，被出示了黄牌                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
87'拉卡泽特简单治疗后，没大碍，比赛继续                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
88'现场的热刺球迷部分已经开始离场了                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
88'贝莱林后场拿球，温克斯饿上抢被吹犯规                   85'热刺第85分钟再遭打击，维尔通亨飞铲拉卡泽特脚踝累计两张黄牌被罚下
