1'裁判哨响！上半场比赛开始了！                   1'第1分钟，阿萨莫阿和马图伊迪连续尝试远射
39'拉齐奥左侧角球！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
39'战术角球给出来！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
40'科斯塔后场断球！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
40'反击给左侧！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
40'拉齐奥反抢成功！挑传禁区左侧！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
40'帕罗洛得球扣过防守转身扫射1                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
40'被解围出去！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
40'巴尔扎利分右侧利希施泰纳！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
46'裁判哨响！下半场开始了！                   46' 1分钟后，伊瓜因错过再度超出的机会，他与曼朱基奇打出踢墙配合突入禁区，在门前11米处推射被斯特拉科沙横身封出
46'科斯塔右侧分球被破坏出去！                   46' 1分钟后，伊瓜因错过再度超出的机会，他与曼朱基奇打出踢墙配合突入禁区，在门前11米处推射被斯特拉科沙横身封出
46'卢卡斯得球分因莫比莱！                   46' 1分钟后，伊瓜因错过再度超出的机会，他与曼朱基奇打出踢墙配合突入禁区，在门前11米处推射被斯特拉科沙横身封出
47'推射远角破门！                   46' 1分钟后，伊瓜因错过再度超出的机会，他与曼朱基奇打出踢墙配合突入禁区，在门前11米处推射被斯特拉科沙横身封出
47'赫迪拉左侧分球被断了！                   46' 1分钟后，伊瓜因错过再度超出的机会，他与曼朱基奇打出踢墙配合突入禁区，在门前11米处推射被斯特拉科沙横身封出
47'卢利奇左侧传中！                   46' 1分钟后，伊瓜因错过再度超出的机会，他与曼朱基奇打出踢墙配合突入禁区，在门前11米处推射被斯特拉科沙横身封出
48'因莫比莱被布冯扑倒了！                   46' 1分钟后，伊瓜因错过再度超出的机会，他与曼朱基奇打出踢墙配合突入禁区，在门前11米处推射被斯特拉科沙横身封出
48'裁判给了布冯黄牌！还有点球！                   46' 1分钟后，伊瓜因错过再度超出的机会，他与曼朱基奇打出踢墙配合突入禁区，在门前11米处推射被斯特拉科沙横身封出
54'因莫比莱亲自操刀！                   52'补时第7分钟，贝尔纳代斯基禁区右侧被帕特里克铲倒，尤文队员围住马莱萨尼讨要点球，马莱萨尼再度与录像助理裁判商议，并到场边观看回放，回到场内指向点球点
54'骗过布冯推射！GOOOOOOOOOOAL！！                   52'补时第7分钟，贝尔纳代斯基禁区右侧被帕特里克铲倒，尤文队员围住马莱萨尼讨要点球，马莱萨尼再度与录像助理裁判商议，并到场边观看回放，回到场内指向点球点
