1'上半场比赛开始！！                   1'双方第1分钟打出快节奏
44'塞尔吉-罗伯托得到一张黄牌！                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
46'塞维利亚前场控球                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
46'裁判这边没有给补时                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
46'下半场比赛开始！！                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
46'下半场比赛由巴塞罗那开球                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
46'目前来看中场休息双方都没有进行人员调整                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
46'塞维利亚挑传到禁区                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
46'直接出了远端的底线                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
61'1-2！！！                   61'巴萨第61分钟反超比分，梅西反击中斜传，无人防守的苏亚雷斯禁区右肋12码处单刀低射从里科双腿间穿过入网，2-1
61'苏亚雷斯！！！                   61'巴萨第61分钟反超比分，梅西反击中斜传，无人防守的苏亚雷斯禁区右肋12码处单刀低射从里科双腿间穿过入网，2-1
62'梅西前场带球到了禁区弧顶，面对围抢上来的防守球员分给了无人看防的苏亚雷斯，苏亚雷斯面对门将低射近角破门！！                   61'巴萨第61分钟反超比分，梅西反击中斜传，无人防守的苏亚雷斯禁区右肋12码处单刀低射从里科双腿间穿过入网，2-1
62'下半场比赛巴萨的机会也是多了起来                   61'巴萨第61分钟反超比分，梅西反击中斜传，无人防守的苏亚雷斯禁区右肋12码处单刀低射从里科双腿间穿过入网，2-1
63'马里亚诺右路起球送禁区                   61'巴萨第61分钟反超比分，梅西反击中斜传，无人防守的苏亚雷斯禁区右肋12码处单刀低射从里科双腿间穿过入网，2-1
63'前点头球蹭了一下                   61'巴萨第61分钟反超比分，梅西反击中斜传，无人防守的苏亚雷斯禁区右肋12码处单刀低射从里科双腿间穿过入网，2-1
63'后点队友第一下没有停好啊                   61'巴萨第61分钟反超比分，梅西反击中斜传，无人防守的苏亚雷斯禁区右肋12码处单刀低射从里科双腿间穿过入网，2-1
63'也是错过了机会                   61'巴萨第61分钟反超比分，梅西反击中斜传，无人防守的苏亚雷斯禁区右肋12码处单刀低射从里科双腿间穿过入网，2-1
73'巴萨这边也进行人员调整                   72'巴萨第72分钟险些扩大比分，内马尔送出直传，苏亚雷斯晃过里科后小禁区右侧射空门滑门而出
73'拉基蒂奇下，戈麦斯上！                   72'巴萨第72分钟险些扩大比分，内马尔送出直传，苏亚雷斯晃过里科后小禁区右侧射空门滑门而出
73'塞维利亚中场拿球稳一下                   72'巴萨第72分钟险些扩大比分，内马尔送出直传，苏亚雷斯晃过里科后小禁区右侧射空门滑门而出
73'甘索传球给到边路                   72'巴萨第72分钟险些扩大比分，内马尔送出直传，苏亚雷斯晃过里科后小禁区右侧射空门滑门而出
73'斜传球往禁区里送                   72'巴萨第72分钟险些扩大比分，内马尔送出直传，苏亚雷斯晃过里科后小禁区右侧射空门滑门而出
74'马斯切拉诺将球先解围                   72'巴萨第72分钟险些扩大比分，内马尔送出直传，苏亚雷斯晃过里科后小禁区右侧射空门滑门而出
75'塞维利亚传球给到禁区后点                   72'巴萨第72分钟险些扩大比分，内马尔送出直传，苏亚雷斯晃过里科后小禁区右侧射空门滑门而出
75'队友的头球攻门没有顶上啊                   72'巴萨第72分钟险些扩大比分，内马尔送出直传，苏亚雷斯晃过里科后小禁区右侧射空门滑门而出
74'马斯切拉诺将球先解围                   74'第74分钟，萨拉比亚开出角球，特尔施特根出击失误落空，恩宗齐小禁区边缘顶空门却偏出
75'塞维利亚传球给到禁区后点                   74'第74分钟，萨拉比亚开出角球，特尔施特根出击失误落空，恩宗齐小禁区边缘顶空门却偏出
75'队友的头球攻门没有顶上啊                   74'第74分钟，萨拉比亚开出角球，特尔施特根出击失误落空，恩宗齐小禁区边缘顶空门却偏出
76'巴萨这边有角球机会                   74'第74分钟，萨拉比亚开出角球，特尔施特根出击失误落空，恩宗齐小禁区边缘顶空门却偏出
76'角球送中路                   74'第74分钟，萨拉比亚开出角球，特尔施特根出击失误落空，恩宗齐小禁区边缘顶空门却偏出
76'塞维利亚这边抢到第一点                   74'第74分钟，萨拉比亚开出角球，特尔施特根出击失误落空，恩宗齐小禁区边缘顶空门却偏出
