8'萨内禁区右侧得球！                   7'曼城第7分钟错失良机，德布劳内斜传，但萨内10码处却将机会球射飞
19'GOOOOOOOOOOOOOOOAL！！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
19'短短两分钟内的两球！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
28'才27分钟！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
28'曼城就3球领先！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
28'让斯托克城怎么活！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
28'埃德森长传前场！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
28'席尔瓦左侧得球！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
28'交给萨内！横向突破中路！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
29'交给左侧德布劳内！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
29'挑传禁区前！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
29'球被破坏出去！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
29'斯托克城反击给左侧！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
29'斯通斯回追断球！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
29'交给德布劳内！斜传前场！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
29'哨响了！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
29'迪乌夫的犯规！                   27'第27分钟，热苏斯直传，萨内禁区左侧传中，斯特林远点回传，停球稍大的席尔瓦在小禁区前捅射入网，3-0
47'球争顶出了底线！                   47'斯托克城第47分钟再追一球，爱德华兹右路传中，无人防守的迪乌夫小禁区边缘头球攻门顶偏，皮球却打在身后的沃克尔大腿上偏转入网，2-3
47'斯托克城门球！                   47'斯托克城第47分钟再追一球，爱德华兹右路传中，无人防守的迪乌夫小禁区边缘头球攻门顶偏，皮球却打在身后的沃克尔大腿上偏转入网，2-3
47'巴特兰长传前场！                   47'斯托克城第47分钟再追一球，爱德华兹右路传中，无人防守的迪乌夫小禁区边缘头球攻门顶偏，皮球却打在身后的沃克尔大腿上偏转入网，2-3
47'费尔南蒂尼奥得球长传！                   47'斯托克城第47分钟再追一球，爱德华兹右路传中，无人防守的迪乌夫小禁区边缘头球攻门顶偏，皮球却打在身后的沃克尔大腿上偏转入网，2-3
47'裁判哨响！                   47'斯托克城第47分钟再追一球，爱德华兹右路传中，无人防守的迪乌夫小禁区边缘头球攻门顶偏，皮球却打在身后的沃克尔大腿上偏转入网，2-3
47'上半场比赛结束了！                   47'斯托克城第47分钟再追一球，爱德华兹右路传中，无人防守的迪乌夫小禁区边缘头球攻门顶偏，皮球却打在身后的沃克尔大腿上偏转入网，2-3
47'曼城3比1领先斯托克城！                   47'斯托克城第47分钟再追一球，爱德华兹右路传中，无人防守的迪乌夫小禁区边缘头球攻门顶偏，皮球却打在身后的沃克尔大腿上偏转入网，2-3
48'斯托克城右侧传中！                   47'斯托克城第47分钟再追一球，爱德华兹右路传中，无人防守的迪乌夫小禁区边缘头球攻门顶偏，皮球却打在身后的沃克尔大腿上偏转入网，2-3
48'小禁区钱迪乌夫头球攻门！                   47'斯托克城第47分钟再追一球，爱德华兹右路传中，无人防守的迪乌夫小禁区边缘头球攻门顶偏，皮球却打在身后的沃克尔大腿上偏转入网，2-3
48'打左侧！GOOOOOOOOOAL！！                   47'斯托克城第47分钟再追一球，爱德华兹右路传中，无人防守的迪乌夫小禁区边缘头球攻门顶偏，皮球却打在身后的沃克尔大腿上偏转入网，2-3
55'席尔瓦左侧得球！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
55'直塞禁区！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
55'球出了底线！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
55'沙奇里右侧突破禁区！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
56'回传中路！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
56'球被解围到中场！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
56'祖玛得球分左侧！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
56'回传给祖玛！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
56'交给舒波莫廷！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
56'分左侧因迪！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
56'德布劳内抢断了！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
56'反击突破禁区右侧！斜传禁区左侧！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
57'热苏斯及时插上！直接推射！！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
57'GOOOOOOOOOOOOOAL！！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
57'曼城及时止血一波！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
58'埃德森分给费尔南蒂尼奥！给右侧奥塔门迪！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
58'长传前场右侧！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
58'沃克得球挑传！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
58'球被破坏出界了！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
58'德布劳内中路得球！分右侧！                   55'曼城第55分钟拉开差距，德布劳内右路弧线球传中，无人防守的热苏斯10码处第一时间左脚推射入网，4-2
63'镜头给回来萨内又破门了！                   62'第62分钟，德布劳内右路斜传，萨内小禁区左上角低射近角从巴特兰德双腿间穿过入网，6-2
63'我去！这比分！                   62'第62分钟，德布劳内右路斜传，萨内小禁区左上角低射近角从巴特兰德双腿间穿过入网，6-2
63'德布劳内右侧得球！直塞禁区左侧！                   62'第62分钟，德布劳内右路斜传，萨内小禁区左上角低射近角从巴特兰德双腿间穿过入网，6-2
64'萨内拍马赶到！左脚低射破门！！                   62'第62分钟，德布劳内右路斜传，萨内小禁区左上角低射近角从巴特兰德双腿间穿过入网，6-2
65'曼城换人！热苏斯被换下接受掌声！                   62'第62分钟，德布劳内右路斜传，萨内小禁区左上角低射近角从巴特兰德双腿间穿过入网，6-2
65'换上B席尔瓦！                   62'第62分钟，德布劳内右路斜传，萨内小禁区左上角低射近角从巴特兰德双腿间穿过入网，6-2
79'京多安断球推进！                   79'第79分钟，斯特林禁区右侧传中被挡后再传，京多安小禁区前捅射入网，7-2
80'分中圈亚亚图雷！                   79'第79分钟，斯特林禁区右侧传中被挡后再传，京多安小禁区前捅射入网，7-2
80'交给斯特林！右侧突破禁区！                   79'第79分钟，斯特林禁区右侧传中被挡后再传，京多安小禁区前捅射入网，7-2
80'短传B席尔瓦！                   79'第79分钟，斯特林禁区右侧传中被挡后再传，京多安小禁区前捅射入网，7-2
80'左脚推射!!                   79'第79分钟，斯特林禁区右侧传中被挡后再传，京多安小禁区前捅射入网，7-2
80'GOOOOOOOOOOOOOOAL！！                   79'第79分钟，斯特林禁区右侧传中被挡后再传，京多安小禁区前捅射入网，7-2
80'斯托克城已经被打成筛子！                   79'第79分钟，斯特林禁区右侧传中被挡后再传，京多安小禁区前捅射入网，7-2
82'斯特林右侧突破禁区！                   79'第79分钟，斯特林禁区右侧传中被挡后再传，京多安小禁区前捅射入网，7-2
82'陷入包夹！球被破坏出去！                   79'第79分钟，斯特林禁区右侧传中被挡后再传，京多安小禁区前捅射入网，7-2
