3'王永珀主罚角球，发战术角球                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
37'走右路推进没有成功，艾哈迈多夫断球成功，转移给埃尔克森                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
37'刘奕鸣拉人犯规                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
38'上海上港队中场任意球开出来，转移到王燊超的脚下，再分球给贺惯                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
38'低平球传球到中路给张一，再传球被糜昊伦给断了                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
38'糜昊伦左路低平球的传球被拦截了                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
38'傅欢长传球找武磊，又越位了                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
38'武磊今天很是着急呀，三次越位了！                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
39'埃尔克森转移球到右侧给傅欢，45度传中球被断了                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
39'王永珀快速推进，斜长传转移球到李星灿的脚下                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
40'李星灿停球不好，王燊超回防把球踢出了底线                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
40'天津权健队获得角球机会                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
40'王永珀来主罚角球，发战术角球                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
40'王永珀右路起球传中，颜骏凌出击把球没收                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
48'再起球传，胡尔克停下来，连续的闪转腾挪，不过吹犯规了                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
48'胡尔克撞人犯规，不过他向裁判示意他用的是肩膀呀                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
48'主裁判一声哨响，上半场比赛结束了                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
49'上半场比赛结束，双方战成0－0平                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
49'双方队员重新回到场上                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
48'埃尔克森中场控球，转移到贺惯的脚下，低平球传球                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
48'于海停球，再交给胡尔克，后者斜传球找武磊                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
49'挑传球到禁区前沿，艾哈迈多夫凌空抽射，球偏出了底线                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
50'天津权健队右路传中球，王永珀越位了                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
50'天津权健队中场控球，帕托拿球强行的突破被放倒了                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
50'傅欢的犯规～                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
51'天津权健队中场任意球开出来，转移到中路                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
51'帕托挑传球到禁区内，张一抢在张修维前把球踢出了边线                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
51'天津权健队界外球，权敬源这次没有擦球，直接大力掷到禁区内                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
51'点球点附近，对方抢先把球顶出来                   48'第48分钟武磊禁区内得球往外传，于海起球到禁区外中路，艾哈迈多夫凌空抽射稍稍偏出
54'上海上港队控球反击，艾哈迈多夫直塞球，胡尔克一脚远射，球偏出了底线                   54'第54分钟王永珀接帕托中圈送球，带到禁区线附近拉到中路射门，颜骏凌飞身把球扑出界外
56'帕托控球，低平球传到禁区左侧，王永珀内切之后的打门                   54'第54分钟王永珀接帕托中圈送球，带到禁区线附近拉到中路射门，颜骏凌飞身把球扑出界外
56'颜骏凌飞身把球扑出了边线！郑达伦掷界外球                   54'第54分钟王永珀接帕托中圈送球，带到禁区线附近拉到中路射门，颜骏凌飞身把球扑出界外
56'界外球掷到场内，右路起球传中被顶出来                   54'第54分钟王永珀接帕托中圈送球，带到禁区线附近拉到中路射门，颜骏凌飞身把球扑出界外
57'维特塞尔冲抢犯规了                   54'第54分钟王永珀接帕托中圈送球，带到禁区线附近拉到中路射门，颜骏凌飞身把球扑出界外
57'天津权健队中场抢断，走左路推进                   54'第54分钟王永珀接帕托中圈送球，带到禁区线附近拉到中路射门，颜骏凌飞身把球扑出界外
57'魏震把球破坏出边线                   54'第54分钟王永珀接帕托中圈送球，带到禁区线附近拉到中路射门，颜骏凌飞身把球扑出界外
57'糜昊伦界外球掷到场内，交给郑达伦再回传球被张一挡出了边线                   54'第54分钟王永珀接帕托中圈送球，带到禁区线附近拉到中路射门，颜骏凌飞身把球扑出界外
57'权敬源来掷界外球，大力掷到场内，第一点被防守队员抢到顶出来                   54'第54分钟王永珀接帕托中圈送球，带到禁区线附近拉到中路射门，颜骏凌飞身把球扑出界外
61'比赛到了补水时间                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
61'傅欢斜传球到左侧，吕文君再传球                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
62'糜昊伦解围了                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
62'帕托控球准备反击，对方犯规了                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
62'魏震的犯规～                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
62'艾哈迈多夫中场冲抢时与帕托发生了争执                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
62'张鹭也冲上来了，感觉很后气氛的样子                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
63'天津权健队的场上队长是张鹭                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
63'帕托与艾哈迈多夫被主裁判叫到面前，各打五十板                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
63'帕托与艾哈迈多夫各领到一张黄牌                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
63'比赛进行62分钟了，场上比分没有发变化！                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
64'上海上港队控球走左路推进，傅欢传中球被挡出来                   61'第61分钟艾哈迈多夫和帕托中场争球时动作过大，两人起了冲突，双方队员立刻围了过来，事态平息后两人都吃到黄牌
67'王燊超断球，低平球转移被张修维给挡出来                   67'第67分钟胡尔克右路好不容易过了权敬源，但杀入禁区后胡尔克处理球失误，失去很好机会
67'王永珀控球快速推进，转移到左侧，艾哈迈多夫大脚解围了                   67'第67分钟胡尔克右路好不容易过了权敬源，但杀入禁区后胡尔克处理球失误，失去很好机会
68'天津权健队中场抢断，张修维带球转移到右侧，再直塞球想给赵旭日，后者向回跑了                   67'第67分钟胡尔克右路好不容易过了权敬源，但杀入禁区后胡尔克处理球失误，失去很好机会
68'这次配合不够默契呀！                   67'第67分钟胡尔克右路好不容易过了权敬源，但杀入禁区后胡尔克处理球失误，失去很好机会
68'上海上港队后场迭球，转移到魏震的脚下，再分球给傅欢，斜传球给吕文君                   67'第67分钟胡尔克右路好不容易过了权敬源，但杀入禁区后胡尔克处理球失误，失去很好机会
69'再转移到右侧胡尔克的脚下，连续的踩单车之后过了权敬源，不过再趟球直接趟出了底线                   67'第67分钟胡尔克右路好不容易过了权敬源，但杀入禁区后胡尔克处理球失误，失去很好机会
69'上海上港队又人换人，郑致云准备上场！                   67'第67分钟胡尔克右路好不容易过了权敬源，但杀入禁区后胡尔克处理球失误，失去很好机会
70'张一犯规吃到黄牌                   67'第67分钟胡尔克右路好不容易过了权敬源，但杀入禁区后胡尔克处理球失误，失去很好机会
70'天津权健队任意球由帕托来主罚，开到禁区内，张修维头球攻门，高了                   67'第67分钟胡尔克右路好不容易过了权敬源，但杀入禁区后胡尔克处理球失误，失去很好机会
71'郑致云上场换下了于海                   71'第71分钟吕文君对帕托犯规吃到黄牌
72'吕文君犯规放倒了帕托，吃到黄牌                   71'第71分钟吕文君对帕托犯规吃到黄牌
73'维特塞尔分球转移到左侧，再长传球，王永珀又越位了                   71'第71分钟吕文君对帕托犯规吃到黄牌
73'比赛进入补水时间                   71'第71分钟吕文君对帕托犯规吃到黄牌
74'上海上港队左路的斜传球被拦截了                   71'第71分钟吕文君对帕托犯规吃到黄牌
77'王永珀得球向前盘带，再转移给维特塞尔，斜传球给郑达伦                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
77'郑达伦右侧下底传中球被挡出了底线                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
77'埃尔克森重新回到场上                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
77'天津权健队获得角球机会                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
78'王永珀来主罚角球，开到后点被对方抢到顶出来                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
78'张修维拔脚迎上远射，开了飞机呀                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
78'胡尔克拿球被放倒了                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
79'孙可向裁判示意对方也踢他了                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
79'胡尔克在倒地之后伸脚蹬到了孙可的膝盖上！他认为对方有报复的嫌疑呀！                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
79'不过裁判还是吹了孙可的犯规！                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
79'任意球开出来，傅欢拿球又被孙可给放倒了                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
80'上海上港队前场的任意球机会                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
80'胡尔克站在球边！                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
80'任意球直接打门，球高过横梁出了底线                   77'第77分钟天津开出右路角球，上港结尾不远，张修维怒射高出
82'帕托控球，转移给维特塞尔，再分球到右侧郑达伦的脚下                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
82'帕托接球再直塞，孙可倒地回传被挡出来                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
82'天津权健队继续控球，郑达伦再传球给张修维，后者盘带，分球到左侧                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
82'糜昊伦传中球，帕托抢点头球攻门，偏出了底线                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
83'天津权健队换人：裴帅上场换下了赵旭日                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
84'这也是一个对位的人员调整                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
84'上海上港队员手球了                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
84'天津权健队获得任意球机会，帕托来主罚                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
84'帕托与王永珀还在商量呀                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
84'最后决定王永珀来主罚，直接打门！                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
85'球稍稍高了一点点，飞出了底线                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
85'维特塞尔断球，转移到张修维的脚下                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
85'吕文君犯规了～                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
85'上海上港队换人：李圣龙上场换下了傅欢                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
85'上海上港队用完了三个换人名额                   82'第82分钟糜昊伦左路传中，帕托迎前冲顶，但颜骏凌提前做出封堵，帕托冲顶偏出
83'天津权健队换人：裴帅上场换下了赵旭日                   83'第83分钟王永珀的任意球稍稍打高
84'这也是一个对位的人员调整                   83'第83分钟王永珀的任意球稍稍打高
84'上海上港队员手球了                   83'第83分钟王永珀的任意球稍稍打高
84'天津权健队获得任意球机会，帕托来主罚                   83'第83分钟王永珀的任意球稍稍打高
84'帕托与王永珀还在商量呀                   83'第83分钟王永珀的任意球稍稍打高
84'最后决定王永珀来主罚，直接打门！                   83'第83分钟王永珀的任意球稍稍打高
85'球稍稍高了一点点，飞出了底线                   83'第83分钟王永珀的任意球稍稍打高
85'维特塞尔断球，转移到张修维的脚下                   83'第83分钟王永珀的任意球稍稍打高
85'吕文君犯规了～                   83'第83分钟王永珀的任意球稍稍打高
85'上海上港队换人：李圣龙上场换下了傅欢                   83'第83分钟王永珀的任意球稍稍打高
85'上海上港队用完了三个换人名额                   83'第83分钟王永珀的任意球稍稍打高
86'郑致云控球，再转移到左侧                   83'第83分钟王永珀的任意球稍稍打高
86'上海上港队传球传大了                   83'第83分钟王永珀的任意球稍稍打高
86'比赛进行85分钟了                   83'第83分钟王永珀的任意球稍稍打高
86'王永珀低平球传球，孙可冲抢时犯规了                   83'第83分钟王永珀的任意球稍稍打高
87'上海上港队后场的任意球                   87'第87分钟胡尔克中路突围而出，但他用不擅长的右脚发炮，结果高飞而去
87'李圣龙分球，胡尔克再传后点，郑致云抽射球打在郑达伦的身上出了底线                   87'第87分钟胡尔克中路突围而出，但他用不擅长的右脚发炮，结果高飞而去
87'上海上港队获得角球机会，由吕文君来主罚                   87'第87分钟胡尔克中路突围而出，但他用不擅长的右脚发炮，结果高飞而去
87'角球开到禁区内，张鹭双拳把球打出来                   87'第87分钟胡尔克中路突围而出，但他用不擅长的右脚发炮，结果高飞而去
88'外围艾哈迈多夫控球，在对方的逼抢下一路回带到自己的半场                   87'第87分钟胡尔克中路突围而出，但他用不擅长的右脚发炮，结果高飞而去
88'胡尔克前场控球，禁区弧顶右脚的劲射，高了                   87'第87分钟胡尔克中路突围而出，但他用不擅长的右脚发炮，结果高飞而去
89'权敬源控球被胡尔克给放倒了                   87'第87分钟胡尔克中路突围而出，但他用不擅长的右脚发炮，结果高飞而去
89'天津权健队任意球开出来，转移到右侧裴帅控球，低平球传球找帕托                   87'第87分钟胡尔克中路突围而出，但他用不擅长的右脚发炮，结果高飞而去
89'帕托挑传球，禁区前沿魏震把球顶出来                   87'第87分钟胡尔克中路突围而出，但他用不擅长的右脚发炮，结果高飞而去
90'比赛接近尾声了                   87'第87分钟胡尔克中路突围而出，但他用不擅长的右脚发炮，结果高飞而去
90'权敬源断球斜长传被对方拦截了                   87'第87分钟胡尔克中路突围而出，但他用不擅长的右脚发炮，结果高飞而去
