4'国安后场的过顶长传到前场左路！！                   3'开场第3分钟，拉尔夫拿球被断，董学升在禁区外怒射，球中右侧门柱弹出
12'热鸟拿球横切，禁区外的远射，直接打在雷腾龙脸上弹出禁区！！                   10'10分钟之后国安开始慢慢控制住局面，第16分钟姆比亚脚下球被断，国安立刻转入反击，可惜奥古斯托接右路于大宝传球打门高出
12'国安前场传球失误，丁海峰抢断，直接大脚往前传！！                   10'10分钟之后国安开始慢慢控制住局面，第16分钟姆比亚脚下球被断，国安立刻转入反击，可惜奥古斯托接右路于大宝传球打门高出
13'拉维奇停球一拨，人缝中强突！！                   10'10分钟之后国安开始慢慢控制住局面，第16分钟姆比亚脚下球被断，国安立刻转入反击，可惜奥古斯托接右路于大宝传球打门高出
13'克里梅茨转身回防将球控制，回传杨智！                   10'10分钟之后国安开始慢慢控制住局面，第16分钟姆比亚脚下球被断，国安立刻转入反击，可惜奥古斯托接右路于大宝传球打门高出
13'张呈栋右路拿球，斜传中路给张稀哲！！                   10'10分钟之后国安开始慢慢控制住局面，第16分钟姆比亚脚下球被断，国安立刻转入反击，可惜奥古斯托接右路于大宝传球打门高出
13'张稀哲分球再想给边路上来的张呈栋！！                   10'10分钟之后国安开始慢慢控制住局面，第16分钟姆比亚脚下球被断，国安立刻转入反击，可惜奥古斯托接右路于大宝传球打门高出
36'国安获得前场中路，靠近右侧的任意球机会！！                   36'第36分钟周挺在中场边线铲翻罗森文吃到黄牌
36'奥古斯托任意球搓传禁区，太低了，被后卫解围！！                   36'第36分钟周挺在中场边线铲翻罗森文吃到黄牌
36'朴成外围拿球，再传禁区，杨程出击将球拿到！！                   36'第36分钟周挺在中场边线铲翻罗森文吃到黄牌
37'罗森文右路拿球，强突被回防的周挺侧后方铲翻在地！                   36'第36分钟周挺在中场边线铲翻罗森文吃到黄牌
37'周挺被主裁判出示了黄牌警告！！                   36'第36分钟周挺在中场边线铲翻罗森文吃到黄牌
37'这也是本场比赛的第一张黄牌！！                   36'第36分钟周挺在中场边线铲翻罗森文吃到黄牌
38'拉维奇左路背身拿球，回传丁海峰！！                   36'第36分钟周挺在中场边线铲翻罗森文吃到黄牌
38'丁海峰再给拉维奇，拉维奇横切中路，斜传禁区右侧找罗森文                   36'第36分钟周挺在中场边线铲翻罗森文吃到黄牌
38'可惜传球力量太大，罗森文没能拿到，球直接出底线！                   36'第36分钟周挺在中场边线铲翻罗森文吃到黄牌
39'这球转移的漂亮，可惜力量没能控制好！！                   36'第36分钟周挺在中场边线铲翻罗森文吃到黄牌
39'姆比亚后场右路拿球，横传球，被朴成抢断！！                   36'第36分钟周挺在中场边线铲翻罗森文吃到黄牌
50'李行前场中路拿球，遭遇围抢，摔倒在地！1                   50'下半场国安攻势加强不少，但第50分钟热尔维尼奥打进一个世界波进球，热鸟从右路边线附近开始启动，他先是假动作避开周挺干扰，接着带球向禁区冲击，克里梅茨上来拦截，热尔维尼奥漂亮的人球分过，直接过干净克里梅茨
50'球被拉尔夫出脚解围！1                   50'下半场国安攻势加强不少，但第50分钟热尔维尼奥打进一个世界波进球，热鸟从右路边线附近开始启动，他先是假动作避开周挺干扰，接着带球向禁区冲击，克里梅茨上来拦截，热尔维尼奥漂亮的人球分过，直接过干净克里梅茨
50'李行有些受伤，倒地没起来，裁判吹停比赛！1                   50'下半场国安攻势加强不少，但第50分钟热尔维尼奥打进一个世界波进球，热鸟从右路边线附近开始启动，他先是假动作避开周挺干扰，接着带球向禁区冲击，克里梅茨上来拦截，热尔维尼奥漂亮的人球分过，直接过干净克里梅茨
50'李行简单休息后，起身继续比赛，没大碍！！                   50'下半场国安攻势加强不少，但第50分钟热尔维尼奥打进一个世界波进球，热鸟从右路边线附近开始启动，他先是假动作避开周挺干扰，接着带球向禁区冲击，克里梅茨上来拦截，热尔维尼奥漂亮的人球分过，直接过干净克里梅茨
51'0-2！！！                   50'下半场国安攻势加强不少，但第50分钟热尔维尼奥打进一个世界波进球，热鸟从右路边线附近开始启动，他先是假动作避开周挺干扰，接着带球向禁区冲击，克里梅茨上来拦截，热尔维尼奥漂亮的人球分过，直接过干净克里梅茨
51'热鸟的单骑闯关，打进！！                   50'下半场国安攻势加强不少，但第50分钟热尔维尼奥打进一个世界波进球，热鸟从右路边线附近开始启动，他先是假动作避开周挺干扰，接着带球向禁区冲击，克里梅茨上来拦截，热尔维尼奥漂亮的人球分过，直接过干净克里梅茨
53'热鸟右路停球一拨，摆脱周挺的上抢，内切，面对克里梅茨，人球分过，单刀赴会，面对杨智，抽射穿裆破门！！                   50'下半场国安攻势加强不少，但第50分钟热尔维尼奥打进一个世界波进球，热鸟从右路边线附近开始启动，他先是假动作避开周挺干扰，接着带球向禁区冲击，克里梅茨上来拦截，热尔维尼奥漂亮的人球分过，直接过干净克里梅茨
53'这球热鸟绝对的个人能力体现，一人撕开了国安的防线！！                   50'下半场国安攻势加强不少，但第50分钟热尔维尼奥打进一个世界波进球，热鸟从右路边线附近开始启动，他先是假动作避开周挺干扰，接着带球向禁区冲击，克里梅茨上来拦截，热尔维尼奥漂亮的人球分过，直接过干净克里梅茨
53'热鸟右路停球一拨，摆脱周挺的上抢，内切，面对克里梅茨，人球分过，单刀赴会，面对杨智，抽射穿裆破门！！                   52'第52分钟国安打出战术任意球配合，多人传递后张稀哲射门被杨程倒地扑住
53'这球热鸟绝对的个人能力体现，一人撕开了国安的防线！！                   52'第52分钟国安打出战术任意球配合，多人传递后张稀哲射门被杨程倒地扑住
54'国安前场进攻，赢得任意球机会！！                   52'第52分钟国安打出战术任意球配合，多人传递后张稀哲射门被杨程倒地扑住
54'奥古斯托任意球斜传禁区，混战中张稀哲的打门                   52'第52分钟国安打出战术任意球配合，多人传递后张稀哲射门被杨程倒地扑住
54'太正，被杨程倒地封堵，压在身下！！                   52'第52分钟国安打出战术任意球配合，多人传递后张稀哲射门被杨程倒地扑住
55'张呈栋右路强突，传中被挡出边线！！                   52'第52分钟国安打出战术任意球配合，多人传递后张稀哲射门被杨程倒地扑住
61'奥古斯托前场背身拿球，转身强突下底！！                   60'第60分钟奥古斯托突破到禁区，丁海峰似乎用手打到他脸，奥古斯托停下等马宁吹哨，但马宁没有判罚，奥古斯托非常生气
61'面对丁海峰的防守，奥古斯托捂着脸停步，不抢了                   60'第60分钟奥古斯托突破到禁区，丁海峰似乎用手打到他脸，奥古斯托停下等马宁吹哨，但马宁没有判罚，奥古斯托非常生气
62'裁判并未理会，华夏幸福的门球！！                   60'第60分钟奥古斯托突破到禁区，丁海峰似乎用手打到他脸，奥古斯托停下等马宁吹哨，但马宁没有判罚，奥古斯托非常生气
62'丁海峰也是转身质问奥古斯托，认为自己并未碰到对方啊！！                   60'第60分钟奥古斯托突破到禁区，丁海峰似乎用手打到他脸，奥古斯托停下等马宁吹哨，但马宁没有判罚，奥古斯托非常生气
62'华夏幸福中场的斜传球到左侧找热鸟                   60'第60分钟奥古斯托突破到禁区，丁海峰似乎用手打到他脸，奥古斯托停下等马宁吹哨，但马宁没有判罚，奥古斯托非常生气
63'热鸟停球没停好，直接出了边线！！                   60'第60分钟奥古斯托突破到禁区，丁海峰似乎用手打到他脸，奥古斯托停下等马宁吹哨，但马宁没有判罚，奥古斯托非常生气
63'国安的中路直塞球找前插的张池明！！                   60'第60分钟奥古斯托突破到禁区，丁海峰似乎用手打到他脸，奥古斯托停下等马宁吹哨，但马宁没有判罚，奥古斯托非常生气
63'杨程出击，从金洋洋脚下将球扑住，撞倒了金洋洋！1                   60'第60分钟奥古斯托突破到禁区，丁海峰似乎用手打到他脸，奥古斯托停下等马宁吹哨，但马宁没有判罚，奥古斯托非常生气
73'本场比赛双方进球能到多少个？[qiangda]                   73'第73分钟卡库塔换下热尔维尼奥
73'国安前场传球，直接出了边线！！                   73'第73分钟卡库塔换下热尔维尼奥
73'国安中场失误，拉维奇拿球，脚下拌蒜                   73'第73分钟卡库塔换下热尔维尼奥
74'好在球没丢，控制一下，分给姆比亚，被放倒在地！                   73'第73分钟卡库塔换下热尔维尼奥
74'华夏幸福换人：27号热鸟被换下，换上21号卡库塔！！                   73'第73分钟卡库塔换下热尔维尼奥
74'华夏幸福获得前场左路的任意球机会！！                   73'第73分钟卡库塔换下热尔维尼奥
75'拉维奇任意球斜传后点，杨智双拳打出禁区！1                   73'第73分钟卡库塔换下热尔维尼奥
75'张池明左路拿球，穿裆过罗森文，被断！1                   73'第73分钟卡库塔换下热尔维尼奥
75'罗森文分球李行，李行再给姆比亚                   73'第73分钟卡库塔换下热尔维尼奥
75'姆比亚的过顶球到禁区，被杨智出击拿到！                   73'第73分钟卡库塔换下热尔维尼奥
76'拉维奇前场右路拿球，面对拉尔夫，变向强突                   73'第73分钟卡库塔换下热尔维尼奥
76'周挺补防，拉维奇横传，力量轻了，被拉尔夫拦截！！                   73'第73分钟卡库塔换下热尔维尼奥
81'姆比亚中场争抢，抬脚过高！！                   81'第81分钟卡库塔在右路连过三人，最后克里梅茨在边线附近放铲弄倒卡库塔吃到黄牌，近在咫尺的李铁对克里梅茨很恼火
81'奥古斯托左路拿球，横传给朴成                   81'第81分钟卡库塔在右路连过三人，最后克里梅茨在边线附近放铲弄倒卡库塔吃到黄牌，近在咫尺的李铁对克里梅茨很恼火
81'朴成再给杜明洋，杜明洋给上来的克里梅茨                   81'第81分钟卡库塔在右路连过三人，最后克里梅茨在边线附近放铲弄倒卡库塔吃到黄牌，近在咫尺的李铁对克里梅茨很恼火
82'克里梅茨分球被断，华夏幸福的反击！！                   81'第81分钟卡库塔在右路连过三人，最后克里梅茨在边线附近放铲弄倒卡库塔吃到黄牌，近在咫尺的李铁对克里梅茨很恼火
82'卡库塔拿球，右路起速，克里梅茨回防侧后方放铲，犯规！1                   81'第81分钟卡库塔在右路连过三人，最后克里梅茨在边线附近放铲弄倒卡库塔吃到黄牌，近在咫尺的李铁对克里梅茨很恼火
82'克里梅茨被主裁判出示了黄牌警告！！                   81'第81分钟卡库塔在右路连过三人，最后克里梅茨在边线附近放铲弄倒卡库塔吃到黄牌，近在咫尺的李铁对克里梅茨很恼火
82'这是国安本场拿到的第二张黄牌！！                   81'第81分钟卡库塔在右路连过三人，最后克里梅茨在边线附近放铲弄倒卡库塔吃到黄牌，近在咫尺的李铁对克里梅茨很恼火
83'shy9001 主播不认真，第一个进球应该写45 ，不应该写47分进，那是下半时进的写法！（伤停补时进球啊）                   81'第81分钟卡库塔在右路连过三人，最后克里梅茨在边线附近放铲弄倒卡库塔吃到黄牌，近在咫尺的李铁对克里梅茨很恼火
84'用户i6mgi59ygh 这一场是华夏主场???（在北京踢！）                   81'第81分钟卡库塔在右路连过三人，最后克里梅茨在边线附近放铲弄倒卡库塔吃到黄牌，近在咫尺的李铁对克里梅茨很恼火
84'拉维奇中场拿球，强突被放倒在地！！                   81'第81分钟卡库塔在右路连过三人，最后克里梅茨在边线附近放铲弄倒卡库塔吃到黄牌，近在咫尺的李铁对克里梅茨很恼火
84'卡库塔前场拿球，强突遭遇夹击，被抢断！                   81'第81分钟卡库塔在右路连过三人，最后克里梅茨在边线附近放铲弄倒卡库塔吃到黄牌，近在咫尺的李铁对克里梅茨很恼火
90'张池明左路拿球，强突传中到禁区，直接被杨程拿到！                   90'第90分钟华夏幸福用高准翼换下李行
90'常规时间已经进入读秒阶段！！                   90'第90分钟华夏幸福用高准翼换下李行
90'奥古斯托中场拿球，强突遭遇两人围抢，被撞翻在地！！                   90'第90分钟华夏幸福用高准翼换下李行
91'下半场比赛补时3分钟！！                   90'第90分钟华夏幸福用高准翼换下李行
91'华夏幸福换人：33号高准翼上，换下30号李行！                   90'第90分钟华夏幸福用高准翼换下李行
91'国安获得前场中路的任意球机会！！                   90'第90分钟华夏幸福用高准翼换下李行
92'奥古斯托受伤起身后，被迫离场，等待下个死球再回来吧                   90'第90分钟华夏幸福用高准翼换下李行
92'任意球在球门的正前方，距离球门29米！！                   90'第90分钟华夏幸福用高准翼换下李行
92'周挺的任意球攻门，直接被挡回！1                   90'第90分钟华夏幸福用高准翼换下李行
92'华夏幸福的反击，卡库塔拿球！！                   90'第90分钟华夏幸福用高准翼换下李行
93'卡库塔带球到禁区左上角，滑倒了                   90'第90分钟华夏幸福用高准翼换下李行
93'卡库塔起身再拿，边路传中，被国安球员挡出底线！1                   90'第90分钟华夏幸福用高准翼换下李行
93'华夏幸福的左侧角球机会！！                   90'第90分钟华夏幸福用高准翼换下李行
93'拉维奇战术角球给卡库塔，卡库塔再给拉维奇                   90'第90分钟华夏幸福用高准翼换下李行
93'拉维奇内切到禁区，抽射打在拉尔夫身上 出底线！！                   90'第90分钟华夏幸福用高准翼换下李行
93'华夏幸福再次获得左侧角球！1                   90'第90分钟华夏幸福用高准翼换下李行
