1'主裁判哨响，上半场开始了                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
9'弹下来，，第二点，小禁区右侧马里尼奥跟上                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
10'推射远角，，颜骏凌迅速起身，，又是一个神扑，挡出底线                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
10'颜骏凌贡献2连扑，力保大门，，，厉害啊                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
10'亚泰的攻势够凌厉                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
10'左侧角球机会，，，给出来                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
10'第一点顶一下，，，，第二点被解围                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
10'后场奥斯卡拿球，组织一下                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
10'分中间的蔡慧康，，长传转移                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
13'在回敲给到祎凡，分身前的何超                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
13'在回敲给到祎凡，在交给身前                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
13'于睿右路拿球，斜传中圈内的马里尼奥                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
13'马里尼奥转身衔枚疾走，，速度真是快                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
13'在冷静的分到左侧                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
13'范晓冬跟上来，，，一记传中                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
13'打在王燊超身上，，，出了边线                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
13'左侧界外球，给到何超脚下                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
14'回敲，，，后场于睿拿球，在直传                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
14'中圈内李光的斜传转移，直接飞出底线，，给大了                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
14'镜头给到了场边的陈金刚，亚泰最近状态不错，陈金刚功不可没                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
14'颜骏凌大脚开起来                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
14'前场左侧奥斯卡得球                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
15'挑传送入禁区内，，被头球解围                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
15'外围中路争抢球权，，孙捷把球踢出来                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
15'前场中路伊哈洛得球，，上港压的太靠上了                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
15'伊哈洛形成一个超级的单刀机会                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
15'长驱直入，，，一路带到禁区内                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
16'面对出击门将，，冷静推射，，低球送入网窝                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
16'伊哈洛，本赛季第六粒进球了。。。这状态，世界杯尼日利亚的主力是不是稳了                   13'第13分钟长春队进攻终于开花结果，长春队后场蒋哲大脚解围，皮球直飞上港半场，但此球并非盲目来一脚再说，而是带着明显战术意图
46'亚泰向裁判施压，认为对手应该吃黄牌的                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'后场亚泰定位球                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'开起来，送到右侧张笑非脚下                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'在回敲给到孙捷，，长传起球                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'中路上港把球控制，向前给到胡尔克                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'停球被于睿从身后绊倒了                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'中路上港定位球，，给到左路大脑奥斯卡                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'横敲，，中路被解围出来                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'边线球，，给到左侧胡尔克                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'上半场补时2分钟                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'胡尔克斜传，，范晓冬把球捅出来                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'中圈附近的拼抢，蔡慧康把球得到                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'挑传向前，于睿大脚解围                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'中圈附近争顶，，谭龙被踢翻在地了                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'谭龙一瘸一拐到场边去治疗                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'上港后场艾哈迈多夫拿球，推给左路的奥斯卡                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'低球向前，左路找到胡尔克                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'胡尔克向前突破，，直接趟大，出底线                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'祎凡大脚把球开起来                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'裁判哨响，上半场结束了                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'主裁判哨响，下半场比赛开始了                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'继续来看这场精彩的大战，下半场肯定不会缺少进球                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'上港开球，回敲给到后场                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'在送出长传，，左侧范晓冬把球解围                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
46'上港界外球，给到中路艾哈迈多夫                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'长传转移，，左侧给到奥斯卡                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'右脚直接传中                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'送到小禁区，，，祎凡把球没收                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'手抛给到身前的何超                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'低球斜传，中圈附近右侧拼抢                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'吹了上港的推人犯规                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'定位球给到孙捷，，后场斜传                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'中路艾哈迈多夫把球得到，分左路奥斯卡                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
47'杀到禁区，，左肋一记推传                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'被防守队员一挡，，第二下被祎凡没收                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'祎凡大脚开起来                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'中圈附近何超把球控制                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'回敲左侧，还是给祎凡，，，大脚直接开出了左边线                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'上港界外球，给出来，右侧陈彬彬拿球                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'一记传中送到禁区                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
48'点球点附近，，李光一脚解围                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
49'这球是踢出了右侧的底线                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
49'上港右侧角球，，，开起来                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
49'送到小禁区， ，，祎凡出击，把球打出来                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
49'左侧边线                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
49'上港给出来，双方一片乱战，孙捷再次清理出边线                   46'第1分钟一直未能进入状态的上港，头20分钟没有一次有效射门，这在今年所有上港的正赛里还是第一次出现
25'胡尔克往边路盘带，球被断下                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
25'亚泰边路的配合被挡出了边线                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
25'右侧界外球，马里尼奥过来接应                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
25'右路马里尼奥1对2，从人缝中间强行盘过                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
26'强吃进来，摔倒了，裁判没理会                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
26'上港禁区内大脚解围                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
26'中圈右侧于睿头球，顶了一下                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
26'艾哈迈多夫把球拦截，亚泰迅速回防，拉倒了艾哈迈多夫                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
26'左侧上港定位球，开起来                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
27'中路交给艾哈迈多夫，斜传左路                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
27'石柯插上来，分中路的胡克尔                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
27'胡尔克连续盘带，，突破被于睿捅掉                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
27'右路马里尼奥回撤拿球                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
27'回敲给身后孙捷，长传起球                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
27'前场中路找到伊哈洛                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
27'伊哈洛拿球，视野非常好                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
27'一记直塞，，，谭龙左侧迅速前插                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
27'球到人到，，，但是颜骏凌出击很快，把球没收                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
28'这球颜骏凌在晚一步，就悬了                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
28'亚泰刚才这次进攻是3打2的机会啊                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
28'颜骏凌大脚开起来                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
28'前场的拼抢，，吹了上港的犯规                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
28'亚泰后场定位球长传                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
28'争顶高空球，贺惯把球控制                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
28'给出一脚长传，后场孙捷得球                   25'第25分钟上港后卫线再次被打穿，伊哈洛斜刺里送球，谭龙杀出
26'强吃进来，摔倒了，裁判没理会                   26'第26分钟于海接右路送球头球高出
26'上港禁区内大脚解围                   26'第26分钟于海接右路送球头球高出
26'中圈右侧于睿头球，顶了一下                   26'第26分钟于海接右路送球头球高出
26'艾哈迈多夫把球拦截，亚泰迅速回防，拉倒了艾哈迈多夫                   26'第26分钟于海接右路送球头球高出
26'左侧上港定位球，开起来                   26'第26分钟于海接右路送球头球高出
27'中路交给艾哈迈多夫，斜传左路                   26'第26分钟于海接右路送球头球高出
27'石柯插上来，分中路的胡克尔                   26'第26分钟于海接右路送球头球高出
27'胡尔克连续盘带，，突破被于睿捅掉                   26'第26分钟于海接右路送球头球高出
27'右路马里尼奥回撤拿球                   26'第26分钟于海接右路送球头球高出
27'回敲给身后孙捷，长传起球                   26'第26分钟于海接右路送球头球高出
27'前场中路找到伊哈洛                   26'第26分钟于海接右路送球头球高出
27'伊哈洛拿球，视野非常好                   26'第26分钟于海接右路送球头球高出
27'一记直塞，，，谭龙左侧迅速前插                   26'第26分钟于海接右路送球头球高出
27'球到人到，，，但是颜骏凌出击很快，把球没收                   26'第26分钟于海接右路送球头球高出
28'这球颜骏凌在晚一步，就悬了                   26'第26分钟于海接右路送球头球高出
28'亚泰刚才这次进攻是3打2的机会啊                   26'第26分钟于海接右路送球头球高出
28'颜骏凌大脚开起来                   26'第26分钟于海接右路送球头球高出
28'前场的拼抢，，吹了上港的犯规                   26'第26分钟于海接右路送球头球高出
28'亚泰后场定位球长传                   26'第26分钟于海接右路送球头球高出
28'争顶高空球，贺惯把球控制                   26'第26分钟于海接右路送球头球高出
28'给出一脚长传，后场孙捷得球                   26'第26分钟于海接右路送球头球高出
29'分到了右侧，于海把球顶出边线                   26'第26分钟于海接右路送球头球高出
29'亚泰界外球交给何超组织                   26'第26分钟于海接右路送球头球高出
29'回敲身后于睿，在给到门将祎凡                   26'第26分钟于海接右路送球头球高出
29'大脚开起来                   26'第26分钟于海接右路送球头球高出
29'中圈附近胡尔克左路把球断下                   26'第26分钟于海接右路送球头球高出
29'自己推进到前场                   26'第26分钟于海接右路送球头球高出
29'和同伴一个踢墙配合，，胡尔克被李光绊倒在地                   26'第26分钟于海接右路送球头球高出
31'祎凡大脚开起来                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
31'前场中路到了伊哈洛脚下                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
31'停球，，外围转身，直接右脚怒射                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
31'颜骏凌把球没收，手抛给左路石柯                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
31'在回敲给门将，，颜骏凌大脚开起来                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
31'中圈后沿，奥斯卡遭到李光的逼抢，李光拉拽犯规                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
32'上港定位球，右侧给艾哈迈多夫                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
32'中场组织一下，在给蔡慧康，回敲贺惯                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
32'在给门将，，颜骏凌大脚开起来                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
32'中圈右侧石柯得球，直传                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
32'石柯被绊倒在地，哨响，犯规了                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
33'定位球给出来，右侧王燊超前插                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
33'长传转移，，送到了左路                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
33'胡尔克拿球，压上到了禁区前沿                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
33'胡尔克观察一下，左脚一个吊射                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
33'看到祎凡站位靠前想来个巧的，但是被祎凡单手托出                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
33'范晓冬禁区内第二点解围出来                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
34'蒋哲受伤，倒在了草坪上                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
34'貌似蒋哲这下受伤不轻啊                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
34'果然啊，亚泰被动换人，，蒋哲被张笑非替下了                   31'第31分钟上港从左路进攻，胡尔克禁区外挑射远角，被祎凡飞身把球打出
33'定位球给出来，右侧王燊超前插                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
33'长传转移，，送到了左路                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
33'胡尔克拿球，压上到了禁区前沿                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
33'胡尔克观察一下，左脚一个吊射                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
33'看到祎凡站位靠前想来个巧的，但是被祎凡单手托出                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
