4'小法挑给了右路插上的阿尔维斯                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
24'桑切斯对于格兰纳达来说并不陌生                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
29'和文慧看星空:柠檬怎么白天播晚上还在播？柠檬是机器人吗？---你见过机器人还跟你聊天发图的                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
29'这下巴萨有些危险了                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
29'阿德~这个外脚背的凌空抽射打得极刁！                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
29'可惜还是擦着立柱飞出了底线                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
29'这球要进了，绝对是本轮西甲最佳进球                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
30'阿德是瞄着球门死角在打                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
30'慢动作两次回放刚才的进球                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
30'马斯切拉诺啊，之前被伊格哈罗突破了两次，这一次又是他防守漏人                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
31'巴萨后场断球反击                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
31'格兰纳达的退防速度比巴萨的推进速度还要快                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
31'巴萨把节奏慢了下来                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
32'要是今天无法取胜，那么巴萨将是连续3个客场不赢球了                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
32'佩德罗又一次越位了                   29'第29分钟，法布雷加斯头球摆渡，阿德里亚诺禁区左侧15码处左脚凌空抽射擦远角立柱偏出
38'梅西~~~推射被门将扑出底线                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
38'巴萨这次进攻打得很漂亮                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
38'阿尔巴上场了...                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
38'换下的应该是阿德                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
38'今天阿德在左路的防守漏洞百出                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
39'巴萨的角球开得不好，梅西传中太靠后了                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
39'蒂亚戈在前场抢球犯规                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
40'格兰纳达的战术很明确，就是传中打后点                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
40'然后在头球给回来，门前抢点射门                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
41'格兰纳达获得了一个角球                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
41'还是传后点，头球点下来，被后卫挡了一下                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
41'边路下底再传~后点诺利托头球一顶                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
41'还好拍马赶到的是巴萨后卫                   38'第38分钟，蒂亚戈直传，梅西小禁区前捅射被托尼奥神勇扑出
42'不是猫: 怎么换下阿德了啊？？？？？？？---阿德今天状态不好，几次防守被洞穿都是他这一侧                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
42'巴萨打出连续的撞墙式配合                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
42'梅西~~~接到阿尔维斯的传中，门前左脚推射！                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
42'在后卫的干扰下，球打得太偏了                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
43'桑切斯埋伏在禁区前                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
43'蒂亚戈的挑传，桑切斯单刀机会~                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
43'裁判出手了，吹了越位                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
43'这明显是个好球                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
43'在另一侧的后卫跟桑切斯平行，完全没有越位                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
44'裁判今天的几次吹罚都有些偏向主队                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
44'阿尔维斯右路传中，似传似射~球偏出了远端立柱                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
45'FCB9A:难道不应该吧小马哥也换下？皮克咋不上？---皮克在场上的                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
45'布斯克茨在边路防守中犯规了                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
45'阿郎达~前场断球                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
45'这是谁呢？蒂亚戈！                   42'第42分钟，阿尔维斯禁区右侧传中，梅西前点小禁区边缘垫射偏出近角
50'梅西！！！                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
50'.Goooooooooooooooooal！！！                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
50'还是得靠梅西！！！                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
50'小法禁区外突施冷箭~~~一脚远射让门将做出了扑救，球脱手了！梅西机警的补射~空门了                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
51'看似漫不经心的进攻，巴萨总是暗藏杀机                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
51'桑切斯把球挑起来~后卫抢在梅西身前头球解围                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
52'上半场巴萨浪费了太多机会了                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
52'射门次数是对方的3倍还多                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
53'桑切斯给小法送直塞，直接送到了对方门将脚下                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
53'场下伊涅斯塔在准备热身了                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
53'梅西~被吹了越位                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
53'看下回放~                   50'巴萨第50分钟扳平比分，阿尔巴传球，法布雷加斯左路远射被托尼奥勉强扑出，梅西8码处轻松补射入网
54'又是误判！                   54'第54分钟，桑切斯禁区左侧传中，梅西小禁区左侧拿球却被误判越位在先
54'梅西隔着越位位置还有十万八千里...                   54'第54分钟，桑切斯禁区左侧传中，梅西小禁区左侧拿球却被误判越位在先
54'最i后一名后卫明显被阿尔巴吸引托在了梅西身后                   54'第54分钟，桑切斯禁区左侧传中，梅西小禁区左侧拿球却被误判越位在先
54'但是边裁...又一次误判                   54'第54分钟，桑切斯禁区左侧传中，梅西小禁区左侧拿球却被误判越位在先
55'巴萨继续进攻，诺利托解围出了小法的传球                   54'第54分钟，桑切斯禁区左侧传中，梅西小禁区左侧拿球却被误判越位在先
56'今天诺利托发挥得不错                   54'第54分钟，桑切斯禁区左侧传中，梅西小禁区左侧拿球却被误判越位在先
56'这名前拉玛西亚球员，有机会证明自己了                   54'第54分钟，桑切斯禁区左侧传中，梅西小禁区左侧拿球却被误判越位在先
57'小法尝试中路突破，对方后卫倒地解围                   54'第54分钟，桑切斯禁区左侧传中，梅西小禁区左侧拿球却被误判越位在先
57'球还是在对方半场                   54'第54分钟，桑切斯禁区左侧传中，梅西小禁区左侧拿球却被误判越位在先
57'阿尔维斯~可惜没能抢在球出界之前捞回来                   54'第54分钟，桑切斯禁区左侧传中，梅西小禁区左侧拿球却被误判越位在先
61'桑切斯刚才有机会给右路无人看防的佩刀传球的                   61'第61分钟，特略替换桑切斯出场
61'但是他选择了闷头自己带球                   61'第61分钟，特略替换桑切斯出场
61'果然被换下了                   61'第61分钟，特略替换桑切斯出场
61'桑切斯被特球王换下                   61'第61分钟，特略替换桑切斯出场
61'特球现在都知道要传球，桑切斯是太想进球了                   61'第61分钟，特略替换桑切斯出场
62'这段时间格兰纳达的攻势又有些抬头了                   61'第61分钟，特略替换桑切斯出场
63'游客7191: 大白怎么没上啊柠檬---已经在热身了~                   61'第61分钟，特略替换桑切斯出场
63'特略~接到布斯克茨的长传转移                   61'第61分钟，特略替换桑切斯出场
63'趟了两步，直接推射~被后卫封堵出去                   61'第61分钟，特略替换桑切斯出场
64'禁区外蒂亚戈尝试了一脚远射~球直接飞向了看台                   61'第61分钟，特略替换桑切斯出场
64'今天蒂亚戈状态也不好                   61'第61分钟，特略替换桑切斯出场
64'鲁拉需要自我否定~                   61'第61分钟，特略替换桑切斯出场
64'换下桑切斯就是开始，接下来应该会用小白换下蒂亚戈                   61'第61分钟，特略替换桑切斯出场
64'禁区外蒂亚戈尝试了一脚远射~球直接飞向了看台                   64'第64分钟，蒂亚戈禁区前射门偏出
64'今天蒂亚戈状态也不好                   64'第64分钟，蒂亚戈禁区前射门偏出
64'鲁拉需要自我否定~                   64'第64分钟，蒂亚戈禁区前射门偏出
64'换下桑切斯就是开始，接下来应该会用小白换下蒂亚戈                   64'第64分钟，蒂亚戈禁区前射门偏出
65'但是巴萨上半场就已经用了一个换人名额                   64'第64分钟，蒂亚戈禁区前射门偏出
65'格兰纳达的体能状况保持得还不错                   64'第64分钟，蒂亚戈禁区前射门偏出
65'阿尔巴~低平球传门前，又是后卫抢先解围                   64'第64分钟，蒂亚戈禁区前射门偏出
65'佩德罗~~立柱！                   64'第64分钟，蒂亚戈禁区前射门偏出
66'立柱挽救了格兰纳达                   64'第64分钟，蒂亚戈禁区前射门偏出
66'佩刀今天这是第一次攻门吧~                   64'第64分钟，蒂亚戈禁区前射门偏出
66'弧顶处的大力施射，球击中了左侧立柱                   64'第64分钟，蒂亚戈禁区前射门偏出
66'托尼奥已经是毫无办法了，但是立柱帮助了主队                   64'第64分钟，蒂亚戈禁区前射门偏出
67'越位？？                   64'第64分钟，蒂亚戈禁区前射门偏出
67'进球无效？？？                   64'第64分钟，蒂亚戈禁区前射门偏出
67'阿尔维斯传中的时候佩刀确实稍稍有些越位了                   64'第64分钟，蒂亚戈禁区前射门偏出
67'这球吹罚没问题                   64'第64分钟，蒂亚戈禁区前射门偏出
67'但是如果真要这么吹，上半场格兰纳达那个进球就不应该存在                   64'第64分钟，蒂亚戈禁区前射门偏出
67'越位？？                   67'第67分钟，阿尔维斯禁区右侧传中，佩德罗破门因越位在先被判无效
67'进球无效？？？                   67'第67分钟，阿尔维斯禁区右侧传中，佩德罗破门因越位在先被判无效
67'阿尔维斯传中的时候佩刀确实稍稍有些越位了                   67'第67分钟，阿尔维斯禁区右侧传中，佩德罗破门因越位在先被判无效
67'这球吹罚没问题                   67'第67分钟，阿尔维斯禁区右侧传中，佩德罗破门因越位在先被判无效
67'但是如果真要这么吹，上半场格兰纳达那个进球就不应该存在                   67'第67分钟，阿尔维斯禁区右侧传中，佩德罗破门因越位在先被判无效
69'游客8508: 桑切斯怎么回事？各种不中？---不是不中，是单刀出来了还没射门就被终结                   67'第67分钟，阿尔维斯禁区右侧传中，佩德罗破门因越位在先被判无效
69'格兰纳达的后卫铲球犯规，踢倒了阿尔巴                   67'第67分钟，阿尔维斯禁区右侧传中，佩德罗破门因越位在先被判无效
69'裁判过来掏出黄牌，2号尼奥姆领到黄牌                   67'第67分钟，阿尔维斯禁区右侧传中，佩德罗破门因越位在先被判无效
70'这个犯规是对着人去的，黄牌毫无疑问                   67'第67分钟，阿尔维斯禁区右侧传中，佩德罗破门因越位在先被判无效
70'格兰纳达的犯规越来越多                   67'第67分钟，阿尔维斯禁区右侧传中，佩德罗破门因越位在先被判无效
70'巴萨快速开出定位球，裁判要巴萨重新罚                   67'第67分钟，阿尔维斯禁区右侧传中，佩德罗破门因越位在先被判无效
73'第301个？梅西！！！                   73'巴萨第73分钟反超比分，梅西25码处任意球直接破门，2-1
73'Gooooooooooooooooal！！！                   73'巴萨第73分钟反超比分，梅西25码处任意球直接破门，2-1
73'圣莱昂内尔.梅西~~~                   73'巴萨第73分钟反超比分，梅西25码处任意球直接破门，2-1
74'久违的定位球直接破门！                   73'巴萨第73分钟反超比分，梅西25码处任意球直接破门，2-1
74'托尼奥已经完全伸展开了身体，飞身扑救也没能救出这次射门~                   73'巴萨第73分钟反超比分，梅西25码处任意球直接破门，2-1
74'梅西的定位球直入死角！太刁钻了                   73'巴萨第73分钟反超比分，梅西25码处任意球直接破门，2-1
75'已经无法用言语来形容现在的梅西                   73'巴萨第73分钟反超比分，梅西25码处任意球直接破门，2-1
75'套用一句经常听到的话，那就是梅西处在食物链的顶端...                   73'巴萨第73分钟反超比分，梅西25码处任意球直接破门，2-1
75'虽然他的外号是小跳蚤...                   73'巴萨第73分钟反超比分，梅西25码处任意球直接破门，2-1
76'梅西被绊倒在地~                   73'巴萨第73分钟反超比分，梅西25码处任意球直接破门，2-1
76'格兰纳达换下了22号托尔热，换上3号布拉希米                   73'巴萨第73分钟反超比分，梅西25码处任意球直接破门，2-1
80'博纳诺特尝试直塞~被马斯切拉诺挡出禁区                   80'第80分钟，西凯拉左路传中，替补出场的埃尔-阿拉比12码处头球攻门被巴尔德斯摘下
80'格兰纳达左边路传中，抢点的头球~~~巴尔德斯把球接住了                   80'第80分钟，西凯拉左路传中，替补出场的埃尔-阿拉比12码处头球攻门被巴尔德斯摘下
80'这次攻门的是下半场换上来的阿拉比                   80'第80分钟，西凯拉左路传中，替补出场的埃尔-阿拉比12码处头球攻门被巴尔德斯摘下
81'马斯切拉诺虽然在位置上，但是身高的差距...头球真不是他强项                   80'第80分钟，西凯拉左路传中，替补出场的埃尔-阿拉比12码处头球攻门被巴尔德斯摘下
82'巴萨努力的控制住节奏                   80'第80分钟，西凯拉左路传中，替补出场的埃尔-阿拉比12码处头球攻门被巴尔德斯摘下
83'场边的球迷在用嘘声向巴萨施压                   80'第80分钟，西凯拉左路传中，替补出场的埃尔-阿拉比12码处头球攻门被巴尔德斯摘下
83'不过一个球领先并不保险啊                   80'第80分钟，西凯拉左路传中，替补出场的埃尔-阿拉比12码处头球攻门被巴尔德斯摘下
83'梅西在边路直传，特略的速度来了~                   80'第80分钟，西凯拉左路传中，替补出场的埃尔-阿拉比12码处头球攻门被巴尔德斯摘下
83'突破到了禁区~传中打在了后卫身上                   80'第80分钟，西凯拉左路传中，替补出场的埃尔-阿拉比12码处头球攻门被巴尔德斯摘下
88'洛佩斯~力压阿尔维斯的头球攻门，巴尔德斯站位不错把球接住了                   88'第88分钟，恩约姆右路传中，伊尼戈-洛佩斯远点小禁区边缘头球攻门被巴尔德斯没收
88'阿尔维斯在这场头球争抢中貌似有些受伤                   88'第88分钟，恩约姆右路传中，伊尼戈-洛佩斯远点小禁区边缘头球攻门被巴尔德斯没收
89'一瘸一拐的走到场边，应该问题不大吧                   88'第88分钟，恩约姆右路传中，伊尼戈-洛佩斯远点小禁区边缘头球攻门被巴尔德斯没收
90'比赛马上就要进入伤停补时                   88'第88分钟，恩约姆右路传中，伊尼戈-洛佩斯远点小禁区边缘头球攻门被巴尔德斯没收
90'格兰纳达的攻势越来越盛                   88'第88分钟，恩约姆右路传中，伊尼戈-洛佩斯远点小禁区边缘头球攻门被巴尔德斯没收
90'阿尔巴解围出了对方的传中~                   88'第88分钟，恩约姆右路传中，伊尼戈-洛佩斯远点小禁区边缘头球攻门被巴尔德斯没收
90'除了梅西，巴萨全队都在参与防守                   88'第88分钟，恩约姆右路传中，伊尼戈-洛佩斯远点小禁区边缘头球攻门被巴尔德斯没收
91'博纳诺特给左路~传中球又一次被皮克挡了出去                   88'第88分钟，恩约姆右路传中，伊尼戈-洛佩斯远点小禁区边缘头球攻门被巴尔德斯没收
91'有反击的机会，马斯切拉诺传球给梅西~角度没控制好出了边线                   88'第88分钟，恩约姆右路传中，伊尼戈-洛佩斯远点小禁区边缘头球攻门被巴尔德斯没收
91'下半场还要补时4分钟...                   88'第88分钟，恩约姆右路传中，伊尼戈-洛佩斯远点小禁区边缘头球攻门被巴尔德斯没收
91'单刀机会了~~~                   88'第88分钟，恩约姆右路传中，伊尼戈-洛佩斯远点小禁区边缘头球攻门被巴尔德斯没收
46'居然直接把球传给了阿郎达                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
46'还好皮克和马斯切拉诺并没有失去位置                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
46'阿郎达的射门也打得太正                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
46'下半场继续                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
46'阿郎达在中场拼抢中倒地                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
46'皮克把球踢出了界外                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
46'慢动作来看阿郎达表演的成分太重了                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
47'布斯克茨并没有任何动作                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
47'而且裁判也没有中断比赛，过了一会他自己爬起来了                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
48'梅西传球被断~蒂亚戈反抢回来                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
48'梅西想给佩德罗，又一次被后卫抢断                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
49'巴萨后防线又一次犯规，送给对方一个定位球机会                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
49'布斯克茨倒地解围出了对方的传中球                   46'1分钟后，阿尔维斯传球，梅西12码处射门被托尼奥扑出
