2'切沃球员哈特马吉拼抢犯规,对手获得控球权.                   2'开场2分钟，博扬右路低传，帕齐尼前点小角度推射偏出
68'AC米兰球员安布罗西尼拼抢犯规,对手获得控球权.                   65'第65分钟，沙拉维左路低传，博扬顺势做给帕齐尼，帕齐尼禁区边缘抽射左脚偏出左门柱
69'切沃球员N-弗雷大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是哈特马吉.                   69'第69分钟，海特马伊直传，尼古拉-弗雷禁区左侧小角度抽射偏出近门柱
69'切沃球员哈特马吉拼抢犯规,对手获得控球权.                   69'第69分钟，海特马伊直传，尼古拉-弗雷禁区左侧小角度抽射偏出近门柱
69'沙拉维为AC米兰赢得一个任意球.                   69'第69分钟，海特马伊直传，尼古拉-弗雷禁区左侧小角度抽射偏出近门柱
70'AC米兰球员沙拉维大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.                   69'第69分钟，海特马伊直传，尼古拉-弗雷禁区左侧小角度抽射偏出近门柱
71'切沃换人,迪米凯莱换下佩利西耶                   69'第69分钟，海特马伊直传，尼古拉-弗雷禁区左侧小角度抽射偏出近门柱
72'AC米兰球员帕齐尼小禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是博阿滕.                   69'第69分钟，海特马伊直传，尼古拉-弗雷禁区左侧小角度抽射偏出近门柱
72'AC米兰球员帕齐尼小禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是博阿滕.                   72'第72分钟，博阿滕右路下底传中，帕齐尼前点距门5米处凌空抽射偏出近门柱
73'AC米兰球员博扬一脚直塞球给帕齐尼,但是边裁举旗显示后者已经越位.                   72'第72分钟，博阿滕右路下底传中，帕齐尼前点距门5米处凌空抽射偏出近门柱
75'进球啦！！！AC米兰球员沙拉维球门线跟前左脚射门,球从左下角飞进球门,球进了!助攻的是阿巴特. AC米兰 4-1 切沃.                   72'第72分钟，博阿滕右路下底传中，帕齐尼前点距门5米处凌空抽射偏出近门柱
82'AC米兰球员博阿滕大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是沙拉维.                   82'第82分钟，沙拉维中场准确斜长传，博阿滕禁区右侧直接凌空抽射高出
89'射门!!!AC米兰球员博扬大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是帕齐尼.                   89'第89分钟，康斯坦特左路传中，帕齐尼背身做球，博扬在门前10米处推射被索伦蒂诺封出
90'+1'切沃球员哈特马吉拼抢犯规,对手获得控球权.                   89'第89分钟，康斯坦特左路传中，帕齐尼背身做球，博扬在门前10米处推射被索伦蒂诺封出
90'+1'德容为AC米兰在左路,赢得一个任意球.                   89'第89分钟，康斯坦特左路传中，帕齐尼背身做球，博扬在门前10米处推射被索伦蒂诺封出
90'+3'进球啦！！！AC米兰球员帕齐尼球门线跟前右脚射门,球从中路偏上飞进球门,球进了!助攻的是沙拉维. AC米兰 5-1 切沃.                   89'第89分钟，康斯坦特左路传中，帕齐尼背身做球，博扬在门前10米处推射被索伦蒂诺封出
90'+3'下半场结束,AC米兰 5-1 切沃                   89'第89分钟，康斯坦特左路传中，帕齐尼背身做球，博扬在门前10米处推射被索伦蒂诺封出
