1'上半场比赛开始                   1'切尔西第1分钟展开积极攻势
92'凯帕发门球                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
92'克里斯滕森交给路易斯                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
92'回传给凯帕                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
92'交给路易斯                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
93'交给了科瓦契奇                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
93'回传给路易斯                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
93'不断的倒脚                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
93'传左侧的阿隆索                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
93'回做                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
93'长传上来，传得不好                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
93'坎特分右侧的佩德罗                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
93'交给扎帕科斯塔，传中被破坏出边线                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
93'佩德罗上抢对特斯甘科夫犯规                   90'切尔西第90分钟锁定胜局，佩德罗右路斜传转移，奇克回敲妙传，跟进的奥多伊12码处劲射入网，3-0
