2'莫德里奇中场拿球，回传右路奥德里奥索拉                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
84'塞尔塔的前场进攻，容卡左路直塞给到摩尔                   83'皇马第83分钟拉开差距，容卡禁区内对奥德里奥索拉犯规，拉莫斯主罚勺子点球命中，3-1
84'摩尔内切，遭遇皇马两人夹击                   83'皇马第83分钟拉开差距，容卡禁区内对奥德里奥索拉犯规，拉莫斯主罚勺子点球命中，3-1
84'摔倒在地，裁判就在身边，示意不犯规！！                   83'皇马第83分钟拉开差距，容卡禁区内对奥德里奥索拉犯规，拉莫斯主罚勺子点球命中，3-1
85'皇马右路的反击，莫德里奇分球被容卡挡出边线                   83'皇马第83分钟拉开差距，容卡禁区内对奥德里奥索拉犯规，拉莫斯主罚勺子点球命中，3-1
86'塞尔塔前场进攻，马略右路内切                   83'皇马第83分钟拉开差距，容卡禁区内对奥德里奥索拉犯规，拉莫斯主罚勺子点球命中，3-1
86'斜传到门前，库尔图瓦抢在戈麦斯之前，单拳打出底线                   83'皇马第83分钟拉开差距，容卡禁区内对奥德里奥索拉犯规，拉莫斯主罚勺子点球命中，3-1
86'塞尔塔的左侧角球，没能形成威胁！                   83'皇马第83分钟拉开差距，容卡禁区内对奥德里奥索拉犯规，拉莫斯主罚勺子点球命中，3-1
91'塞巴略斯前场拿球强突，杀到了禁区弧顶，面对隆卡利亚的补防，直接一脚抽射，打进球门右上角！！                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
91'下半场比赛补时4分钟！！                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
91'克罗斯中场抢断，分球莫德里奇                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
91'直塞给到本泽马，再分右路给阿森西奥                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
92'阿森西奥内切斜传禁区，第一点被解围                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
92'塞巴略斯中线位置拿球，回传桑切斯                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
92'再给拉莫斯，分球巴斯克斯                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
92'斜传找莫德里奇，被断啦！！                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
93'塞尔塔的反击，阿斯帕斯右路内切                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
93'变向遭遇围堵，回传门德斯                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
93'球进了，2-4！！                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
93'门德斯的进球！                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
94'阿斯帕斯前场右路拿球，内切禁区遭遇三人围堵，变向横趟，回传门德斯，迎球低射打进球门左下角！                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
94'皇马中圈开球，裁判鸣哨！！                   91'第91分钟，拉莫斯传球，塞瓦略斯突破至禁区弧顶射入右上角，4-1
