4'富力卢琳左路前场直接一脚远射吊门，球中门柱弹出，惊出阿尔滨门将张翀一身冷汗。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
26'罗申巴克包办阿尔滨所以定位球。                   25'第25分钟，罗申巴克开出前场左侧战术角球，在传中瞬间富力防守球员头球将皮球解围出禁区
26'罗申巴克发出前场任意球，程月磊得球，快速手抛球发动快速反击。                   25'第25分钟，罗申巴克开出前场左侧战术角球，在传中瞬间富力防守球员头球将皮球解围出禁区
26'吕鹏防守犯规，富力后场任意球。                   25'第25分钟，罗申巴克开出前场左侧战术角球，在传中瞬间富力防守球员头球将皮球解围出禁区
27'富力任意球发出，雅库布争顶头球，外围富力控球进攻                   25'第25分钟，罗申巴克开出前场左侧战术角球，在传中瞬间富力防守球员头球将皮球解围出禁区
28'吕鹏防守犯规，戴维倒地，富力获得正对球门的任意球。                   25'第25分钟，罗申巴克开出前场左侧战术角球，在传中瞬间富力防守球员头球将皮球解围出禁区
28'博思钠准备发出任意球，博思钠据说脚头很硬。                   25'第25分钟，罗申巴克开出前场左侧战术角球，在传中瞬间富力防守球员头球将皮球解围出禁区
32'于大宝倒地。                   32'第32分钟，罗申巴克主罚前场任意球，禁区内抢点的两名阿尔滨球员撞到了一起，程月磊跃起将球摘下
32'罗申巴克罚出任意球，吊球到禁区内，赵和靖头球射门，程月磊将球没收，头球没有力量。                   32'第32分钟，罗申巴克主罚前场任意球，禁区内抢点的两名阿尔滨球员撞到了一起，程月磊跃起将球摘下
33'罗申巴克中路断球，分球凯塔失误。                   32'第32分钟，罗申巴克主罚前场任意球，禁区内抢点的两名阿尔滨球员撞到了一起，程月磊跃起将球摘下
33'罗申巴克前场控球，分球于大宝，于大宝做球禁区凯塔，可惜凯塔越位在先。                   32'第32分钟，罗申巴克主罚前场任意球，禁区内抢点的两名阿尔滨球员撞到了一起，程月磊跃起将球摘下
34'于汉超左路控球，分球跟进的陈雷，对方后卫将球断下。                   32'第32分钟，罗申巴克主罚前场任意球，禁区内抢点的两名阿尔滨球员撞到了一起，程月磊跃起将球摘下
34'富力中路进攻，吕鹏贴身防守，将对手绊倒，被裁判出示黄牌。                   32'第32分钟，罗申巴克主罚前场任意球，禁区内抢点的两名阿尔滨球员撞到了一起，程月磊跃起将球摘下
35'富力博思钠再获罚任意球机会，这场距离更远。                   32'第32分钟，罗申巴克主罚前场任意球，禁区内抢点的两名阿尔滨球员撞到了一起，程月磊跃起将球摘下
35'博思钠交通的确很硬啊。                   32'第32分钟，罗申巴克主罚前场任意球，禁区内抢点的两名阿尔滨球员撞到了一起，程月磊跃起将球摘下
47'富力左路进攻，雅库布左路突破，阿尔滨防守风生水起啊，穆伦将球解围出底线，角球。                   47'2分钟后，达维干扰罗申巴克开出任意球，被主裁判出示黄牌
47'卢琳发出角球，张翀将球打出禁区，阿尔滨快速反击。                   47'2分钟后，达维干扰罗申巴克开出任意球，被主裁判出示黄牌
48'于汉超左路进攻，速度很快，传球右路巴哈，巴哈速度稍慢。                   47'2分钟后，达维干扰罗申巴克开出任意球，被主裁判出示黄牌
48'巴哈速度有些慢了，对方后卫都回撤回来，巴哈底线传球被程月磊将球挡出，阿尔滨进攻队员禁区内犯规，广州富力后场任意球。                   47'2分钟后，达维干扰罗申巴克开出任意球，被主裁判出示黄牌
49'广州富力右路进攻，穆伦将达维和球一起铲出边线，富力获得前场右路任意球。                   47'2分钟后，达维干扰罗申巴克开出任意球，被主裁判出示黄牌
49'卢琳发出前场右路任意球，张翀出击将球没收。                   47'2分钟后，达维干扰罗申巴克开出任意球，被主裁判出示黄牌
50'阿尔滨右路进攻，罗申巴克控球，将球转移到左路。                   47'2分钟后，达维干扰罗申巴克开出任意球，被主裁判出示黄牌
46'罗申巴克大脚传球禁区，球传的稍大，巴哈没有控制皮球，球直接飞出底线。                   46'经过1分钟的伤停补时，两队的上半场告一段落
46'富力中路进攻，雅库布右路传球被断。                   46'经过1分钟的伤停补时，两队的上半场告一段落
46'下半场双方易边再战，广州富力首先开球。                   46'经过1分钟的伤停补时，两队的上半场告一段落
46'下半场开场，双方都没有做人员调整。                   46'经过1分钟的伤停补时，两队的上半场告一段落
47'富力左路进攻，雅库布左路突破，阿尔滨防守风生水起啊，穆伦将球解围出底线，角球。                   46'经过1分钟的伤停补时，两队的上半场告一段落
47'卢琳发出角球，张翀将球打出禁区，阿尔滨快速反击。                   46'经过1分钟的伤停补时，两队的上半场告一段落
48'于汉超左路进攻，速度很快，传球右路巴哈，巴哈速度稍慢。                   46'经过1分钟的伤停补时，两队的上半场告一段落
48'巴哈速度有些慢了，对方后卫都回撤回来，巴哈底线传球被程月磊将球挡出，阿尔滨进攻队员禁区内犯规，广州富力后场任意球。                   46'经过1分钟的伤停补时，两队的上半场告一段落
49'广州富力右路进攻，穆伦将达维和球一起铲出边线，富力获得前场右路任意球。                   46'经过1分钟的伤停补时，两队的上半场告一段落
49'卢琳发出前场右路任意球，张翀出击将球没收。                   46'经过1分钟的伤停补时，两队的上半场告一段落
47'富力左路进攻，雅库布左路突破，阿尔滨防守风生水起啊，穆伦将球解围出底线，角球。                   47'第47分钟，张出击单拳击出了卢琳开出的角球
47'卢琳发出角球，张翀将球打出禁区，阿尔滨快速反击。                   47'第47分钟，张出击单拳击出了卢琳开出的角球
48'于汉超左路进攻，速度很快，传球右路巴哈，巴哈速度稍慢。                   47'第47分钟，张出击单拳击出了卢琳开出的角球
48'巴哈速度有些慢了，对方后卫都回撤回来，巴哈底线传球被程月磊将球挡出，阿尔滨进攻队员禁区内犯规，广州富力后场任意球。                   47'第47分钟，张出击单拳击出了卢琳开出的角球
49'广州富力右路进攻，穆伦将达维和球一起铲出边线，富力获得前场右路任意球。                   47'第47分钟，张出击单拳击出了卢琳开出的角球
49'卢琳发出前场右路任意球，张翀出击将球没收。                   47'第47分钟，张出击单拳击出了卢琳开出的角球
50'阿尔滨右路进攻，罗申巴克控球，将球转移到左路。                   47'第47分钟，张出击单拳击出了卢琳开出的角球
50'阿尔滨右路进攻，罗申巴克控球，将球转移到左路。                   50'第50分钟，张远在封堵陈雷边路传中时手球犯规
51'于汉超理由速度优势甩开对手分球陈雷，陈雷起球，对方唐淼手球犯规。                   50'第50分钟，张远在封堵陈雷边路传中时手球犯规
52'罗申巴克发出左路任意球，罗申巴克要自己射门，球挂后角，直接飞出底线。                   50'第50分钟，张远在封堵陈雷边路传中时手球犯规
52'阿尔滨前场右路界外球。                   50'第50分钟，张远在封堵陈雷边路传中时手球犯规
52'赵和靖掷球违例，广州富力重新发出边线球。                   50'第50分钟，张远在封堵陈雷边路传中时手球犯规
53'李文博掷出解围球，阿尔滨断球反击。                   50'第50分钟，张远在封堵陈雷边路传中时手球犯规
53'于大宝被对手侵犯，阿尔滨前场任意球。                   50'第50分钟，张远在封堵陈雷边路传中时手球犯规
49'广州富力右路进攻，穆伦将达维和球一起铲出边线，富力获得前场右路任意球。                   49'4分钟后，罗申巴克的任意球在门前被多人漏过，后点包抄的赵和靖没有想到富力防守球员会出现失误，空门机会从阿尔滨眼前溜走
49'卢琳发出前场右路任意球，张翀出击将球没收。                   49'4分钟后，罗申巴克的任意球在门前被多人漏过，后点包抄的赵和靖没有想到富力防守球员会出现失误，空门机会从阿尔滨眼前溜走
50'阿尔滨右路进攻，罗申巴克控球，将球转移到左路。                   49'4分钟后，罗申巴克的任意球在门前被多人漏过，后点包抄的赵和靖没有想到富力防守球员会出现失误，空门机会从阿尔滨眼前溜走
51'于汉超理由速度优势甩开对手分球陈雷，陈雷起球，对方唐淼手球犯规。                   49'4分钟后，罗申巴克的任意球在门前被多人漏过，后点包抄的赵和靖没有想到富力防守球员会出现失误，空门机会从阿尔滨眼前溜走
52'罗申巴克发出左路任意球，罗申巴克要自己射门，球挂后角，直接飞出底线。                   49'4分钟后，罗申巴克的任意球在门前被多人漏过，后点包抄的赵和靖没有想到富力防守球员会出现失误，空门机会从阿尔滨眼前溜走
52'阿尔滨前场右路界外球。                   49'4分钟后，罗申巴克的任意球在门前被多人漏过，后点包抄的赵和靖没有想到富力防守球员会出现失误，空门机会从阿尔滨眼前溜走
52'赵和靖掷球违例，广州富力重新发出边线球。                   49'4分钟后，罗申巴克的任意球在门前被多人漏过，后点包抄的赵和靖没有想到富力防守球员会出现失误，空门机会从阿尔滨眼前溜走
57'阿尔滨快速反击，巴哈佐罗传球禁区，于大宝快速跟进，可惜传球稍大，对方门将程月磊将球没收。                   57'第57分钟，巴哈大禁区线处的远射造成程月磊脱手，快速插上的于大宝并没有抢在程月磊做出第二次扑救前碰到来球
57'吕鹏中路传球左路，对方张耀坤将球大脚解围出边线。                   57'第57分钟，巴哈大禁区线处的远射造成程月磊脱手，快速插上的于大宝并没有抢在程月磊做出第二次扑救前碰到来球
58'吕鹏侵犯达维，吕鹏今天是重点照顾达维。                   57'第57分钟，巴哈大禁区线处的远射造成程月磊脱手，快速插上的于大宝并没有抢在程月磊做出第二次扑救前碰到来球
59'于大宝横传中路，罗申巴克一脚远射，球击中对方后卫身上边线飞向球门，可惜球稍偏。                   57'第57分钟，巴哈大禁区线处的远射造成程月磊脱手，快速插上的于大宝并没有抢在程月磊做出第二次扑救前碰到来球
59'阿尔滨角球。                   57'第57分钟，巴哈大禁区线处的远射造成程月磊脱手，快速插上的于大宝并没有抢在程月磊做出第二次扑救前碰到来球
59'罗申巴克发出角球，没有形成射门。                   57'第57分钟，巴哈大禁区线处的远射造成程月磊脱手，快速插上的于大宝并没有抢在程月磊做出第二次扑救前碰到来球
59'进球了！                   57'第57分钟，巴哈大禁区线处的远射造成程月磊脱手，快速插上的于大宝并没有抢在程月磊做出第二次扑救前碰到来球
60'于大宝补射进球！                   57'第57分钟，巴哈大禁区线处的远射造成程月磊脱手，快速插上的于大宝并没有抢在程月磊做出第二次扑救前碰到来球
60'罗申巴克中路传球禁区，助攻的穆伦挑射被对方门将挡出，跟进的于大宝直接打门，球进！！                   57'第57分钟，巴哈大禁区线处的远射造成程月磊脱手，快速插上的于大宝并没有抢在程月磊做出第二次扑救前碰到来球
59'于大宝横传中路，罗申巴克一脚远射，球击中对方后卫身上边线飞向球门，可惜球稍偏。                   59'阿尔滨在第59分钟取得进球
59'阿尔滨角球。                   59'阿尔滨在第59分钟取得进球
59'罗申巴克发出角球，没有形成射门。                   59'阿尔滨在第59分钟取得进球
59'进球了！                   59'阿尔滨在第59分钟取得进球
60'于大宝补射进球！                   59'阿尔滨在第59分钟取得进球
60'罗申巴克中路传球禁区，助攻的穆伦挑射被对方门将挡出，跟进的于大宝直接打门，球进！！                   59'阿尔滨在第59分钟取得进球
61'穆伦防守许博犯规，富力获得前场任意球。                   59'阿尔滨在第59分钟取得进球
62'卢琳发出任意球，阿尔滨门将张翀直接将球没收。                   59'阿尔滨在第59分钟取得进球
62'凯塔背后犯规，达维受伤倒地。                   59'阿尔滨在第59分钟取得进球
62'富力快速发出任意球。                   59'阿尔滨在第59分钟取得进球
48'于汉超左路进攻，速度很快，传球右路巴哈，巴哈速度稍慢。                   48'就在阿尔滨取得进球仅仅3分钟后，富力便扳平比分
48'巴哈速度有些慢了，对方后卫都回撤回来，巴哈底线传球被程月磊将球挡出，阿尔滨进攻队员禁区内犯规，广州富力后场任意球。                   48'就在阿尔滨取得进球仅仅3分钟后，富力便扳平比分
49'广州富力右路进攻，穆伦将达维和球一起铲出边线，富力获得前场右路任意球。                   48'就在阿尔滨取得进球仅仅3分钟后，富力便扳平比分
49'卢琳发出前场右路任意球，张翀出击将球没收。                   48'就在阿尔滨取得进球仅仅3分钟后，富力便扳平比分
50'阿尔滨右路进攻，罗申巴克控球，将球转移到左路。                   48'就在阿尔滨取得进球仅仅3分钟后，富力便扳平比分
51'于汉超理由速度优势甩开对手分球陈雷，陈雷起球，对方唐淼手球犯规。                   48'就在阿尔滨取得进球仅仅3分钟后，富力便扳平比分
71'罗申巴克发出任意球，禁区内没有队员顶到皮球。                   71'广州富力在第71分钟完成比分逆转
71'富力快速反击。                   71'广州富力在第71分钟完成比分逆转
71'阿尔滨球员快速回撤防守。                   71'广州富力在第71分钟完成比分逆转
71'进球了！                   71'广州富力在第71分钟完成比分逆转
71'广州富力反超比分了！！                   71'广州富力在第71分钟完成比分逆转
72'富力快速反击，左路卢琳得球，直接起脚射门，球中回防阿尔滨球员身上变线，直飞大门，进球！！                   71'广州富力在第71分钟完成比分逆转
73'富力现在士气相当高涨。                   71'广州富力在第71分钟完成比分逆转
73'富力防守于汉超犯规，阿尔滨前场任意球。                   71'广州富力在第71分钟完成比分逆转
74'罗申巴克发出前场任意球，凯塔背身头球射门，球高出横梁。                   71'广州富力在第71分钟完成比分逆转
74'吕鹏中路断球，阿尔滨快速反击。                   71'广州富力在第71分钟完成比分逆转
49'广州富力右路进攻，穆伦将达维和球一起铲出边线，富力获得前场右路任意球。                   49'4分钟后，阿尔滨反击中接队友斜传球被富力防守球员在禁区内拉倒，裁判果断吹罚点球，于大宝亲自操刀主罚一蹴而就，将两队又拉回到同一起跑线
49'卢琳发出前场右路任意球，张翀出击将球没收。                   49'4分钟后，阿尔滨反击中接队友斜传球被富力防守球员在禁区内拉倒，裁判果断吹罚点球，于大宝亲自操刀主罚一蹴而就，将两队又拉回到同一起跑线
50'阿尔滨右路进攻，罗申巴克控球，将球转移到左路。                   49'4分钟后，阿尔滨反击中接队友斜传球被富力防守球员在禁区内拉倒，裁判果断吹罚点球，于大宝亲自操刀主罚一蹴而就，将两队又拉回到同一起跑线
51'于汉超理由速度优势甩开对手分球陈雷，陈雷起球，对方唐淼手球犯规。                   49'4分钟后，阿尔滨反击中接队友斜传球被富力防守球员在禁区内拉倒，裁判果断吹罚点球，于大宝亲自操刀主罚一蹴而就，将两队又拉回到同一起跑线
52'罗申巴克发出左路任意球，罗申巴克要自己射门，球挂后角，直接飞出底线。                   49'4分钟后，阿尔滨反击中接队友斜传球被富力防守球员在禁区内拉倒，裁判果断吹罚点球，于大宝亲自操刀主罚一蹴而就，将两队又拉回到同一起跑线
52'阿尔滨前场右路界外球。                   49'4分钟后，阿尔滨反击中接队友斜传球被富力防守球员在禁区内拉倒，裁判果断吹罚点球，于大宝亲自操刀主罚一蹴而就，将两队又拉回到同一起跑线
52'赵和靖掷球违例，广州富力重新发出边线球。                   49'4分钟后，阿尔滨反击中接队友斜传球被富力防守球员在禁区内拉倒，裁判果断吹罚点球，于大宝亲自操刀主罚一蹴而就，将两队又拉回到同一起跑线
78'29号孙铂上场，换下15号巴哈。                   78'第78分钟，许博背后铲倒罗申巴克染黄
78'这样凯塔应该顶到前面，担任前锋。                   78'第78分钟，许博背后铲倒罗申巴克染黄
79'下半场双方你来我往的进球，和上半场的比赛沉闷，形成了比较鲜明的对比啊。                   78'第78分钟，许博背后铲倒罗申巴克染黄
80'不过下半场双方虽然进球不少，不过说实话双方防守都不好的原因。                   78'第78分钟，许博背后铲倒罗申巴克染黄
80'张远右路进攻越位。                   78'第78分钟，许博背后铲倒罗申巴克染黄
81'广州富力后场任意球，快发任意球，雅库布越位了。                   78'第78分钟，许博背后铲倒罗申巴克染黄
83'这边张翀也是大脚找前场的凯塔，两队现在都忽略中场了。                   83'阿尔滨在第83分钟用周通换下于汉超
83'阿尔滨换人 12周通上场，换下44号于汉超。                   83'阿尔滨在第83分钟用周通换下于汉超
84'富力也作调整了，23号卢琳下场，11号拉斐尔上场。                   83'阿尔滨在第83分钟用周通换下于汉超
84'富力后卫失误了，面对孙铂脚软了，孙铂轻松晃过后卫，直面门将，可惜球带大了，好机会。                   83'阿尔滨在第83分钟用周通换下于汉超
85'现在阿尔滨用完了3个换人名额，富力只作了一次调整。                   83'阿尔滨在第83分钟用周通换下于汉超
85'10号陈涛防守10号达维犯规，富力任意球。                   83'阿尔滨在第83分钟用周通换下于汉超
86'张翀出击将球没收，大脚前传。                   83'阿尔滨在第83分钟用周通换下于汉超
86'阿尔滨中路快速进攻，孙铂中路得球，分球于大宝，于大宝被张耀坤拉倒，裁判出示黄牌，阿尔滨获得前场任意球。                   83'阿尔滨在第83分钟用周通换下于汉超
46'罗申巴克大脚传球禁区，球传的稍大，巴哈没有控制皮球，球直接飞出底线。                   46'1分钟后阿尔滨错失良机，孙铂右路连续甩开多名富力防守球员，但在最后一传时出现失误，球直接滚出底线
46'富力中路进攻，雅库布右路传球被断。                   46'1分钟后阿尔滨错失良机，孙铂右路连续甩开多名富力防守球员，但在最后一传时出现失误，球直接滚出底线
46'下半场双方易边再战，广州富力首先开球。                   46'1分钟后阿尔滨错失良机，孙铂右路连续甩开多名富力防守球员，但在最后一传时出现失误，球直接滚出底线
46'下半场开场，双方都没有做人员调整。                   46'1分钟后阿尔滨错失良机，孙铂右路连续甩开多名富力防守球员，但在最后一传时出现失误，球直接滚出底线
47'富力左路进攻，雅库布左路突破，阿尔滨防守风生水起啊，穆伦将球解围出底线，角球。                   46'1分钟后阿尔滨错失良机，孙铂右路连续甩开多名富力防守球员，但在最后一传时出现失误，球直接滚出底线
47'卢琳发出角球，张翀将球打出禁区，阿尔滨快速反击。                   46'1分钟后阿尔滨错失良机，孙铂右路连续甩开多名富力防守球员，但在最后一传时出现失误，球直接滚出底线
48'于汉超左路进攻，速度很快，传球右路巴哈，巴哈速度稍慢。                   46'1分钟后阿尔滨错失良机，孙铂右路连续甩开多名富力防守球员，但在最后一传时出现失误，球直接滚出底线
48'巴哈速度有些慢了，对方后卫都回撤回来，巴哈底线传球被程月磊将球挡出，阿尔滨进攻队员禁区内犯规，广州富力后场任意球。                   46'1分钟后阿尔滨错失良机，孙铂右路连续甩开多名富力防守球员，但在最后一传时出现失误，球直接滚出底线
49'广州富力右路进攻，穆伦将达维和球一起铲出边线，富力获得前场右路任意球。                   46'1分钟后阿尔滨错失良机，孙铂右路连续甩开多名富力防守球员，但在最后一传时出现失误，球直接滚出底线
49'卢琳发出前场右路任意球，张翀出击将球没收。                   46'1分钟后阿尔滨错失良机，孙铂右路连续甩开多名富力防守球员，但在最后一传时出现失误，球直接滚出底线
48'于汉超左路进攻，速度很快，传球右路巴哈，巴哈速度稍慢。                   48'经过3分钟的伤停补时，全场比赛结束
48'巴哈速度有些慢了，对方后卫都回撤回来，巴哈底线传球被程月磊将球挡出，阿尔滨进攻队员禁区内犯规，广州富力后场任意球。                   48'经过3分钟的伤停补时，全场比赛结束
49'广州富力右路进攻，穆伦将达维和球一起铲出边线，富力获得前场右路任意球。                   48'经过3分钟的伤停补时，全场比赛结束
49'卢琳发出前场右路任意球，张翀出击将球没收。                   48'经过3分钟的伤停补时，全场比赛结束
50'阿尔滨右路进攻，罗申巴克控球，将球转移到左路。                   48'经过3分钟的伤停补时，全场比赛结束
51'于汉超理由速度优势甩开对手分球陈雷，陈雷起球，对方唐淼手球犯规。                   48'经过3分钟的伤停补时，全场比赛结束
