11'Mourinho: 范雄薪呢---据说是复出了，但是谁知道呢                   11'第11分钟，索尔达多头球摆渡，列农禁区弧边缘低射被德赫亚轻松没收
32'有了~~~~~~Goooooooooooal~~~                   31'第31分钟，索尔达多直传，列农小禁区边缘左脚劲射被德赫亚用腿挡出，列农再横传门前，索尔达多未能及时抢点
32'沃克一射一传~~~~不过这个传！太乌龙了                   31'第31分钟，索尔达多直传，列农小禁区边缘左脚劲射被德赫亚用腿挡出，列农再横传门前，索尔达多未能及时抢点
33'斯莫林右边路的传中~沃克鬼使神差之下右脚将球垫给了门前的鲁尼~~~传得太舒服了，小胖不进简直对不起沃克                   31'第31分钟，索尔达多直传，列农小禁区边缘左脚劲射被德赫亚用腿挡出，列农再横传门前，索尔达多未能及时抢点
34'2011不知所措20:35  这个宝利尼奥何许人也，感觉小伙不错啊 ---巴西人~光听名字就觉得很厉害有木有？                   31'第31分钟，索尔达多直传，列农小禁区边缘左脚劲射被德赫亚用腿挡出，列农再横传门前，索尔达多未能及时抢点
54'元芳: 柠檬，范大将军原来的枪王现在红魔的大魔王，重要点呀---反正都是王是吧...                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
54'桑德罗~禁区外远射~~~                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
54'what~~~~~~                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
54'又有了~~~~                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
54'Gooooooooal~~~~                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
55'桑德罗左扣又躲，盘过了防守他的克莱维利~~~禁区外的远射！绝对的死角~~~~~                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
55'曼联到了禁区~                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
56'这个时候要拼命了                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
56'什么情况~~~点球？                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
56'洛里斯~~~又送大礼了                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
56'洛里斯还领到了一张黄牌                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
57'鲁小胖的直塞~~~黑贝先出一脚，洛里斯犯错了~~扑倒了维尔贝克                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
57'.鲁尼~~~                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
57'轻松的一触而就~~~两粒进球！                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
57'打了中路~洛里斯判断错了方向                   54'热刺第54分钟再度取得领先，登贝莱传球，桑德罗晃过克莱维利后25码处射入右上角，德赫亚毫无反应，2-1
57'鲁小胖的直塞~~~黑贝先出一脚，洛里斯犯错了~~扑倒了维尔贝克                   57'曼联第57分钟再度扳平，维尔贝克禁区左侧被洛里斯扑倒，热刺门将被罚黄牌，鲁尼主罚点球命中，2-2
57'.鲁尼~~~                   57'曼联第57分钟再度扳平，维尔贝克禁区左侧被洛里斯扑倒，热刺门将被罚黄牌，鲁尼主罚点球命中，2-2
57'轻松的一触而就~~~两粒进球！                   57'曼联第57分钟再度扳平，维尔贝克禁区左侧被洛里斯扑倒，热刺门将被罚黄牌，鲁尼主罚点球命中，2-2
57'打了中路~洛里斯判断错了方向                   57'曼联第57分钟再度扳平，维尔贝克禁区左侧被洛里斯扑倒，热刺门将被罚黄牌，鲁尼主罚点球命中，2-2
58'莫耶斯跟鲁尼的恩怨真是说不清啊                   57'曼联第57分钟再度扳平，维尔贝克禁区左侧被洛里斯扑倒，热刺门将被罚黄牌，鲁尼主罚点球命中，2-2
58'今天小胖成了他的救世主~                   57'曼联第57分钟再度扳平，维尔贝克禁区左侧被洛里斯扑倒，热刺门将被罚黄牌，鲁尼主罚点球命中，2-2
58'至少目前来看是的                   57'曼联第57分钟再度扳平，维尔贝克禁区左侧被洛里斯扑倒，热刺门将被罚黄牌，鲁尼主罚点球命中，2-2
59'保利尼奥为热刺制造了一个边路定位球                   57'曼联第57分钟再度扳平，维尔贝克禁区左侧被洛里斯扑倒，热刺门将被罚黄牌，鲁尼主罚点球命中，2-2
59'沃克~直接打门吗？被后卫头球解围                   57'曼联第57分钟再度扳平，维尔贝克禁区左侧被洛里斯扑倒，热刺门将被罚黄牌，鲁尼主罚点球命中，2-2
59'曼联的反击~~~                   57'曼联第57分钟再度扳平，维尔贝克禁区左侧被洛里斯扑倒，热刺门将被罚黄牌，鲁尼主罚点球命中，2-2
60'边线球~热刺的回防速度也很快                   57'曼联第57分钟再度扳平，维尔贝克禁区左侧被洛里斯扑倒，热刺门将被罚黄牌，鲁尼主罚点球命中，2-2
66'速度很快啊，可惜差了一点角度                   66'第66分钟，沃克尔30码处任意球远射擦右侧立柱偏出
67'迪福也在场边热身了                   66'第66分钟，沃克尔30码处任意球远射擦右侧立柱偏出
67'曼联这边呢？也会换人了吗                   66'第66分钟，沃克尔30码处任意球远射擦右侧立柱偏出
67'热刺获得了一个边线任意球，吊向禁区~被菲尔琼斯顶出边线                   66'第66分钟，沃克尔30码处任意球远射擦右侧立柱偏出
67'元芳: 柠檬，红军红魔从工业革命起就种下了仇恨的种子---您老是要开始说书了吗？                   66'第66分钟，沃克尔30码处任意球远射擦右侧立柱偏出
68'猛吃雪糕201021:25 柠檬，今天热刺和曼联平局再好不过了，都是还是希望热刺绝杀曼联 ---我记得...你是阿森纳球迷~                   66'第66分钟，沃克尔30码处任意球远射擦右侧立柱偏出
69'维尔贝克~~底线抹过了后卫！                   66'第66分钟，沃克尔30码处任意球远射擦右侧立柱偏出
69'这球居然能过去~可惜门前没有队友包抄                   66'第66分钟，沃克尔30码处任意球远射擦右侧立柱偏出
69'好大一个空门~~鲁小胖没有能够及时包抄到位                   66'第66分钟，沃克尔30码处任意球远射擦右侧立柱偏出
79'沃克传中到了门前~唐森差了一点够到皮球                   79'第79分钟，沃克尔右路传中，汤森德小禁区边缘铲射稍稍错过皮球
80'登贝莱前场断球~被放倒了                   79'第79分钟，沃克尔右路传中，汤森德小禁区边缘铲射稍稍错过皮球
80'菲尔琼斯领到了一张黄牌                   79'第79分钟，沃克尔右路传中，汤森德小禁区边缘铲射稍稍错过皮球
80'热刺今天定位球真多啊                   79'第79分钟，沃克尔右路传中，汤森德小禁区边缘铲射稍稍错过皮球
81'定位球打门又被人墙挡出~                   79'第79分钟，沃克尔右路传中，汤森德小禁区边缘铲射稍稍错过皮球
82'下半场时间不多了~                   79'第79分钟，沃克尔右路传中，汤森德小禁区边缘铲射稍稍错过皮球
82'一个平局相信都不能让两位教练满意                   79'第79分钟，沃克尔右路传中，汤森德小禁区边缘铲射稍稍错过皮球
82'热刺获得了一个角球                   79'第79分钟，沃克尔右路传中，汤森德小禁区边缘铲射稍稍错过皮球
