1'上半场比赛开始！                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
8'拉蒙投诉李磊有手球，裁判这边示意：没有                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
9'国安队禁区外围吊射一脚                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
9'顾超将球托出横梁                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
9'国安队角球机会                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
9'巴塔拉角球送禁区前点                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
9'1-0！！！                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
9'河大成！！                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
9'巴塔拉角球送前点，河大成插上后冲顶将球顶进！                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
10'河大成的这个进球是加入到国安队的首粒进球吗？1是、2不是[qiangda]                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
10'绿城右路下底到禁区内                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
10'冯刚已经包抄到位                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
10'但第一点还是先被国安队拿到                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
9'国安队禁区外围吊射一脚                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
9'顾超将球托出横梁                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
9'国安队角球机会                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
9'巴塔拉角球送禁区前点                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
9'1-0！！！                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
9'河大成！！                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
9'巴塔拉角球送前点，河大成插上后冲顶将球顶进！                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
10'河大成的这个进球是加入到国安队的首粒进球吗？1是、2不是[qiangda]                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
10'绿城右路下底到禁区内                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
10'冯刚已经包抄到位                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
10'但第一点还是先被国安队拿到                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
11'周挺边路拿球给到马季奇                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
11'马季奇横向转移的时候失误了                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
12'绿城长传送到底线                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
12'于大宝卡住身位将球让出底线                   9'第9分钟，国安取得入球——陈志钊右路传中形成吊门效果，绿城门将顾超将球托出底线；巴塔拉左侧角球传入，河大成前点飞身头球破门
13'陈志钊这边出现了问题                   13'第13分钟，绿城中路斜传国安禁区，阿甘凌空攻门打高
13'经过队医的治疗已经重新回到了场内                   13'第13分钟，绿城中路斜传国安禁区，阿甘凌空攻门打高
14'绿城长传送到禁区内                   13'第13分钟，绿城中路斜传国安禁区，阿甘凌空攻门打高
14'拉蒙禁区内起左脚打门将球打高                   13'第13分钟，绿城中路斜传国安禁区，阿甘凌空攻门打高
14'马季奇中场拿球给到河大成                   13'第13分钟，绿城中路斜传国安禁区，阿甘凌空攻门打高
15'国安队这边并不着急进攻                   13'第13分钟，绿城中路斜传国安禁区，阿甘凌空攻门打高
15'今天杭州绿城前场的两点也是给国安的后防带来的一定的压力                   13'第13分钟，绿城中路斜传国安禁区，阿甘凌空攻门打高
16'拉蒙前场拿球给到边路                   13'第13分钟，绿城中路斜传国安禁区，阿甘凌空攻门打高
16'队友接球后没有什么机会                   13'第13分钟，绿城中路斜传国安禁区，阿甘凌空攻门打高
16'国安队在中场将球抢断下来                   13'第13分钟，绿城中路斜传国安禁区，阿甘凌空攻门打高
16'赵和靖拿球给到河大成                   13'第13分钟，绿城中路斜传国安禁区，阿甘凌空攻门打高
19'顾超后撤几步将球拿到                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
19'阿甘左路拿球一对一突破禁区内ie                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
19'最后赵和靖的滑铲挡出了阿甘的传球路线                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
20'徐云龙中场拿球给到了右路                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
20'陈志钊右路接球后给了一个低平球                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
20'这球传的不好                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
21'禁区外围，河大成打远射将球打高了                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
21'于大宝左路带球，放慢了速度                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
21'德扬边路拿球跟陈志钊做配合                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
22'禁区前沿陈志钊人球分过                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
22'绿城这边不敢怠慢滑铲将球解围出了底线                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
22'国安队的角球机会                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
22'巴塔拉角球打了一个配合                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
22'周挺禁区外围打远射，打一个近角                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
22'这球也是稍稍打偏                   19'第19分钟，阿甘摆脱周挺后突入禁区左侧，底线前传中时被赵和靖封堵
27'裁判这边有一个暂停                   27'比赛进行27分钟后，裁判中断比赛安排双方球员到场边补充水分
28'双方球员来到场边进行补水                   27'比赛进行27分钟后，裁判中断比赛安排双方球员到场边补充水分
29'比赛恢复进行                   27'比赛进行27分钟后，裁判中断比赛安排双方球员到场边补充水分
29'马季奇中场拿球被侵犯                   27'比赛进行27分钟后，裁判中断比赛安排双方球员到场边补充水分
29'抬脚过高了                   27'比赛进行27分钟后，裁判中断比赛安排双方球员到场边补充水分
29'这球也是差了一点                   27'比赛进行27分钟后，裁判中断比赛安排双方球员到场边补充水分
29'河大成拿球给到了边路                   27'比赛进行27分钟后，裁判中断比赛安排双方球员到场边补充水分
29'范晓冬将球解围了出去                   27'比赛进行27分钟后，裁判中断比赛安排双方球员到场边补充水分
30'赵和靖底线防守阿甘将球破坏                   27'比赛进行27分钟后，裁判中断比赛安排双方球员到场边补充水分
30'绿城这边前场左路的界外球                   27'比赛进行27分钟后，裁判中断比赛安排双方球员到场边补充水分
38'国安队左路做撞墙配合                   37'第37分钟，国安左路配合后巴塔拉在禁区前横向突破，布拉比伸腿触到皮球但也放倒巴塔拉，主裁判向布拉比出示黄牌；马季奇快发任意球被裁判吹回，巴塔拉攻门打高
38'巴塔拉禁区前沿拿球被放倒                   37'第37分钟，国安左路配合后巴塔拉在禁区前横向突破，布拉比伸腿触到皮球但也放倒巴塔拉，主裁判向布拉比出示黄牌；马季奇快发任意球被裁判吹回，巴塔拉攻门打高
38'布拉比得到一张黄牌！                   37'第37分钟，国安左路配合后巴塔拉在禁区前横向突破，布拉比伸腿触到皮球但也放倒巴塔拉，主裁判向布拉比出示黄牌；马季奇快发任意球被裁判吹回，巴塔拉攻门打高
38'马季奇快开任意球被主裁吹了回来                   37'第37分钟，国安左路配合后巴塔拉在禁区前横向突破，布拉比伸腿触到皮球但也放倒巴塔拉，主裁判向布拉比出示黄牌；马季奇快发任意球被裁判吹回，巴塔拉攻门打高
39'巴塔拉任意球直接打门高出了横梁                   37'第37分钟，国安左路配合后巴塔拉在禁区前横向突破，布拉比伸腿触到皮球但也放倒巴塔拉，主裁判向布拉比出示黄牌；马季奇快发任意球被裁判吹回，巴塔拉攻门打高
40'河大成中场拿球给到右路                   37'第37分钟，国安左路配合后巴塔拉在禁区前横向突破，布拉比伸腿触到皮球但也放倒巴塔拉，主裁判向布拉比出示黄牌；马季奇快发任意球被裁判吹回，巴塔拉攻门打高
40'陈志钊拿球到了禁区前沿                   37'第37分钟，国安左路配合后巴塔拉在禁区前横向突破，布拉比伸腿触到皮球但也放倒巴塔拉，主裁判向布拉比出示黄牌；马季奇快发任意球被裁判吹回，巴塔拉攻门打高
40'直接起脚打门了                   37'第37分钟，国安左路配合后巴塔拉在禁区前横向突破，布拉比伸腿触到皮球但也放倒巴塔拉，主裁判向布拉比出示黄牌；马季奇快发任意球被裁判吹回，巴塔拉攻门打高
40'这球稍稍打高了一点                   37'第37分钟，国安左路配合后巴塔拉在禁区前横向突破，布拉比伸腿触到皮球但也放倒巴塔拉，主裁判向布拉比出示黄牌；马季奇快发任意球被裁判吹回，巴塔拉攻门打高
48'德扬做撞墙配合                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
48'底线附近，德扬没有将球控制住                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
48'绿城边路起球送禁区中路                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
48'冯刚飞身冲顶将球顶偏                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
49'这球绿城这边感觉有犯规的动作                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
49'巴塔拉边路拿球被放倒                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
49'裁判吹了一个进攻犯规                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
49'于大宝中场断球下来                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
49'国安队送直线给到了德扬                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
50'陈志钊禁区前沿拿球被断                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
50'徐云龙中场上抢将球破坏                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
50'河大成前场断球下来                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
50'横向的转移又是出现了失误                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
51'2-0！！！                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
51'德扬！！                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
51'周挺右路起球送禁区中路，德扬中路没有起跳直接甩头攻门将球顶进！                   48'绿城在第48分钟形成威胁攻势，拉蒙分球到右路后，陈柏良快速送出传中，冯刚在禁区中路前冲到位，但在赵和靖干扰下头球顶偏
56'德扬这边前场断球了                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
56'国安队禁区内打得很细                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
56'最后陈志钊这边失误了                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
56'国安队挑传送禁区内                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
56'队友点回来                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
57'周挺起左脚抽射被顾超扑了出去！                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
57'这球比较可惜                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
57'国安队角球打了一个战术                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
57'马季奇起球送后点                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
57'于大宝头球直接出了底线                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
57'杭州绿城换人，阿甘下，谢鹏飞上                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
58'安塔尔下，陈中流上！                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
59'邵佳一这边在做准备了                   56'国安在第56分钟打出流畅攻势，河大成右翼将球传入禁区，于大宝底线前回敲，周挺前插攻门被顾超封出底线
60'德扬这边单刀，面对门将，挑射打偏了！！                   60'第60分钟，国安前场抢断后又形成威胁攻势，巴塔拉妙传右路空档，德扬禁区内单刀球面对门将打偏
62'国安队中场控球                   60'第60分钟，国安前场抢断后又形成威胁攻势，巴塔拉妙传右路空档，德扬禁区内单刀球面对门将打偏
62'绿城这边机会也不多                   60'第60分钟，国安前场抢断后又形成威胁攻势，巴塔拉妙传右路空档，德扬禁区内单刀球面对门将打偏
63'于大宝前场拿球给到边路                   60'第60分钟，国安前场抢断后又形成威胁攻势，巴塔拉妙传右路空档，德扬禁区内单刀球面对门将打偏
63'周挺挑传送禁区内                   60'第60分钟，国安前场抢断后又形成威胁攻势，巴塔拉妙传右路空档，德扬禁区内单刀球面对门将打偏
63'马季奇将球端到中路                   60'第60分钟，国安前场抢断后又形成威胁攻势，巴塔拉妙传右路空档，德扬禁区内单刀球面对门将打偏
63'可惜没有人员的接应                   60'第60分钟，国安前场抢断后又形成威胁攻势，巴塔拉妙传右路空档，德扬禁区内单刀球面对门将打偏
67'绿城这边有机会                   67'绿城在第67分钟也形成快攻，拉蒙中路低射被杨智没收
67'拉蒙禁区前沿仓促打门被杨智得到                   67'绿城在第67分钟也形成快攻，拉蒙中路低射被杨智没收
68'于大宝中场拿球被对方肘了一下                   67'绿城在第67分钟也形成快攻，拉蒙中路低射被杨智没收
69'陈志钊边路拿球先回敲                   67'绿城在第67分钟也形成快攻，拉蒙中路低射被杨智没收
69'德扬禁区外围抢射一脚被封堵                   67'绿城在第67分钟也形成快攻，拉蒙中路低射被杨智没收
69'周挺边路上抢犯规                   67'绿城在第67分钟也形成快攻，拉蒙中路低射被杨智没收
70'河大成禁区线上打门被立柱弹出！！                   67'绿城在第67分钟也形成快攻，拉蒙中路低射被杨智没收
74'3-0！！                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
74'德扬！！                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
74'巴塔拉右路拿球送直塞给到陈志钊，陈志钊这边有空挡，边路横传送到禁区中路，德扬这边推空门将球打进！                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
74'这球顾超在中路也是没有碰到                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
76'谢鹏飞前场拿球跟队友做撞墙                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
76'禁区内，打近角也是考验了杨智                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
76'杨智这边将球托出底线                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
76'国安队换人，德扬下，费祖拉乌上！                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
76'角球送禁区内直接被杨智得到                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
76'4-0！！！                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
77'费祖拉乌！！                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
77'杨智后场直接手抛球到中场，巴塔拉拿球给到费祖拉乌，费祖拉乌中场带球后到了禁区弧顶，直接低射破门！！                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
77'顾超的反应有些慢了                   74'第74分钟，国安再度入球——巴塔拉右路摆脱夹击后直传，陈志钊前插传中，中路接应的德扬包抄破门
76'谢鹏飞前场拿球跟队友做撞墙                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
76'禁区内，打近角也是考验了杨智                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
76'杨智这边将球托出底线                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
76'国安队换人，德扬下，费祖拉乌上！                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
76'角球送禁区内直接被杨智得到                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
76'4-0！！！                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
77'费祖拉乌！！                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
77'杨智后场直接手抛球到中场，巴塔拉拿球给到费祖拉乌，费祖拉乌中场带球后到了禁区弧顶，直接低射破门！！                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
77'顾超的反应有些慢了                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
78'绿城这边禁区外围打远射将球打高                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
79'绿城挑传打前场，国安队头球顶了一下                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
79'马季奇中场拿球给到河大成                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
79'河大成大范围转移给到左路                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
