2'江苏苏宁球员谢鹏飞拼抢犯规,对手获得控球权.                   2'第2分钟，洪正好后场中路控球后突然一脚直传到禁区，被辽宁队门将石笑天没收
32'辽宁宏运球员张野一脚直塞球给詹姆斯,但是边裁举旗显示后者已经越位.                   31'第31分钟，麦克拿球半高球给到前场，左路的詹姆斯越位了
41'江苏苏宁球员吴曦大禁区外右脚射门,被防守球员封堵.给他传球的是拉米雷斯.                   40'第40分钟，左路乌贾带球推进发动反击，可惜前插的詹姆斯没能追上，被禁区内的顾超没收
43'辽宁宏运球员Michael Thwaite拼抢犯规,对手获得控球权.                   40'第40分钟，左路乌贾带球推进发动反击，可惜前插的詹姆斯没能追上，被禁区内的顾超没收
43'顾文翔为江苏苏宁在对方半场,赢得一个任意球.                   40'第40分钟，左路乌贾带球推进发动反击，可惜前插的詹姆斯没能追上，被禁区内的顾超没收
52'射门!!!辽宁宏运球员肇俊哲大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是张野.                   49'下半场易边再战，第49分钟，陶源右侧弧线球传中被石笑天没收
52'江苏苏宁球员吉翔大禁区中央尝试右脚射门,可惜皮球偏出球门.给他传球的是谢鹏飞.                   49'下半场易边再战，第49分钟，陶源右侧弧线球传中被石笑天没收
54'辽宁宏运换人,胡延强换下肇俊哲                   54'第54分钟，辽足队魂肇俊哲在全场球迷经久不息的掌声中被替换下场，走完了其19年的漫漫职业生涯路
55'Hong Jeong-ho将球处理出底线,辽宁宏运获得角球.                   54'第54分钟，辽足队魂肇俊哲在全场球迷经久不息的掌声中被替换下场，走完了其19年的漫漫职业生涯路
56'辽宁宏运球员阿萨尼大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是郑涛.                   54'第54分钟，辽足队魂肇俊哲在全场球迷经久不息的掌声中被替换下场，走完了其19年的漫漫职业生涯路
54'辽宁宏运换人,胡延强换下肇俊哲                   54'第54分钟，胡延强右路带球突破横敲门前，中路洪正好倒地把球挡出底线险些形成乌龙
55'Hong Jeong-ho将球处理出底线,辽宁宏运获得角球.                   54'第54分钟，胡延强右路带球突破横敲门前，中路洪正好倒地把球挡出底线险些形成乌龙
56'辽宁宏运球员阿萨尼大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是郑涛.                   54'第54分钟，胡延强右路带球突破横敲门前，中路洪正好倒地把球挡出底线险些形成乌龙
62'阿萨尼将球处理出底线,江苏苏宁获得角球.                   60'第60分钟，辽宁队后场左路刘尚坤向前方一脚过顶长传，乌贾半单刀冲入禁区，被身侧的塞恩斯伯里撞倒在地，但裁判没有理会
63'乌贾为辽宁宏运赢得一个任意球.                   60'第60分钟，辽宁队后场左路刘尚坤向前方一脚过顶长传，乌贾半单刀冲入禁区，被身侧的塞恩斯伯里撞倒在地，但裁判没有理会
63'江苏苏宁球员谢鹏飞拼抢犯规,对手获得控球权.                   60'第60分钟，辽宁队后场左路刘尚坤向前方一脚过顶长传，乌贾半单刀冲入禁区，被身侧的塞恩斯伯里撞倒在地，但裁判没有理会
70'进球啦！！！辽宁宏运球员阿萨尼球门线跟前头球,球从右下角飞进球门,球进了!助攻的是郑涛. 辽宁宏运 1-0 江苏苏宁.                   70'第70分钟，辽足左路角球开至门前，阿萨尼跃起头槌攻门，皮球穿越门线上的拉米雷斯滚入网窝，1-0
72'郑涛为辽宁宏运赢得一个任意球.                   70'第70分钟，辽足左路角球开至门前，阿萨尼跃起头槌攻门，皮球穿越门线上的拉米雷斯滚入网窝，1-0
72'江苏苏宁球员谢鹏飞拼抢犯规,对手获得控球权.                   70'第70分钟，辽足左路角球开至门前，阿萨尼跃起头槌攻门，皮球穿越门线上的拉米雷斯滚入网窝，1-0
73'辽宁宏运换人,杨宇换下张野                   70'第70分钟，辽足左路角球开至门前，阿萨尼跃起头槌攻门，皮球穿越门线上的拉米雷斯滚入网窝，1-0
73'辽宁宏运球员胡延强拼抢犯规,对手获得控球权.                   70'第70分钟，辽足左路角球开至门前，阿萨尼跃起头槌攻门，皮球穿越门线上的拉米雷斯滚入网窝，1-0
73'杨笑天为江苏苏宁赢得一个任意球.                   70'第70分钟，辽足左路角球开至门前，阿萨尼跃起头槌攻门，皮球穿越门线上的拉米雷斯滚入网窝，1-0
72'郑涛为辽宁宏运赢得一个任意球.                   72'第72分钟，杨宇换下了张野
72'江苏苏宁球员谢鹏飞拼抢犯规,对手获得控球权.                   72'第72分钟，杨宇换下了张野
73'辽宁宏运换人,杨宇换下张野                   72'第72分钟，杨宇换下了张野
73'辽宁宏运球员胡延强拼抢犯规,对手获得控球权.                   72'第72分钟，杨宇换下了张野
73'杨笑天为江苏苏宁赢得一个任意球.                   72'第72分钟，杨宇换下了张野
74'郑涛为辽宁宏运赢得一个任意球.                   72'第72分钟，杨宇换下了张野
74'江苏苏宁球员杨笑天拼抢犯规,对手获得控球权.                   72'第72分钟，杨宇换下了张野
74'金泰延为辽宁宏运在对方半场,赢得一个任意球.                   72'第72分钟，杨宇换下了张野
74'江苏苏宁球员陶源拼抢犯规,对手获得控球权.                   72'第72分钟，杨宇换下了张野
75'江苏苏宁陶源受伤倒地,比赛暂停                   72'第72分钟，杨宇换下了张野
75'暂停结束,球员们重新开始比赛.                   72'第72分钟，杨宇换下了张野
75'黄牌！江苏苏宁球员陶源因为恶意犯规,被主裁判出示黄牌.                   72'第72分钟，杨宇换下了张野
78'辽宁宏运换人,王皓换下金泰延                   78'第78分钟，马丁内斯左路带球突破，禁区左侧带球内切倒地，但裁判没有理会
79'郑涛为辽宁宏运赢得一个任意球.                   78'第78分钟，马丁内斯左路带球突破，禁区左侧带球内切倒地，但裁判没有理会
79'江苏苏宁球员马丁内斯拼抢犯规,对手获得控球权.                   78'第78分钟，马丁内斯左路带球突破，禁区左侧带球内切倒地，但裁判没有理会
48'辽宁宏运球员Michael Thwaite拼抢犯规,对手获得控球权.                   48'全场3分钟补时，补时阶段，乌贾受伤被抬下场，最终全场比赛结束，辽宁队1-0战胜苏宁保级成功
48'顾文翔为江苏苏宁在右路,赢得一个任意球.                   48'全场3分钟补时，补时阶段，乌贾受伤被抬下场，最终全场比赛结束，辽宁队1-0战胜苏宁保级成功
