7'凯塞多身后再抢，拉倒了拉莫斯，犯规                   7'皇马第7分钟取得领先
28'4-0！！！                   28'第28分钟，贝尔中路塞球，C罗禁区左侧传中，本泽马后点距门3米处半凌空推进空门，4比0
28'本泽马的进球！！！                   28'第28分钟，贝尔中路塞球，C罗禁区左侧传中，本泽马后点距门3米处半凌空推进空门，4比0
29'贝尔前场中路拿球，强突后分球左侧给C罗，C罗趟球，吸引夹击后左脚横传球到后点，无人防守的本泽马，轻松推射空门打进                   28'第28分钟，贝尔中路塞球，C罗禁区左侧传中，本泽马后点距门3米处半凌空推进空门，4比0
29'这是皇马开场的第五脚射门，五脚射门，打进四球                   28'第28分钟，贝尔中路塞球，C罗禁区左侧传中，本泽马后点距门3米处半凌空推进空门，4比0
30'刚刚本泽马的进球，是皇马BBC组合的完美配合，贝尔策应，C罗传中，本泽马进球                   28'第28分钟，贝尔中路塞球，C罗禁区左侧传中，本泽马后点距门3米处半凌空推进空门，4比0
31'阿尔比拉右路拿球，45度斜传球到禁区                   28'第28分钟，贝尔中路塞球，C罗禁区左侧传中，本泽马后点距门3米处半凌空推进空门，4比0
31'杰拉德的头球攻门，顶出反弹球，弹地后越过横梁出底线                   28'第28分钟，贝尔中路塞球，C罗禁区左侧传中，本泽马后点距门3米处半凌空推进空门，4比0
62'C罗，完成大四喜！！！                   62'皇马第62分钟锦上添花，西班牙人开出角球，皇马解围后快速反击，经过C罗和伊斯科传递后，贝尔突入禁区右侧外脚背传中，C罗在门前5米处推进左下角，5比0
63'皇马反击，过顶球给到伊斯科，伊斯科直塞再给贝尔，贝尔右路强突，抢在桑切斯之前左脚外脚背横传后点，C罗跟进推射空门打进！！！                   62'皇马第62分钟锦上添花，西班牙人开出角球，皇马解围后快速反击，经过C罗和伊斯科传递后，贝尔突入禁区右侧外脚背传中，C罗在门前5米处推进左下角，5比0
64'进球后的C罗也是主动上前和给自己送上助攻的贝尔拥抱庆祝！！！                   62'皇马第62分钟锦上添花，西班牙人开出角球，皇马解围后快速反击，经过C罗和伊斯科传递后，贝尔突入禁区右侧外脚背传中，C罗在门前5米处推进左下角，5比0
64'西班牙人的前场进攻，杰拉德右路强突，下底横传球被马塞洛挡出底线                   62'皇马第62分钟锦上添花，西班牙人开出角球，皇马解围后快速反击，经过C罗和伊斯科传递后，贝尔突入禁区右侧外脚背传中，C罗在门前5米处推进左下角，5比0
65'西班牙人球员抗议，马塞洛这个球有手球                   62'皇马第62分钟锦上添花，西班牙人开出角球，皇马解围后快速反击，经过C罗和伊斯科传递后，贝尔突入禁区右侧外脚背传中，C罗在门前5米处推进左下角，5比0
65'慢镜回放显示，马塞洛倒地封堵时，球打在了其撑在地上的右手右臂上                   62'皇马第62分钟锦上添花，西班牙人开出角球，皇马解围后快速反击，经过C罗和伊斯科传递后，贝尔突入禁区右侧外脚背传中，C罗在门前5米处推进左下角，5比0
65'西班牙人的右侧角球，并未形成威胁                   62'皇马第62分钟锦上添花，西班牙人开出角球，皇马解围后快速反击，经过C罗和伊斯科传递后，贝尔突入禁区右侧外脚背传中，C罗在门前5米处推进左下角，5比0
72'西班牙人前场进攻，阿尔比拉左路的传中球到后点                   72'西班牙人第72分钟错过安慰球，蒙塔涅斯右路传中，赫拉德在门前5米处头球被纳瓦斯倒地封出，塞维利亚补射偏出左门柱
72'马塞洛回防，抢在们蒙塔内斯之前将球解围出边线                   72'西班牙人第72分钟错过安慰球，蒙塔涅斯右路传中，赫拉德在门前5米处头球被纳瓦斯倒地封出，塞维利亚补射偏出左门柱
72'哎呀，近在咫尺的补射。。。                   72'西班牙人第72分钟错过安慰球，蒙塔涅斯右路传中，赫拉德在门前5米处头球被纳瓦斯倒地封出，塞维利亚补射偏出左门柱
73'塞维利亚错失西班牙人的进球机会啊                   72'西班牙人第72分钟错过安慰球，蒙塔涅斯右路传中，赫拉德在门前5米处头球被纳瓦斯倒地封出，塞维利亚补射偏出左门柱
73'精彩回放：蒙塔内斯右路起球到禁区，杰拉德头球攻门，被纳瓦斯倒地封堵，塞维利亚近在咫尺的补射，几乎是空门，竟然踢偏啦！！！                   72'西班牙人第72分钟错过安慰球，蒙塔涅斯右路传中，赫拉德在门前5米处头球被纳瓦斯倒地封出，塞维利亚补射偏出左门柱
74'这球踢偏比踢进都难啊                   72'西班牙人第72分钟错过安慰球，蒙塔涅斯右路传中，赫拉德在门前5米处头球被纳瓦斯倒地封出，塞维利亚补射偏出左门柱
74'皇马换人：队长4号拉莫斯被换下，换上2号瓦拉内                   72'西班牙人第72分钟错过安慰球，蒙塔涅斯右路传中，赫拉德在门前5米处头球被纳瓦斯倒地封出，塞维利亚补射偏出左门柱
75'这是大局已定，让参加了国家队比赛的球员下场休息，为下周欧冠做准备                   72'西班牙人第72分钟错过安慰球，蒙塔涅斯右路传中，赫拉德在门前5米处头球被纳瓦斯倒地封出，塞维利亚补射偏出左门柱
82'贝尔右路拿球，横传给到卢卡斯-巴尔克斯，卢卡斯-巴尔克斯停球转身，一扣摆脱上抢的莫雷诺-霍尔丹，横传中间，C罗迎球扫射，打进！！！                   81'第81分钟，贝尔右路低传，卢卡斯-巴斯克斯晃过后卫回传，C罗在门前10米处推进右下角，6比0，这是他第2次在西甲独中五元，职业生涯首次打进5球且有助攻，也是首次客场进5球
82'一球不进，丢了六球，主场球迷开始退场啦                   81'第81分钟，贝尔右路低传，卢卡斯-巴斯克斯晃过后卫回传，C罗在门前10米处推进右下角，6比0，这是他第2次在西甲独中五元，职业生涯首次打进5球且有助攻，也是首次客场进5球
83'科瓦契奇后场拿球，带球过中线，准备加速，被对方拉着死死不放啊                   81'第81分钟，贝尔右路低传，卢卡斯-巴斯克斯晃过后卫回传，C罗在门前10米处推进右下角，6比0，这是他第2次在西甲独中五元，职业生涯首次打进5球且有助攻，也是首次客场进5球
84'皇马前场再攻，C罗前插接应过顶球，左脚抽射，滑门而过！！！                   81'第81分钟，贝尔右路低传，卢卡斯-巴斯克斯晃过后卫回传，C罗在门前10米处推进右下角，6比0，这是他第2次在西甲独中五元，职业生涯首次打进5球且有助攻，也是首次客场进5球
84'这球不进，C罗也是掩面表示遗憾，进球欲望很强烈啊                   81'第81分钟，贝尔右路低传，卢卡斯-巴斯克斯晃过后卫回传，C罗在门前10米处推进右下角，6比0，这是他第2次在西甲独中五元，职业生涯首次打进5球且有助攻，也是首次客场进5球
