4'格拉纳达右侧界外球进场，布拉西米拿球下底传中，伊斯科将球挡出底线                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
16'贝尼特斯角球横传禁区线，埃尔阿拉比倒地打门，直接踢出了底线                   15'第15分钟，迪马利亚后场护球倒地后快开任意球长传过顶，厄齐尔禁区边缘左脚凌空吊射入网，但迪马利亚没有在犯规位置开球，且球处于滚动状态，进球被判无效，安切洛蒂与第四官员交涉
16'格拉纳达的后场长传球到右路，马塞洛将球解围出边线                   15'第15分钟，迪马利亚后场护球倒地后快开任意球长传过顶，厄齐尔禁区边缘左脚凌空吊射入网，但迪马利亚没有在犯规位置开球，且球处于滚动状态，进球被判无效，安切洛蒂与第四官员交涉
17'皇马又进啦！！！不过被主裁判示意不算！！！                   15'第15分钟，迪马利亚后场护球倒地后快开任意球长传过顶，厄齐尔禁区边缘左脚凌空吊射入网，但迪马利亚没有在犯规位置开球，且球处于滚动状态，进球被判无效，安切洛蒂与第四官员交涉
18'厄齐尔的精彩吊射，因为主裁判认为皇马的任意球在没鸣哨之前开出，进球无效，任意球重发。。。                   15'第15分钟，迪马利亚后场护球倒地后快开任意球长传过顶，厄齐尔禁区边缘左脚凌空吊射入网，但迪马利亚没有在犯规位置开球，且球处于滚动状态，进球被判无效，安切洛蒂与第四官员交涉
19'精彩回放：迪马利亚后场抢断，耶布达上抢犯规，迪马利亚快发任意球，过顶给到厄齐尔，厄齐尔前插面对罗伯托的出击，挑射吊门打进，很漂亮，可惜无效啊                   19'第19分钟，尼翁右路挑传，阿拉比反越位胸部停球形成单刀，禁区左侧距门12米处推射被迭戈-洛佩斯挡出
20'格拉纳达左路的进攻，安古洛斜传球打在阿韦罗亚身上出边线                   19'第19分钟，尼翁右路挑传，阿拉比反越位胸部停球形成单刀，禁区左侧距门12米处推射被迭戈-洛佩斯挡出
21'格拉纳达左路界外球进场，大范围转移球到右路，佩佩将球抢先解围出底线                   19'第19分钟，尼翁右路挑传，阿拉比反越位胸部停球形成单刀，禁区左侧距门12米处推射被迭戈-洛佩斯挡出
21'格拉纳达的右侧角球机会，开出第一点被佩佩解围                   19'第19分钟，尼翁右路挑传，阿拉比反越位胸部停球形成单刀，禁区左侧距门12米处推射被迭戈-洛佩斯挡出
21'本泽马拿球反击，着急了，被抢断                   19'第19分钟，尼翁右路挑传，阿拉比反越位胸部停球形成单刀，禁区左侧距门12米处推射被迭戈-洛佩斯挡出
22'格拉纳达的反击，埃尔阿拉比拿球，面对迭戈-洛佩斯的出击，劲射被挡出                   19'第19分钟，尼翁右路挑传，阿拉比反越位胸部停球形成单刀，禁区左侧距门12米处推射被迭戈-洛佩斯挡出
26'边裁的旗子出现了问题，工作人员及时给与更换                   26'第26分钟，阿韦洛亚右路低传被本泽马漏过，C罗中路跟进却脚下拌蒜倒地
26'皇马的前场进攻，阿韦罗亚右路拿球，横传门前                   26'第26分钟，阿韦洛亚右路低传被本泽马漏过，C罗中路跟进却脚下拌蒜倒地
27'C罗跟上倒地铲射，竟然没能碰到皮球                   26'第26分钟，阿韦洛亚右路低传被本泽马漏过，C罗中路跟进却脚下拌蒜倒地
27'球被格拉纳达的回防球员及时解围                   26'第26分钟，阿韦洛亚右路低传被本泽马漏过，C罗中路跟进却脚下拌蒜倒地
27'格拉纳达的反击赢得任意球机会                   26'第26分钟，阿韦洛亚右路低传被本泽马漏过，C罗中路跟进却脚下拌蒜倒地
27'位置相当不错，就在禁区弧的右上方                   26'第26分钟，阿韦洛亚右路低传被本泽马漏过，C罗中路跟进却脚下拌蒜倒地
27'这是莫德里奇的回防，放倒了皮蒂                   26'第26分钟，阿韦洛亚右路低传被本泽马漏过，C罗中路跟进却脚下拌蒜倒地
28'贝尼特斯的任意球攻门，绕过人墙直奔站在门线上的迭戈-洛佩斯怀中                   26'第26分钟，阿韦洛亚右路低传被本泽马漏过，C罗中路跟进却脚下拌蒜倒地
29'皇马本赛季的客场球衣有点蓝军切尔西的身影                   26'第26分钟，阿韦洛亚右路低传被本泽马漏过，C罗中路跟进却脚下拌蒜倒地
29'皇马右路的进攻，伊斯科拿球，横传给到马塞洛                   26'第26分钟，阿韦洛亚右路低传被本泽马漏过，C罗中路跟进却脚下拌蒜倒地
30'马塞洛斜塞找本泽马，本泽马背身拿球没机会，回敲给到莫德里奇                   30'第30分钟，伊斯科右侧开出角球，C罗头球偏出左门柱
30'皇马连续的传接配合，迪马利亚右路拿球强突                   30'第30分钟，伊斯科右侧开出角球，C罗头球偏出左门柱
31'底线内切时被伊图拉抢先伸脚解围出底线                   30'第30分钟，伊斯科右侧开出角球，C罗头球偏出左门柱
31'皇马获得右侧角球机会，开到后点，没威胁哦                   30'第30分钟，伊斯科右侧开出角球，C罗头球偏出左门柱
32'伊斯科前场中路拿球，尼奥姆的上抢被吹犯规                   30'第30分钟，伊斯科右侧开出角球，C罗头球偏出左门柱
32'尼奥姆在裁判鸣哨后伸脚将球踢出边线，被口头警告                   30'第30分钟，伊斯科右侧开出角球，C罗头球偏出左门柱
32'格拉纳达右路的进攻，横传球给到贝尼特斯                   30'第30分钟，伊斯科右侧开出角球，C罗头球偏出左门柱
32'贝尼特斯横穿后点，包抄的队友没能到位啊                   30'第30分钟，伊斯科右侧开出角球，C罗头球偏出左门柱
33'阿韦罗亚将球解围，皇马的反击                   30'第30分钟，伊斯科右侧开出角球，C罗头球偏出左门柱
33'伊斯科左路拿球，底线内切时遭遇包夹，球丢啦                   30'第30分钟，伊斯科右侧开出角球，C罗头球偏出左门柱
41'皇马的后场长传找本泽马，格拉纳达球员头球顶回                   40'第40分钟，C罗在门前32米处任意球低射打在人墙上
43'皇马左路继续进攻，马塞洛的传中，罗伯托出击化解                   40'第40分钟，C罗在门前32米处任意球低射打在人墙上
50'C罗拿球，强突后的低平球往门前送                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
50'被格拉纳达的回防球员倒地挡出底线                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
50'皇马获得左侧角球机会                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
50'莫德里奇角球开出，前点的拉莫斯没能顶到                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
50'后点的C罗侧身直接凌空的扫射，被后卫挡出                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
51'格拉纳达右路进攻，里基拿球强突禁区                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
51'佩佩回防，紧逼下里基无法起脚                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
52'里基挑传左侧跟上的贝尼特斯，可惜脚法没控制好                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
52'球先传出了底线，贝尼特斯一脸无奈啊                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
53'C罗左路拿球强突，尼奥姆回防将球破坏出底线                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
53'皇马左侧角球机会，莫德里奇主罚                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
53'角球开出到后点，佩佩的头球攻门顶近角                   50'第50分钟，厄齐尔左侧开出角球，C罗左脚凌空抡高
57'厄齐尔回防，中线位置将对方的传球挡出边线                   57'第57分钟，尼翁右路内切似传似射，球击中阿韦洛亚左上臂或胸部位置偏出近门柱，主裁判给角球
57'贝尼特斯拿球下底传中，拉莫斯滑铲将球挡出底线                   57'第57分钟，尼翁右路内切似传似射，球击中阿韦洛亚左上臂或胸部位置偏出近门柱，主裁判给角球
57'格拉纳达的角球机会，贝尼特斯主罚                   57'第57分钟，尼翁右路内切似传似射，球击中阿韦洛亚左上臂或胸部位置偏出近门柱，主裁判给角球
58'角球开出到前点，阿韦罗亚抢先解围出底线                   57'第57分钟，尼翁右路内切似传似射，球击中阿韦洛亚左上臂或胸部位置偏出近门柱，主裁判给角球
59'格拉纳达球员向裁判投诉，阿韦罗亚解围球时手球                   57'第57分钟，尼翁右路内切似传似射，球击中阿韦洛亚左上臂或胸部位置偏出近门柱，主裁判给角球
59'不过主裁并未表示，给了格拉纳达的角球机会                   57'第57分钟，尼翁右路内切似传似射，球击中阿韦洛亚左上臂或胸部位置偏出近门柱，主裁判给角球
59'慢镜回放显示，格拉纳达的传球打在了阿韦罗亚的左肩上                   57'第57分钟，尼翁右路内切似传似射，球击中阿韦洛亚左上臂或胸部位置偏出近门柱，主裁判给角球
59'贝尼特斯角球再次开出到禁区，迭戈-洛佩斯出击，双拳打出禁区                   57'第57分钟，尼翁右路内切似传似射，球击中阿韦洛亚左上臂或胸部位置偏出近门柱，主裁判给角球
60'迪马利亚前场右路拿球，转身斜塞给到厄齐尔                   57'第57分钟，尼翁右路内切似传似射，球击中阿韦洛亚左上臂或胸部位置偏出近门柱，主裁判给角球
60'厄齐尔再和迪马利亚2过2配合，可惜传球轻了点，被格拉纳达球员拦截                   57'第57分钟，尼翁右路内切似传似射，球击中阿韦洛亚左上臂或胸部位置偏出近门柱，主裁判给角球
62'伊斯科左路拿球，一个变向摆脱防守的尼奥姆，进入禁区                   62'第62分钟，本泽马拉到右路起球，伊斯科后点拿球过了伊图拉切入禁区，在门前11米处抽射击中近门柱外侧弹出
63'伊斯科禁区左上角直接发炮，罗伯托将球扑出底线                   62'第62分钟，本泽马拉到右路起球，伊斯科后点拿球过了伊图拉切入禁区，在门前11米处抽射击中近门柱外侧弹出
63'皇马的左侧角球机会，伊斯科主罚                   62'第62分钟，本泽马拉到右路起球，伊斯科后点拿球过了伊图拉切入禁区，在门前11米处抽射击中近门柱外侧弹出
63'角球开出，第一点被格拉纳达球员解围出底线                   62'第62分钟，本泽马拉到右路起球，伊斯科后点拿球过了伊图拉切入禁区，在门前11米处抽射击中近门柱外侧弹出
63'继续左侧角球，还是没能形成威胁                   62'第62分钟，本泽马拉到右路起球，伊斯科后点拿球过了伊图拉切入禁区，在门前11米处抽射击中近门柱外侧弹出
64'皇马前场的连续传接配合                   62'第62分钟，本泽马拉到右路起球，伊斯科后点拿球过了伊图拉切入禁区，在门前11米处抽射击中近门柱外侧弹出
64'C罗横穿伊斯科，伊斯科斜塞给到厄齐尔                   62'第62分钟，本泽马拉到右路起球，伊斯科后点拿球过了伊图拉切入禁区，在门前11米处抽射击中近门柱外侧弹出
64'厄齐尔拿球强突，小禁区左侧挑传门前                   62'第62分钟，本泽马拉到右路起球，伊斯科后点拿球过了伊图拉切入禁区，在门前11米处抽射击中近门柱外侧弹出
64'美因茨头球解围出禁区，                   62'第62分钟，本泽马拉到右路起球，伊斯科后点拿球过了伊图拉切入禁区，在门前11米处抽射击中近门柱外侧弹出
65'皇马再次换人：16号卡塞米罗上，换下10号厄齐尔                   62'第62分钟，本泽马拉到右路起球，伊斯科后点拿球过了伊图拉切入禁区，在门前11米处抽射击中近门柱外侧弹出
68'格拉纳达换人：弗兰-里克上，换下耶布达                   68'第68分钟，伊斯科直塞禁区左侧，本泽马在门前7米处直接转身扫射偏出近门柱
69'伊斯科前场拿球，格拉纳达球员上抢犯规                   68'第68分钟，伊斯科直塞禁区左侧，本泽马在门前7米处直接转身扫射偏出近门柱
70'下半场皇马并没有好的进攻机会                   68'第68分钟，伊斯科直塞禁区左侧，本泽马在门前7米处直接转身扫射偏出近门柱
70'皇马中后场传接球，控制比赛啊                   68'第68分钟，伊斯科直塞禁区左侧，本泽马在门前7米处直接转身扫射偏出近门柱
71'莫德里奇的斜塞给到内切的迪马利亚                   68'第68分钟，伊斯科直塞禁区左侧，本泽马在门前7米处直接转身扫射偏出近门柱
71'迪马利亚拿球，右脚外脚背的直塞交给伊斯科                   68'第68分钟，伊斯科直塞禁区左侧，本泽马在门前7米处直接转身扫射偏出近门柱
71'伊斯科分边左路给上来的纳乔，传中被挡出                   68'第68分钟，伊斯科直塞禁区左侧，本泽马在门前7米处直接转身扫射偏出近门柱
77'格拉纳达的反击，尼奥姆右路拿球，边路传中                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
77'迭戈-洛佩斯出击，直接将球没收                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
77'皇马后场过顶长传，C罗停球一挑                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
77'接着面对美因茨，头顶摆渡，跟上的右脚劲射                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
78'罗伯托站位不错，倒地将球压在身下                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
78'尼奥姆前场右路和队友的配合失误，皇马反击                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
79'C罗前场拿球，伊图拉回防直接一个滑铲                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
79'带倒了C罗，这动作很凶悍啊                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
79'伊图拉被主裁判出示黄牌警告                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
79'皇马再次获得前场任意球机会                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
79'任意球在大禁区的左上角，C罗的射程范围内                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
80'C罗任意球攻门，直接打在了人墙上                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
80'全场比赛80分钟了，比分还是0-1，皇马一球领先                   77'第77分钟，迭戈-洛佩斯任意球长传，C罗头球一点倚住后卫突入禁区，在门前12米处低射被罗伯托没收
84'精彩回放：C罗左路拿球横切，大禁区线上闪开空挡，直接一脚抽射，罗伯托出击，一个漂亮的鱼跃将球封堵                   84'第84分钟，卜拉希米左路切入禁区，与身后卡塞米罗接触倒地，没有得到点球，格拉纳达提出抗议，卜拉希米被黄牌警告
84'格拉纳达球员前场进攻，博纳诺特摔倒在了禁区里                   84'第84分钟，卜拉希米左路切入禁区，与身后卡塞米罗接触倒地，没有得到点球，格拉纳达提出抗议，卜拉希米被黄牌警告
85'格拉纳达球员找裁判要点球，布拉西米对裁判有个拉扯动作                   84'第84分钟，卜拉希米左路切入禁区，与身后卡塞米罗接触倒地，没有得到点球，格拉纳达提出抗议，卜拉希米被黄牌警告
85'主裁判神圣不可侵犯，直接送上一张黄牌                   84'第84分钟，卜拉希米左路切入禁区，与身后卡塞米罗接触倒地，没有得到点球，格拉纳达提出抗议，卜拉希米被黄牌警告
85'C罗前场的进攻，强突时被美因茨从侧后方铲翻在地                   84'第84分钟，卜拉希米左路切入禁区，与身后卡塞米罗接触倒地，没有得到点球，格拉纳达提出抗议，卜拉希米被黄牌警告
86'这段时间格拉纳达球员的动作都不小哦                   84'第84分钟，卜拉希米左路切入禁区，与身后卡塞米罗接触倒地，没有得到点球，格拉纳达提出抗议，卜拉希米被黄牌警告
87'精彩回放：博纳诺特左路拿球，底线强突，面对阿韦罗亚的防守，人球分过，摔倒在禁区，裁判没有表示，布拉西米抗议被赏黄袍                   84'第84分钟，卜拉希米左路切入禁区，与身后卡塞米罗接触倒地，没有得到点球，格拉纳达提出抗议，卜拉希米被黄牌警告
87'皇马前场任意球机会，C罗的攻门再次被挡出                   84'第84分钟，卜拉希米左路切入禁区，与身后卡塞米罗接触倒地，没有得到点球，格拉纳达提出抗议，卜拉希米被黄牌警告
46'格拉纳达中场的传接球失误，厄齐尔抢断                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
46'厄齐尔拿球过了中线，挑传分边                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
46'主裁判鸣哨，半场比赛结束                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
46'下半场比赛开始                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
46'伊斯科前场中路拿球，横带分边右路给到阿韦罗亚                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
46'阿韦罗亚拿球，面对逼抢，回传给佩佩                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
46'佩佩的过顶长传交给马塞洛                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
47'马塞洛左路拿球，和本泽马的踢墙配合                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
47'马塞洛插上拿球，一脚劲射打偏                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
48'格拉纳达的进攻，禁区左侧挑传门前                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
48'拉莫斯和里基争顶时头对头，两人都受伤倒地                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
48'拉莫斯和里基在队医的陪伴下出场接受治疗                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
49'比赛继续，皇马的后场球                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
49'莫德里奇拿球，外脚背交给马塞洛                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
49'马塞洛再直塞交给C罗                   46'1分钟后，C罗分球到左侧，本泽马在门前20米处射门被迪亚基特封堵
90'和出击的迭戈-洛佩斯相撞，迭戈-洛佩斯被撞了一下腰                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
90'不过问题不大，迭戈-洛佩斯开出门球                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
90'迭戈-洛佩斯摸腰的动作出来，镜头再次给到了替补席的卡西利亚斯，有意思啊                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
91'下半场补时3分钟                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
91'皇马前场传球失误，格拉纳达的反击                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
91'危险啊                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
92'里基右路拿球，摆脱防守的纳乔                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
92'接着上提，面对补防的拉莫斯直接起脚打近角                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
92'佩佩回防到门前，抢先一步解围                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
92'格拉纳达前场进攻再次赢得任意球机会                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
92'任意球攻门打在人墙上弹出                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
93'补时倒计时了，卡西利亚斯也是站起来看比赛啦                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
93'刚刚格拉纳达的任意球攻门，好像又打在了排人墙的本泽马手臂上                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
93'格拉纳达球员再次抗议，不过无意义啊                   90'第90分钟，C罗左路内切摆脱伊图拉和迪亚基特，禁区前沿低射击中边网
