4'利物浦球员杰拉德一脚直塞球给唐宁,但是边裁举旗显示后者已经越位.                   4'第4分钟，班尼特左路传中，阿邦拉霍前点近距离射门打歪
46'利物浦球员卢卡斯手球犯规,对手获得球权.                   43'第43分钟，杰拉德左路25码处抽射又被古赞飞身扑出
47'进球啦！！！利物浦球员亨德森大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是库蒂尼奥. 阿斯顿维拉 1-1 利物浦.                   47'利物浦第47分钟扳平比分，杰拉德后场长传，库蒂尼奥左路精准斜传，无人防守的亨德森14码处推射破门，1-1
48'阿邦拉霍为阿斯顿维拉在左路,赢得一个任意球.                   47'利物浦第47分钟扳平比分，杰拉德后场长传，库蒂尼奥左路精准斜传，无人防守的亨德森14码处推射破门，1-1
48'利物浦球员杰拉德拼抢犯规,对手获得控球权.                   47'利物浦第47分钟扳平比分，杰拉德后场长传，库蒂尼奥左路精准斜传，无人防守的亨德森14码处推射破门，1-1
49'黄牌！利物浦球员杰拉德因为恶意犯规,被主裁判出示黄牌.                   47'利物浦第47分钟扳平比分，杰拉德后场长传，库蒂尼奥左路精准斜传，无人防守的亨德森14码处推射破门，1-1
51'阿斯顿维拉球员阿邦拉霍大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是维曼.                   51'第51分钟，维曼回传，阿邦拉霍25码处射门高出
53'利物浦球员杰拉德一脚直塞球给苏亚雷斯,但是边裁举旗显示后者已经越位.                   51'第51分钟，维曼回传，阿邦拉霍25码处射门高出
58'利物浦球员格伦-约翰逊大禁区外右脚射门,被防守球员封堵.给他传球的是唐宁.                   58'第58分钟，唐宁传球，格伦-约翰逊右路禁区前抽射偏转后憾中左侧立柱弹回
59'阿斯顿维拉球员巴克尔犯规,致使对方获得点球.                   58'第58分钟，唐宁传球，格伦-约翰逊右路禁区前抽射偏转后憾中左侧立柱弹回
59'点球,苏亚雷斯在禁区内被侵犯,利物浦获得点球.                   58'第58分钟，唐宁传球，格伦-约翰逊右路禁区前抽射偏转后憾中左侧立柱弹回
60'进球啦！！！利物浦球员杰拉德右脚射门,球从左下角飞进球门,球进了! 阿斯顿维拉 1-2 利物浦.                   58'第58分钟，唐宁传球，格伦-约翰逊右路禁区前抽射偏转后憾中左侧立柱弹回
62'阿斯顿维拉球员维曼大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是塞拉.                   62'维拉第62分钟错失良机，斯拉传中，维曼近距离射门高出
62'阿斯顿维拉换人,德尔菲换下班南                   62'维拉第62分钟错失良机，斯拉传中，维曼近距离射门高出
63'阿斯顿维拉换人,恩佐比亚换下维曼                   62'维拉第62分钟错失良机，斯拉传中，维曼近距离射门高出
64'本特克为阿斯顿维拉在左路,赢得一个任意球.                   62'维拉第62分钟错失良机，斯拉传中，维曼近距离射门高出
64'利物浦球员格伦-约翰逊拼抢犯规,对手获得控球权.                   62'维拉第62分钟错失良机，斯拉传中，维曼近距离射门高出
65'阿斯顿维拉球员德尔菲大禁区外左脚射门,被防守球员封堵.给他传球的是巴克尔.                   62'维拉第62分钟错失良机，斯拉传中，维曼近距离射门高出
65'苏亚雷斯将球处理出底线,阿斯顿维拉获得角球.                   62'维拉第62分钟错失良机，斯拉传中，维曼近距离射门高出
65'阿斯顿维拉球员本特克大禁区中央头球,被防守球员封堵.给他传球的是维斯特伍德.                   62'维拉第62分钟错失良机，斯拉传中，维曼近距离射门高出
65'杰拉德将球处理出底线,阿斯顿维拉获得角球.                   62'维拉第62分钟错失良机，斯拉传中，维曼近距离射门高出
69'雷纳将球处理出底线,阿斯顿维拉获得角球.                   69'第69分钟，洛顿右路远程射门被雷纳托出横梁
70'利物浦球员库蒂尼奥大禁区外右脚射门,被防守球员封堵.给他传球的是亨德森.                   69'第69分钟，洛顿右路远程射门被雷纳托出横梁
72'阿斯顿维拉球员古赞一脚直塞球给阿邦拉霍,但是边裁举旗显示后者已经越位.                   69'第69分钟，洛顿右路远程射门被雷纳托出横梁
72'利物浦球员阿格尔一脚直塞球给苏亚雷斯,但是边裁举旗显示后者已经越位.                   69'第69分钟，洛顿右路远程射门被雷纳托出横梁
72'阿斯顿维拉球员恩佐比亚拼抢犯规,对手获得控球权.                   69'第69分钟，洛顿右路远程射门被雷纳托出横梁
72'卢卡斯为利物浦赢得一个任意球.                   69'第69分钟，洛顿右路远程射门被雷纳托出横梁
80'利物浦球员唐宁大禁区外尝试左脚射门,可惜皮球高出右上角球门.                   80'第80分钟，德尔夫禁区前对苏亚雷斯犯规，但唐宁30码处任意球射门高出
81'卡拉格将球处理出底线,阿斯顿维拉获得角球.                   80'第80分钟，德尔夫禁区前对苏亚雷斯犯规，但唐宁30码处任意球射门高出
83'射门!!!利物浦球员苏亚雷斯大禁区中央右脚射门,被对方守门员横身扑出.                   80'第80分钟，德尔夫禁区前对苏亚雷斯犯规，但唐宁30码处任意球射门高出
