5'毅腾的机会，闫相闯的插上，但是门将反应很快，出击把球拿到。                   5'第5分钟两队第一脚射门出现，武磊禁区左路接球，摆脱于涛后射门被王敬平接住
40'闫相闯今天拿球的机会不是很多啊。                   37'第37分钟卡里里左路射门被王敬平打出界外，第39分钟阎相闯左路带球连过三人后射门踢高
55'卜鑫今天几次传球落点还不错，但是队友的接应做的不好。                   54'第54分钟卡里里做出射门动作后倒地不起，他的左腿出现问题，队医入场治疗，双方教练利用这一短暂停机会赶紧布置战术
56'场上有队员受伤了，比赛也暂停了一下。                   54'第54分钟卡里里做出射门动作后倒地不起，他的左腿出现问题，队医入场治疗，双方教练利用这一短暂停机会赶紧布置战术
57'蔡惠康在中场的反抢，做的很好。                   54'第54分钟卡里里做出射门动作后倒地不起，他的左腿出现问题，队医入场治疗，双方教练利用这一短暂停机会赶紧布置战术
57'上港换人了，卡里里下场了换上了李浩文。                   54'第54分钟卡里里做出射门动作后倒地不起，他的左腿出现问题，队医入场治疗，双方教练利用这一短暂停机会赶紧布置战术
57'蔡惠康在中场的反抢，做的很好。                   57'第57分钟麦克林接武磊送球，右脚大角度推射稍偏出界
57'上港换人了，卡里里下场了换上了李浩文。                   57'第57分钟麦克林接武磊送球，右脚大角度推射稍偏出界
58'刚才是卡里里受伤了，看来无法坚持，李浩文在两队上一次交锋中打进了制胜一球。                   57'第57分钟麦克林接武磊送球，右脚大角度推射稍偏出界
59'亚当修斯中场丢球以后，武磊突破到禁区前横传麦克布林，打门稍稍偏了一点。                   57'第57分钟麦克林接武磊送球，右脚大角度推射稍偏出界
60'毅腾的右路传球被门将直接没收了。                   57'第57分钟麦克林接武磊送球，右脚大角度推射稍偏出界
66'罗德瑞格在中场的拼抢，让对手拿球很不舒服。                   65'第65分钟毅腾险些得分，里卡多禁区右路得球，在伊班和阿多两人中间的缝隙处果断起脚怒射，颜骏凌飞身扑了一下后，球中横梁弹出
66'几天毅腾球员非常的拼啊，输球和平局对于他们来说意义都不大。                   65'第65分钟毅腾险些得分，里卡多禁区右路得球，在伊班和阿多两人中间的缝隙处果断起脚怒射，颜骏凌飞身扑了一下后，球中横梁弹出
66'里卡多的打门！质量很高，被颜骏凌托了一下打在了门框上！                   65'第65分钟毅腾险些得分，里卡多禁区右路得球，在伊班和阿多两人中间的缝隙处果断起脚怒射，颜骏凌飞身扑了一下后，球中横梁弹出
67'今天毅腾的运气也不好，两次打在门框上了。                   65'第65分钟毅腾险些得分，里卡多禁区右路得球，在伊班和阿多两人中间的缝隙处果断起脚怒射，颜骏凌飞身扑了一下后，球中横梁弹出
68'毅腾又是一次禁区内打门，被颜骏凌扑出！                   65'第65分钟毅腾险些得分，里卡多禁区右路得球，在伊班和阿多两人中间的缝隙处果断起脚怒射，颜骏凌飞身扑了一下后，球中横梁弹出
72'今天两个球队的门将表现都很出色啊，多次化解了对方的威胁球。                   72'第72分钟哈尔滨终于进球，先是麦克布林的射门被王敬平扑出，接着哈尔滨队长传反击，卜鑫从上港后卫身后接球，接着他扣球摆脱阿多，接着左脚果断打近角得分，1比1，哈尔滨毅腾扳平比分
73'上港队禁区前沿的连续传球，最后麦克布林的打门被门将扑出来了！                   72'第72分钟哈尔滨终于进球，先是麦克布林的射门被王敬平扑出，接着哈尔滨队长传反击，卜鑫从上港后卫身后接球，接着他扣球摆脱阿多，接着左脚果断打近角得分，1比1，哈尔滨毅腾扳平比分
73'这样双方战成了平局，肯定都会大举进攻了。                   72'第72分钟哈尔滨终于进球，先是麦克布林的射门被王敬平扑出，接着哈尔滨队长传反击，卜鑫从上港后卫身后接球，接着他扣球摆脱阿多，接着左脚果断打近角得分，1比1，哈尔滨毅腾扳平比分
75'加上补时大约还有15分钟的时间，看看双方还能否进球啊。                   72'第72分钟哈尔滨终于进球，先是麦克布林的射门被王敬平扑出，接着哈尔滨队长传反击，卜鑫从上港后卫身后接球，接着他扣球摆脱阿多，接着左脚果断打近角得分，1比1，哈尔滨毅腾扳平比分
79'李浩文前场拿球被撞到，不过裁判给了个边线球。                   79'第79分钟哈尔滨队首次换人，吕永帝换下季骁宣
79'毅腾换人了，季骁宣下场，换上了吕永帝。                   79'第79分钟哈尔滨队首次换人，吕永帝换下季骁宣
80'毅腾禁区内的混战，最后还是王敬平将球抱住了。                   79'第79分钟哈尔滨队首次换人，吕永帝换下季骁宣
82'毅腾再一次获得角球机会，第一点还是上港球员拿到。                   79'第79分钟哈尔滨队首次换人，吕永帝换下季骁宣
82'上港队现在又陷入了苦战，毅腾角球。                   79'第79分钟哈尔滨队首次换人，吕永帝换下季骁宣
85'李浩文下半场刚刚上场就被换下，这种情况也比较少见。                   85'第85分钟上港用吕文君换下踢了30分钟的李浩文
86'毅腾的反击，球传大了，队友接不到了。                   85'第85分钟上港用吕文君换下踢了30分钟的李浩文
87'比赛马上就要到伤停补时阶段了。                   85'第85分钟上港用吕文君换下踢了30分钟的李浩文
88'罗德里格突破传中，中路里卡多的空门没顶到啊。                   85'第85分钟上港用吕文君换下踢了30分钟的李浩文
91'毅腾又一个好机会啊，卜鑫禁区的打门打偏了，今天的运气不在毅腾这一边啊。                   91'比赛最后时刻，毅腾险些反超，第91分钟鑫中路接球后转身抽射，皮球擦柱而出
92'比赛还有1分钟了。                   91'比赛最后时刻，毅腾险些反超，第91分钟鑫中路接球后转身抽射，皮球擦柱而出
