1'上半场比赛开始了                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
15'球丢了...                   12'第12分钟，法布雷加斯传球，法布雷加斯传球，伊涅斯塔禁区左侧的射门被封堵
15'巴萨反击缺乏速度                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
15'伊涅斯塔传到右路，佩德罗~被围抢                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
15'球丢了...                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
16'皮克抢头球的时候撞人犯规                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
16'皇马获得了一个远距离的前场定位球                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
16'皇马的定位球进攻没有取得威胁                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
16'卡卡在中场拉扯伊涅斯塔，裁判吹了犯规                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
17'阿尔维斯外脚背把球挑入禁区~                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
17'梅西插上~位置被瓦拉内卡住了                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
18'梅西反越位~进入禁区                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
18'梅西！！！                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
18'Gooooooooooooooooooal~~~~                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
18'巴萨第一次射门也进球了！                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
18'皇马后防线造越位失误！                   15'第15分钟，法布雷加斯带球强突禁区内摔倒，裁判拒绝判罚点球
48'比利亚被埃辛的鞋钉带到了膝盖                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
48'还好比利亚看起来问题不大                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
49'犯规~                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
49'瓦拉内防守犯规了                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
50'边裁的摇旗示意瓦拉内犯规                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
50'慢动作来看瓦拉内是先碰到了球                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
50'这个吹罚值得商榷                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
50'巴萨获得了一个禁区右上角的定位球                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
50'传中之后，裁判吹哨了                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
50'进攻方球员犯规                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
51'拉莫斯手球犯规！                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
51'裁判掏出了一张黄牌                   48'3分钟后，赫迪拉传球，C-罗纳尔多禁区前射门高出
28'皇马继续左路进攻                   27'第27分钟，哈维传球，伊涅斯塔左路内切后劲射偏出远角
28'皮克补防到边路，铲球拦截~                   27'第27分钟，哈维传球，伊涅斯塔左路内切后劲射偏出远角
28'皇马前场反抢做得不错，卡卡~禁区外远射！被巴尔德斯接住了                   27'第27分钟，哈维传球，伊涅斯塔左路内切后劲射偏出远角
28'游客5228: 皇马这个守门员是刚转会来的吗?---嗯，顶替受伤的卡西                   27'第27分钟，哈维传球，伊涅斯塔左路内切后劲射偏出远角
29'埃辛尝试右路突破~                   27'第27分钟，哈维传球，伊涅斯塔左路内切后劲射偏出远角
29'自己把球趟大了                   27'第27分钟，哈维传球，伊涅斯塔左路内切后劲射偏出远角
30'埃辛现在的身体也是被毁了的啊                   27'第27分钟，哈维传球，伊涅斯塔左路内切后劲射偏出远角
30'手机用户2088545181:@，@柠檬 你确定皇马是4-4-2阵型？？？---要我说，是451。其实现在的比赛阵型随时在变幻，不用那么在意                   27'第27分钟，哈维传球，伊涅斯塔左路内切后劲射偏出远角
34'阿尔巴转身把球踢在了卡列洪身上弹出界外                   34'第34分钟，佩德罗连过2人切入禁区右侧，最后在阿隆索防守下摔倒，但裁判未予理会
34'游客5228: 佩佩打中场合适吗---佩佩专门防守梅西的                   34'第34分钟，佩德罗连过2人切入禁区右侧，最后在阿隆索防守下摔倒，但裁判未予理会
35'这恐怕是咱们看过的最沉闷的国家德比了吧                   34'第34分钟，佩德罗连过2人切入禁区右侧，最后在阿隆索防守下摔倒，但裁判未予理会
36'虽然上半场并不缺乏进球                   34'第34分钟，佩德罗连过2人切入禁区右侧，最后在阿隆索防守下摔倒，但裁判未予理会
37'佩佩在身后踢倒了布斯克茨                   34'第34分钟，佩德罗连过2人切入禁区右侧，最后在阿隆索防守下摔倒，但裁判未予理会
37'今天两队的犯规其实并不多                   34'第34分钟，佩德罗连过2人切入禁区右侧，最后在阿隆索防守下摔倒，但裁判未予理会
37'比以往的国家德比少很多                   34'第34分钟，佩德罗连过2人切入禁区右侧，最后在阿隆索防守下摔倒，但裁判未予理会
36'虽然上半场并不缺乏进球                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
37'佩佩在身后踢倒了布斯克茨                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
37'今天两队的犯规其实并不多                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
37'比以往的国家德比少很多                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
38'比利亚底线传中~脚法没掌握                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
38'这球直接传出了底线                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
38'莫德里奇传中后点~                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
39'莫拉塔好机会，头球攻门~~~顶在了边网上                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
39'这球只差了一点                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
39'几乎是擦着门柱飞出底线                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
39'莫德里奇这几下~过人、传中都很漂亮                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
39'佩德罗今天露脸机会不多，拉莫斯撞倒了他                   36'第36分钟，迪马利亚传球，C-罗纳尔多左路小角度射门被平托扑出
41'佩佩断球~被阿尔维斯踢倒了                   40'第40分钟，普约尔禁区前铲倒C-罗纳尔多被补发黄牌，厄齐尔任意球斜传禁区，拉莫斯小禁区边缘错过皮球
41'这两人以前就有不少过节                   40'第40分钟，普约尔禁区前铲倒C-罗纳尔多被补发黄牌，厄齐尔任意球斜传禁区，拉莫斯小禁区边缘错过皮球
42'皇马长传进攻，头球被皮克抢了下来                   40'第40分钟，普约尔禁区前铲倒C-罗纳尔多被补发黄牌，厄齐尔任意球斜传禁区，拉莫斯小禁区边缘错过皮球
42'比利亚在左路~跟阿尔巴的配合还是欠缺默契                   40'第40分钟，普约尔禁区前铲倒C-罗纳尔多被补发黄牌，厄齐尔任意球斜传禁区，拉莫斯小禁区边缘错过皮球
42'比利亚这一次有把球传出了底线                   40'第40分钟，普约尔禁区前铲倒C-罗纳尔多被补发黄牌，厄齐尔任意球斜传禁区，拉莫斯小禁区边缘错过皮球
43'皮克在中场防守本泽马犯规                   40'第40分钟，普约尔禁区前铲倒C-罗纳尔多被补发黄牌，厄齐尔任意球斜传禁区，拉莫斯小禁区边缘错过皮球
52'拉莫斯这是故意手球阻挡                   52'第52分钟，阿尔巴禁区左侧回传，哈维和伊涅斯塔的射门先后被封堵
52'相比以前的国家德比今天火药味恐怕是最淡的吧                   52'第52分钟，阿尔巴禁区左侧回传，哈维和伊涅斯塔的射门先后被封堵
52'到这个时间才出现了第一张黄牌                   52'第52分钟，阿尔巴禁区左侧回传，哈维和伊涅斯塔的射门先后被封堵
53'巴萨连续传递，阿尔维斯~横传门前                   52'第52分钟，阿尔巴禁区左侧回传，哈维和伊涅斯塔的射门先后被封堵
53'梅西慢了半拍~                   52'第52分钟，阿尔巴禁区左侧回传，哈维和伊涅斯塔的射门先后被封堵
53'埃辛不敢怠慢，把球踢出了底线                   52'第52分钟，阿尔巴禁区左侧回传，哈维和伊涅斯塔的射门先后被封堵
54'蒂亚戈角球传前点，被拉莫斯解围出去                   52'第52分钟，阿尔巴禁区左侧回传，哈维和伊涅斯塔的射门先后被封堵
54'皮克把球给到了梅西的身后，瓦拉内回交给了本方门将                   52'第52分钟，阿尔巴禁区左侧回传，哈维和伊涅斯塔的射门先后被封堵
54'下半场巴萨在场面上的控制加强了不少                   52'第52分钟，阿尔巴禁区左侧回传，哈维和伊涅斯塔的射门先后被封堵
55'裁判又一次吹哨                   52'第52分钟，阿尔巴禁区左侧回传，哈维和伊涅斯塔的射门先后被封堵
55'阿尔巴的犯规给他自己招来了一张黄牌                   52'第52分钟，阿尔巴禁区左侧回传，哈维和伊涅斯塔的射门先后被封堵
57'梅西~直塞给了比利亚                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
57'禁区里边比利亚~在干扰之下倒地铲射！’                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
57'球最后是出了底线                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
57'应该是个角球，裁判却吹了球门球                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
58'C罗换下本泽马、赫迪拉换下卡卡                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
58'卡卡今天发挥一般，在场上很难找到存在感                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
58'裁判又一次掏出黄牌                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
58'C罗第一次拿球，被皮克绊倒了                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
59'C罗定位球传中，被后卫挡出禁区                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
60'C罗上场之后皇马进攻得到了明显改善                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
60'皇马又一次前场断球~                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
60'前面以多打少的情况下，卡莱洪传中出了底线                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
60'这么纠缠下去对于巴萨来说很不利                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
60'跟皇马的替补们消耗了这么久                   57'皇马第57分钟扩大比分，赫迪拉大脚长传，迪马利亚突入禁区左侧晃过普约尔后小角度射门被平托用腿挡出，C-罗纳尔多小禁区前劲射破门
59'C罗定位球传中，被后卫挡出禁区                   59'第59分钟，比利亚替换法布雷加斯出场
60'C罗上场之后皇马进攻得到了明显改善                   59'第59分钟，比利亚替换法布雷加斯出场
60'皇马又一次前场断球~                   59'第59分钟，比利亚替换法布雷加斯出场
60'前面以多打少的情况下，卡莱洪传中出了底线                   59'第59分钟，比利亚替换法布雷加斯出场
60'这么纠缠下去对于巴萨来说很不利                   59'第59分钟，比利亚替换法布雷加斯出场
60'跟皇马的替补们消耗了这么久                   59'第59分钟，比利亚替换法布雷加斯出场
61'C罗铲倒了马斯切拉诺                   59'第59分钟，比利亚替换法布雷加斯出场
61'裁判手下留情没有掏牌                   59'第59分钟，比利亚替换法布雷加斯出场
61'场上的犯规开始增多                   59'第59分钟，比利亚替换法布雷加斯出场
62'又掏黄牌~                   59'第59分钟，比利亚替换法布雷加斯出场
62'科恩特朗争抢头球的时候抬手了，击中了阿尔维斯                   59'第59分钟，比利亚替换法布雷加斯出场
62'巴萨获得了一个边路定位球，科恩特朗得到一张黄牌                   59'第59分钟，比利亚替换法布雷加斯出场
62'梅西定位球传中被洛佩兹出击没收                   59'第59分钟，比利亚替换法布雷加斯出场
68'莫拉塔在身后拉扯梅西                   68'皇马第68分钟锁定胜局，厄齐尔开出角球，瓦拉内8码处抢在皮克之前头球破门，3-0
68'裁判继续掏牌                   68'皇马第68分钟锁定胜局，厄齐尔开出角球，瓦拉内8码处抢在皮克之前头球破门，3-0
68'下半场黄牌满天飞                   68'皇马第68分钟锁定胜局，厄齐尔开出角球，瓦拉内8码处抢在皮克之前头球破门，3-0
69'阿贝罗亚换下科恩特朗                   68'皇马第68分钟锁定胜局，厄齐尔开出角球，瓦拉内8码处抢在皮克之前头球破门，3-0
69'皇马已经用完了换人名额                   68'皇马第68分钟锁定胜局，厄齐尔开出角球，瓦拉内8码处抢在皮克之前头球破门，3-0
69'游客2279: 374特球王呢---特球王打这种比赛太年轻                   68'皇马第68分钟锁定胜局，厄齐尔开出角球，瓦拉内8码处抢在皮克之前头球破门，3-0
69'C罗在巴萨的三名后卫围抢之下依然完成了打门                   68'皇马第68分钟锁定胜局，厄齐尔开出角球，瓦拉内8码处抢在皮克之前头球破门，3-0
70'不过这次打门角度不大，左脚射门偏出了立柱                   68'皇马第68分钟锁定胜局，厄齐尔开出角球，瓦拉内8码处抢在皮克之前头球破门，3-0
71'佩佩今天活动范围很大，不过他到了禁区反倒不知道该怎么办了                   68'皇马第68分钟锁定胜局，厄齐尔开出角球，瓦拉内8码处抢在皮克之前头球破门，3-0
71'佩佩今天活动范围很大，不过他到了禁区反倒不知道该怎么办了                   71'双方均在第71分钟做出调整，卡列洪换下伊瓜因
72'卡列洪在中场拉扯布斯克茨被吹犯规                   71'双方均在第71分钟做出调整，卡列洪换下伊瓜因
72'蒂亚戈在莫拉塔的干扰下，自己把球带出了边线                   71'双方均在第71分钟做出调整，卡列洪换下伊瓜因
73'皇马是皇上滴马:要是换人名额用完守门员红牌罚下怎么办---只有叫场上某球员客串门将了                   71'双方均在第71分钟做出调整，卡列洪换下伊瓜因
74'拉莫斯长传球发动进攻，裁判继续吹哨                   71'双方均在第71分钟做出调整，卡列洪换下伊瓜因
74'卡列洪在身后拉人犯规                   71'双方均在第71分钟做出调整，卡列洪换下伊瓜因
74'蒂亚戈带球被断                   71'双方均在第71分钟做出调整，卡列洪换下伊瓜因
47'皇马获得了一个边路定位球                   47'2分钟后，哈维也被蒂亚戈换下
47'还是莫德里奇来处理                   47'2分钟后，哈维也被蒂亚戈换下
47'传中前点，阿尔巴头球顶到了                   47'2分钟后，哈维也被蒂亚戈换下
47'本泽马把球回交~洛佩兹长传！莫拉塔头球点下来                    47'2分钟后，哈维也被蒂亚戈换下
47'马斯切拉诺给大脚解围了                   47'2分钟后，哈维也被蒂亚戈换下
48'比利亚被埃辛的鞋钉带到了膝盖                   47'2分钟后，哈维也被蒂亚戈换下
48'还好比利亚看起来问题不大                   47'2分钟后，哈维也被蒂亚戈换下
49'犯规~                   47'2分钟后，哈维也被蒂亚戈换下
49'瓦拉内防守犯规了                   47'2分钟后，哈维也被蒂亚戈换下
50'边裁的摇旗示意瓦拉内犯规                   47'2分钟后，哈维也被蒂亚戈换下
50'慢动作来看瓦拉内是先碰到了球                   47'2分钟后，哈维也被蒂亚戈换下
50'这个吹罚值得商榷                   47'2分钟后，哈维也被蒂亚戈换下
50'巴萨获得了一个禁区右上角的定位球                   47'2分钟后，哈维也被蒂亚戈换下
50'传中之后，裁判吹哨了                   47'2分钟后，哈维也被蒂亚戈换下
50'进攻方球员犯规                   47'2分钟后，哈维也被蒂亚戈换下
83'马斯切拉诺跟皮克~都没能防住拉莫斯                   83'第83分钟，佩佩传球，C-罗纳尔多突入禁区右侧12码处劲射被平托扑出底线
83'莫德里奇角球传前点，拉莫斯力压皮克~头球把球顶入了网窝                   83'第83分钟，佩佩传球，C-罗纳尔多突入禁区右侧12码处劲射被平托扑出底线
84'定位球的防守也是巴萨的弱项，没办法                   83'第83分钟，佩佩传球，C-罗纳尔多突入禁区右侧12码处劲射被平托扑出底线
84'鲁拉还要换人                   83'第83分钟，佩佩传球，C-罗纳尔多突入禁区右侧12码处劲射被平托扑出底线
84'佩佩凶狠的放倒了阿尔维斯                   83'第83分钟，佩佩传球，C-罗纳尔多突入禁区右侧12码处劲射被平托扑出底线
85'特略换下了蒂亚戈                   83'第83分钟，佩佩传球，C-罗纳尔多突入禁区右侧12码处劲射被平托扑出底线
86'桑切斯转身过人，球被抢断了                   83'第83分钟，佩佩传球，C-罗纳尔多突入禁区右侧12码处劲射被平托扑出底线
84'定位球的防守也是巴萨的弱项，没办法                   84'第84分钟，佩佩边路拼抢中对布斯克茨犯规动作稍大，阿尔巴和布斯克茨上前推搡引致双方争议
84'鲁拉还要换人                   84'第84分钟，佩佩边路拼抢中对布斯克茨犯规动作稍大，阿尔巴和布斯克茨上前推搡引致双方争议
84'佩佩凶狠的放倒了阿尔维斯                   84'第84分钟，佩佩边路拼抢中对布斯克茨犯规动作稍大，阿尔巴和布斯克茨上前推搡引致双方争议
85'特略换下了蒂亚戈                   84'第84分钟，佩佩边路拼抢中对布斯克茨犯规动作稍大，阿尔巴和布斯克茨上前推搡引致双方争议
86'桑切斯转身过人，球被抢断了                   84'第84分钟，佩佩边路拼抢中对布斯克茨犯规动作稍大，阿尔巴和布斯克茨上前推搡引致双方争议
87'皇马反击，前场3打2                   84'第84分钟，佩佩边路拼抢中对布斯克茨犯规动作稍大，阿尔巴和布斯克茨上前推搡引致双方争议
87'莫拉塔~被绊倒了                   84'第84分钟，佩佩边路拼抢中对布斯克茨犯规动作稍大，阿尔巴和布斯克茨上前推搡引致双方争议
87'皇马的前场定位球                   84'第84分钟，佩佩边路拼抢中对布斯克茨犯规动作稍大，阿尔巴和布斯克茨上前推搡引致双方争议
89'威胁传球大大减少，下半场梅西更是消失不见了                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
89'C罗又制造了一个角球                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
90'这一次头球争抢，皮克抢到了                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
90'下半场时间不多                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
91'C罗被阿尔维斯铲倒                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
91'裁判掏出了黄牌                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
91'皇马获得了一个边路定位球                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
91'下半场补时3分钟                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
92'C罗的射门被巴尔德斯封出~                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
92'巴萨反击，阿贝罗阿犯规了                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
92'阿贝罗阿故意踢倒了桑切斯                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
92'裁判也掏出了黄牌                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
92'点球吗？                   89'巴萨第89分钟挽回颜面，伊涅斯塔挑传，阿尔巴小禁区左侧斜射破门，1-3
